Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,1.75DS,World,"Capacity Additions|Electricity|Coal, w/o CCS",TW,,0.1332,0.1004,0.0986,0.0884,0.1085,0.0915,0.0395,0.0396,0.0394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014838897,,,,,
GLUCOSE,1.75DS,World,Capacity|Electricity|Biomass,TW,0.0863,0.0832,0.0801,0.077,0.0738,0.0708,0.0677,0.0645,0.0615,0.0584,0.055857177,0.105587757,0.162587757,0.214760316,0.267779684,0.304180967,0.333188988,0.337318667,0.351472882,0.365440062,0.379128215,0.397900355,0.432193063,0.489093063,0.545893063,0.602793063,0.62434517,0.63479211,0.645821047,0.656719245,0.666729743,0.67737541,0.687891703,0.694944127,0.702083687,0.710165045,0.710165045,0.710165045,0.7170555,0.746944646,0.755246231,0.755246231,0.7576172,0.758073649,0.758073649,0.771665361,0.801450979,0.820502979,0.848622215,0.862602323,0.823201039
GLUCOSE,1.75DS,World,"Capacity|Electricity|Coal, w/o CCS",TW,1.5808,1.6769,1.7379,1.7969,1.8458,1.9148,1.9668,1.9668,1.9668,1.9668,1.9272,1.8877,1.8481,1.8087,1.7691,1.7296,1.69,1.6506,1.611,1.5715,1.5319,1.4925,1.453,1.4134,1.3739,1.3344,1.2949,1.2553,1.2159,1.1763,1.1368,1.0972,1.0578,1.0182,0.9787,0.9391,0.8997,0.8601,0.8206,0.781,0.7416,0.6084,0.508,0.4094,0.321,0.227338897,0.135838897,0.096338897,0.056738897,0.017338897,0.017338897
GLUCOSE,1.75DS,World,"Capacity|Electricity|NaturalGas, w/o CCS",TW,1.2902,1.2456,1.201,1.1565,1.1118,1.0674,1.0226,0.9781,1.010113187,1.165413187,1.228326163,1.236915346,1.243869564,1.219662234,1.258459785,1.313859785,1.369159785,1.324659785,1.279959785,1.247165064,1.263565253,1.288668163,1.292799092,1.249502881,1.25280417,1.245192944,1.208492944,1.171792944,1.135092944,1.098392944,1.061692944,1.061692944,1.061692944,0.985179757,0.899159628,0.991846653,1.067268105,1.139460738,1.224228047,1.140830496,1.040830496,1.01201986,1.088373009,1.18331303,1.271607751,1.338827208,1.369024298,1.346343724,1.361399615,1.361399615,1.375446337
GLUCOSE,1.75DS,World,Capacity|Electricity|Non-biomass Renewables,TW,1.2178,1.2285,1.2392,1.2184,1.1975,1.1767,1.1558,1.1349,1.1141,1.0932,1.0725,1.0516,1.0306,1.0898,1.1489,1.2081,1.2673,1.3264,1.460391515,1.669391515,1.878491515,2.136091515,2.348691515,2.61475962,2.8643,3.213135975,3.476427049,4.041421045,4.640020077,5.1407,5.4923,5.8809,6.3118,6.791,7.3261,7.9249,8.391031631,9.124447139,9.957636618,10.33531439,10.39409872,10.40230191,10.40230191,10.40230191,10.40230191,10.40230191,10.40230191,10.40230191,10.40230191,10.40230191,10.15686593
GLUCOSE,1.75DS,World,Capacity|Electricity|Nuclear,TW,0.3933,0.3854,0.3776,0.3697,0.3618,0.354,0.3461,0.3382,0.3304,0.3225,0.3146,0.3068,0.2989,0.291,0.2832,0.2753,0.2674,0.2596,0.2517,0.2438,0.236,0.2281,0.2203,0.2124,0.2045,0.1967,0.1888,0.1809,0.1731,0.195847591,0.246229729,0.298931858,0.342494432,0.378116019,0.383095295,0.375195295,0.367295295,0.359495295,0.351595295,0.343695295,0.428023403,0.432279594,0.434484759,0.434484759,0.434484759,0.442508299,0.467833899,0.505037967,0.514945889,0.535382254,0.58580551
GLUCOSE,1.75DS,World,Capacity|Electricity|Oil,TW,0.4418,0.4268,0.4119,0.397,0.3821,0.3672,0.3523,0.3575,0.3625,0.356131971,0.341231971,0.326331971,0.311431971,0.296531971,0.281731971,0.266731971,0.249731971,0.235331971,0.220931971,0.206531971,0.192331971,0.177931971,0.163531971,0.149131971,0.134731971,0.120331971,0.105931971,0.091731971,0.077331971,0.062931971,0.048531971,0.048531971,0.028531971,0.008531971,,,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12
GLUCOSE,1.75DS,World,Capacity|Electricity|Solar|CSP,TW,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.053368105,0.1151,0.1266,0.1392,0.1532,0.1685,0.1853,0.2038,0.2242,0.2467,0.2713,0.2984,0.3283,0.3611,0.3972,0.437,0.4807,0.525184329,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287
GLUCOSE,1.75DS,World,Capacity|Electricity|Solar|PV,TW,0.04,0.07,0.1,0.0984,0.0968,0.0952,0.0936,0.092,0.0904,0.0888,0.0872,0.0856,0.084,0.0824,0.0808,0.0792,0.0776,0.076,0.0744,0.0728,0.0712,0.0696,0.068,0.0664,0.0648,0.245435975,0.336127049,0.727021045,1.170220077,1.5541,1.7872,2.0553,2.3636,2.7181,3.1259,3.5947,3.933831631,4.536947139,5.316036618,5.635814394,5.635814394,5.640501909,5.640501909,5.640501909,5.640501909,5.640501909,5.640501909,5.640501909,5.640501909,5.640501909,5.395065934
GLUCOSE,1.75DS,World,Capacity|Electricity|Wind,TW,0.1592,0.1528,0.1464,0.1401,0.1337,0.1273,0.121,0.1146,0.1083,0.1018,0.0955,0.0892,0.0827,0.1564,0.23,0.3037,0.3773,0.4509,0.5246,0.5982,0.6718,0.7455,0.8191,0.8928,0.9663,1.1,1.24,1.38,1.5,1.58,1.66,1.74,1.82,1.9,1.98,2.06,2.14,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22
