
Summary,Globe
Emissions
,CO2EQ,1269.41
,CO2EQ_ind,0
,WATER,2055.5

Cost,355278

TID Demand

,Globe
Fuel,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
ALU,85.3,88.6853,92.0705,95.4558,98.841,102.226,105.612,108.997,112.382,115.767,119.153,120.331,121.509,122.687,123.865,125.043,126.221,127.4,128.578,129.756,130.934,132.112,133.29,134.468,135.647,136.825,138.003,139.181,140.359,141.537,142.715,143.894,145.072,146.25,147.428,148.606,149.784,150.963,152.141,153.319,154.497,154.497,154.497,154.497,154.497,154.497,154.497,154.497,154.497,154.497,154.497,
AMM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_F_CLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_F_HEA_I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_F_HEA_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_F_MOT,86,87.8,89.5,91.2,93,94.7,96.5,98.2,100,101.8,103.5,106.9,110.2,113.5,116.9,120.2,123.6,127,130.3,133.7,137.1,140.6,144,147.4,150.9,154.4,157.9,161.4,164.9,168.5,172,175.6,179.3,182.9,186.6,190.3,194,197.8,201.6,205.4,209.3,209.3,209.3,209.3,209.3,209.3,209.3,209.3,209.3,209.3,209.3,
C1_F_RD,18.686,19.2376,19.7892,20.3408,20.8924,21.444,21.8908,22.3376,22.7844,23.2312,23.678,24.063,24.448,24.833,25.218,25.603,25.8716,26.1402,26.4088,26.6774,26.946,27.258,27.57,27.882,28.194,28.506,28.865,29.224,29.583,29.942,30.301,30.6116,30.9222,31.2328,31.5434,31.854,32.122,32.39,32.658,32.926,33.194,33.194,33.194,33.194,33.194,33.194,33.194,33.194,33.194,33.194,33.194,
C1_F_RL,9.89,10.1,10.32,10.53,10.75,10.96,11.21,11.45,11.69,11.93,12.17,12.44,12.71,12.98,13.25,13.53,13.83,14.13,14.44,14.74,15.05,15.39,15.73,16.07,16.41,16.75,17.32,17.89,18.46,19.03,19.6,20.17,20.74,21.31,21.88,22.45,23.02,23.59,24.16,24.73,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,
C1_P_BIO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_P_BIOW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_P_BIOW2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_P_GAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_P_HCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_P_HFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_P_LFO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_P_NUC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_R_OIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_S_BIOL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_S_ELC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
C1_S_HEAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
