Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,1.75DS,World,"Capacity Additions|Electricity|Coal, w/o CCS",TW,,0.13319999999999999,0.10040000000000002,0.09859999999999997,0.08840000000000003,0.10849999999999996,0.09149999999999998,0.039500000000000035,0.03960000000000001,0.03940000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014838897444276059,,,,,
GLUCOSE,1.75DS,World,"Capacity|Electricity|Coal, w/o CCS",TW,1.5808000000000002,1.6769,1.7379,1.7969,1.8457999999999999,1.9148,1.9667999999999999,1.9667999999999999,1.9667999999999999,1.9667999999999999,1.9272,1.8877000000000002,1.8481,1.8087,1.7691000000000001,1.7296000000000002,1.69,1.6505999999999998,1.611,1.5715000000000001,1.5319,1.4925,1.4529999999999998,1.4134,1.3739000000000001,1.3344,1.2949,1.2553,1.2159,1.1763000000000001,1.1368,1.0972,1.0578,1.0182,0.9787,0.9391,0.8997,0.8601000000000001,0.8206000000000001,0.7810000000000001,0.7416,0.6084,0.508,0.4094000000000001,0.321,0.22733889744427613,0.13583889744427613,0.09633889744427611,0.056738897444276085,0.01733889744427606,0.01733889744427606
GLUCOSE,1.75DS,World,Capacity|Electricity|Non-biomass Renewables,TW,1.2178,1.2285,1.2391999999999999,1.2184,1.1974999999999998,1.1766999999999999,1.1558000000000002,1.1349,1.1140999999999999,1.0932,1.0725,1.0516,1.0306,1.0897999999999999,1.1488999999999998,1.2081,1.2673,1.3263999999999998,1.4603915151783045,1.6693915151783045,1.8784915151783041,2.136091515178305,2.3486915151783045,2.6147596199689174,2.8642999999999996,3.2131359746274812,3.4764270491303444,4.041421045164886,4.640020077220716,5.1407,5.4923,5.8809000000000005,6.3118,6.791,7.3261,7.924900000000001,8.391031630718615,9.124447139467051,9.95763661830016,10.335314394407554,10.394098723352164,10.402301908948184,10.402301908948184,10.402301908948184,10.402301908948184,10.402301908948184,10.402301908948184,10.402301908948184,10.402301908948184,10.402301908948184,10.1568659343207
GLUCOSE,1.75DS,World,Capacity|Electricity|Solar|CSP,TW,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.05336810479061272,0.1151,0.1266,0.1392,0.1532,0.1685,0.1853,0.2038,0.2242,0.2467,0.2713,0.2984,0.3283,0.3611,0.3972,0.437,0.4807000000000001,0.5251843289446096,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287
GLUCOSE,1.75DS,World,Capacity|Electricity|Solar|PV,TW,0.04,0.07,0.1,0.0984,0.0968,0.0952,0.0936,0.092,0.09040000000000001,0.08879999999999999,0.0872,0.08560000000000001,0.08399999999999999,0.0824,0.08080000000000001,0.07919999999999999,0.0776,0.076,0.0744,0.0728,0.0712,0.0696,0.068,0.0664,0.0648,0.2454359746274811,0.3361270491303441,0.727021045164886,1.1702200772207156,1.5541,1.7872,2.0553,2.3636,2.7181,3.1259,3.5947,3.933831630718615,4.536947139467052,5.31603661830016,5.635814394407553,5.635814394407553,5.640501908948183,5.640501908948183,5.640501908948183,5.640501908948183,5.640501908948183,5.640501908948183,5.640501908948183,5.640501908948183,5.640501908948183,5.395065934320701
GLUCOSE,1.75DS,World,Capacity|Electricity|Wind,TW,0.1592,0.1528,0.1464,0.1401,0.13369999999999999,0.1273,0.121,0.11460000000000001,0.10830000000000001,0.1018,0.0955,0.0892,0.0827,0.15639999999999998,0.23,0.3037,0.3773,0.4509,0.5246,0.5982000000000001,0.6718,0.7454999999999999,0.8191,0.8927999999999999,0.9662999999999998,1.0999999999999999,1.2400000000000002,1.38,1.5,1.58,1.6600000000000001,1.7400000000000002,1.8200000000000003,1.9000000000000004,1.9800000000000004,2.0600000000000005,2.14,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22,2.22
GLUCOSE,1.75DS,World,Capacity|Electricity|Wind|Offshore,TW,0.001,0.001,0.0009,0.0009,0.0008,0.0008,0.0008,0.0007,0.0007,0.0006,0.0006,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0003,0.0003,0.0002,0.0002,0.0002,0.0001,0.0001,,0.06,0.12,0.18,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
GLUCOSE,1.75DS,World,Capacity|Electricity|Wind|Onshore,TW,0.1582,0.1518,0.1455,0.1392,0.1329,0.1265,0.1202,0.1139,0.1076,0.1012,0.0949,0.0886,0.0822,0.15589999999999998,0.2296,0.3033,0.3769,0.4506,0.5243,0.5980000000000001,0.6716,0.7453,0.8190000000000001,0.8926999999999999,0.9662999999999998,1.0399999999999998,1.12,1.2,1.28,1.36,1.4400000000000002,1.5200000000000002,1.6000000000000003,1.6800000000000004,1.7600000000000005,1.8400000000000003,1.92,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
GLUCOSE,1.75DS,World,Carbon Sequestration|CCS,Gt CO2e/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04113267656536816,-0.08197123251445708,-0.08197123251445708,-0.08197123251445708,-0.11679164606748545,-0.2678342811724043,-0.3076785931653861,-0.3097857389042463,-0.31148995374856736,-0.31284996166068835,-0.3128499616606855,-0.265065341469826,-0.2620275616789451,-0.4482886186920692,-0.7023600395919956,-0.6793436898425211,-0.9299155446494382
GLUCOSE,1.75DS,World,Carbon Sequestration|CCS|Biomass,Gt CO2e/yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04113267656536816,-0.08197123251445708,-0.08197123251445708,-0.08197123251445708,-0.11679164606748545,-0.2678342811724043,-0.3076785931653861,-0.3097857389042463,-0.31148995374856736,-0.31284996166068835,-0.3128499616606855,-0.265065341469826,-0.2620275616789451,-0.4482886186920692,-0.7023600395919956,-0.6793436898425211,-0.9299155446494382
