Model,Scenario,Region,Variable,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
GLUCOSE,TotalCCG,World,"Capacity|Electricity|Coal, w/o CCS",TW,1.5808,1.6769,1.7379,1.7969,1.8458,1.9148,1.9668,1.9668,1.9668,1.9668,1.9272,1.8877,1.8481,1.8087,1.7691,1.7296,1.69,1.6506,1.611,1.5715,1.5319,1.4925,1.453,1.4134,1.3739,1.3344,1.2949,1.2553,1.2159,1.1763,1.1368,1.0972,1.0578,1.0182,0.9787,0.9391,0.8997,0.8601,0.8206,0.781,0.7416,0.6084,0.508,0.4094,0.321,0.2125,0.121,0.0815,0.0419,0.0025,0.0025
GLUCOSE,TotalCCG,World,Capacity|Electricity|Solar|CSP,TW,0.0006,0.0006,0.0005,0.0005,0.0005,0.0005,0.0004,0.0004,0.0004,0.0004,0.0004,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,,,,,,,0.096757953,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287,0.5287
GLUCOSE,TotalCCG,World,Capacity|Electricity|Solar|PV,TW,0.04,0.07,0.1,0.0984,0.0968,0.0952,0.0936,0.092,0.0904,0.0888,0.0872,0.0856,0.084,0.0824,0.0808,0.0792,0.0776,0.076,0.0744,0.0728,0.0712,0.0696,0.068,0.0664,0.0648,,,,,,,,,,,,,,,,,,,,,,,,,,
GLUCOSE,TotalCCG,World,Capacity|Electricity|Wind,TW,0.1592,0.1528,0.1464,0.1401,0.1337,0.1273,0.121,0.1146,0.1083,0.1018,0.0955,0.0892,0.0827,0.0764,0.07,0.0637,0.0573,0.0509,0.0446,0.0382,0.0318,0.0255,0.0191,0.0128,0.0063,,0.006459884,0.037034439,0.27464343,0.57567829,1.107366694,1.782480536,2.348838024,2.913249349,3.477519624,4.030398679,4.541456097,5.12948935,5.773036502,6.231340528,6.231340528,6.590760662,6.902036627,7.232768719,7.391875857,7.638052593,7.805868781,7.899661365,7.992716277,8.085313287,8.085313287
GLUCOSE,TotalCCG,World,Capacity|Electricity|Wind|Offshore,TW,0.001,0.001,0.0009,0.0009,0.0008,0.0008,0.0008,0.0007,0.0007,0.0006,0.0006,0.0006,0.0005,0.0005,0.0004,0.0004,0.0004,0.0003,0.0003,0.0002,0.0002,0.0002,0.0001,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLUCOSE,TotalCCG,World,Capacity|Electricity|Wind|Onshore,TW,0.1582,0.1518,0.1455,0.1392,0.1329,0.1265,0.1202,0.1139,0.1076,0.1012,0.0949,0.0886,0.0822,0.0759,0.0696,0.0633,0.0569,0.0506,0.0443,0.038,0.0316,0.0253,0.019,0.0127,0.0063,,0.006459884,0.037034439,0.27464343,0.57567829,1.107366694,1.782480536,2.348838024,2.913249349,3.477519624,4.030398679,4.541456097,5.12948935,5.773036502,6.231340528,6.231340528,6.590760662,6.902036627,7.232768719,7.391875857,7.638052593,7.805868781,7.899661365,7.992716277,8.085313287,8.085313287
GLUCOSE,TotalCCG,World,Carbon Sequestration|Direct Air Capture,Gt CO2e/yr,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687,-0.66303687
GLUCOSE,TotalCCG,World,Electricity Use|Final,EJ/yr,47.95242095,49.83888402,51.66016666,53.41752973,55.11111236,56.74308098,59.75842197,61.72456881,63.6359418,65.53823264,67.4454252,67.63720271,67.36583338,68.02421317,68.21993597,68.41503116,68.68473155,68.95718705,69.2165469,69.46726497,69.71163708,70.96248533,72.21124037,73.45577777,74.69760908,75.92992217,76.91345183,77.89874073,78.8856905,79.87182753,80.86103537,82.85503465,84.82673631,86.82080153,88.81385322,90.81061748,92.79341764,94.78050304,96.74819142,98.71231875,100.5400641,100.5345051,100.5387806,100.5429882,100.5467207,100.5513355,100.5552038,100.5569004,100.558597,100.5602257,100.5602257
GLUCOSE,TotalCCG,World,Electricity Use|Industry,EJ/yr,8953.051194,9035.904606,9118.73624,9201.546701,9284.33715,9367.108143,9449.863689,9532.598491,9615.320662,9698.023977,9780.716374,9721.475852,9662.210127,9602.920039,9543.606417,9484.270409,9424.914009,9365.534427,9306.134992,9246.713581,9187.27697,9127.821634,9068.345007,9008.852988,8949.343811,8889.818821,8830.279757,8770.721697,8711.152559,8651.565374,8591.96794,8532.355416,8472.729185,8413.090809,8353.439399,8293.776627,8234.103549,8174.415562,8114.720021,8055.010173,7995.293328,7995.295639,7995.295639,7995.295639,7995.295639,7995.295639,7995.295639,7995.295639,7995.295639,7995.295639,7995.295639
GLUCOSE,TotalCCG,World,Electricity Use|Land,EJ/yr,1848.74309,1871.956333,1895.764786,1918.978029,1942.786482,1969.809958,1999.241701,2028.33144,2057.763183,2086.852923,2116.879877,2066.827606,2017.635479,1971.202664,1924.553477,1879.590044,1835.883642,1792.861771,1750.6868,1708.757812,1668.725828,1628.088952,1588.493778,1549.501191,1510.741897,1471.824877,1433.640376,1395.743676,1357.848995,1319.552363,1282.224878,1243.834643,1205.743521,1167.008581,1143.434777,1128.182726,1113.66258,1099.563269,1085.811917,1072.121439,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898,1059.087898
