REGION,EMISSION,YEAR,VALUE
Globe,CO2EQ,2010,35.76623719269377
Globe,CO2EQ,2011,36.02504785605609
Globe,CO2EQ,2012,36.284452186874276
Globe,CO2EQ,2013,36.54245070330821
Globe,CO2EQ,2014,36.69945358329075
Globe,CO2EQ,2015,36.88168664172239
Globe,CO2EQ,2016,36.95482549540956
Globe,CO2EQ,2017,36.93206239726233
Globe,CO2EQ,2018,36.9158069687503
Globe,CO2EQ,2019,36.8930491257045
Globe,CO2EQ,2020,36.87742185124762
Globe,CO2EQ,2021,36.18551420408582
Globe,CO2EQ,2022,35.497203796033844
Globe,CO2EQ,2023,34.66874854567188
Globe,CO2EQ,2024,33.83602766722357
Globe,CO2EQ,2025,33.00666910921631
Globe,CO2EQ,2026,32.18582042999904
Globe,CO2EQ,2027,31.739762961642505
Globe,CO2EQ,2028,31.193733821510747
Globe,CO2EQ,2029,30.45303443835438
Globe,CO2EQ,2030,29.548858811273192
Globe,CO2EQ,2031,28.86578
Globe,CO2EQ,2032,28.005359999999992
Globe,CO2EQ,2033,27.144940000000002
Globe,CO2EQ,2034,26.28353
Globe,CO2EQ,2035,25.423110000000023
Globe,CO2EQ,2036,24.562690000000003
Globe,CO2EQ,2037,23.702270000000002
Globe,CO2EQ,2038,22.84186
Globe,CO2EQ,2039,21.98144000000001
Globe,CO2EQ,2040,21.12001999999998
Globe,CO2EQ,2041,20.449549999999988
Globe,CO2EQ,2042,19.779079999999997
Globe,CO2EQ,2043,19.108610000000013
Globe,CO2EQ,2044,18.438140000000004
Globe,CO2EQ,2045,17.766670000000005
Globe,CO2EQ,2046,17.0962
Globe,CO2EQ,2047,16.425730000000005
Globe,CO2EQ,2048,15.755259999999998
Globe,CO2EQ,2049,15.084790000000002
Globe,CO2EQ,2050,14.41431
Globe,CO2EQ,2051,14.414309999999993
Globe,CO2EQ,2052,14.414310000000004
Globe,CO2EQ,2053,14.41431000000001
Globe,CO2EQ,2054,14.41431
Globe,CO2EQ,2055,14.414310000000006
Globe,CO2EQ,2056,14.414310000000002
Globe,CO2EQ,2057,14.414310000000002
Globe,CO2EQ,2058,14.41431
Globe,CO2EQ,2059,14.414310000000004
Globe,CO2EQ,2060,14.41431
Globe,WATER,2010,21.72872967219487
Globe,WATER,2011,21.812238354749514
Globe,WATER,2012,21.888398753943946
Globe,WATER,2013,21.95421653184788
Globe,WATER,2014,22.03168763773515
Globe,WATER,2015,22.102940764413123
Globe,WATER,2016,22.203522098845838
Globe,WATER,2017,22.28099289729807
Globe,WATER,2018,22.293630812727343
Globe,WATER,2019,22.279291260739665
Globe,WATER,2020,22.297034476460265
Globe,WATER,2021,22.97273125869364
Globe,WATER,2022,23.66585545247436
Globe,WATER,2023,24.411442656897048
Globe,WATER,2024,25.17968173084811
Globe,WATER,2025,26.00578850173651
Globe,WATER,2026,26.86043714713462
Globe,WATER,2027,27.81024974254367
Globe,WATER,2028,29.02968969028007
Globe,WATER,2029,30.518152066733805
Globe,WATER,2030,32.0575841040558
Globe,WATER,2031,33.6387055435837
Globe,WATER,2032,35.29509822635878
Globe,WATER,2033,37.014789082872184
Globe,WATER,2034,38.73001050261901
Globe,WATER,2035,40.216811767422726
Globe,WATER,2036,41.79169102739723
Globe,WATER,2037,43.4204165329597
Globe,WATER,2038,45.13385953178805
Globe,WATER,2039,46.941717285675146
Globe,WATER,2040,48.85991394200768
Globe,WATER,2041,50.8786455890766
Globe,WATER,2042,52.988507678926304
Globe,WATER,2043,55.19983867793472
Globe,WATER,2044,55.69820885839135
Globe,WATER,2045,55.11181427527044
Globe,WATER,2046,54.53582249297559
Globe,WATER,2047,53.96076919640954
Globe,WATER,2048,53.40642925893678
Globe,WATER,2049,52.89052790745854
Globe,WATER,2050,52.42136082317885
Globe,WATER,2051,52.42125344667851
Globe,WATER,2052,52.41839220486318
Globe,WATER,2053,52.418229792279575
Globe,WATER,2054,52.41796184528148
Globe,WATER,2055,52.41249692382528
Globe,WATER,2056,52.40970883956886
Globe,WATER,2057,52.42795813072932
Globe,WATER,2058,52.44035334667935
Globe,WATER,2059,52.440727272894094
Globe,WATER,2060,52.47848340756112
