REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BMBRFH1,2010,13.22932
Globe,C1BMBRFH1,2011,12.34714
Globe,C1BMBRFH1,2012,11.46496
Globe,C1BMBRFH1,2013,10.584469999999998
Globe,C1BMBRFH1,2014,9.70229
Globe,C1BMBRFH1,2015,8.82011
Globe,C1BMBRFH1,2016,7.93793
Globe,C1BMBRFH1,2017,7.055749999999999
Globe,C1BMBRFH1,2018,6.17357
Globe,C1BMBRFH1,2019,5.29139
Globe,C1BMBRFH1,2020,4.40921
Globe,C1BMBRFH1,2021,3.52872
Globe,C1BMBRFH1,2022,3.9408613585387084
Globe,C1BMBRFH1,2023,3.058681358538709
Globe,C1BMBRFH1,2024,2.1765013585387085
Globe,C1BMBRFH1,2025,1.6900000000000024
Globe,C1BMBRFH1,2026,1.6900000000000024
Globe,C1BMBRFH1,2027,1.6900000000000024
Globe,C1BMBRFH1,2028,1.6900000000000024
Globe,C1BMBRFH1,2029,1.6900000000000024
Globe,C1BMBRFH1,2030,1.6900000000000024
Globe,C1BMBRFH1,2031,1.6900000000000024
Globe,C1BMBRFH1,2032,1.6900000000000024
Globe,C1BMBRFH1,2033,1.6900000000000024
Globe,C1BMBRFH1,2034,1.6900000000000024
Globe,C1BMBRFH1,2035,1.6900000000000024
Globe,C1BMBRFH1,2036,1.6900000000000024
Globe,C1BMBRFH1,2037,1.69
Globe,C1BMBRFH1,2038,1.69
Globe,C1BMBRFH1,2039,1.69
Globe,C1BMBRFH1,2040,1.69
Globe,C1BMBRFH1,2041,1.69
Globe,C1BMBRFH1,2042,1.69
Globe,C1BMBRFH1,2043,1.69
Globe,C1BMBRFH1,2044,1.69
Globe,C1BMBRFH1,2045,1.69
Globe,C1BMBRFH1,2046,1.69
Globe,C1BMBRFH1,2047,1.69
Globe,C1BMBRFH1,2048,1.69
Globe,C1BMBRFH1,2049,1.69
Globe,C1BMBRFH1,2050,1.69
Globe,C1BMBRFH1,2051,1.69
Globe,C1BMBRFH1,2052,1.69
Globe,C1BMBRFH1,2053,1.69
Globe,C1BMBRFH1,2054,1.69
Globe,C1BMBRFH1,2055,1.69
Globe,C1BMBRFH1,2056,1.69
Globe,C1BMBRFH1,2057,1.69
Globe,C1BMBRFH1,2058,1.69
Globe,C1BMBRFH1,2059,1.69
Globe,C1BMBRFH1,2060,1.69
Globe,C1BMBRFN1,2017,0.6703055572514182
Globe,C1BMBRFN1,2018,1.9385191346399533
Globe,C1BMBRFN1,2019,3.2296354442405226
Globe,C1BMBRFN1,2020,4.125808286151468
Globe,C1BMBRFN1,2021,4.125808286151468
Globe,C1BMBRFN1,2022,4.125808286151468
Globe,C1BMBRFN1,2023,4.125808286151468
Globe,C1BMBRFN1,2024,4.125808286151468
Globe,C1BMBRFN1,2025,4.125808286151468
Globe,C1BMBRFN1,2026,4.125808286151468
Globe,C1BMBRFN1,2027,4.125808286151468
Globe,C1BMBRFN1,2028,4.125808286151468
Globe,C1BMBRFN1,2029,4.125808286151468
Globe,C1BMBRFN1,2030,4.125808286151468
Globe,C1BMBRFN1,2031,4.125808286151468
Globe,C1BMBRFN1,2032,3.45550272890005
Globe,C1BMBRFN1,2033,2.187289151511515
Globe,C1BMBRFN1,2034,0.8961728419109456
Globe,C1BMCHP00,2010,2.673
Globe,C1BMCHP00,2011,2.6001
Globe,C1BMCHP00,2012,2.5191
Globe,C1BMCHP00,2013,2.4381
Globe,C1BMCHP00,2014,2.3571
Globe,C1BMCHP00,2015,2.2842
Globe,C1BMCHP00,2016,2.2032
Globe,C1BMCHP00,2017,2.1222000000000003
Globe,C1BMCHP00,2018,2.0493
Globe,C1BMCHP00,2019,1.9683
Globe,C1BMCHP00,2020,1.9324313116293934
Globe,C1BMCHP00,2021,6.138808335411328
Globe,C1BMCHP00,2022,10.925908335411327
Globe,C1BMCHP00,2023,15.321985630518594
Globe,C1BMCHP00,2024,19.79475440545588
Globe,C1BMCHP00,2025,22.913358360380442
Globe,C1BMCHP00,2026,25.43310806531319
Globe,C1BMCHP00,2027,25.945812061701346
Globe,C1BMCHP00,2028,27.26240341432041
Globe,C1BMCHP00,2029,28.563845008143137
Globe,C1BMCHP00,2030,29.84268543309934
Globe,C1BMCHP00,2031,31.54142873218601
Globe,C1BMCHP00,2032,34.48923809595124
Globe,C1BMCHP00,2033,39.26823809595123
Globe,C1BMCHP00,2034,44.047238095951236
Globe,C1BMCHP00,2035,48.82623809595124
Globe,C1BMCHP00,2036,50.57195874218155
Globe,C1BMCHP00,2037,51.41816093830166
Globe,C1BMCHP00,2038,52.3115047729749
Globe,C1BMCHP00,2039,53.194258841205794
Globe,C1BMCHP00,2040,54.00510921044622
Globe,C1BMCHP00,2041,54.86740820463081
Globe,C1BMCHP00,2042,55.719227917760044
Globe,C1BMCHP00,2043,56.290474266544905
Globe,C1BMCHP00,2044,56.20947426654491
Globe,C1BMCHP00,2045,56.20947426654491
Globe,C1BMCHP00,2046,56.20947426654491
Globe,C1BMCHP00,2047,56.20947426654491
Globe,C1BMCHP00,2048,56.20947426654491
Globe,C1BMCHP00,2049,56.20947426654491
Globe,C1BMCHP00,2050,56.20947426654491
Globe,C1BMCHP00,2051,56.20947426654491
Globe,C1BMCHP00,2052,56.20947426654491
Globe,C1BMCHP00,2053,56.20947426654491
Globe,C1BMCHP00,2054,56.20947426654491
Globe,C1BMCHP00,2055,57.31040296632055
Globe,C1BMCHP00,2056,57.794214962560815
Globe,C1BMCHP00,2057,54.273852503801145
Globe,C1BMCHP00,2058,51.16255859242093
Globe,C1BMCHP00,2059,51.40258335125143
Globe,C1BMCHP00,2060,48.21107939632689
Globe,C1BMHTF03,2010,9.41369
Globe,C1BMHTF03,2011,8.942440000000001
Globe,C1BMHTF03,2012,8.471190000000002
Globe,C1BMHTF03,2013,8.00371
Globe,C1BMHTF03,2014,7.53246
Globe,C1BMHTF03,2015,7.06121
Globe,C1BMHTF03,2016,6.5899600000000005
Globe,C1BMHTF03,2017,6.11871
Globe,C1BMHTF03,2018,5.64746
Globe,C1BMHTF03,2019,5.17621
Globe,C1BMHTF03,2020,4.70873
Globe,C1BMHTF03,2021,4.237480000000001
Globe,C1BMHTF03,2022,3.76623
Globe,C1BMHTF03,2023,3.2949800000000002
Globe,C1BMHTF03,2024,2.82373
Globe,C1BMHTF03,2025,2.35248
Globe,C1BMHTF03,2026,2.35248
Globe,C1BMHTF03,2027,1.8850000000000002
Globe,C1BMHTF03,2028,1.8850000000000002
Globe,C1BMHTF03,2029,1.8850000000000002
Globe,C1BMHTF03,2030,1.8850000000000002
Globe,C1BMHTF03,2031,1.8850000000000002
Globe,C1BMHTF03,2032,1.8850000000000002
Globe,C1BMHTF03,2033,1.8850000000000002
Globe,C1BMHTF03,2034,1.8850000000000002
Globe,C1BMHTF03,2035,1.8850000000000002
Globe,C1BMHTF03,2036,1.8850000000000002
Globe,C1BMHTF03,2037,1.8850000000000002
Globe,C1BMHTF03,2038,1.8850000000000002
Globe,C1BMHTF03,2039,1.8850000000000002
Globe,C1BMHTF03,2040,1.8850000000000002
Globe,C1BMHTF03,2041,1.8850000000000002
Globe,C1BMHTF03,2042,1.8850000000000002
Globe,C1BMHTF03,2043,1.8850000000000002
Globe,C1BMHTF03,2044,1.8850000000000002
Globe,C1BMHTF03,2045,1.8850000000000002
Globe,C1BMHTF03,2046,1.8850000000000002
Globe,C1BMHTF03,2047,1.8850000000000002
Globe,C1BMHTF03,2048,1.8850000000000002
Globe,C1BMHTF03,2049,1.8850000000000002
Globe,C1BMHTF03,2050,1.8850000000000005
Globe,C1BMHTF03,2051,1.8850000000000005
Globe,C1BMHTF03,2052,1.8850000000000005
Globe,C1BMHTF03,2053,1.8850000000000005
Globe,C1BMHTF03,2054,1.8850000000000005
Globe,C1BMHTF03,2055,1.8850000000000005
Globe,C1BMHTF03,2056,1.8850000000000005
Globe,C1BMHTF03,2057,1.8850000000000005
Globe,C1BMHTF03,2058,1.8850000000000005
Globe,C1BMHTF03,2059,1.8850000000000005
Globe,C1BMHTF03,2060,1.8850000000000005
Globe,C1BMIGPCS,2044,0.6849187504345857
Globe,C1BMIGPCS,2045,1.364939965824037
Globe,C1BMIGPCS,2046,1.364939965824037
Globe,C1BMIGPCS,2047,1.364939965824037
Globe,C1BMIGPCS,2048,1.9447503776861141
Globe,C1BMIGPCS,2049,4.459829422785501
Globe,C1BMIGPCS,2050,5.1583820677353005
Globe,C1BMIGPCS,2051,5.1583820677353005
Globe,C1BMIGPCS,2052,5.3578917548930844
Globe,C1BMIGPCS,2053,5.3963004606373515
Globe,C1BMIGPCS,2054,5.3963004606373515
Globe,C1BMIGPCS,2055,5.3963004606373515
Globe,C1BMIGPCS,2056,7.400059531825452
Globe,C1BMIGPCS,2057,12.660356965904912
Globe,C1BMIGPCS,2058,18.258673088114353
Globe,C1BMIGPCS,2059,19.185705943271294
Globe,C1BMIGPCS,2060,19.185705943271294
Globe,C1BMSCP00,2010,5.9163
Globe,C1BMSCP00,2011,5.6452725
Globe,C1BMSCP00,2012,5.38755
Globe,C1BMSCP00,2013,5.132032499999999
Globe,C1BMSCP00,2014,4.86783
Globe,C1BMSCP00,2015,4.616775
Globe,C1BMSCP00,2016,4.367925
Globe,C1BMSCP00,2017,4.1105475
Globe,C1BMSCP00,2018,3.8661600000000003
Globe,C1BMSCP00,2019,3.6239775
Globe,C1BMSCP00,2020,3.384
Globe,C1BMSCP00,2021,3.1357049999999997
Globe,C1BMSCP00,2022,2.90019
Globe,C1BMSCP00,2023,2.66688
Globe,C1BMSCP00,2024,2.4254100000000003
Globe,C1BMSCP00,2025,2.1965624999999998
Globe,C1BMSCP00,2026,1.9699199999999997
Globe,C1BMSCP00,2027,1.7352750000000001
Globe,C1BMSCP00,2028,1.5130949999999999
Globe,C1BMSCP00,2029,1.29312
Globe,C1BMSCP00,2030,1.07535
Globe,C1BMSCP00,2031,0.8497875
Globe,C1BMSCP00,2032,0.63648
Globe,C1BMSCP00,2033,0.42537749999999996
Globe,C1BMSCP00,2034,0.20664
Globe,C1COBRFH1,2010,1.4735500000000001
Globe,C1COBRFH1,2011,1.92985
Globe,C1COBRFH1,2012,2.3053313144478547
Globe,C1COBRFH1,2013,2.2416313144478544
Globe,C1COBRFH1,2014,2.1779313144478545
Globe,C1COBRFH1,2015,2.1142313144478546
Globe,C1COBRFH1,2016,2.0505313144478547
Globe,C1COBRFH1,2017,1.9868313144478544
Globe,C1COBRFH1,2018,1.9237813144478546
Globe,C1COBRFH1,2019,1.8600813144478547
Globe,C1COBRFH1,2020,1.7963813144478546
Globe,C1COBRFH1,2021,1.7326813144478548
Globe,C1COBRFH1,2022,1.6689813144478545
Globe,C1COBRFH1,2023,1.6059313144478546
Globe,C1COBRFH1,2024,1.5422313144478546
Globe,C1COBRFH1,2025,0.9585313144478544
Globe,C1COBRFH1,2026,0.4385313144478544
Globe,C1COCHP00,2010,10.384500000000001
Globe,C1COCHP00,2011,10.92
Globe,C1COCHP00,2012,11.3295
Globe,C1COCHP00,2013,11.718
Globe,C1COCHP00,2014,12.033
Globe,C1COCHP00,2015,12.484499999999999
Globe,C1COCHP00,2016,12.831
Globe,C1COCHP00,2017,12.831
Globe,C1COCHP00,2018,12.831
Globe,C1COCHP00,2019,12.831
Globe,C1COCHP00,2020,12.5685
Globe,C1COCHP00,2021,12.306
Globe,C1COCHP00,2022,12.0435
Globe,C1COCHP00,2023,11.7915
Globe,C1COCHP00,2024,11.529
Globe,C1COCHP00,2025,11.266499999999999
Globe,C1COCHP00,2026,11.004000000000001
Globe,C1COCHP00,2027,10.751999999999999
Globe,C1COCHP00,2028,10.4895
Globe,C1COCHP00,2029,10.226999999999999
Globe,C1COCHP00,2030,9.9645
Globe,C1COCHP00,2031,9.7125
Globe,C1COCHP00,2032,9.45
Globe,C1COCHP00,2033,9.1875
Globe,C1COCHP00,2034,8.924999999999999
Globe,C1COCHP00,2035,8.673
Globe,C1COCHP00,2036,8.4105
Globe,C1COCHP00,2037,8.148
Globe,C1COCHP00,2038,7.895999999999999
Globe,C1COCHP00,2039,7.6335
Globe,C1COCHP00,2040,7.3709999999999996
Globe,C1COCHP00,2041,7.108499999999999
Globe,C1COCHP00,2042,6.8565
Globe,C1COCHP00,2043,6.593999999999999
Globe,C1COCHP00,2044,6.331499999999999
Globe,C1COCHP00,2045,6.069
Globe,C1COCHP00,2046,5.817
Globe,C1COCHP00,2047,5.554499999999999
Globe,C1COCHP00,2048,5.292
Globe,C1COCHP00,2049,5.0295
Globe,C1COCHP00,2050,4.7775
Globe,C1COCHP00,2051,4.242000000000001
Globe,C1COCHP00,2052,3.580499999999999
Globe,C1COCHP00,2053,2.9294999999999987
Globe,C1COCHP00,2054,2.351999999999999
Globe,C1COCHP00,2055,1.637999999999999
Globe,C1COCHP00,2056,1.039499999999999
Globe,C1COCHP00,2057,0.7769999999999984
Globe,C1COCHP00,2058,0.5144999999999996
Globe,C1COCHP00,2059,0.2625
Globe,C1COCHP00,2060,0.2625
Globe,C1COHTF03,2010,7.134036
Globe,C1COHTF03,2011,7.637448
Globe,C1COHTF03,2012,8.140314
Globe,C1COHTF03,2013,8.643726
Globe,C1COHTF03,2014,8.328138000000001
Globe,C1COHTF03,2015,8.123937423059367
Globe,C1COHTF03,2016,8.626803423059366
Globe,C1COHTF03,2017,8.703466533829618
Globe,C1COHTF03,2018,8.626283710883383
Globe,C1COHTF03,2019,9.129149710883382
Globe,C1COHTF03,2020,9.325601831178098
Globe,C1COHTF03,2021,9.296793694049262
Globe,C1COHTF03,2022,8.980659694049262
Globe,C1COHTF03,2023,8.971046645374678
Globe,C1COHTF03,2024,9.474458645374677
Globe,C1COHTF03,2025,9.977870645374676
Globe,C1COHTF03,2026,9.217838645374677
Globe,C1COHTF03,2027,9.217838645374677
Globe,C1COHTF03,2028,9.217838645374677
Globe,C1COHTF03,2029,9.286830468809413
Globe,C1COHTF03,2030,9.286830468809413
Globe,C1COHTF03,2031,9.286830468809413
Globe,C1COHTF03,2032,9.286830468809413
Globe,C1COHTF03,2033,9.286830468809413
Globe,C1COHTF03,2034,9.286830468809413
Globe,C1COHTF03,2035,9.2714463183246
Globe,C1COHTF03,2036,8.452446318324599
Globe,C1COHTF03,2037,8.222528673189734
Globe,C1COHTF03,2038,8.03515597810077
Globe,C1COHTF03,2039,7.83846112790362
Globe,C1COHTF03,2040,7.3338129202092635
Globe,C1COHTF03,2041,7.0470330573381
Globe,C1COHTF03,2042,7.0470330573381
Globe,C1COHTF03,2043,6.741058106012686
Globe,C1COHTF03,2044,6.404065228582789
Globe,C1COHTF03,2045,5.968403731748602
Globe,C1COHTF03,2046,5.615178708216989
Globe,C1COHTF03,2047,6.338301700416698
Globe,C1COHTF03,2048,6.928497276846741
Globe,C1COHTF03,2049,7.678505453412007
Globe,C1COHTF03,2050,7.678505453412006
Globe,C1COHTF03,2051,7.678505453412006
Globe,C1COHTF03,2052,7.678505453412006
Globe,C1COHTF03,2053,7.678505453412006
Globe,C1COHTF03,2054,7.678505453412006
Globe,C1COHTF03,2055,7.582502180837452
Globe,C1COHTF03,2056,8.16657869510783
Globe,C1COHTF03,2057,8.823245229472443
Globe,C1COHTF03,2058,9.59121274750764
Globe,C1COHTF03,2059,9.78790759770479
Globe,C1COHTF03,2060,10.296566846202904
Globe,C1COIGP00,2010,0.148
Globe,C1COIGP00,2011,0.148
Globe,C1COIGP00,2012,0.148
Globe,C1COIGP00,2013,0.148
Globe,C1COIGP00,2014,0.148
Globe,C1COIGP00,2015,0.148
Globe,C1COIGP00,2016,0.148
Globe,C1COIGP00,2017,0.148
Globe,C1COIGP00,2018,0.148
Globe,C1COIGP00,2019,0.148
Globe,C1COIGP00,2020,0.148
Globe,C1COIGP00,2021,0.148
Globe,C1COIGP00,2022,0.148
Globe,C1COIGP00,2023,0.148
Globe,C1COIGP00,2024,0.148
Globe,C1COIGP00,2025,0.148
Globe,C1COIGP00,2026,0.148
Globe,C1COIGP00,2027,0.148
Globe,C1COIGP00,2028,0.148
Globe,C1COIGP00,2029,0.148
Globe,C1COIGP00,2030,0.148
Globe,C1COIGP00,2031,0.148
Globe,C1COIGP00,2032,0.148
Globe,C1COIGP00,2033,0.148
Globe,C1COIGP00,2034,0.148
Globe,C1COIGP00,2035,0.148
Globe,C1COIGP00,2036,0.148
Globe,C1COIGP00,2037,0.148
