REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
Globe,ALUPLANT,CO2EQ,1,2010,0.003472969916308527
Globe,ALUPLANT,CO2EQ,1,2011,0.003582858412561609
Globe,ALUPLANT,CO2EQ,1,2012,0.003691038712867318
Globe,ALUPLANT,CO2EQ,1,2013,0.003797589988639527
Globe,ALUPLANT,CO2EQ,1,2014,0.003902508466843314
Globe,ALUPLANT,CO2EQ,1,2015,0.004005868368804208
Globe,ALUPLANT,CO2EQ,1,2016,0.0041076920085049
Globe,ALUPLANT,CO2EQ,1,2017,0.004207991558032094
Globe,ALUPLANT,CO2EQ,1,2018,0.004306832165896654
Globe,ALUPLANT,CO2EQ,1,2019,0.0044042173563850024
Globe,ALUPLANT,CO2EQ,1,2020,0.004500207726589843
Globe,ALUPLANT,CO2EQ,1,2021,0.004512060970427219
Globe,ALUPLANT,CO2EQ,1,2022,0.00452372643675308
Globe,ALUPLANT,CO2EQ,1,2023,0.004535245228306094
Globe,ALUPLANT,CO2EQ,1,2024,0.004546583493751836
Globe,ALUPLANT,CO2EQ,1,2025,0.004557781796238397
Globe,ALUPLANT,CO2EQ,1,2026,0.004568824806949806
Globe,ALUPLANT,CO2EQ,1,2027,0.004579697441735066
Globe,ALUPLANT,CO2EQ,1,2028,0.004590439487641269
Globe,ALUPLANT,CO2EQ,1,2029,0.004601017477365314
Globe,ALUPLANT,CO2EQ,1,2030,0.004611470701030766
Globe,ALUPLANT,CO2EQ,1,2031,0.004621783823495113
Globe,ALUPLANT,CO2EQ,1,2032,0.004631941757694401
Globe,ALUPLANT,CO2EQ,1,2033,0.004641983077046998
Globe,ALUPLANT,CO2EQ,1,2034,0.004651874742794434
Globe,ALUPLANT,CO2EQ,1,2035,0.004661654868261659
Globe,ALUPLANT,CO2EQ,1,2036,0.004671308164462698
Globe,ALUPLANT,CO2EQ,1,2037,0.0046808195912693504
Globe,ALUPLANT,CO2EQ,1,2038,0.0046902265968150935
Globe,ALUPLANT,CO2EQ,1,2039,0.004699496602203217
Globe,ALUPLANT,CO2EQ,1,2040,0.004708666627563401
Globe,ALUPLANT,CO2EQ,1,2041,0.004717721470568949
Globe,ALUPLANT,CO2EQ,1,2042,0.00472664617656961
Globe,ALUPLANT,CO2EQ,1,2043,0.004735477145581121
Globe,ALUPLANT,CO2EQ,1,2044,0.004744182279748283
Globe,ALUPLANT,CO2EQ,1,2045,0.004752797579281033
Globe,ALUPLANT,CO2EQ,1,2046,0.004761307959650758
Globe,ALUPLANT,CO2EQ,1,2047,0.00476969858137355
Globe,ALUPLANT,CO2EQ,1,2048,0.004778004864312209
Globe,ALUPLANT,CO2EQ,1,2049,0.0047861952050280605
Globe,ALUPLANT,CO2EQ,1,2050,0.00479430464854875
Globe,ALUPLANT,CO2EQ,1,2051,0.00479430464854875
Globe,ALUPLANT,CO2EQ,1,2052,0.00479430464854875
Globe,ALUPLANT,CO2EQ,1,2053,0.00479430464854875
Globe,ALUPLANT,CO2EQ,1,2054,0.00479430464854875
Globe,ALUPLANT,CO2EQ,1,2055,0.00479430464854875
Globe,ALUPLANT,CO2EQ,1,2056,0.00479430464854875
Globe,ALUPLANT,CO2EQ,1,2057,0.00479430464854875
Globe,ALUPLANT,CO2EQ,1,2058,0.00479430464854875
Globe,ALUPLANT,CO2EQ,1,2059,0.00479430464854875
Globe,ALUPLANT,CO2EQ,1,2060,0.00479430464854875
Globe,ALUPLANT,WATER,1,2010,0.030870843700520244
Globe,ALUPLANT,WATER,1,2011,0.03224572571305448
Globe,ALUPLANT,WATER,1,2012,0.03321934841580586
Globe,ALUPLANT,WATER,1,2013,0.03460026434093792
Globe,ALUPLANT,WATER,1,2014,0.03555618825346132
Globe,ALUPLANT,WATER,1,2015,0.03694300829008324
Globe,ALUPLANT,WATER,1,2016,0.03833845874604573
Globe,ALUPLANT,WATER,1,2017,0.03927458787496622
Globe,ALUPLANT,WATER,1,2018,0.0406756371223573
Globe,ALUPLANT,WATER,1,2019,0.04159538614363614
Globe,ALUPLANT,WATER,1,2020,0.043001984942969605
Globe,ALUPLANT,WATER,1,2021,0.04361658938079645
Globe,ALUPLANT,WATER,1,2022,0.043729355555279785
Globe,ALUPLANT,WATER,1,2023,0.04434462001010403
Globe,ALUPLANT,WATER,1,2024,0.04445548305001795
Globe,ALUPLANT,WATER,1,2025,0.045071397762801925
Globe,ALUPLANT,WATER,1,2026,0.04568824806949807
Globe,ALUPLANT,WATER,1,2027,0.045796974417350665
Globe,ALUPLANT,WATER,1,2028,0.046414443708372846
Globe,ALUPLANT,WATER,1,2029,0.04652139893780485
Globe,ALUPLANT,WATER,1,2030,0.047139478277203384
Globe,ALUPLANT,WATER,1,2031,0.04775843284278285
Globe,ALUPLANT,WATER,1,2032,0.047863398162842144
Globe,ALUPLANT,WATER,1,2033,0.04848293436026865
Globe,ALUPLANT,WATER,1,2034,0.04858624731363076
Globe,ALUPLANT,WATER,1,2035,0.04920635694276195
Globe,ALUPLANT,WATER,1,2036,0.04982728708760212
Globe,ALUPLANT,WATER,1,2037,0.04992874230687308
Globe,ALUPLANT,WATER,1,2038,0.050550219987896015
Globe,ALUPLANT,WATER,1,2039,0.05065013004596801
Globe,ALUPLANT,WATER,1,2040,0.05127214772235704
Globe,ALUPLANT,WATER,1,2041,0.05189493617625844
Globe,ALUPLANT,WATER,1,2042,0.05199310794226572
Globe,ALUPLANT,WATER,1,2043,0.052616412728679125
Globe,ALUPLANT,WATER,1,2044,0.052713136441647594
Globe,ALUPLANT,WATER,1,2045,0.0533369506119316
Globe,ALUPLANT,WATER,1,2046,0.05396149020937526
Globe,ALUPLANT,WATER,1,2047,0.054056583922233566
Globe,ALUPLANT,WATER,1,2048,0.054681611224906404
Globe,ALUPLANT,WATER,1,2049,0.054775345124210034
Globe,ALUPLANT,WATER,1,2050,0.055400853716563336
Globe,ALUPLANT,WATER,1,2051,0.055400853716563336
Globe,ALUPLANT,WATER,1,2052,0.055400853716563336
Globe,ALUPLANT,WATER,1,2053,0.055400853716563336
Globe,ALUPLANT,WATER,1,2054,0.055400853716563336
Globe,ALUPLANT,WATER,1,2055,0.055400853716563336
Globe,ALUPLANT,WATER,1,2056,0.055400853716563336
Globe,ALUPLANT,WATER,1,2057,0.055400853716563336
Globe,ALUPLANT,WATER,1,2058,0.055400853716563336
Globe,ALUPLANT,WATER,1,2059,0.055400853716563336
Globe,ALUPLANT,WATER,1,2060,0.055400853716563336
Globe,C1BMCHP00,WATER,1,2010,0.0011393452224
Globe,C1BMCHP00,WATER,1,2011,0.00110827217088
Globe,C1BMCHP00,WATER,1,2012,0.00107374655808
Globe,C1BMCHP00,WATER,1,2013,0.00103922094528
Globe,C1BMCHP00,WATER,1,2014,0.00100469533248
Globe,C1BMCHP00,WATER,1,2015,0.0009736222809599999
Globe,C1BMCHP00,WATER,1,2016,0.00093909666816
Globe,C1BMCHP00,WATER,1,2017,0.0009045710553600001
Globe,C1BMCHP00,WATER,1,2018,0.0008734980038399999
Globe,C1BMCHP00,WATER,1,2019,0.00083897239104
Globe,C1BMCHP00,WATER,1,2020,0.0008236836447890441
Globe,C1BMCHP00,WATER,1,2021,0.002616618761010173
Globe,C1BMCHP00,WATER,1,2022,0.004657082477490173
Globe,C1BMCHP00,WATER,1,2023,0.006530875842054924
Globe,C1BMCHP00,WATER,1,2024,0.008437358346590913
Globe,C1BMCHP00,WATER,1,2025,0.009766638749359728
Globe,C1BMCHP00,WATER,1,2026,0.010840662239056298
Globe,C1BMCHP00,WATER,1,2027,0.011059198284245312
Globe,C1BMCHP00,WATER,1,2028,0.01162038499111388
Globe,C1BMCHP00,WATER,1,2029,0.012175114232473614
Globe,C1BMCHP00,WATER,1,2030,0.012720209903399853
Globe,C1BMCHP00,WATER,1,2031,0.013444285871188257
Globe,C1BMCHP00,WATER,1,2032,0.014700766423059525
Globe,C1BMCHP00,WATER,1,2033,0.01673777757825953
Globe,C1BMCHP00,WATER,1,2034,0.01877478873345953
Globe,C1BMCHP00,WATER,1,2035,0.02081179988865953
Globe,C1BMCHP00,WATER,1,2036,0.02155589958111278
Globe,C1BMCHP00,WATER,1,2037,0.02191658661041837
Globe,C1BMCHP00,WATER,1,2038,0.02229736739230967
Globe,C1BMCHP00,WATER,1,2039,0.022673634369561085
Globe,C1BMCHP00,WATER,1,2040,0.023019252960760253
Globe,C1BMCHP00,WATER,1,2041,0.023386801123612678
Globe,C1BMCHP00,WATER,1,2042,0.023749882575352276
Globe,C1BMCHP00,WATER,1,2043,0.0239933718377172
Globe,C1BMCHP00,WATER,1,2044,0.023958846224917205
Globe,C1BMCHP00,WATER,1,2045,0.0239588462249172
Globe,C1BMCHP00,WATER,1,2046,0.023958846224917205
Globe,C1BMCHP00,WATER,1,2047,0.023958846224917205
Globe,C1BMCHP00,WATER,1,2048,0.023958846224917205
Globe,C1BMCHP00,WATER,1,2049,0.023958846224917205
Globe,C1BMCHP00,WATER,1,2050,0.0239588462249172
Globe,C1BMCHP00,WATER,1,2051,0.02395884622491721
Globe,C1BMCHP00,WATER,1,2052,0.023958846224917205
Globe,C1BMCHP00,WATER,1,2053,0.023958846224917205
Globe,C1BMCHP00,WATER,1,2054,0.023958846224917205
Globe,C1BMCHP00,WATER,1,2055,0.024428108422557465
Globe,C1BMCHP00,WATER,1,2056,0.024634329479967174
Globe,C1BMCHP00,WATER,1,2057,0.023133802675438884
Globe,C1BMCHP00,WATER,1,2058,0.021807638121225163
Globe,C1BMCHP00,WATER,1,2059,0.0219099467864819
Globe,C1BMCHP00,WATER,1,2060,0.020549593332193083
Globe,C1BMHTF03,WATER,1,2010,0.010693624233600001
Globe,C1BMHTF03,WATER,1,2011,0.010158300633600001
Globe,C1BMHTF03,WATER,1,2012,0.0096229770336
Globe,C1BMHTF03,WATER,1,2013,0.009091936022399999
Globe,C1BMHTF03,WATER,1,2014,0.008556612422399999
Globe,C1BMHTF03,WATER,1,2015,0.0080212888224
Globe,C1BMHTF03,WATER,1,2016,0.0074859652224
Globe,C1BMHTF03,WATER,1,2017,0.0069506416224
Globe,C1BMHTF03,WATER,1,2018,0.006415318022399999
Globe,C1BMHTF03,WATER,1,2019,0.0058799944224
Globe,C1BMHTF03,WATER,1,2020,0.0053489534112
Globe,C1BMHTF03,WATER,1,2021,0.0048136298112
Globe,C1BMHTF03,WATER,1,2022,0.0042783062112
Globe,C1BMHTF03,WATER,1,2023,0.0037429826111999996
Globe,C1BMHTF03,WATER,1,2024,0.0032076590111999996
Globe,C1BMHTF03,WATER,1,2025,0.0026723354112
Globe,C1BMHTF03,WATER,1,2026,0.0026723354112
Globe,C1BMHTF03,WATER,1,2027,0.0021412944
Globe,C1BMHTF03,WATER,1,2028,0.0021412944
Globe,C1BMHTF03,WATER,1,2029,0.0021412944
Globe,C1BMHTF03,WATER,1,2030,0.0021412944000000003
Globe,C1BMHTF03,WATER,1,2031,0.0021412944000000003
Globe,C1BMHTF03,WATER,1,2032,0.0021412944000000003
Globe,C1BMHTF03,WATER,1,2033,0.0021412944000000003
Globe,C1BMHTF03,WATER,1,2034,0.0021412944000000003
Globe,C1BMHTF03,WATER,1,2035,0.0021412944
Globe,C1BMHTF03,WATER,1,2036,0.0021412944
Globe,C1BMHTF03,WATER,1,2037,0.0021412944
Globe,C1BMHTF03,WATER,1,2038,0.0021412944
Globe,C1BMHTF03,WATER,1,2039,0.0021412944000000003
Globe,C1BMHTF03,WATER,1,2040,0.0021412944000000003
Globe,C1BMHTF03,WATER,1,2041,0.0021412944000000003
Globe,C1BMHTF03,WATER,1,2042,0.0021412944000000003
Globe,C1BMHTF03,WATER,1,2043,0.0021412944
Globe,C1BMHTF03,WATER,1,2044,0.0021412944
Globe,C1BMHTF03,WATER,1,2045,0.0021412944
Globe,C1BMHTF03,WATER,1,2046,0.0021412944
Globe,C1BMHTF03,WATER,1,2047,0.0021412944
Globe,C1BMHTF03,WATER,1,2048,0.0021412944
Globe,C1BMHTF03,WATER,1,2049,0.0021412944
Globe,C1BMHTF03,WATER,1,2050,0.0021412944000000003
Globe,C1BMHTF03,WATER,1,2051,0.0021412944000000008
Globe,C1BMHTF03,WATER,1,2052,0.0021412944000000008
Globe,C1BMHTF03,WATER,1,2053,0.0021412944000000003
Globe,C1BMHTF03,WATER,1,2054,0.0021412944000000008
Globe,C1BMHTF03,WATER,1,2055,0.0015629367726361677
Globe,C1BMHTF03,WATER,1,2056,0.0009980850361029664
Globe,C1BMHTF03,WATER,1,2057,0.0021412944
Globe,C1BMHTF03,WATER,1,2058,0.0021412944
Globe,C1BMHTF03,WATER,1,2059,0.0021412944
Globe,C1BMHTF03,WATER,1,2060,0.0021412944
Globe,C1BMIGPCS,CO2EQ,1,2044,-0.04113267656536816
Globe,C1BMIGPCS,CO2EQ,1,2045,-0.08197123251445707
