REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2011,22.91582677169855
Globe,ALUPLANT,2012,35.709730534053946
Globe,ALUPLANT,2013,35.792363461012236
Globe,ALUPLANT,2014,35.8576516639031
Globe,ALUPLANT,2015,35.91667736722729
Globe,ALUPLANT,2016,36.00151165119622
Globe,ALUPLANT,2017,36.05791380580882
Globe,ALUPLANT,2018,36.14711244332121
Globe,ALUPLANT,2019,36.21996644940667
Globe,ALUPLANT,2020,36.284792320285476
Globe,ALUPLANT,2021,23.683062645449155
Globe,ALUPLANT,2022,23.84114934593846
Globe,ALUPLANT,2023,23.991162856242102
Globe,ALUPLANT,2024,24.163549557828492
Globe,ALUPLANT,2025,24.327911967517196
Globe,ALUPLANT,2026,24.47512512175819
Globe,ALUPLANT,2027,24.648236759289805
Globe,ALUPLANT,2028,24.81302627780072
Globe,ALUPLANT,2029,24.957365630978227
Globe,ALUPLANT,2030,25.137131394045557
Globe,ALUPLANT,2031,25.284469382382223
Globe,ALUPLANT,2032,25.45874140873597
Globe,ALUPLANT,2033,25.62422009611288
Globe,ALUPLANT,2034,25.768606875458474
Globe,ALUPLANT,2035,25.94956619204539
Globe,ALUPLANT,2036,29.48657450977907
Globe,ALUPLANT,2037,44.94640718168902
Globe,ALUPLANT,2038,44.975746716544016
Globe,ALUPLANT,2039,44.97896806740677
Globe,ALUPLANT,2040,44.98164717953476
Globe,ALUPLANT,2041,45.01332155278104
Globe,ALUPLANT,2042,45.00855406008749
Globe,ALUPLANT,2043,45.050219514814806
Globe,ALUPLANT,2044,45.06684911469892
Globe,ALUPLANT,2045,123.98459809388665
Globe,ALUPLANT,2046,30.066315280537015
Globe,ALUPLANT,2047,30.205808596160733
Globe,ALUPLANT,2048,30.342639979543986
Globe,ALUPLANT,2049,30.499572894347725
Globe,ALUPLANT,2050,30.653867877517335
Globe,ALUPLANT,2051,28.939761069279243
Globe,ALUPLANT,2052,28.9246088676014
Globe,ALUPLANT,2053,28.899990687417425
Globe,ALUPLANT,2054,28.852096862811358
Globe,ALUPLANT,2055,28.845542881332157
Globe,ALUPLANT,2056,28.802164969903846
Globe,ALUPLANT,2057,28.78987589546892
Globe,ALUPLANT,2058,28.76789205328713
Globe,ALUPLANT,2059,28.722713354487574
Globe,ALUPLANT,2060,28.718652652663184
Globe,C1BFRDF00,2010,51.83369266
Globe,C1BFRDF00,2011,2.1266053000000076
Globe,C1BFRDF00,2012,2.135851409999991
Globe,C1BMBRFH1,2022,59.33965612992849
Globe,C1BMBRFH1,2025,18.140343870071614
Globe,C1BMBRFH1,2037,59.339656129928386
Globe,C1BMBRFH1,2040,18.140343870071614
Globe,C1BMBRFH1,2052,59.339656129928386
Globe,C1BMBRFH1,2055,18.140343870071614
Globe,C1BMBRFN1,2017,30.730931701680404
Globe,C1BMBRFN1,2018,58.142714778735915
Globe,C1BMBRFN1,2019,59.192716963226104
Globe,C1BMBRFN1,2020,41.08607798299412
Globe,C1BMCHP00,2020,2.4725063711408604
Globe,C1BMCHP00,2021,234.88275930983113
Globe,C1BMCHP00,2022,266.25374999999997
Globe,C1BMCHP00,2023,245.2754359798695
Globe,C1BMCHP00,2024,249.47695739916847
Globe,C1BMCHP00,2025,174.8456576416656
Globe,C1BMCHP00,2026,142.4813501542668
Globe,C1BMCHP00,2027,32.52590852434884
Globe,C1BMCHP00,2028,76.5666540334151
Globe,C1BMCHP00,2029,75.29292245602433
Globe,C1BMCHP00,2030,74.49847994777434
Globe,C1BMCHP00,2031,97.50274226732436
Globe,C1BMCHP00,2032,165.4887234079436
Globe,C1BMCHP00,2033,266.25374999999997
Globe,C1BMCHP00,2034,266.25374999999997
Globe,C1BMCHP00,2035,266.25374999999997
Globe,C1BMCHP00,2036,99.63262693132619
Globe,C1BMCHP00,2037,50.796514758274476
Globe,C1BMCHP00,2038,53.37915633150805
Globe,C1BMCHP00,2039,52.355242668566426
Globe,C1BMCHP00,2040,48.859774742623465
Globe,C1BMCHP00,2041,51.678373368904246
Globe,C1BMCHP00,2042,51.10426886719833
Globe,C1BMCHP00,2043,35.2893787886369
Globe,C1BMCHP00,2055,62.786579374821926
Globe,C1BMCHP00,2056,261.3882651316327
Globe,C1BMCHP00,2057,73.39167057531235
Globe,C1BMCHP00,2058,74.82406329321279
Globe,C1BMCHP00,2059,262.6266471381541
Globe,C1BMHTF03,2026,11.375
Globe,C1BMHTF03,2028,11.375
Globe,C1BMHTF03,2029,11.374999999999996
Globe,C1BMHTF03,2030,11.375000000000007
Globe,C1BMHTF03,2046,11.375
Globe,C1BMHTF03,2048,11.374999999999996
Globe,C1BMHTF03,2049,11.374999999999995
Globe,C1BMHTF03,2050,11.375000000000014
Globe,C1BMIGPCS,2044,22.83063342536497
Globe,C1BMIGPCS,2045,22.667382197051555
Globe,C1BMIGPCS,2048,19.32702084887253
Globe,C1BMIGPCS,2049,83.83599905543123
Globe,C1BMIGPCS,2050,23.285096743297828
Globe,C1BMIGPCS,2052,6.650325355260759
Globe,C1BMIGPCS,2053,1.280290663138745
Globe,C1BMIGPCS,2056,66.7919936459886
Globe,C1BMIGPCS,2057,175.34331239968884
Globe,C1BMIGPCS,2058,186.6106061549288
Globe,C1BMIGPCS,2059,30.9011065559651
Globe,C1BMLP000,2010,257.6479224010213
Globe,C1BMLP000,2011,32.20233890701783
Globe,C1BMLP000,2012,31.94706361149192
Globe,C1COBRFH1,2010,11.96
Globe,C1COBRFH1,2011,11.96
Globe,C1COBRFH1,2012,10.086220232300652
Globe,C1COCHP00,2011,16.447499999999966
Globe,C1COCHP00,2012,20.160000000000032
Globe,C1COCHP00,2013,19.685000000000002
Globe,C1COCHP00,2014,17.324999999999992
Globe,C1COCHP00,2015,21.25
Globe,C1COCHP00,2016,17.67
Globe,C1COCHP00,2017,7.687500000000016
Globe,C1COCHP00,2018,7.624999999999965
Globe,C1COCHP00,2019,7.259999999999987
Globe,C1COHTF03,2010,23.4
Globe,C1COHTF03,2011,23.4
Globe,C1COHTF03,2012,23.4
Globe,C1COHTF03,2013,23.4
Globe,C1COHTF03,2015,3.1824978016961873
Globe,C1COHTF03,2016,23.4
Globe,C1COHTF03,2017,11.207174593435727
Globe,C1COHTF03,2018,6.811576487250485
Globe,C1COHTF03,2019,23.4
Globe,C1COHTF03,2020,14.62971772270616
Globe,C1COHTF03,2021,8.193710367747501
Globe,C1COHTF03,2023,8.742141466440458
Globe,C1COHTF03,2024,23.4
Globe,C1COHTF03,2025,23.4
Globe,C1COHTF03,2026,23.4
Globe,C1COHTF03,2029,1.971194955278109
Globe,C1COHTF03,2030,23.4
Globe,C1COHTF03,2031,23.4
Globe,C1COHTF03,2032,23.4
Globe,C1COHTF03,2033,23.4
Globe,C1COHTF03,2035,2.7429506449872605
Globe,C1COHTF03,2037,4.638099018153899
Globe,C1COHTF03,2038,1.458070913280052
Globe,C1COHTF03,2039,17.780147137224287
Globe,C1COHTF03,2040,0.21119750286741545
Globe,C1COHTF03,2044,13.77163207343154
Globe,C1COHTF03,2045,10.952528661880347
Globe,C1COHTF03,2046,13.307856470525374
Globe,C1COHTF03,2047,20.660656919991684
Globe,C1COHTF03,2048,16.86273075514406
Globe,C1COHTF03,2049,23.4
Globe,C1COHTF03,2050,23.4
Globe,C1COHTF03,2051,23.4
Globe,C1COHTF03,2052,23.4
Globe,C1COHTF03,2053,23.4
Globe,C1COHTF03,2056,16.687900407725085
Globe,C1COHTF03,2057,23.4
Globe,C1COHTF03,2058,23.4
Globe,C1COHTF03,2059,23.4
Globe,C1COHTF03,2060,14.744318888527788
Globe,C1COSCP00,2011,358.12460964
Globe,C1COSCP00,2012,263.07202004000004
Globe,C1COSCP00,2013,258.31939056
Globe,C1COSCP00,2014,231.76057876000013
Globe,C1COSCP00,2015,284.3190694799999
Globe,C1COSCP00,2016,239.86800551999997
Globe,C1COSCP00,2017,103.4395828000001
Globe,C1COSCP00,2018,103.71914924000006
Globe,C1COSCP00,2019,103.4395828000001
Globe,C1COSCP00,2055,41.48457732021356
Globe,C1ELRDF00,2034,333.97227767865945
