REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2037,0.25224285378474187
Globe,ALUPLANT,2038,0.4927956140106259
Globe,ALUPLANT,2039,0.7217883596108011
Globe,ALUPLANT,2040,0.9398990539358381
Globe,ALUPLANT,2041,1.1483906638306012
Globe,ALUPLANT,2042,1.3461811836505606
Globe,ALUPLANT,2043,1.536089623204476
Globe,ALUPLANT,2044,1.7164013047546236
Globe,ALUPLANT,2045,5.192989571786068
Globe,ALUPLANT,2046,1.3680698907184514
Globe,ALUPLANT,2047,1.478486076364799
Globe,ALUPLANT,2048,1.584745882647762
Globe,ALUPLANT,2049,1.6882538945483754
Globe,ALUPLANT,2050,1.7880268689318124
Globe,ALUPLANT,2051,1.7700729910477595
Globe,ALUPLANT,2052,1.847228395311268
Globe,ALUPLANT,2053,1.9199568739508823
Globe,ALUPLANT,2054,1.987420356771112
Globe,ALUPLANT,2055,2.054234839706759
Globe,ALUPLANT,2056,2.115112145984178
Globe,ALUPLANT,2057,2.175104135448842
Globe,ALUPLANT,2058,2.2313936622161497
Globe,ALUPLANT,2059,2.282993566578961
Globe,ALUPLANT,2060,2.3351435858817555
Globe,C1BMBRFH1,2052,2.4099220388671605
Globe,C1BMBRFH1,2055,1.0316793563420552
Globe,C1BMCHP00,2027,0.1571180011093843
Globe,C1BMCHP00,2028,0.7221056446047378
Globe,C1BMCHP00,2029,1.0399852038465172
Globe,C1BMCHP00,2030,1.339879951694123
Globe,C1BMCHP00,2031,2.141105377850749
Globe,C1BMCHP00,2032,4.260391212926634
Globe,C1BMCHP00,2033,7.8142625113435775
Globe,C1BMCHP00,2034,8.728306609375887
Globe,C1BMCHP00,2035,9.598824797978125
Globe,C1BMCHP00,2036,3.9021348923611616
Globe,C1BMCHP00,2037,2.1400962600908864
Globe,C1BMCHP00,2038,2.399664866328424
Globe,C1BMCHP00,2039,2.494461464399377
Globe,C1BMCHP00,2040,2.453086371040948
Globe,C1BMCHP00,2041,2.720681410087181
Globe,C1BMCHP00,2042,2.8092015538636126
Globe,C1BMCHP00,2043,2.017950012516904
Globe,C1BMCHP00,2055,4.821801206234559
Globe,C1BMCHP00,2056,20.380508357279123
Globe,C1BMCHP00,2057,5.804395309657745
Globe,C1BMCHP00,2058,5.997327303889272
Globe,C1BMCHP00,2059,21.31639546057164
Globe,C1BMHTF03,2046,0.3281991707223368
Globe,C1BMHTF03,2048,0.4386403011241938
Globe,C1BMHTF03,2049,0.489948607931096
Globe,C1BMHTF03,2050,0.5388136620329079
Globe,C1BMIGPCS,2044,1.1586477013735048
Globe,C1BMIGPCS,2045,1.2122147600913364
Globe,C1BMIGPCS,2048,1.1771942357919094
Globe,C1BMIGPCS,2049,5.294590027523742
Globe,C1BMIGPCS,2050,1.5203334860298063
Globe,C1BMIGPCS,2052,0.4606516118118057
Globe,C1BMIGPCS,2053,0.09104711186094352
Globe,C1BMIGPCS,2056,5.0858037186585685
Globe,C1BMIGPCS,2057,13.617747818772616
Globe,C1BMIGPCS,2058,14.762843381056804
Globe,C1BMIGPCS,2059,2.487186435505844
Globe,C1CO00I00,2012,1.0010811056238855e-06
Globe,C1CO00I00,2013,2.891435958652772e-07
Globe,C1CO00I00,2014,5.670357462983409e-07
Globe,C1CO00I00,2015,5.6586269673477236e-06
Globe,C1CO00I00,2016,7.258597289456915e-06
Globe,C1CO00I00,2017,8.972213629522922e-06
Globe,C1CO00I00,2051,4.059190159882823e-05
Globe,C1CO00I00,2052,4.091192664975294e-05
Globe,C1CO00I00,2053,4.121671241253837e-05
Globe,C1CO00I00,2054,4.1506984567572116e-05
Globe,C1CO00I00,2055,4.178343423903281e-05
Globe,C1CO00I00,2056,4.204671964042396e-05
Globe,C1CO00I00,2057,4.229746764174884e-05
Globe,C1CO00I00,2058,4.253627526205829e-05
Globe,C1CO00I00,2059,4.276371109092439e-05
Globe,C1CO00I00,2060,4.2980316642225486e-05
Globe,C1COHTF03,2044,0.2499328144548689
Globe,C1COHTF03,2045,0.2588199433752105
Globe,C1COHTF03,2046,0.38396724903018176
Globe,C1COHTF03,2047,0.698859805056842
Globe,C1COHTF03,2048,0.6502569930736346
Globe,C1COHTF03,2049,1.0078942791725398
Globe,C1COHTF03,2050,1.1084166761819807
Globe,C1COHTF03,2051,1.2041522923814485
Globe,C1COHTF03,2052,1.2953290697142723
Globe,C1COHTF03,2053,1.3821640957455383
Globe,C1COHTF03,2056,1.1543444394034628
Globe,C1COHTF03,2057,1.6900768000800506
Globe,C1COHTF03,2058,1.7581143151415106
Globe,C1COHTF03,2059,1.822911948533381
Globe,C1COHTF03,2060,1.1874998697020562
Globe,C1COSCP00,2055,3.25134457728558
Globe,C1ELRDF00,2050,6.438975813236715
Globe,C1ELRDF00,2051,6.1585067290747855
Globe,C1ELRDF00,2052,7.817969212366763
Globe,C1ELRDF00,2053,10.46877580522182
Globe,C1ELRDF00,2054,13.37980683241904
Globe,C1ELRDF00,2055,18.31003981333511
Globe,C1ELRDF00,2056,23.160510577528324
Globe,C1ELRDF00,2057,14.078807782798062
Globe,C1ELRDF00,2058,76.39118989585587
Globe,C1ELRDF00,2059,21.625757613954086
Globe,C1ELRDF00,2060,22.192548028550686
Globe,C1GOCVP00,2031,6.464621555607515
Globe,C1GOCVP00,2032,0.5049667788712988
Globe,C1GOCVP00,2033,0.5542130641167933
Globe,C1GOCVP00,2034,0.571057759550616
Globe,C1GOCVP00,2035,0.601762047903375
Globe,C1GOCVP00,2036,0.7572050727443488
Globe,C1GOCVP00,2037,0.7718003085559266
Globe,C1GOCVP00,2038,0.8224529287839051
Globe,C1GOCVP00,2039,0.8527655216013499
Globe,C1GOCVP00,2040,0.8816346576179662
Globe,C1GOCVP00,2041,1.3420476790013585
Globe,C1GOCVP00,2042,1.358432572515503
Globe,C1GOCVP00,2043,1.4175155589014372
Globe,C1GOCVP00,2044,1.4525761302835918
Globe,C1GOCVP00,2045,1.4859671506475411
Globe,C1GOCVP00,2046,1.2240065503409199
Globe,C1GOCVP00,2047,1.2484312598456744
Globe,C1GOCVP00,2048,1.271692887945443
Globe,C1GOCVP00,2049,1.2938468194690365
Globe,C1GOCVP00,2050,1.314945801872454
Globe,C1GOHTF03,2037,0.07913412946391468
Globe,C1GOHTF03,2044,4.420850019381164
Globe,C1GOHTF03,2045,4.419613510606896
Globe,C1GOHTF03,2049,27.026050761081414
Globe,C1GOHTF03,2050,9.725936441202313
Globe,C1GOHTF03,2058,5.554841906882112
Globe,C1GOHTF03,2060,18.19231568719729
Globe,C1HFGCPCH,2046,0.819031457734794
Globe,C1HPASF01,2042,0.6359121420820184
Globe,C1HPASF01,2043,1.2353034407201084
Globe,C1HPASF01,2044,1.6994225092687971
Globe,C1HPASF01,2045,2.3066394546705564
Globe,C1HPASF01,2046,2.6953448566741325
Globe,C1HPASF01,2047,3.437230253929604
Globe,C1HPASF01,2048,3.880176342001596
Globe,C1HPASF01,2049,4.60218362971948
Globe,C1HPASF01,2050,5.253134981968459
Globe,C1HPASF01,2051,2.4339186963311388
Globe,C1HPASF01,2052,2.4934105362612256
Globe,C1HPASF01,2053,2.892979739812601
Globe,C1HPASF01,2054,2.849804988842026
Globe,C1HPASF01,2055,2.3410571115054197
Globe,C1HPASF01,2056,3.5131692869442377
Globe,C1HPASF01,2057,9.645565253014777
Globe,C1HPASF01,2058,4.716814791632641
Globe,C1HPASF01,2059,3.860975780160364
Globe,C1HPASF01,2060,3.8093367178831055
Globe,C1HYDMP00,2028,17.319361006919365
Globe,C1HYDMP00,2029,34.92100399559482
Globe,C1HYDMP00,2030,35.097884886646774
Globe,C1HYDMP00,2031,35.26634287812485
Globe,C1HYDMP00,2032,35.426779060484904
Globe,C1HYDMP00,2033,35.57957542463735
Globe,C1HYDMP00,2034,29.84438414153511
Globe,C1HYDMP00,2035,7.74655630083436
Globe,C1HYDMP00,2036,6.887173023316298
Globe,C1HYDMP00,2037,6.911224761161716
Globe,C1HYDMP00,2038,6.958291913969772
Globe,C1HYDMP00,2039,6.955946813391358
Globe,C1HYDMP00,2040,6.976723608852343
Globe,C1HYDMP00,2041,6.5333273758572
Globe,C1HYDMP00,2042,6.5509249524246105
Globe,C1HYDMP00,2043,6.567684549155511
Globe,C1HYDMP00,2044,6.583646069851646
Globe,C1HYDMP00,2045,6.598847518133572
Globe,C1HYDMP00,2046,5.453525538924016
Globe,C1HYDMP00,2047,5.464895627495878
Globe,C1HYDMP00,2048,5.475724283278548
Globe,C1HYDMP00,2049,5.486037288785877
Globe,C1HYDMP00,2050,5.49585919879285
Globe,C1LFCCP00,2046,6.491627214228419
Globe,C1LFRDF00,2058,65.45613588995508
Globe,C1NG00I00,2012,7.285767249718305e-07
Globe,C1NG00I00,2013,1.4224593201831016e-06
Globe,C1NG00I00,2014,2.083299887050963e-06
Globe,C1NG00I00,2015,2.8898957768957754e-06
Globe,C1NG00I00,2016,1.6162895041635357e-06
Globe,C1NG00I00,2017,4.462654950154507e-06
Globe,C1NG00I00,2051,1.680307250983635e-05
Globe,C1NG00I00,2052,4.091192664975294e-05
Globe,C1NG00I00,2053,4.121671241253837e-05
Globe,C1NG00I00,2054,4.1506984567572116e-05
Globe,C1NG00I00,2055,4.178343423903281e-05
Globe,C1NG00I00,2056,4.204671964042396e-05
Globe,C1NG00I00,2057,4.229746764174884e-05
Globe,C1NG00I00,2058,4.253627526205829e-05
Globe,C1NG00I00,2059,4.276371109092439e-05
Globe,C1NG00I00,2060,4.2980316642225486e-05
Globe,C1NGCCP00,2034,0.814136694197363
Globe,C1NGCCP00,2035,0.6451023228044862
Globe,C1NGCCP00,2044,0.8213051256714679
Globe,C1NGCCP00,2045,6.190790358814651
Globe,C1NGCCP00,2046,6.491627214228419
Globe,C1NGCCP00,2047,6.778138505098677
Globe,C1NGCCP00,2048,7.051006401165589
Globe,C1NGCCP00,2049,7.310880587895983
Globe,C1NGCCP00,2050,7.558379813353498
Globe,C1NGCCP00,2051,7.794093361408281
Globe,C1NGCCP00,2052,8.018582454793782
Globe,C1NGCCP00,2053,8.2323815913514
Globe,C1NGCCP00,2054,8.435999816644348
Globe,C1NGCCP00,2055,8.629921935971057
Globe,C1NGCCP00,2056,8.814609668663076
Globe,C1NGCCP00,2057,2.3330673281669454
Globe,C1NGCCP00,2058,1.5073808241142037
Globe,C1NGCCP00,2060,1.330154791928007
Globe,C1NGGCP00,2055,1.9413627853255773
Globe,C1NULWP00,2039,10.968681332586973
Globe,C1NULWP00,2040,21.135108489344145
Globe,C1NULWP00,2041,22.20792969634691
Globe,C1NULWP00,2042,19.102409421498226
Globe,C1NULWP00,2043,16.322306718768225
Globe,C1NULWP00,2044,4.8385078538855595
Globe,C1NULWP00,2050,36.41032637420809
Globe,C1NULWP00,2051,1.6961475737282896
Globe,C1NULWP00,2052,0.8857153237865651
Globe,C1NULWP00,2055,3.2913443304237577
Globe,C1NULWP00,2056,10.454301368625352
Globe,C1NULWP00,2057,15.449269032809468
Globe,C1NULWP00,2058,4.137568414745275
Globe,C1NULWP00,2059,8.579899401193488
Globe,C1NULWP00,2060,21.276668960983766
Globe,C1OI00I00,2012,2.6026167857432087e-07
Globe,C1OI00I00,2013,5.081299438831872e-07
Globe,C1OI00I00,2014,7.440710705059433e-07
Globe,C1OI00I00,2015,9.6901878187252e-07
Globe,C1OI00I00,2028,1.0165526460262286e-05
Globe,C1OI00I00,2029,2.0739852555124885e-05
Globe,C1OI00I00,2030,2.144197008827061e-05
Globe,C1OI00I00,2031,2.2110653453171327e-05
Globe,C1OI00I00,2032,2.2747494753076745e-05
Globe,C1OI00I00,2033,2.33540102767962e-05
Globe,C1OI00I00,2034,2.3931644108909948e-05
Globe,C1OI00I00,2035,2.4481771568065923e-05
Globe,C1OI00I00,2036,2.5005702481547784e-05
Globe,C1OI00I00,2037,2.5504684303911467e-05
Globe,C1OI00I00,2038,2.5979905087114976e-05
Globe,C1OI00I00,2039,2.643249630921355e-05
Globe,C1OI00I00,2040,2.6863535568355066e-05
Globe,C1OI00I00,2041,2.7274049148489843e-05
Globe,C1OI00I00,2042,2.7665014462903887e-05
Globe,C1OI00I00,2043,2.8037362381393474e-05
Globe,C1OI00I00,2044,2.8391979446621643e-05
Globe,C1OI00I00,2045,2.872970998493421e-05
Globe,C1OI00I00,2046,2.9051358116660424e-05
Globe,C1OI00I00,2047,2.9357689670685436e-05
Globe,C1OI00I00,2048,2.9649434007852088e-05
Globe,C1OI00I00,2049,2.9927285757534612e-05
Globe,C1OI00I00,2050,3.0191906471517974e-05
Globe,C1OI00I00,2051,3.0443926199121165e-05
Globe,C1OI00I00,2052,3.068394498731469e-05
Globe,C1OI00I00,2053,3.0912534309403774e-05
Globe,C1OI00I00,2054,3.1130238425679084e-05
Globe,C1OI00I00,2055,3.1337575679274604e-05
Globe,C1OI00I00,2056,3.153503973031797e-05
Globe,C1OI00I00,2057,3.1723100731311626e-05
Globe,C1OI00I00,2058,3.1902206446543705e-05
Globe,C1OI00I00,2059,3.207278331819329e-05
Globe,C1OI00I00,2060,3.2235237481669115e-05
Globe,C1SOC1P00,2033,1.7111451032267952
Globe,C1SOC1P00,2034,2.8638091271450583
Globe,C1SOC1P00,2035,0.6861675712848794
Globe,C1SOC1P00,2036,0.9065492012788036
Globe,C1SOC1P00,2037,1.1660740555663174
Globe,C1SOC1P00,2038,1.4343264847570512
Globe,C1SOC1P00,2039,1.7365338432105475
Globe,C1SOC1P00,2040,2.075560290683524
Globe,C1SOC1P00,2041,2.4535673126615936
Globe,C1SOC1P00,2042,2.872083327427162
Globe,C1SOC1P00,2043,3.30519586473312
Globe,C1SOC1P00,2044,3.805879676835493
Globe,C1SOC1P00,2045,4.36318060503029
Globe,C1SOC1P00,2046,4.947980087705998
Globe,C1SOC1P00,2047,5.6045845150659055
Globe,C1SOC1P00,2048,6.334221236155658
Globe,C1SOC1P00,2049,7.1047485690344105
Globe,C1SOC1P00,2050,7.365026133168419
Globe,C1SOC1P00,2051,0.6002226418813298
Globe,C1SOTHF00,2042,0.006721362695841818
Globe,C1SOTHF00,2043,0.013122660501405469
Globe,C1SOTHF00,2044,0.019219134601942252
Globe,C1SOTHF00,2045,0.02502530041197736
Globe,C1SOTHF00,2046,0.030554982135820318
Globe,C1SOTHF00,2047,0.03582134568233718
Globe,C1SOTHF00,2048,0.0408369300123536
Globe,C1SOTHF00,2049,0.045613676993321285
Globe,C1SOTHF00,2050,0.05016295983233834
Globe,C1SOTHF00,2051,0.05449561015521162
Globe,C1SOTHF00,2052,0.058621943796043414
Globe,C1SOTHF00,2053,0.06255178535874038
Globe,C1SOTHF00,2054,0.06629449160892795
Globe,C1SOTHF00,2055,0.06985897375196347
Globe,C1SOTHF00,2056,0.07325371865009284
Globe,C1SOTHF00,2057,0.07648680902926366
Globe,C1SOTHF00,2058,0.0795659427237119
Globe,C1SOTHF00,2059,0.08249845100413881
Globe,C1SOTHF00,2060,0.08529131603311697
Globe,C1SOV2P00,2037,3.002501436346851
Globe,C1SOV2P00,2038,6.546988489418934
Globe,C1SOV2P00,2039,8.179069866181687
Globe,C1SOV2P00,2040,6.367174929693513
Globe,C1SOV2P00,2041,8.801324244065581
Globe,C1SOV2P00,2042,11.676658703323412
Globe,C1SOV2P00,2043,15.058888754441837
Globe,C1SOV2P00,2044,19.03132463447913
Globe,C1SOV2P00,2045,23.658069768070305
Globe,C1SOV2P00,2046,18.276573380741066
Globe,C1SOV2P00,2047,34.359929619078905
Globe,C1SOV2P00,2048,46.527614468916155
Globe,C1SOV2P00,2049,19.877527750557014
Globe,C1SOV2P00,2051,0.31609487919311813
Globe,C1WDOFP00,2037,0.8657296345106645
