REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2011,0.18025379173512146
Globe,ALUPLANT,2012,0.27850033367301075
Globe,ALUPLANT,2013,0.2767903064135653
Globe,ALUPLANT,2014,0.2749760868930966
Globe,ALUPLANT,2015,0.27314433551210393
Globe,ALUPLANT,2016,0.2715373774452137
Globe,ALUPLANT,2017,0.2697439439191052
Globe,ALUPLANT,2018,0.2682228976272896
Globe,ALUPLANT,2019,0.2666057672092759
Globe,ALUPLANT,2020,0.26495596689426515
Globe,ALUPLANT,2021,0.17157027093041766
Globe,ALUPLANT,2022,0.17136162925095766
Globe,ALUPLANT,2023,0.17109865728112594
Globe,ALUPLANT,2024,0.1709980727174898
Globe,ALUPLANT,2025,0.17084255831840256
Globe,ALUPLANT,2026,0.17057001190156673
Globe,ALUPLANT,2027,0.17048070531695636
Globe,ALUPLANT,2028,0.17033560656244615
Globe,ALUPLANT,2029,0.1700533219156064
Globe,ALUPLANT,2030,0.17001469296161353
Globe,ALUPLANT,2031,0.16975902496038575
Globe,ALUPLANT,2032,0.16968659355476312
Globe,ALUPLANT,2033,0.16955702150288587
Globe,ALUPLANT,2034,0.16929073971937392
Globe,ALUPLANT,2035,0.16926680607469513
Globe,ALUPLANT,2036,0.1909796764029412
Globe,ALUPLANT,2037,0.2890685856804043
Globe,ALUPLANT,2038,0.28724253479772344
Globe,ALUPLANT,2039,0.28527609287990074
Globe,ALUPLANT,2040,0.2833332525789736
Globe,ALUPLANT,2041,0.28159831411804515
Globe,ALUPLANT,2042,0.2796602839198403
Globe,ALUPLANT,2043,0.2780350854178548
Globe,ALUPLANT,2044,0.2762781385061235
Globe,ALUPLANT,2045,0.7550280953687682
Globe,ALUPLANT,2046,0.18188663378071726
Globe,ALUPLANT,2047,0.1815328195469688
Globe,ALUPLANT,2048,0.18116761131252088
Globe,ALUPLANT,2049,0.18092648049969465
Globe,ALUPLANT,2050,0.18067290176239847
Globe,ALUPLANT,2051,0.1705700119015663
Globe,ALUPLANT,2052,0.17048070531695636
Globe,ALUPLANT,2053,0.17033560656244615
Globe,ALUPLANT,2054,0.1700533219156064
Globe,ALUPLANT,2055,0.17001469296161353
Globe,ALUPLANT,2056,0.16975902496038575
Globe,ALUPLANT,2057,0.16968659355476334
Globe,ALUPLANT,2058,0.16955702150288587
Globe,ALUPLANT,2059,0.16929073971937392
Globe,ALUPLANT,2060,0.16926680607469535
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.023000000000000083
Globe,C1BFRDF00,2012,0.023099999999999902
Globe,C1BMBRFH1,2022,0.07658706263542656
Globe,C1BMBRFH1,2025,0.02341293736457359
Globe,C1BMBRFH1,2037,0.07658706263542642
Globe,C1BMBRFH1,2040,0.02341293736457359
Globe,C1BMBRFH1,2052,0.07658706263542642
Globe,C1BMBRFH1,2055,0.02341293736457359
Globe,C1BMBRFN1,2017,0.03966305072493599
Globe,C1BMBRFN1,2018,0.0750422235141145
Globe,C1BMBRFN1,2019,0.07639741476926447
Globe,C1BMBRFN1,2020,0.05302797881129856
Globe,C1BMCHP00,2020,0.0005571766867826335
Globe,C1BMCHP00,2021,0.05293058054051771
Globe,C1BMCHP00,2022,0.06
Globe,C1BMCHP00,2023,0.05527255919885512
Globe,C1BMCHP00,2024,0.056219367591818364
Globe,C1BMCHP00,2025,0.03940128339413036
Globe,C1BMCHP00,2026,0.0321080210485524
Globe,C1BMCHP00,2027,0.0073296789677551235
Globe,C1BMCHP00,2028,0.017254214229864954
Globe,C1BMCHP00,2029,0.016967180170650967
Globe,C1BMCHP00,2030,0.016788153394521055
Globe,C1BMCHP00,2031,0.02197213949489711
Globe,C1BMCHP00,2032,0.037292708194632436
Globe,C1BMCHP00,2033,0.06
Globe,C1BMCHP00,2034,0.06
Globe,C1BMCHP00,2035,0.06
Globe,C1BMCHP00,2036,0.02245210674358416
Globe,C1BMCHP00,2037,0.011446940692840827
Globe,C1BMCHP00,2038,0.012028936230533778
Globe,C1BMCHP00,2039,0.01179819837322098
Globe,C1BMCHP00,2040,0.011010498385684363
Globe,C1BMCHP00,2041,0.011645666594871451
Globe,C1BMCHP00,2042,0.011516292754681952
Globe,C1BMCHP00,2043,0.007952424059072273
Globe,C1BMCHP00,2055,0.014148889029691848
Globe,C1BMCHP00,2056,0.058903568148422174
Globe,C1BMCHP00,2057,0.016538735077041133
Globe,C1BMCHP00,2058,0.016861523255889417
Globe,C1BMCHP00,2059,0.059182636219355586
Globe,C1BMHTF03,2026,0.0125
Globe,C1BMHTF03,2028,0.0125
Globe,C1BMHTF03,2029,0.012499999999999995
Globe,C1BMHTF03,2030,0.012500000000000008
Globe,C1BMHTF03,2046,0.0125
Globe,C1BMHTF03,2048,0.012499999999999995
Globe,C1BMHTF03,2049,0.012499999999999994
Globe,C1BMHTF03,2050,0.012500000000000016
Globe,C1BMIGPCS,2044,0.00813956010779465
Globe,C1BMIGPCS,2045,0.008081357903730876
Globe,C1BMIGPCS,2048,0.0068904548101246365
Globe,C1BMIGPCS,2049,0.02988914677901844
Globe,C1BMIGPCS,2050,0.008301585025114402
Globe,C1BMIGPCS,2052,0.0023709689502261558
Globe,C1BMIGPCS,2053,0.000456448255898511
Globe,C1BMIGPCS,2056,0.023812630901294048
Globe,C1BMIGPCS,2057,0.06251326470825971
Globe,C1BMIGPCS,2058,0.06653027172967085
Globe,C1BMIGPCS,2059,0.01101683906545508
Globe,C1BMLP000,2010,2.8724251914893615
Globe,C1BMLP000,2011,0.3590124408510634
Globe,C1BMLP000,2012,0.3561664672340426
Globe,C1CO00I00,2010,139.2476
Globe,C1CO00I00,2011,1.1036
Globe,C1CO00I00,2012,2.3105569111917603
Globe,C1CO00I00,2013,0.3418191746562319
Globe,C1CO00I00,2014,0.4577004572899294
Globe,C1CO00I00,2015,3.5078135562216914
Globe,C1CO00I00,2016,3.6853217036292
Globe,C1CO00I00,2017,3.8856389657879102
Globe,C1CO00I00,2051,5.2
Globe,C1CO00I00,2052,5.2
Globe,C1CO00I00,2053,5.2
Globe,C1CO00I00,2054,5.2
Globe,C1CO00I00,2055,5.2
Globe,C1CO00I00,2056,5.2
Globe,C1CO00I00,2057,5.2
Globe,C1CO00I00,2058,5.2
Globe,C1CO00I00,2059,5.2
Globe,C1CO00I00,2060,5.2
Globe,C1COBRFH1,2010,0.08
Globe,C1COBRFH1,2011,0.08
Globe,C1COBRFH1,2012,0.06746635606890068
Globe,C1COCHP00,2011,0.00509999999999999
Globe,C1COCHP00,2012,0.0063000000000000105
Globe,C1COCHP00,2013,0.006200000000000001
Globe,C1COCHP00,2014,0.005499999999999998
Globe,C1COCHP00,2015,0.0068000000000000005
Globe,C1COCHP00,2016,0.0057
Globe,C1COCHP00,2017,0.0025000000000000053
Globe,C1COCHP00,2018,0.0024999999999999888
Globe,C1COCHP00,2019,0.002399999999999996
