REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,40.108539490649996
Globe,ID,ALUPLANT,ALU,2011,40.64447299
Globe,ID,ALUPLANT,ALU,2012,42.195910149999996
Globe,ID,ALUPLANT,ALU,2013,43.74739313999999
Globe,ID,ALUPLANT,ALU,2014,45.29883029999999
Globe,ID,ALUPLANT,ALU,2015,46.85026745999999
Globe,ID,ALUPLANT,ALU,2016,48.40175045
Globe,ID,ALUPLANT,ALU,2017,49.953233440000005
Globe,ID,ALUPLANT,ALU,2018,51.50467059999999
Globe,ID,ALUPLANT,ALU,2019,53.056153590000015
Globe,ID,ALUPLANT,ALU,2020,54.60759075
Globe,ID,ALUPLANT,ALU,2021,55.147536895
Globe,ID,ALUPLANT,ALU,2022,55.687483040000004
Globe,ID,ALUPLANT,ALU,2023,56.22742918499999
Globe,ID,ALUPLANT,ALU,2024,56.76737533000001
Globe,ID,ALUPLANT,ALU,2025,57.307321475
Globe,ID,ALUPLANT,ALU,2026,57.847267620000004
Globe,ID,ALUPLANT,ALU,2027,58.387213764999984
Globe,ID,ALUPLANT,ALU,2028,58.92715990999999
Globe,ID,ALUPLANT,ALU,2029,59.467106054999995
Globe,ID,ALUPLANT,ALU,2030,60.00705219999998
Globe,ID,ALUPLANT,ALU,2031,60.546998345000006
Globe,ID,ALUPLANT,ALU,2032,61.08694449
Globe,ID,ALUPLANT,ALU,2033,61.62689063499999
Globe,ID,ALUPLANT,ALU,2034,62.16683678000001
Globe,ID,ALUPLANT,ALU,2035,62.706782925
Globe,ID,ALUPLANT,ALU,2036,63.24672907000001
Globe,ID,ALUPLANT,ALU,2037,63.78667521499999
Globe,ID,ALUPLANT,ALU,2038,64.32662135999999
Globe,ID,ALUPLANT,ALU,2039,64.86656750499999
Globe,ID,ALUPLANT,ALU,2040,65.40651364999998
Globe,ID,ALUPLANT,ALU,2041,65.946459795
Globe,ID,ALUPLANT,ALU,2042,66.48640594000001
Globe,ID,ALUPLANT,ALU,2043,67.02635208500001
Globe,ID,ALUPLANT,ALU,2044,67.56629822999999
Globe,ID,ALUPLANT,ALU,2045,74.303125
Globe,ID,ALUPLANT,ALU,2046,74.89219999999999
Globe,ID,ALUPLANT,ALU,2047,75.481275
Globe,ID,ALUPLANT,ALU,2048,76.07035
Globe,ID,ALUPLANT,ALU,2049,76.659425
Globe,ID,ALUPLANT,ALU,2050,77.2485
Globe,ID,ALUPLANT,ALU,2051,77.2485
Globe,ID,ALUPLANT,ALU,2052,77.2485
Globe,ID,ALUPLANT,ALU,2053,77.2485
Globe,ID,ALUPLANT,ALU,2054,77.2485
Globe,ID,ALUPLANT,ALU,2055,77.2485
Globe,ID,ALUPLANT,ALU,2056,77.2485
Globe,ID,ALUPLANT,ALU,2057,77.2485
Globe,ID,ALUPLANT,ALU,2058,77.2485
Globe,ID,ALUPLANT,ALU,2059,77.2485
Globe,ID,ALUPLANT,ALU,2060,77.2485
Globe,ID,C1BFRDF00,C1_F_RD,2010,0.2569229799999999
Globe,ID,C1BFRDF00,C1_F_RD,2011,0.26746388
Globe,ID,C1BFRDF00,C1_F_RD,2012,0.27805061000000003
Globe,ID,C1BFRDF00,C1_F_RD,2013,0.27433633705378985
Globe,ID,C1BFRDF00,C1_F_RD,2014,0.2582353731029287
Globe,ID,C1BFRDF00,C1_F_RD,2015,0.19512611208347713
Globe,ID,C1BFRDF00,C1_F_RD,2016,0.16953547144806366
Globe,ID,C1BFRDF00,C1_F_RD,2017,0.1710165942440537
Globe,ID,C1BFRDF00,C1_F_RD,2018,0.23299699823308292
Globe,ID,C1BFRDF00,C1_F_RD,2019,0.13549091708157793
Globe,ID,C1BFRDF00,C1_F_RD,2020,0.16920348158054774
Globe,ID,C1BFRDF00,C1_F_RD,2021,0.22859394586422024
Globe,ID,C1BFRDF00,C1_F_RD,2022,0.021127629999999998
Globe,ID,C1BFRDF00,C1_F_RD,2023,0.010586729999999954
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2010,6.451133123919619
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2011,6.578647077716073
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2012,6.863509378162307
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2013,6.55795942254482
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2014,6.821861356179242
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2015,7.343625116889036
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2016,6.788550051360001
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2017,6.034106124
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2018,5.2796621966399995
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2019,4.52521826928
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2020,3.7707743419199993
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2021,3.017775709439999
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2022,3.370240677092212
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2023,2.615796749732213
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2024,1.8613528223722131
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2025,1.4452948800000023
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2026,1.4452948799999863
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2027,1.4452948800000016
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2028,1.4452948800000016
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2029,1.4452948800000023
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2030,1.4452948800000023
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2031,1.4452948800000016
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2032,1.4452948799999998
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2033,0.8272324910218546
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2034,0.27524616864022333
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2046,0.3758903088576433
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2047,0.7080223399973365
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2048,0.7526230520000041
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2017,0.5732480413793026
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2018,1.6578294556669555
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2019,2.761997379779499
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2020,3.528408042506681
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2021,3.528408042506681
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2022,3.528408042506681
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2023,3.528408042506681
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2024,3.528408042506681
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2025,3.528408042506681
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2026,3.528408042506681
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2027,3.528408042506681
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2028,3.528408042506681
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2029,3.528408042506681
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2030,3.528408042506681
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2031,3.528408042506681
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2032,2.955160001127379
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2033,1.870578586839726
Globe,ID,C1BMBRFN1,C1_F_HEA_R,2034,0.7664106627271831
Globe,ID,C1BMCHP00,C1_S_ELC,2010,0.33463842984
Globe,ID,C1BMCHP00,C1_S_ELC,2011,0.32551192720800004
Globe,ID,C1BMCHP00,C1_S_ELC,2012,0.3153713687279999
Globe,ID,C1BMCHP00,C1_S_ELC,2013,0.369778695048
Globe,ID,C1BMCHP00,C1_S_ELC,2014,0.35749368856799996
Globe,ID,C1BMCHP00,C1_S_ELC,2015,0.346437182736
Globe,ID,C1BMCHP00,C1_S_ELC,2016,0.27582319065600003
Globe,ID,C1BMCHP00,C1_S_ELC,2017,0.321867169776
