REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Globe,ID,ALUPLANT,1,2010,3.9591
Globe,IN,ALUPLANT,1,2010,3.9591
Globe,IP,ALUPLANT,1,2010,2.757127129077108
Globe,ID,ALUPLANT,1,2011,3.9809537917351214
Globe,IN,ALUPLANT,1,2011,3.9809537917351214
Globe,IP,ALUPLANT,1,2011,3.9809537917351214
Globe,ID,ALUPLANT,1,2012,4.101154125408131
Globe,IN,ALUPLANT,1,2012,4.101154125408131
Globe,IP,ALUPLANT,1,2012,4.101154125408132
Globe,ID,ALUPLANT,1,2013,4.2195444318216975
Globe,IN,ALUPLANT,1,2013,4.2195444318216975
Globe,IP,ALUPLANT,1,2013,4.2195444318216975
Globe,ID,ALUPLANT,1,2014,4.336120518714794
Globe,IN,ALUPLANT,1,2014,4.336120518714794
Globe,IP,ALUPLANT,1,2014,4.336120518714794
Globe,ID,ALUPLANT,1,2015,4.450964854226897
Globe,IN,ALUPLANT,1,2015,4.450964854226898
Globe,IP,ALUPLANT,1,2015,4.450964854226898
Globe,ID,ALUPLANT,1,2016,4.564102231672112
Globe,IN,ALUPLANT,1,2016,4.564102231672112
Globe,IP,ALUPLANT,1,2016,4.564102231672112
Globe,ID,ALUPLANT,1,2017,4.675546175591217
Globe,IN,ALUPLANT,1,2017,4.675546175591216
Globe,IP,ALUPLANT,1,2017,4.675546175591217
Globe,ID,ALUPLANT,1,2018,4.785369073218505
Globe,IN,ALUPLANT,1,2018,4.785369073218505
Globe,IP,ALUPLANT,1,2018,4.785369073218505
Globe,ID,ALUPLANT,1,2019,4.893574840427782
Globe,IN,ALUPLANT,1,2019,4.89357484042778
Globe,IP,ALUPLANT,1,2019,4.893574840427782
Globe,ID,ALUPLANT,1,2020,5.000230807322048
Globe,IN,ALUPLANT,1,2020,5.000230807322048
Globe,IP,ALUPLANT,1,2020,5.0002308073220485
Globe,ID,ALUPLANT,1,2021,5.013401078252465
Globe,IN,ALUPLANT,1,2021,5.013401078252465
Globe,IP,ALUPLANT,1,2021,5.013401078252465
Globe,ID,ALUPLANT,1,2022,5.026362707503424
Globe,IN,ALUPLANT,1,2022,5.026362707503424
Globe,IP,ALUPLANT,1,2022,5.026362707503424
Globe,ID,ALUPLANT,1,2023,5.039161364784549
Globe,IN,ALUPLANT,1,2023,5.039161364784549
Globe,IP,ALUPLANT,1,2023,5.039161364784548
Globe,ID,ALUPLANT,1,2024,5.05175943750204
Globe,IN,ALUPLANT,1,2024,5.0517594375020405
Globe,IP,ALUPLANT,1,2024,5.05175943750204
Globe,ID,ALUPLANT,1,2025,5.064201995820441
Globe,IN,ALUPLANT,1,2025,5.064201995820441
Globe,IP,ALUPLANT,1,2025,5.064201995820441
Globe,ID,ALUPLANT,1,2026,5.076472007722008
Globe,IN,ALUPLANT,1,2026,5.076472007722008
Globe,IP,ALUPLANT,1,2026,5.076472007722008
Globe,ID,ALUPLANT,1,2027,5.088552713038962
Globe,IN,ALUPLANT,1,2027,5.088552713038964
Globe,IP,ALUPLANT,1,2027,5.088552713038964
Globe,ID,ALUPLANT,1,2028,5.100488319601411
Globe,IN,ALUPLANT,1,2028,5.100488319601411
Globe,IP,ALUPLANT,1,2028,5.100488319601411
Globe,ID,ALUPLANT,1,2029,5.112241641517016
Globe,IN,ALUPLANT,1,2029,5.112241641517016
Globe,IP,ALUPLANT,1,2029,5.112241641517016
