REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,87.5159055
Globe,ID,ALUPLANT,ALU,2011,88.6853
Globe,ID,ALUPLANT,ALU,2012,92.0705
Globe,ID,ALUPLANT,ALU,2013,95.45579999999998
Globe,ID,ALUPLANT,ALU,2014,98.84099999999998
Globe,ID,ALUPLANT,ALU,2015,102.22619999999998
Globe,ID,ALUPLANT,ALU,2016,105.6115
Globe,ID,ALUPLANT,ALU,2017,108.99680000000001
Globe,ID,ALUPLANT,ALU,2018,112.38199999999999
Globe,ID,ALUPLANT,ALU,2019,115.76730000000003
Globe,ID,ALUPLANT,ALU,2020,119.1525
Globe,ID,ALUPLANT,ALU,2021,120.33065
Globe,ID,ALUPLANT,ALU,2022,121.50880000000001
Globe,ID,ALUPLANT,ALU,2023,122.68694999999998
Globe,ID,ALUPLANT,ALU,2024,123.86510000000001
Globe,ID,ALUPLANT,ALU,2025,125.04325
Globe,ID,ALUPLANT,ALU,2026,126.2214
Globe,ID,ALUPLANT,ALU,2027,127.39954999999998
Globe,ID,ALUPLANT,ALU,2028,128.5777
Globe,ID,ALUPLANT,ALU,2029,129.75585
Globe,ID,ALUPLANT,ALU,2030,130.93399999999997
Globe,ID,ALUPLANT,ALU,2031,132.11214999999999
Globe,ID,ALUPLANT,ALU,2032,133.2903
Globe,ID,ALUPLANT,ALU,2033,134.46845
Globe,ID,ALUPLANT,ALU,2034,135.64660000000003
Globe,ID,ALUPLANT,ALU,2035,136.82475
Globe,ID,ALUPLANT,ALU,2036,138.0029
Globe,ID,ALUPLANT,ALU,2037,139.18104999999997
Globe,ID,ALUPLANT,ALU,2038,140.35919999999996
Globe,ID,ALUPLANT,ALU,2039,141.53734999999998
Globe,ID,ALUPLANT,ALU,2040,142.71549999999996
Globe,ID,ALUPLANT,ALU,2041,143.89365
Globe,ID,ALUPLANT,ALU,2042,145.07180000000002
Globe,ID,ALUPLANT,ALU,2043,146.24995000000007
Globe,ID,ALUPLANT,ALU,2044,147.42809999999997
Globe,ID,ALUPLANT,ALU,2045,162.12770019637793
Globe,ID,ALUPLANT,ALU,2046,163.41304822168885
Globe,ID,ALUPLANT,ALU,2047,164.69839624699978
Globe,ID,ALUPLANT,ALU,2048,165.98374427231073
Globe,ID,ALUPLANT,ALU,2049,167.26909229762165
Globe,ID,ALUPLANT,ALU,2050,168.5544403229326
Globe,ID,ALUPLANT,ALU,2051,168.5544403229326
Globe,ID,ALUPLANT,ALU,2052,168.5544403229326
Globe,ID,ALUPLANT,ALU,2053,168.5544403229326
Globe,ID,ALUPLANT,ALU,2054,168.5544403229326
Globe,ID,ALUPLANT,ALU,2055,168.5544403229326
Globe,ID,ALUPLANT,ALU,2056,168.5544403229326
Globe,ID,ALUPLANT,ALU,2057,168.5544403229326
Globe,ID,ALUPLANT,ALU,2058,168.5544403229326
Globe,ID,ALUPLANT,ALU,2059,168.5544403229326
Globe,ID,ALUPLANT,ALU,2060,168.5544403229326
Globe,ID,C1BFRDF00,C1_F_RD,2010,0.5605999999999999
Globe,ID,C1BFRDF00,C1_F_RD,2011,0.5836
Globe,ID,C1BFRDF00,C1_F_RD,2012,0.6067000000000001
Globe,ID,C1BFRDF00,C1_F_RD,2013,0.5985955423386207
Globe,ID,C1BFRDF00,C1_F_RD,2014,0.5634636113963096
Globe,ID,C1BFRDF00,C1_F_RD,2015,0.425760663503114
Globe,ID,C1BFRDF00,C1_F_RD,2016,0.3699224775214132
Globe,ID,C1BFRDF00,C1_F_RD,2017,0.3731542532054412
Globe,ID,C1BFRDF00,C1_F_RD,2018,0.5083940611675386
Globe,ID,C1BFRDF00,C1_F_RD,2019,0.2956380473087016
Globe,ID,C1BFRDF00,C1_F_RD,2020,0.3691980833090721
Globe,ID,C1BFRDF00,C1_F_RD,2021,0.4987867027366796
Globe,ID,C1BFRDF00,C1_F_RD,2022,0.046099999999999995
Globe,ID,C1BFRDF00,C1_F_RD,2023,0.023099999999999902
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2010,14.076223268425965
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2011,14.354455766345348
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2012,14.976018717351751
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2013,14.309315781245516
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2014,14.885143696659922
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2015,16.023620154678238
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2016,14.812459200000001
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2017,13.16628
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2018,11.5201008
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2019,9.8739216
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2020,8.227742399999999
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2021,6.584716799999998
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2022,7.35378720727081
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2023,5.707608007270812
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2024,4.061428807270812
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2025,3.153600000000005
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2026,3.15359999999997
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2027,3.1536000000000035
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2028,3.1536000000000035
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2029,3.153600000000005
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2030,3.153600000000005
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2031,3.1536000000000035
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2032,3.1536
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2033,1.8050021623867656
Globe,ID,C1BMBRFH1,C1_F_HEA_R,2034,0.6005807738167649
