REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_HEA_I,2010,0.9751263299999999
Globe,ID,ALUPLANT,C1_F_HEA_I,2011,0.98174699553359
Globe,ID,ALUPLANT,C1_F_HEA_I,2012,1.012669280108152
Globe,ID,ALUPLANT,C1_F_HEA_I,2013,1.0432148480570056
Globe,ID,ALUPLANT,C1_F_HEA_I,2014,1.0733849538052536
Globe,ID,ALUPLANT,C1_F_HEA_I,2015,1.1031983449092617
Globe,ID,ALUPLANT,C1_F_HEA_I,2016,1.1326641226296046
Globe,ID,ALUPLANT,C1_F_HEA_I,2017,1.16177503816473
Globe,ID,ALUPLANT,C1_F_HEA_I,2018,1.190551971726032
Globe,ID,ALUPLANT,C1_F_HEA_I,2019,1.2189943863254007
Globe,ID,ALUPLANT,C1_F_HEA_I,2020,1.247122566346614
Globe,ID,ALUPLANT,C1_F_HEA_I,2021,1.2519665708655185
Globe,ID,ALUPLANT,C1_F_HEA_I,2022,1.2567665995706185
Globe,ID,ALUPLANT,C1_F_HEA_I,2023,1.261533891028353
Globe,ID,ALUPLANT,C1_F_HEA_I,2024,1.2662588653259488
Globe,ID,ALUPLANT,C1_F_HEA_I,2025,1.2709577106890602
Globe,ID,ALUPLANT,C1_F_HEA_I,2026,1.2756158861003861
Globe,ID,ALUPLANT,C1_F_HEA_I,2027,1.2802340656261855
Globe,ID,ALUPLANT,C1_F_HEA_I,2028,1.2848232086842346
Globe,ID,ALUPLANT,C1_F_HEA_I,2029,1.2893789133735727
Globe,ID,ALUPLANT,C1_F_HEA_I,2030,1.2939018208642155
Globe,ID,ALUPLANT,C1_F_HEA_I,2031,1.298392594219123
Globe,ID,ALUPLANT,C1_F_HEA_I,2032,1.302851991196469
Globe,ID,ALUPLANT,C1_F_HEA_I,2033,1.30728043191695
Globe,ID,ALUPLANT,C1_F_HEA_I,2034,1.311673614976604
Globe,ID,ALUPLANT,C1_F_HEA_I,2035,1.3160421450919897
Globe,ID,ALUPLANT,C1_F_HEA_I,2036,1.3203867754246212
Globe,ID,ALUPLANT,C1_F_HEA_I,2037,1.3246927479718542
Globe,ID,ALUPLANT,C1_F_HEA_I,2038,1.328975706207557
Globe,ID,ALUPLANT,C1_F_HEA_I,2039,1.3332262993934876
Globe,ID,ALUPLANT,C1_F_HEA_I,2040,1.3374601325967252
Globe,ID,ALUPLANT,C1_F_HEA_I,2041,1.3416623251896131
Globe,ID,ALUPLANT,C1_F_HEA_I,2042,1.3458337213419205
Globe,ID,ALUPLANT,C1_F_HEA_I,2043,1.349984563020993
Globe,ID,ALUPLANT,C1_F_HEA_I,2044,1.3541108628539757
Globe,ID,ALUPLANT,C1_F_HEA_I,2045,1.4817938524081826
Globe,ID,ALUPLANT,C1_F_HEA_I,2046,1.4862421583992393
Globe,ID,ALUPLANT,C1_F_HEA_I,2047,1.4906594533607331
Globe,ID,ALUPLANT,C1_F_HEA_I,2048,1.4950624768045946
