REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
Globe,ALUPLANT,1,2010,C1_S_ELC,ID,2.134548765
Globe,ALUPLANT,1,2010,C1_S_ELC,IN,2.134548765
Globe,ALUPLANT,1,2010,C1_S_ELC,IP,1.486505091641923
Globe,ALUPLANT,1,2010,C1_F_HEA_I,ID,0.9751263299999999
Globe,ALUPLANT,1,2010,C1_F_HEA_I,IN,0.9751263299999999
Globe,ALUPLANT,1,2010,C1_F_HEA_I,IP,0.6790804118916918
Globe,ALUPLANT,1,2010,C1_P_HCO,ID,0.8190981989999999
Globe,ALUPLANT,1,2010,C1_P_HCO,IN,0.8190981989999999
Globe,ALUPLANT,1,2010,C1_P_HCO,IP,0.5704220317347629
Globe,ALUPLANT,1,2010,XALU,ID,341.195238
Globe,ALUPLANT,1,2010,XALU,IN,341.195238
Globe,ALUPLANT,1,2010,XALU,IP,237.6092159838652
Globe,ALUPLANT,1,2011,C1_S_ELC,ID,2.143285807163313
Globe,ALUPLANT,1,2011,C1_S_ELC,IN,2.143285807163313
Globe,ALUPLANT,1,2011,C1_S_ELC,IP,2.143285807163313
Globe,ALUPLANT,1,2011,C1_F_HEA_I,ID,0.98174699553359
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IN,0.98174699553359
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IP,0.98174699553359
Globe,ALUPLANT,1,2011,C1_P_HCO,ID,0.8253472639176923
Globe,ALUPLANT,1,2011,C1_P_HCO,IN,0.8253472639176923
Globe,ALUPLANT,1,2011,C1_P_HCO,IP,0.8253472639176923
Globe,ALUPLANT,1,2011,XALU,ID,346.0473940619192
Globe,ALUPLANT,1,2011,XALU,IN,346.0473940619192
Globe,ALUPLANT,1,2011,XALU,IP,346.0473940619192
Globe,ALUPLANT,1,2012,C1_S_ELC,ID,2.2048624809019195
Globe,ALUPLANT,1,2012,C1_S_ELC,IN,2.2048624809019195
Globe,ALUPLANT,1,2012,C1_S_ELC,IP,2.20486248090192
Globe,ALUPLANT,1,2012,C1_F_HEA_I,ID,1.012669280108152
