REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2037,3.0371981298215047
Globe,ALUPLANT,2038,5.9336385344521085
Globe,ALUPLANT,2039,8.690887464378442
Globe,ALUPLANT,2040,11.317108120220638
Globe,ALUPLANT,2041,13.827507594991223
Globe,ALUPLANT,2042,16.209057707829118
Globe,ALUPLANT,2043,18.49570150683518
Globe,ALUPLANT,2044,20.66679295213108
Globe,ALUPLANT,2045,62.52759187806684
Globe,ALUPLANT,2046,16.47261459030691
Globe,ALUPLANT,2047,17.80211046111281
Globe,ALUPLANT,2048,19.08156032490647
Globe,ALUPLANT,2049,20.327876466074
Globe,ALUPLANT,2050,21.529219880396067
Globe,ALUPLANT,2051,21.313041370224976
Globe,ALUPLANT,2052,22.242051829862127
Globe,ALUPLANT,2053,23.117758697250746
Globe,ALUPLANT,2054,23.93007096211159
Globe,ALUPLANT,2055,24.734568768778143
Globe,ALUPLANT,2056,25.46757839818923
Globe,ALUPLANT,2057,26.18992813167996
Globe,ALUPLANT,2058,26.867697364231145
Globe,ALUPLANT,2059,27.488999933077906
Globe,ALUPLANT,2060,28.11692630926682
Globe,C1BMBRFH1,2052,29.017316445797835
Globe,C1BMBRFH1,2055,12.422213611377575
Globe,C1BMCHP00,2027,1.8918216788727944
Globe,C1BMCHP00,2028,8.69470781994351
Globe,C1BMCHP00,2029,12.522222408965408
Globe,C1BMCHP00,2030,16.13318602454252
Globe,C1BMCHP00,2031,25.780556918803878
Globe,C1BMCHP00,2032,51.29838974645895
Globe,C1BMCHP00,2033,94.08973586082479
Globe,C1BMCHP00,2034,105.0955304094672
Globe,C1BMCHP00,2035,115.5772395034128
Globe,C1BMCHP00,2036,46.984707870076676
Globe,C1BMCHP00,2037,25.76840636418147
Globe,C1BMCHP00,2038,28.89381219271603
Globe,C1BMCHP00,2039,30.035236205545512
Globe,C1BMCHP00,2040,29.537048231995815
Globe,C1BMCHP00,2041,32.75909849009473
Globe,C1BMCHP00,2042,33.8249491617603
Globe,C1BMCHP00,2043,24.297671518257932
Globe,C1BMCHP00,2055,58.05819822528721
Globe,C1BMCHP00,2056,245.39700902830486
Globe,C1BMCHP00,2057,69.889387606919
Globe,C1BMCHP00,2058,72.21243733170041
Globe,C1BMCHP00,2059,256.6658101744805
Globe,C1BMHTF03,2046,3.9517706550271634
Globe,C1BMHTF03,2048,5.2815668798912485
Globe,C1BMHTF03,2049,5.899358389700347
Globe,C1BMHTF03,2050,6.487731256185208
Globe,C1BMIGPCS,2044,13.951010222619285
Globe,C1BMIGPCS,2045,14.595998844166814
Globe,C1BMIGPCS,2048,14.174324773676176
Globe,C1BMIGPCS,2049,63.750939574643446
Globe,C1BMIGPCS,2050,18.305985486571007
Globe,C1BMIGPCS,2052,5.54660000432769
Globe,C1BMIGPCS,2053,1.0962773126000611
Globe,C1BMIGPCS,2056,61.236991697417224
Globe,C1BMIGPCS,2057,163.96816634041315
Globe,C1BMIGPCS,2058,177.75599837629863
Globe,C1BMIGPCS,2059,29.947639257531705
Globe,C1CO00I00,2012,1.2053787118961106e-05
Globe,C1CO00I00,2013,3.481511469741413e-06
Globe,C1CO00I00,2014,6.827546875397102e-06
Globe,C1CO00I00,2015,6.813422455667463e-05
Globe,C1CO00I00,2016,8.73990988520902e-05
Globe,C1CO00I00,2017,0.00010803235868557404
Globe,C1CO00I00,2051,0.0004887577418826254
Globe,C1CO00I00,2052,0.0004926110898430555
Globe,C1CO00I00,2053,0.0004962809450434656
Globe,C1CO00I00,2054,0.000499776045234332
Globe,C1CO00I00,2055,0.000503104712082776
Globe,C1CO00I00,2056,0.0005062748709860562
Globe,C1CO00I00,2057,0.0005092940699415609
Globe,C1CO00I00,2058,0.0005121694975182324
Globe,C1CO00I00,2059,0.0005149079999722048
Globe,C1CO00I00,2060,0.0005175160975474173
Globe,C1COHTF03,2044,3.009383478079214
Globe,C1COHTF03,2045,3.1163913513701598
Globe,C1COHTF03,2046,4.623261246728405
Globe,C1COHTF03,2047,8.414810017719743
Globe,C1COHTF03,2048,7.82959474821032
Globe,C1COHTF03,2049,12.135822973097847
Globe,C1COHTF03,2050,13.34619001272384
Globe,C1COHTF03,2051,14.498920526653349
Globe,C1COHTF03,2052,15.5967591113481
Globe,C1COHTF03,2053,16.642319668200294
Globe,C1COHTF03,2056,13.899195635956314
Globe,C1COHTF03,2057,20.349825651902545
Globe,C1COHTF03,2058,21.1690497068235
Globe,C1COHTF03,2059,21.949263092462548
Globe,C1COHTF03,2060,14.298412538974114
Globe,C1COSCP00,2055,39.14869151442494
Globe,C1ELRDF00,2050,77.53022535424323
Globe,C1ELRDF00,2051,74.1531616828327
Globe,C1ELRDF00,2052,94.13436739446988
Globe,C1ELRDF00,2053,126.0521192971995
Globe,C1ELRDF00,2054,161.1031737036835
Globe,C1ELRDF00,2055,220.46697396420998
Globe,C1ELRDF00,2056,278.87037573642954
Globe,C1ELRDF00,2057,169.5196832197324
Globe,C1ELRDF00,2058,919.8087303774687
Globe,C1ELRDF00,2059,260.3907686404696
Globe,C1ELRDF00,2060,267.21536153332755
Globe,C1GOCVP00,2031,77.83901983384003
Globe,C1GOCVP00,2032,6.080188728433545
Globe,C1GOCVP00,2033,6.673151911350562
Globe,C1GOCVP00,2034,6.8759750109999125
Globe,C1GOCVP00,2035,7.245678278161966
Globe,C1GOCVP00,2036,9.117331953408172
Globe,C1GOCVP00,2037,9.293069827627823
Globe,C1GOCVP00,2038,9.902966366295514
Globe,C1GOCVP00,2039,10.267953317694943
Globe,C1GOCVP00,2040,10.615559938075377
Globe,C1GOCVP00,2041,16.159287129984012
Globe,C1GOCVP00,2042,16.356573860576393
Globe,C1GOCVP00,2043,17.067978497271334
Globe,C1GOCVP00,2044,17.49013476546526
Globe,C1GOCVP00,2045,17.892188354221293
Globe,C1GOCVP00,2046,14.737981075797633
Globe,C1GOCVP00,2047,15.032073379766645
Globe,C1GOCVP00,2048,15.312161288308593
Globe,C1GOCVP00,2049,15.578911677396214
Globe,C1GOCVP00,2050,15.832959667003411
Globe,C1GOHTF03,2037,0.9528358342233164
Globe,C1GOHTF03,2044,53.230437293355884
Globe,C1GOHTF03,2045,53.2155487758801
Globe,C1GOHTF03,2049,325.41445514276364
Globe,C1GOHTF03,2050,117.10776153520248
Globe,C1GOHTF03,2058,66.88457253751943
Globe,C1GOHTF03,2060,219.04948486441646
Globe,C1HFGCPCH,2046,9.8617692211012
Globe,C1HPASF01,2042,7.656871699962995
Globe,C1HPASF01,2043,14.87400433202732
Globe,C1HPASF01,2044,20.462355184628734
Globe,C1HPASF01,2045,27.7737146277152
Globe,C1HPASF01,2046,32.45402688355517
Globe,C1HPASF01,2047,41.38689815137342
Globe,C1HPASF01,2048,46.72031002060349
Globe,C1HPASF01,2049,55.4138335479166
Globe,C1HPASF01,2050,63.25178891509843
Globe,C1HPASF01,2051,29.30625467369213
Globe,C1HPASF01,2052,30.022582221783924
Globe,C1HPASF01,2053,34.83370301094268
Globe,C1HPASF01,2054,34.31384577441124
Globe,C1HPASF01,2055,28.18812970986017
Globe,C1HPASF01,2056,42.3012625648419
Globe,C1HPASF01,2057,116.1400305616898
Globe,C1HPASF01,2058,56.79408097755847
Globe,C1HPASF01,2059,46.48912047592177
Globe,C1HPASF01,2060,45.86734641564229
Globe,C1HYDMP00,2028,208.5384385351452
Globe,C1HYDMP00,2029,420.475769424258
