TIMESLICE,YEAR,MODE_OF_OPERATION,TECHNOLOGY,REGION,VALUE
ID,2010,1,ALUPLANT,Globe,1.8144555299999998
ID,2010,1,C1BFRDF00,Globe,0.2569229799999999
ID,2010,1,C1BMBRFH1,Globe,6.451133123919619
ID,2010,1,C1BMCHP00,Globe,0.33463842984
ID,2010,1,C1BMHTF03,Globe,3.6089013153600003
ID,2010,1,C1BMLP000,Globe,2.966312465259574
ID,2010,1,C1CO00I00,Globe,63.81717508
ID,2010,1,C1COBRFH1,Globe,3.27648349296
ID,2010,1,C1COCHP00,Globe,0.7211700572399999
ID,2010,1,C1COHTF03,Globe,18.88422290208
ID,2010,1,C1COIGP00,Globe,0.0108397116
ID,2010,1,C1COSCP00,Globe,15.724410657932085
ID,2010,1,C1ELEFF00,Globe,25.06545719642416
ID,2010,1,C1ELRLF00,Globe,2.9699999999999998
ID,2010,1,C1GOCVP00,Globe,0.130654657152
ID,2010,1,C1GOHTF03,Globe,0.14277640176
ID,2010,1,C1HFGCPCH,Globe,0.07660062863999999
ID,2010,1,C1HFMRF00,Globe,39.4138
ID,2010,1,C1HTOOTFI,Globe,34.06989082048513
ID,2010,1,C1HTOOTFR,Globe,8.952184950957925
ID,2010,1,C1HYDMP00,Globe,5.4574334668799995
ID,2010,1,C1HYMIP00,Globe,0.4168519492896
ID,2010,1,C1LFBRFH1,Globe,1.17249832189575
ID,2010,1,C1LFCCP00,Globe,0.23335214572800003
ID,2010,1,C1LFRDF00,Globe,8.306870819999999
ID,2010,1,C1LFRLF00,Globe,6.919999999999999
ID,2010,1,C1NG00I00,Globe,49.512623819999995
ID,2010,1,C1NGBRFH1,Globe,8.891454101759999
ID,2010,1,C1NGBRFN1,Globe,6.490442695098708
ID,2010,1,C1NGCCP00,Globe,4.60400003468221
ID,2010,1,C1NGCCPCH,Globe,1.093799165184
ID,2010,1,C1NGGCP00,Globe,1.159993670688
ID,2010,1,C1NGGCPCH,Globe,1.02543671736
ID,2010,1,C1NGHTF03,Globe,9.339732571114045
ID,2010,1,C1OI00I00,Globe,76.78614848
ID,2010,1,C1OIHTF03,Globe,6.959503015924722
ID,2010,1,C1OIRFP00,Globe,25.025922664313345
ID,2010,2,C1OIRFP00,Globe,32.69201592896845
ID,2010,1,C1SOC1P00,Globe,0.007804592351999999
ID,2010,1,C1SOTHF00,Globe,0.464806833408
ID,2010,1,C1SOV1P00,Globe,0.12140476992000002
ID,2010,1,C1SOV2P00,Globe,0.09249887232
ID,2010,1,C1WDOFP00,Globe,0.0052030615680000005
ID,2010,1,C1WDONP00,Globe,0.5944786900415999
ID,2010,1,CEMPLANT,Globe,4.974638248479999
ID,2010,1,FERTPLANT,Globe,0.00018917855780787693
ID,2010,1,LA,Globe,2522.822233209156
ID,2010,1,LA1,Globe,738.922233209156
ID,2010,1,LA1_i,Globe,183.9
ID,2010,1,LA1_i_PROD,Globe,183.9
ID,2010,1,LA1_PROD,Globe,738.922233209156
ID,2010,1,LA2,Globe,1600.0
ID,2010,1,LA2_PROD,Globe,1600.0
ID,2010,1,LandRes,Globe,6139.847733209155
ID,2010,1,LF,Globe,1833.2000000000005
ID,2010,1,LF1,Globe,588.9154999999998
ID,2010,1,LF2,Globe,1244.2845000000002
ID,2010,1,LF2_PROD,Globe,1244.2845000000002
ID,2010,1,LO,Globe,1783.825500000001
ID,2010,1,MFOOFACTOR,Globe,2.7433012411553186
ID,2010,1,PAPPLANT,Globe,3.037274524075636
ID,2010,1,PETAPLANT,Globe,4.662111716505602e-06
ID,2010,1,PETBPLANT,Globe,18.331562167906483
ID,2010,1,STEPLANT,Globe,12.236019382785935
ID,2010,1,VFOOFACTOR,Globe,32.02232935803095
ID,2010,1,XALUMINE,Globe,1.5636977757539998
ID,2010,1,XCEMMINE,Globe,20.644748731192
ID,2010,1,XPHOMINE,Globe,6.053713849852063e-07
ID,2010,1,XPOTMINE,Globe,1.3242499046551386e-07
ID,2010,1,XSTEMINE,Globe,18.830438488847673
ID,2011,1,ALUPLANT,Globe,1.8244711227522061
ID,2011,1,C1BFRDF00,Globe,0.26746388
ID,2011,1,C1BMBRFH1,Globe,6.578647077716073
ID,2011,1,C1BMCHP00,Globe,0.32551192720800004
ID,2011,1,C1BMHTF03,Globe,3.42823945536
ID,2011,1,C1BMLP000,Globe,3.0648526669016167
ID,2011,1,C1CO00I00,Globe,64.32295496
ID,2011,1,C1COBRFH1,Globe,4.29108049872
ID,2011,1,C1COCHP00,Globe,0.9815653439877698
ID,2011,1,C1COHTF03,Globe,18.452282509440007
ID,2011,1,C1COIGP00,Globe,0.0108397116
ID,2011,1,C1COSCP00,Globe,14.320573490676086
ID,2011,1,C1ELEFF00,Globe,26.046446149752843
ID,2011,1,C1ELRLF00,Globe,3.0300000000000002
ID,2011,1,C1GOCVP00,Globe,0.09943426944
ID,2011,1,C1GOHTF03,Globe,0.23991895008
ID,2011,1,C1HFGCPCH,Globe,0.08069081315040001
ID,2011,1,C1HFMRF00,Globe,40.23874
ID,2011,1,C1HTOOTFI,Globe,34.22844896593346
ID,2011,1,C1HTOOTFR,Globe,9.90779524612922
ID,2011,1,C1HYDMP00,Globe,5.505083682837696
ID,2011,1,C1HYMIP00,Globe,0.4115332641312
ID,2011,1,C1LFCCP00,Globe,0.23889425918904003
ID,2011,1,C1LFRDF00,Globe,8.5491282
ID,2011,1,C1NG00I00,Globe,50.2833011
ID,2011,1,C1NGBRFH1,Globe,8.29888320096
ID,2011,1,C1NGBRFN1,Globe,6.490442695098708
ID,2011,1,C1NGCCP00,Globe,5.376786012576
ID,2011,1,C1NGCCPCH,Globe,0.8582737835129645
ID,2011,1,C1NGGCP00,Globe,0.3486480698926615
ID,2011,1,C1NGGCPCH,Globe,0.9820778709600002
ID,2011,1,C1NGHTF03,Globe,11.02904522928
ID,2011,1,C1NU00I00,Globe,6.506082424142085
ID,2011,1,C1NULWP00,Globe,2.343689634056947
ID,2011,1,C1OI00I00,Globe,77.06144929000001
ID,2011,1,C1OIHTF03,Globe,6.645874026964721
ID,2011,1,C1OIRFP00,Globe,29.181133182196444
ID,2011,2,C1OIRFP00,Globe,24.209448084648038
ID,2011,1,C1SOC1P00,Globe,0.007804592351999999
ID,2011,1,C1SOTHF00,Globe,0.513368741376
ID,2011,1,C1SOV1P00,Globe,0.21245834736
ID,2011,1,C1SOV2P00,Globe,0.16187302656
ID,2011,1,C1WDOFP00,Globe,0.0052464204143999995
ID,2011,1,C1WDONP00,Globe,0.57481689849408
ID,2011,1,CEMPLANT,Globe,4.988814245022969
ID,2011,1,FERTPLANT,Globe,0.00018970257053744247
ID,2011,1,LA,Globe,2443.07409607263
ID,2011,1,LA1,Globe,750.5100148145331
ID,2011,1,LA1_i,Globe,174.86837805103983
