REGION,YEAR,VALUE
Globe,2010,inf
Globe,2011,inf
Globe,2012,inf
Globe,2013,inf
Globe,2014,inf
Globe,2015,inf
Globe,2016,inf
Globe,2017,inf
Globe,2018,inf
Globe,2019,inf
Globe,2020,inf
Globe,2021,inf
Globe,2022,inf
Globe,2023,inf
Globe,2024,inf
Globe,2025,inf
Globe,2026,inf
Globe,2027,inf
Globe,2028,inf
Globe,2029,inf
Globe,2030,inf
Globe,2031,inf
Globe,2032,inf
Globe,2033,inf
Globe,2034,inf
Globe,2035,inf
Globe,2036,inf
Globe,2037,inf
Globe,2038,inf
Globe,2039,inf
Globe,2040,inf
Globe,2041,inf
Globe,2042,inf
Globe,2043,inf
Globe,2044,inf
Globe,2045,inf
Globe,2046,inf
Globe,2047,inf
Globe,2048,inf
Globe,2049,inf
Globe,2050,inf
Globe,2051,inf
Globe,2052,inf
Globe,2053,inf
Globe,2054,inf
Globe,2055,inf
Globe,2056,inf
Globe,2057,inf
Globe,2058,inf
Globe,2059,inf
Globe,2060,inf
