REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.8588554625650304
Globe,ALUPLANT,2011,3.9809537917351214
Globe,ALUPLANT,2012,4.101154125408131
Globe,ALUPLANT,2013,4.2195444318216975
Globe,ALUPLANT,2014,4.336120518714794
Globe,ALUPLANT,2015,4.450964854226898
Globe,ALUPLANT,2016,4.564102231672112
Globe,ALUPLANT,2017,4.675546175591216
Globe,ALUPLANT,2018,4.785369073218505
Globe,ALUPLANT,2019,4.893574840427781
Globe,ALUPLANT,2020,5.000230807322048
Globe,ALUPLANT,2021,5.013401078252465
Globe,ALUPLANT,2022,5.026362707503424
Globe,ALUPLANT,2023,5.039161364784549
Globe,ALUPLANT,2024,5.0517594375020405
Globe,ALUPLANT,2025,5.064201995820441
Globe,ALUPLANT,2026,5.076472007722008
Globe,ALUPLANT,2027,5.088552713038963
Globe,ALUPLANT,2028,5.10048831960141
Globe,ALUPLANT,2029,5.112241641517016
Globe,ALUPLANT,2030,5.123856334478629
Globe,ALUPLANT,2031,5.135315359439016
Globe,ALUPLANT,2032,5.146601952993779
Globe,ALUPLANT,2033,5.157758974496664
Globe,ALUPLANT,2034,5.168749714216038
Globe,ALUPLANT,2035,5.1796165202907325
Globe,ALUPLANT,2036,5.190342404958554
Globe,ALUPLANT,2037,5.200910656965946
Globe,ALUPLANT,2038,5.211362885350105
Globe,ALUPLANT,2039,5.2216628913369085
Globe,ALUPLANT,2040,5.231851808403779
Globe,ALUPLANT,2041,5.24191274507661
Globe,ALUPLANT,2042,5.251829085077345
Globe,ALUPLANT,2043,5.261641272867911
Globe,ALUPLANT,2044,5.271313644164759
Globe,ALUPLANT,2045,5.280886199201149
Globe,ALUPLANT,2046,5.290342177389731
Globe,ALUPLANT,2047,5.299665090415056
Globe,ALUPLANT,2048,5.3088942936802335
Globe,ALUPLANT,2049,5.317994672253401
Globe,ALUPLANT,2050,5.327005165054167
Globe,ALUPLANT,2051,5.327005165054167
Globe,ALUPLANT,2052,5.327005165054167
Globe,ALUPLANT,2053,5.327005165054167
Globe,ALUPLANT,2054,5.327005165054167
Globe,ALUPLANT,2055,5.327005165054167
Globe,ALUPLANT,2056,5.327005165054167
Globe,ALUPLANT,2057,5.327005165054167
Globe,ALUPLANT,2058,5.327005165054167
Globe,ALUPLANT,2059,5.327005165054167
Globe,ALUPLANT,2060,5.327005165054167
Globe,C1BFRDF00,2010,0.5605999999999999
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6066999999999999
Globe,C1BFRDF00,2013,0.5668
Globe,C1BFRDF00,2014,0.5288
Globe,C1BFRDF00,2015,0.4927
Globe,C1BFRDF00,2016,0.4549
Globe,C1BFRDF00,2017,0.41980000000000006
Globe,C1BFRDF00,2018,0.3871
Globe,C1BFRDF00,2019,0.3568
Globe,C1BFRDF00,2020,0.41585342732177677
Globe,C1BFRDF00,2021,0.4228820540118078
Globe,C1BFRDF00,2022,0.0461
Globe,C1BFRDF00,2023,0.0230999999999999
Globe,C1BMBRFH1,2010,13.287110326936878
Globe,C1BMBRFH1,2011,13.565688555825718
Globe,C1BMBRFH1,2012,13.853358697499193
Globe,C1BMBRFH1,2013,14.586613656014128
Globe,C1BMBRFH1,2014,15.179839835468915
Globe,C1BMBRFH1,2015,15.769774915560857
Globe,C1BMBRFH1,2016,14.812459200000001
Globe,C1BMBRFH1,2017,13.16628
Globe,C1BMBRFH1,2018,11.520100799999998
Globe,C1BMBRFH1,2019,9.8739216
Globe,C1BMBRFH1,2020,8.227742399999999
Globe,C1BMBRFH1,2021,6.584716799999998
Globe,C1BMBRFH1,2022,7.353787207270809
Globe,C1BMBRFH1,2023,5.707608007270812
Globe,C1BMBRFH1,2024,4.061428807270812
Globe,C1BMBRFH1,2025,3.153600000000005
Globe,C1BMBRFH1,2026,3.153599999999989
Globe,C1BMBRFH1,2027,3.1536000000000035
Globe,C1BMBRFH1,2028,3.1536000000000035
Globe,C1BMBRFH1,2029,3.153600000000005
Globe,C1BMBRFH1,2030,3.153600000000005
Globe,C1BMBRFH1,2031,3.153600000000003
Globe,C1BMBRFH1,2032,2.890589760000002
Globe,C1BMBRFH1,2033,2.272527371021857
Globe,C1BMBRFH1,2034,1.72054104864023
Globe,C1BMBRFH1,2035,0.5498361971966639
Globe,C1BMBRFH1,2043,0.18277023471284082
Globe,C1BMBRFH1,2044,0.26301024000000006
Globe,C1BMBRFH1,2045,0.26301024000000006
Globe,C1BMBRFH1,2046,0.6389005488576434
Globe,C1BMBRFH1,2047,0.9710325799973366
Globe,C1BMBRFH1,2048,1.0124970501958033
Globe,C1BMBRFH1,2054,0.009595708872732622
Globe,C1BMBRFH1,2057,0.13594278442390273
Globe,C1BMBRFH1,2059,0.047632917412173015
Globe,C1BMBRFN1,2017,1.250813967661581
Globe,C1BMBRFN1,2018,3.617345528402696
Globe,C1BMBRFN1,2019,6.0266144005662206
Globe,C1BMBRFN1,2020,7.69890474035933
Globe,C1BMBRFN1,2021,7.69890474035933
Globe,C1BMBRFN1,2022,7.69890474035933
Globe,C1BMBRFN1,2023,7.69890474035933
Globe,C1BMBRFN1,2024,7.69890474035933
Globe,C1BMBRFN1,2025,7.69890474035933
Globe,C1BMBRFN1,2026,7.698904740359328
Globe,C1BMBRFN1,2027,7.69890474035933
Globe,C1BMBRFN1,2028,7.69890474035933
Globe,C1BMBRFN1,2029,7.69890474035933
Globe,C1BMBRFN1,2030,7.69890474035933
Globe,C1BMBRFN1,2031,7.69890474035933
Globe,C1BMBRFN1,2032,6.44809077269775
Globe,C1BMBRFN1,2033,4.081559211956636
Globe,C1BMBRFN1,2034,1.6722903397931117
Globe,C1BMCHP00,2010,0.8138180159999999
Globe,C1BMCHP00,2011,0.7916229792
Globe,C1BMCHP00,2012,0.7669618272
Globe,C1BMCHP00,2013,0.7423006752
Globe,C1BMCHP00,2014,0.7176395232
Globe,C1BMCHP00,2015,0.6954444864
Globe,C1BMCHP00,2016,0.6707833344
Globe,C1BMCHP00,2017,0.6461221824000001
Globe,C1BMCHP00,2018,0.6239271456
Globe,C1BMCHP00,2019,0.5992659936
Globe,C1BMCHP00,2020,0.5883454605636029
Globe,C1BMCHP00,2021,1.8690134007215522
Globe,C1BMCHP00,2022,3.326487483921553
Globe,C1BMCHP00,2023,4.664911315753518
Globe,C1BMCHP00,2024,6.026684533279223
Globe,C1BMCHP00,2025,6.976170535256948
Globe,C1BMCHP00,2026,7.743330170754499
Globe,C1BMCHP00,2027,7.899427345889509
Globe,C1BMCHP00,2028,8.30027499365277
Globe,C1BMCHP00,2029,8.696510166052581
Globe,C1BMCHP00,2030,9.085864216714182
Globe,C1BMCHP00,2031,9.603061336563043
Globe,C1BMCHP00,2032,10.500547445042518
Globe,C1BMCHP00,2033,11.955555413042521
Globe,C1BMCHP00,2034,13.410563381042518
Globe,C1BMCHP00,2035,14.865571349042522
Globe,C1BMCHP00,2036,15.397071129366271
Globe,C1BMCHP00,2037,15.654704721727407
Globe,C1BMCHP00,2038,15.926690994506906
Globe,C1BMCHP00,2039,16.19545312111506
Globe,C1BMCHP00,2040,16.44232354340018
Globe,C1BMCHP00,2041,16.704857945437627
Globe,C1BMCHP00,2042,16.964201839537342
Globe,C1BMCHP00,2043,17.13812274122657
Globe,C1BMCHP00,2044,17.113461589226574
Globe,C1BMCHP00,2045,17.11346158922657
Globe,C1BMCHP00,2046,17.113461589226574
Globe,C1BMCHP00,2047,17.113461589226574
Globe,C1BMCHP00,2048,17.113461589226574
Globe,C1BMCHP00,2049,17.113461589226574
Globe,C1BMCHP00,2050,17.113461589226567
Globe,C1BMCHP00,2051,17.113461589226578
Globe,C1BMCHP00,2052,17.113461589226574
Globe,C1BMCHP00,2053,17.113461589226574
Globe,C1BMCHP00,2054,17.113461589226574
Globe,C1BMCHP00,2055,17.44864887325533
Globe,C1BMCHP00,2056,17.59594962854798
Globe,C1BMCHP00,2057,16.524144768170633
Globe,C1BMCHP00,2058,15.576884372303688
Globe,C1BMCHP00,2059,15.649961990344217
Globe,C1BMCHP00,2060,14.678280951566489
Globe,C1BMHTF03,2010,7.638303024000001
Globe,C1BMHTF03,2011,7.255929024
Globe,C1BMHTF03,2012,6.873555024
Globe,C1BMHTF03,2013,6.494240016
Globe,C1BMHTF03,2014,6.111866016
Globe,C1BMHTF03,2015,5.729492016
Globe,C1BMHTF03,2016,5.347118016
Globe,C1BMHTF03,2017,4.964744016
Globe,C1BMHTF03,2018,4.582370016
Globe,C1BMHTF03,2019,4.199996016
Globe,C1BMHTF03,2020,3.820681008
Globe,C1BMHTF03,2021,3.438307008
Globe,C1BMHTF03,2022,3.055933008
Globe,C1BMHTF03,2023,2.673559008
Globe,C1BMHTF03,2024,2.291185008
Globe,C1BMHTF03,2025,1.908811008
Globe,C1BMHTF03,2026,1.908811008
Globe,C1BMHTF03,2027,1.529496
Globe,C1BMHTF03,2028,1.529496
Globe,C1BMHTF03,2029,1.529496
Globe,C1BMHTF03,2030,1.5294960000000002
Globe,C1BMHTF03,2031,1.5294960000000002
Globe,C1BMHTF03,2032,1.5294960000000002
Globe,C1BMHTF03,2033,1.5294960000000002
Globe,C1BMHTF03,2034,1.5294960000000002
Globe,C1BMHTF03,2035,1.529496
Globe,C1BMHTF03,2036,1.529496
Globe,C1BMHTF03,2037,1.529496
Globe,C1BMHTF03,2038,1.529496
Globe,C1BMHTF03,2039,1.5294960000000002
Globe,C1BMHTF03,2040,1.5294960000000002
Globe,C1BMHTF03,2041,1.5294960000000002
Globe,C1BMHTF03,2042,1.5294960000000002
Globe,C1BMHTF03,2043,1.529496
Globe,C1BMHTF03,2044,1.529496
Globe,C1BMHTF03,2045,1.529496
Globe,C1BMHTF03,2046,1.529496
Globe,C1BMHTF03,2047,1.529496
Globe,C1BMHTF03,2048,1.529496
Globe,C1BMHTF03,2049,1.5294959999999997
Globe,C1BMHTF03,2050,1.5294960000000002
Globe,C1BMHTF03,2051,1.5294960000000004
Globe,C1BMHTF03,2052,1.5294960000000004
Globe,C1BMHTF03,2053,1.5294960000000004
Globe,C1BMHTF03,2054,1.5294960000000004
Globe,C1BMHTF03,2055,1.116383409025834
Globe,C1BMHTF03,2056,0.7129178829306902
Globe,C1BMHTF03,2057,1.529496
Globe,C1BMHTF03,2058,1.529496
Globe,C1BMHTF03,2059,1.529496
Globe,C1BMHTF03,2060,1.529496
Globe,C1BMIGPCS,2044,0.2004571058619662
Globe,C1BMIGPCS,2045,0.3994808363047573
Globe,C1BMIGPCS,2046,0.3994808363047573
Globe,C1BMIGPCS,2047,0.3994808363047573
Globe,C1BMIGPCS,2048,0.5691755877431719
Globe,C1BMIGPCS,2049,1.3052708779871671
Globe,C1BMIGPCS,2050,1.4994492328647366
Globe,C1BMIGPCS,2051,1.5097182542781629
Globe,C1BMIGPCS,2052,1.5180236212998466
Globe,C1BMIGPCS,2053,1.5246515208866849
Globe,C1BMIGPCS,2054,1.524651520886671
Globe,C1BMIGPCS,2055,1.291776651852793
Globe,C1BMIGPCS,2056,1.2769722531125791
Globe,C1BMIGPCS,2057,2.1847019595493804
Globe,C1BMIGPCS,2058,3.422900539573657
Globe,C1BMIGPCS,2059,3.3107320340558073
Globe,C1BMIGPCS,2060,4.531875733402371
Globe,C1BMLP000,2010,6.472425191489362
Globe,C1BMLP000,2011,6.6874376323404245
Globe,C1BMLP000,2012,6.899604099574469
Globe,C1BMLP000,2013,6.396767320851064
Globe,C1BMLP000,2014,5.922118958297872
Globe,C1BMLP000,2015,5.475165440425531
Globe,C1BMLP000,2016,5.015719657021276
Globe,C1BMLP000,2017,4.5923565472340435
Globe,C1BMLP000,2018,4.201118879999999
Globe,C1BMLP000,2019,3.841383196595745
Globe,C1BMLP000,2020,4.441155340781857
Globe,C1BMLP000,2021,4.479600395135693
Globe,C1BMLP000,2022,0.4843466093617033
Globe,C1BMLP000,2023,0.24069836297872246
Globe,C1BMSCP00,2010,0.119156789232
Globe,C1BMSCP00,2011,0.114238497744
Globe,C1BMSCP00,2012,0.10954376495999998
Globe,C1BMSCP00,2013,0.104849032176
Globe,C1BMSCP00,2014,0.09993074068800001
Globe,C1BMSCP00,2016,0.5497706745663866
Globe,C1BMSCP00,2017,0.9547886664
Globe,C1BMSCP00,2018,0.9024373296000001
Globe,C1BMSCP00,2019,0.8500859927999999
Globe,C1BMSCP00,2020,0.797734656
Globe,C1BMSCP00,2021,0.7428903984
Globe,C1BMSCP00,2022,0.6905390616
Globe,C1BMSCP00,2023,0.6381877248
Globe,C1BMSCP00,2024,0.5833434672
Globe,C1BMSCP00,2025,0.5309921304
Globe,C1BMSCP00,2026,0.06182512721996443
Globe,C1BMSCP00,2027,0.423796536
Globe,C1BMSCP00,2028,0.3714451992
Globe,C1BMSCP00,2029,0.3190938624
Globe,C1BMSCP00,2030,0.2667425256
Globe,C1BMSCP00,2031,0.01900248984
Globe,C1BMSCP00,2032,0.014307757055999999
Globe,C1BMSCP00,2033,0.009613024272
Globe,C1BMSCP00,2034,0.004694732784
Globe,C1CO00I00,2010,139.2476
Globe,C1CO00I00,2011,140.3512
Globe,C1CO00I00,2012,141.4548
Globe,C1CO00I00,2013,142.5583
Globe,C1CO00I00,2014,142.55829999999997
Globe,C1CO00I00,2015,142.5583
Globe,C1CO00I00,2016,142.55830000000003
Globe,C1CO00I00,2017,141.5583
Globe,C1CO00I00,2018,140.5583
Globe,C1CO00I00,2019,139.5583
Globe,C1CO00I00,2020,138.5583
Globe,C1CO00I00,2021,134.55830000000003
Globe,C1CO00I00,2022,130.5583
Globe,C1CO00I00,2023,126.55829999999999
Globe,C1CO00I00,2024,122.5583
Globe,C1CO00I00,2025,118.55830000000002
Globe,C1CO00I00,2026,114.55829999999999
Globe,C1CO00I00,2027,114.80032047904697
Globe,C1CO00I00,2028,113.8862692047233
Globe,C1CO00I00,2029,110.77509705580503
Globe,C1CO00I00,2030,105.74057045281785
Globe,C1CO00I00,2031,103.2297507264467
Globe,C1CO00I00,2032,98.70978991442163
Globe,C1CO00I00,2033,94.112361156511
Globe,C1CO00I00,2034,89.55562249510817
Globe,C1CO00I00,2035,84.98784597585731
Globe,C1CO00I00,2036,80.39995758340359
Globe,C1CO00I00,2037,75.74285728149866
Globe,C1CO00I00,2038,71.12874252135823
Globe,C1CO00I00,2039,66.50712349658615
Globe,C1CO00I00,2040,61.80167475935941
Globe,C1CO00I00,2041,59.29399172229182
Globe,C1CO00I00,2042,56.7638165493628
Globe,C1CO00I00,2043,54.23023854370985
Globe,C1CO00I00,2044,51.946587817393265
Globe,C1CO00I00,2045,49.60646736135068
Globe,C1CO00I00,2046,46.8045986213879
Globe,C1CO00I00,2047,43.950542467025436
Globe,C1CO00I00,2048,41.514153281420484
Globe,C1CO00I00,2049,40.369217043325605
Globe,C1CO00I00,2050,37.96609071190341
Globe,C1CO00I00,2051,37.989660574754076
Globe,C1CO00I00,2052,38.008723380619124
Globe,C1CO00I00,2053,38.023935997085864
Globe,C1CO00I00,2054,38.02393599708574
Globe,C1CO00I00,2055,37.48943241553256
Globe,C1CO00I00,2056,37.45545277581344
Globe,C1CO00I00,2057,39.538909789383105
Globe,C1CO00I00,2058,42.38087199184311
Globe,C1CO00I00,2059,42.12341841522708
Globe,C1CO00I00,2060,44.92623558308966
Globe,C1COBRFH1,2010,7.149211200000001
Globe,C1COBRFH1,2011,9.3630384
Globe,C1COBRFH1,2012,11.184758204988851
