REGION,TECHNOLOGY,VALUE
Globe,ALUPLANT,257.52862307709785
Globe,C1BFRDF00,5.865735481333584
Globe,C1BMBRFH1,200.58351749044937
Globe,C1BMBRFN1,115.48357110538993
Globe,C1BMCHP00,548.7255788124911
Globe,C1BMHTF03,129.06807353195634
Globe,C1BMIGPCS,26.868799402269268
Globe,C1BMLP000,65.14989763208777
Globe,C1BMSCP00,9.279010180938352
Globe,C1CO00I00,4448.654064142549
Globe,C1COBRFH1,58.95049010889346
Globe,C1COCHP00,85.27993581190078
Globe,C1COHTF03,2128.9435062427865
Globe,C1COIGP00,0.2268799178399999
Globe,C1COSCP00,941.3706222307997
Globe,C1ELEFF00,4448.895337229008
Globe,C1ELRDF00,428.37106620853604
Globe,C1ELRLF00,765.346178479258
Globe,C1GOCVP00,79.51643458559997
Globe,C1GOHTF03,477.78220624074385
Globe,C1HFGCP00,16.525943333600342
Globe,C1HFGCPCH,27.25918763568882
Globe,C1HFMRF00,7839.400000000002
Globe,C1HPASF01,1904.2201122648933
Globe,C1HTOOTFI,3935.09045438387
Globe,C1HTOOTFR,1227.3512481483845
Globe,C1HYDMP00,989.6474106900992
Globe,C1HYMIP00,31.881763226879993
Globe,C1LFBRFH1,13.572531055614135
Globe,C1LFCCP00,20.46239496380936
Globe,C1LFRDF00,995.0031983101301
Globe,C1LFRLF00,145.6438215207416
Globe,C1NG00I00,3855.384799999996
Globe,C1NGBRFH1,114.9938769624617
Globe,C1NGBRFN1,338.19934735495957
Globe,C1NGCCP00,619.4707245249238
Globe,C1NGCCPCH,289.5814595278159
Globe,C1NGGCP00,28.024452800990517
Globe,C1NGGCPCH,151.17933613334867
Globe,C1NGHTF03,561.5175637345561
Globe,C1NU00I00,1082.0530573399553
Globe,C1NULWP00,399.5030640146535
Globe,C1OI00I00,6393.988899999999
Globe,C1OIHTF03,345.49661605063443
Globe,C1OIRFP00,5899.451029327682
Globe,C1SOC1P00,142.05039873762328
Globe,C1SOTHF00,94.59400550895352
Globe,C1SOV1P00,6.73127999544384
Globe,C1SOV2P00,666.4630183643657
Globe,C1WDOFP00,71.24822203679999
Globe,C1WDONP00,516.9371154624001
Globe,CEMPLANT,461.2079489003051
Globe,FERTPLANT,0.015716525642172994
Globe,LA,211306.9795684236
Globe,LA1,38361.94681528066
Globe,LA1_PROD,38361.94681528066
Globe,LA1_i,38304.03192702662
Globe,LA1_i_PROD,38304.03192702662
Globe,LA2,134641.0008261163
Globe,LA2_PROD,134641.0008261163
Globe,LF,253132.07476567416
Globe,LF1,65535.0
Globe,LF2,187597.0747656742
Globe,LF2_PROD,187597.0747656742
Globe,LO,198900.0
Globe,LandRes,663456.0
Globe,MFOOFACTOR,293.50423384758165
Globe,PAPPLANT,342.35767439245774
Globe,PETAPLANT,0.0003309056485280305
Globe,PETBPLANT,2955.337610140408
Globe,STEPLANT,1306.1218512844525
Globe,VFOOFACTOR,3797.513321492009
Globe,XALUMINE,269.4753363057499
Globe,XCEMMINE,2154.3804995381547
Globe,XPHOMINE,5.058231005793984e-05
Globe,XPOTMINE,1.1001567949521089e-05
Globe,XSTEMINE,2010.0366312064393
