REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_S_ELC,2010,0.978263699
Globe,ID,ALUPLANT,C1_S_ELC,2011,0.982267885
Globe,ID,ALUPLANT,C1_S_ELC,2012,1.010488475
Globe,ID,ALUPLANT,C1_S_ELC,2013,1.038177506
Globe,ID,ALUPLANT,C1_S_ELC,2014,1.065339667
Globe,ID,ALUPLANT,C1_S_ELC,2015,1.091995218
Globe,ID,ALUPLANT,C1_S_ELC,2016,1.118152056
Globe,ID,ALUPLANT,C1_S_ELC,2017,1.143813142
Globe,ID,ALUPLANT,C1_S_ELC,2018,1.169002174
Globe,ID,ALUPLANT,C1_S_ELC,2019,1.193719723
Globe,ID,ALUPLANT,C1_S_ELC,2020,1.217983888
Globe,ID,ALUPLANT,C1_S_ELC,2021,1.219431982
Globe,ID,ALUPLANT,C1_S_ELC,2022,1.220822457
Globe,ID,ALUPLANT,C1_S_ELC,2023,1.222164317
Globe,ID,ALUPLANT,C1_S_ELC,2024,1.223448625
Globe,ID,ALUPLANT,C1_S_ELC,2025,1.224684169
Globe,ID,ALUPLANT,C1_S_ELC,2026,1.225871637
Globe,ID,ALUPLANT,C1_S_ELC,2027,1.227004854
Globe,ID,ALUPLANT,C1_S_ELC,2028,1.228094664
Globe,ID,ALUPLANT,C1_S_ELC,2029,1.229129934
Globe,ID,ALUPLANT,C1_S_ELC,2030,1.230126019
Globe,ID,ALUPLANT,C1_S_ELC,2031,1.231076641
Globe,ID,ALUPLANT,C1_S_ELC,2032,1.231977953
Globe,ID,ALUPLANT,C1_S_ELC,2033,1.232838015
Globe,ID,ALUPLANT,C1_S_ELC,2034,1.233652926
Globe,ID,ALUPLANT,C1_S_ELC,2035,1.234430593
Globe,ID,ALUPLANT,C1_S_ELC,2036,1.235167105
Globe,ID,ALUPLANT,C1_S_ELC,2037,1.235856255
Globe,ID,ALUPLANT,C1_S_ELC,2038,1.236512844
Globe,ID,ALUPLANT,C1_S_ELC,2039,1.23712604
Globe,ID,ALUPLANT,C1_S_ELC,2040,1.237705732
Globe,ID,ALUPLANT,C1_S_ELC,2041,1.238245646
Globe,ID,ALUPLANT,C1_S_ELC,2042,1.238746797
Globe,ID,ALUPLANT,C1_S_ELC,2043,1.239216465
Globe,ID,ALUPLANT,C1_S_ELC,2044,1.239643957
Globe,ID,ALUPLANT,C1_S_ELC,2045,1.352873269
Globe,ID,ALUPLANT,C1_S_ELC,2046,1.353272174
Globe,ID,ALUPLANT,C1_S_ELC,2047,1.353629858
Globe,ID,ALUPLANT,C1_S_ELC,2048,1.353956511
Globe,ID,ALUPLANT,C1_S_ELC,2049,1.354240638
Globe,ID,ALUPLANT,C1_S_ELC,2050,1.354497603
Globe,ID,ALUPLANT,C1_S_ELC,2051,1.354497603
Globe,ID,ALUPLANT,C1_S_ELC,2052,1.354497603
Globe,ID,ALUPLANT,C1_S_ELC,2053,1.354497603
Globe,ID,ALUPLANT,C1_S_ELC,2054,1.354497603
Globe,ID,ALUPLANT,C1_S_ELC,2055,1.354497603
Globe,ID,ALUPLANT,C1_S_ELC,2056,1.354497603
Globe,ID,ALUPLANT,C1_S_ELC,2057,1.354497603
Globe,ID,ALUPLANT,C1_S_ELC,2058,1.354497603
Globe,ID,ALUPLANT,C1_S_ELC,2059,1.354497603
Globe,ID,ALUPLANT,C1_S_ELC,2060,1.354497603
Globe,ID,ALUPLANT,C1_F_HEA_I,2010,0.446900397
Globe,ID,ALUPLANT,C1_F_HEA_I,2011,0.449934648
Globe,ID,ALUPLANT,C1_F_HEA_I,2012,0.464106331
Globe,ID,ALUPLANT,C1_F_HEA_I,2013,0.478105365
Globe,ID,ALUPLANT,C1_F_HEA_I,2014,0.491932324
Globe,ID,ALUPLANT,C1_F_HEA_I,2015,0.505595801
Globe,ID,ALUPLANT,C1_F_HEA_I,2016,0.519099967
Globe,ID,ALUPLANT,C1_F_HEA_I,2017,0.5324415
Globe,ID,ALUPLANT,C1_F_HEA_I,2018,0.545629969
Globe,ID,ALUPLANT,C1_F_HEA_I,2019,0.558665127
Globe,ID,ALUPLANT,C1_F_HEA_I,2020,0.571556272
Globe,ID,ALUPLANT,C1_F_HEA_I,2021,0.573776279
Globe,ID,ALUPLANT,C1_F_HEA_I,2022,0.575976133
Globe,ID,ALUPLANT,C1_F_HEA_I,2023,0.578160982
Globe,ID,ALUPLANT,C1_F_HEA_I,2024,0.580326438
Globe,ID,ALUPLANT,C1_F_HEA_I,2025,0.582479919
Globe,ID,ALUPLANT,C1_F_HEA_I,2026,0.584614761
Globe,ID,ALUPLANT,C1_F_HEA_I,2027,0.586731272
Globe,ID,ALUPLANT,C1_F_HEA_I,2028,0.588834477
Globe,ID,ALUPLANT,C1_F_HEA_I,2029,0.590922356
Globe,ID,ALUPLANT,C1_F_HEA_I,2030,0.592995205
Globe,ID,ALUPLANT,C1_F_HEA_I,2031,0.595053326
Globe,ID,ALUPLANT,C1_F_HEA_I,2032,0.597097068
Globe,ID,ALUPLANT,C1_F_HEA_I,2033,0.599126622
Globe,ID,ALUPLANT,C1_F_HEA_I,2034,0.601140018
Globe,ID,ALUPLANT,C1_F_HEA_I,2035,0.603142115
Globe,ID,ALUPLANT,C1_F_HEA_I,2036,0.605133259
Globe,ID,ALUPLANT,C1_F_HEA_I,2037,0.607106686
Globe,ID,ALUPLANT,C1_F_HEA_I,2038,0.609069566
Globe,ID,ALUPLANT,C1_F_HEA_I,2039,0.611017613
Globe,ID,ALUPLANT,C1_F_HEA_I,2040,0.612957979
Globe,ID,ALUPLANT,C1_F_HEA_I,2041,0.614883844
Globe,ID,ALUPLANT,C1_F_HEA_I,2042,0.616795594
Globe,ID,ALUPLANT,C1_F_HEA_I,2043,0.618697925
Globe,ID,ALUPLANT,C1_F_HEA_I,2044,0.620589008
Globe,ID,ALUPLANT,C1_F_HEA_I,2045,0.679106123
Globe,ID,ALUPLANT,C1_F_HEA_I,2046,0.681144781
Globe,ID,ALUPLANT,C1_F_HEA_I,2047,0.683169227
Globe,ID,ALUPLANT,C1_F_HEA_I,2048,0.685187133
Globe,ID,ALUPLANT,C1_F_HEA_I,2049,0.687188613
Globe,ID,ALUPLANT,C1_F_HEA_I,2050,0.689181293
Globe,ID,ALUPLANT,C1_F_HEA_I,2051,0.689181293
Globe,ID,ALUPLANT,C1_F_HEA_I,2052,0.689181293
Globe,ID,ALUPLANT,C1_F_HEA_I,2053,0.689181293
Globe,ID,ALUPLANT,C1_F_HEA_I,2054,0.689181293
Globe,ID,ALUPLANT,C1_F_HEA_I,2055,0.689181293
Globe,ID,ALUPLANT,C1_F_HEA_I,2056,0.689181293
Globe,ID,ALUPLANT,C1_F_HEA_I,2057,0.689181293
Globe,ID,ALUPLANT,C1_F_HEA_I,2058,0.689181293
Globe,ID,ALUPLANT,C1_F_HEA_I,2059,0.689181293
Globe,ID,ALUPLANT,C1_F_HEA_I,2060,0.689181293
Globe,ID,ALUPLANT,C1_P_HCO,2010,0.375392705
Globe,ID,ALUPLANT,C1_P_HCO,2011,0.378256651
Globe,ID,ALUPLANT,C1_P_HCO,2012,0.390495285
Globe,ID,ALUPLANT,C1_P_HCO,2013,0.402607207
Globe,ID,ALUPLANT,C1_P_HCO,2014,0.414594748
Globe,ID,ALUPLANT,C1_P_HCO,2015,0.426460806
Globe,ID,ALUPLANT,C1_P_HCO,2016,0.43820866
Globe,ID,ALUPLANT,C1_P_HCO,2017,0.449840737
Globe,ID,ALUPLANT,C1_P_HCO,2018,0.46135877
Globe,ID,ALUPLANT,C1_P_HCO,2019,0.472766504
Globe,ID,ALUPLANT,C1_P_HCO,2020,0.484065055
Globe,ID,ALUPLANT,C1_P_HCO,2021,0.486337226
Globe,ID,ALUPLANT,C1_P_HCO,2022,0.488596659
Globe,ID,ALUPLANT,C1_P_HCO,2023,0.490843076
Globe,ID,ALUPLANT,C1_P_HCO,2024,0.493075006
Globe,ID,ALUPLANT,C1_P_HCO,2025,0.495299059
Globe,ID,ALUPLANT,C1_P_HCO,2026,0.497508836
Globe,ID,ALUPLANT,C1_P_HCO,2027,0.499707237
Globe,ID,ALUPLANT,C1_P_HCO,2028,0.501893838
Globe,ID,ALUPLANT,C1_P_HCO,2029,0.504067214
Globe,ID,ALUPLANT,C1_P_HCO,2030,0.506233918
Globe,ID,ALUPLANT,C1_P_HCO,2031,0.508387488
Globe,ID,ALUPLANT,C1_P_HCO,2032,0.510530871
Globe,ID,ALUPLANT,C1_P_HCO,2033,0.512663511
Globe,ID,ALUPLANT,C1_P_HCO,2034,0.514784029
Globe,ID,ALUPLANT,C1_P_HCO,2035,0.516898924
Globe,ID,ALUPLANT,C1_P_HCO,2036,0.519001683
Globe,ID,ALUPLANT,C1_P_HCO,2037,0.521095298
Globe,ID,ALUPLANT,C1_P_HCO,2038,0.52317909
Globe,ID,ALUPLANT,C1_P_HCO,2039,0.525251728
Globe,ID,ALUPLANT,C1_P_HCO,2040,0.527319665
Globe,ID,ALUPLANT,C1_P_HCO,2041,0.529376338
Globe,ID,ALUPLANT,C1_P_HCO,2042,0.531422381
Globe,ID,ALUPLANT,C1_P_HCO,2043,0.53346422
Globe,ID,ALUPLANT,C1_P_HCO,2044,0.535493353
Globe,ID,ALUPLANT,C1_P_HCO,2045,0.58642657
Globe,ID,ALUPLANT,C1_P_HCO,2046,0.588624632
Globe,ID,ALUPLANT,C1_P_HCO,2047,0.590811964
Globe,ID,ALUPLANT,C1_P_HCO,2048,0.592995529
Globe,ID,ALUPLANT,C1_P_HCO,2049,0.595166033
Globe,ID,ALUPLANT,C1_P_HCO,2050,0.59733307
Globe,ID,ALUPLANT,C1_P_HCO,2051,0.59848903
Globe,ID,ALUPLANT,C1_P_HCO,2052,0.59848903
Globe,ID,ALUPLANT,C1_P_HCO,2053,0.59848903
Globe,ID,ALUPLANT,C1_P_HCO,2054,0.59848903
Globe,ID,ALUPLANT,C1_P_HCO,2055,0.59848903
Globe,ID,ALUPLANT,C1_P_HCO,2056,0.59848903
Globe,ID,ALUPLANT,C1_P_HCO,2057,0.59848903
Globe,ID,ALUPLANT,C1_P_HCO,2058,0.59848903
Globe,ID,ALUPLANT,C1_P_HCO,2059,0.59848903
Globe,ID,ALUPLANT,C1_P_HCO,2060,0.59848903
Globe,ID,ALUPLANT,XALU,2010,156.3697776
Globe,ID,ALUPLANT,XALU,2011,158.5935207
Globe,ID,ALUPLANT,XALU,2012,164.7837512
Globe,ID,ALUPLANT,XALU,2013,170.9828
Globe,ID,ALUPLANT,XALU,2014,177.1886398
Globe,ID,ALUPLANT,XALU,2015,183.4028085
Globe,ID,ALUPLANT,XALU,2016,189.6245608
Globe,ID,ALUPLANT,XALU,2017,195.8527127
Globe,ID,ALUPLANT,XALU,2018,202.0885851
Globe,ID,ALUPLANT,XALU,2019,208.3306825
Globe,ID,ALUPLANT,XALU,2020,214.5802361
Globe,ID,ALUPLANT,XALU,2021,216.8588923
Globe,ID,ALUPLANT,XALU,2022,219.1374548
Globe,ID,ALUPLANT,XALU,2023,221.4177164
Globe,ID,ALUPLANT,XALU,2024,223.6978445
Globe,ID,ALUPLANT,XALU,2025,225.9796445
Globe,ID,ALUPLANT,XALU,2026,228.2621911
Globe,ID,ALUPLANT,XALU,2027,230.5445482
Globe,ID,ALUPLANT,XALU,2028,232.8285396
Globe,ID,ALUPLANT,XALU,2029,235.1123063
Globe,ID,ALUPLANT,XALU,2030,237.3976842
Globe,ID,ALUPLANT,XALU,2031,239.6837357
Globe,ID,ALUPLANT,XALU,2032,241.9695132
Globe,ID,ALUPLANT,XALU,2033,244.2568695
Globe,ID,ALUPLANT,XALU,2034,246.5439207
Globe,ID,ALUPLANT,XALU,2035,248.8325309
Globe,ID,ALUPLANT,XALU,2036,251.121751
Globe,ID,ALUPLANT,XALU,2037,253.4106223
