REGION,EMISSION,YEAR,VALUE
Globe,CO2EQ,2010,36.26742
Globe,CO2EQ,2011,36.36913
Globe,CO2EQ,2012,36.47084
Globe,CO2EQ,2013,36.57248
Globe,CO2EQ,2014,36.67419
Globe,CO2EQ,2015,36.77583
Globe,CO2EQ,2016,36.87754
Globe,CO2EQ,2017,36.97918
Globe,CO2EQ,2018,37.08089
Globe,CO2EQ,2019,37.18253
Globe,CO2EQ,2020,37.28424
Globe,CO2EQ,2021,36.79536
Globe,CO2EQ,2022,36.30648
Globe,CO2EQ,2023,35.8176
Globe,CO2EQ,2024,35.32872
Globe,CO2EQ,2025,34.83984
Globe,CO2EQ,2026,34.35089
Globe,CO2EQ,2027,33.86201
Globe,CO2EQ,2028,33.37313
Globe,CO2EQ,2029,32.88425
Globe,CO2EQ,2030,32.39537
Globe,CO2EQ,2031,31.75816
Globe,CO2EQ,2032,31.12095
Globe,CO2EQ,2033,30.48374
Globe,CO2EQ,2034,29.84653
Globe,CO2EQ,2035,29.20925
Globe,CO2EQ,2036,28.57204
Globe,CO2EQ,2037,27.93483
Globe,CO2EQ,2038,27.29762
Globe,CO2EQ,2039,26.66041
Globe,CO2EQ,2040,26.0232
Globe,CO2EQ,2041,25.27784
Globe,CO2EQ,2042,24.53248
Globe,CO2EQ,2043,23.78719
Globe,CO2EQ,2044,23.04183
Globe,CO2EQ,2045,22.29654
Globe,CO2EQ,2046,21.55118
Globe,CO2EQ,2047,20.80589
Globe,CO2EQ,2048,20.06053
Globe,CO2EQ,2049,19.31517
Globe,CO2EQ,2050,18.56988
Globe,CO2EQ,2051,18.02899
Globe,CO2EQ,2052,17.4881
Globe,CO2EQ,2053,16.94728
Globe,CO2EQ,2054,16.40639
Globe,CO2EQ,2055,15.8655
Globe,CO2EQ,2056,15.32468
Globe,CO2EQ,2057,14.78379
Globe,CO2EQ,2058,14.2429
Globe,CO2EQ,2059,13.70208
Globe,CO2EQ,2060,13.16119
Globe,CO2EQ,2061,12.62688
Globe,CO2EQ,2062,12.09257
Globe,CO2EQ,2063,11.55826
Globe,CO2EQ,2064,11.02395
Globe,CO2EQ,2065,10.48964
Globe,CO2EQ,2066,9.95533
Globe,CO2EQ,2067,9.42102
Globe,CO2EQ,2068,8.88664
Globe,CO2EQ,2069,8.35233
Globe,CO2EQ,2070,7.81802
