REGION,FUEL,YEAR,VALUE
Globe,C1_F_CLS,2010,47.2433
Globe,C1_F_CLS,2011,49.12124246
Globe,C1_F_CLS,2012,50.93372049
Globe,C1_F_CLS,2013,52.68251316
Globe,C1_F_CLS,2014,54.36730213
Globe,C1_F_CLS,2015,55.98925747
Globe,C1_F_CLS,2016,57.97881007
Globe,C1_F_CLS,2017,59.95022026
Globe,C1_F_CLS,2018,61.86674242
Globe,C1_F_CLS,2019,63.77379036
Globe,C1_F_CLS,2020,65.68594029
Globe,C1_F_CLS,2021,65.43877864
Globe,C1_F_CLS,2022,65.20824417
Globe,C1_F_CLS,2023,64.99552242
Globe,C1_F_CLS,2024,64.79899148
Globe,C1_F_CLS,2025,64.61728512
Globe,C1_F_CLS,2026,64.52395041
Globe,C1_F_CLS,2027,64.45267989
Globe,C1_F_CLS,2028,64.38210591
Globe,C1_F_CLS,2029,64.31880922
Globe,C1_F_CLS,2030,64.26176079
Globe,C1_F_CLS,2031,65.14282981
Globe,C1_F_CLS,2032,66.02392941
Globe,C1_F_CLS,2033,66.90485682
Globe,C1_F_CLS,2034,67.78390997
Globe,C1_F_CLS,2035,68.65604065
Globe,C1_F_CLS,2036,69.28157795
Globe,C1_F_CLS,2037,69.91142768
Globe,C1_F_CLS,2038,70.54540908
Globe,C1_F_CLS,2039,71.1830121
Globe,C1_F_CLS,2040,71.82408973
Globe,C1_F_CLS,2041,73.47290448
Globe,C1_F_CLS,2042,75.10183237
Globe,C1_F_CLS,2043,76.75580764
Globe,C1_F_CLS,2044,78.4107468
Globe,C1_F_CLS,2045,80.06922361
Globe,C1_F_CLS,2046,81.71607948
Globe,C1_F_CLS,2047,83.36331109
Globe,C1_F_CLS,2048,84.99989623
Globe,C1_F_CLS,2049,86.6355565
Globe,C1_F_CLS,2050,88.2774107
Globe,C1_F_CLS,2051,88.2774107
Globe,C1_F_CLS,2052,88.2774107
Globe,C1_F_CLS,2053,88.2774107
Globe,C1_F_CLS,2054,88.2774107
Globe,C1_F_CLS,2055,88.2774107
Globe,C1_F_CLS,2056,88.2774107
Globe,C1_F_CLS,2057,88.2774107
Globe,C1_F_CLS,2058,88.2774107
Globe,C1_F_CLS,2059,88.2774107
Globe,C1_F_CLS,2060,88.2774107
Globe,C1_F_CLS,2061,88.2774107
Globe,C1_F_CLS,2062,88.2774107
Globe,C1_F_CLS,2063,88.2774107
Globe,C1_F_CLS,2064,88.2774107
Globe,C1_F_CLS,2065,88.2774107
Globe,C1_F_CLS,2066,88.2774107
Globe,C1_F_CLS,2067,88.2774107
Globe,C1_F_CLS,2068,88.2774107
Globe,C1_F_CLS,2069,88.2774107
Globe,C1_F_CLS,2070,88.2774107
Globe,C1_F_HEA_I,2010,33.6207
Globe,C1_F_HEA_I,2011,35.3130316
Globe,C1_F_HEA_I,2012,36.97040407
Globe,C1_F_HEA_I,2013,38.59397443
Globe,C1_F_HEA_I,2014,40.18380016
Globe,C1_F_HEA_I,2015,41.79939587
Globe,C1_F_HEA_I,2016,43.59570829
Globe,C1_F_HEA_I,2017,45.39100445
Globe,C1_F_HEA_I,2018,47.16836953
Globe,C1_F_HEA_I,2019,48.94816776
Globe,C1_F_HEA_I,2020,50.7356199
Globe,C1_F_HEA_I,2021,49.74187643
Globe,C1_F_HEA_I,2022,48.71255034
Globe,C1_F_HEA_I,2023,47.64722131
Globe,C1_F_HEA_I,2024,46.54507958
Globe,C1_F_HEA_I,2025,45.4056654
Globe,C1_F_HEA_I,2026,44.09314954
Globe,C1_F_HEA_I,2027,42.75128217
Globe,C1_F_HEA_I,2028,41.37937901
Globe,C1_F_HEA_I,2029,39.97706323
Globe,C1_F_HEA_I,2030,38.5436369
Globe,C1_F_HEA_I,2031,38.14150019
Globe,C1_F_HEA_I,2032,37.72946859
Globe,C1_F_HEA_I,2033,37.30735973
Globe,C1_F_HEA_I,2034,36.87526656
Globe,C1_F_HEA_I,2035,36.43301094
Globe,C1_F_HEA_I,2036,36.16754738
Globe,C1_F_HEA_I,2037,35.88486602
Globe,C1_F_HEA_I,2038,35.58482965
Globe,C1_F_HEA_I,2039,35.26748686
Globe,C1_F_HEA_I,2040,34.93269834
Globe,C1_F_HEA_I,2041,35.10384391
Globe,C1_F_HEA_I,2042,35.26784782
Globe,C1_F_HEA_I,2043,35.42449729
Globe,C1_F_HEA_I,2044,35.57375007
Globe,C1_F_HEA_I,2045,35.71538389
Globe,C1_F_HEA_I,2046,35.81630512
Globe,C1_F_HEA_I,2047,35.909689
Globe,C1_F_HEA_I,2048,35.99530987
Globe,C1_F_HEA_I,2049,36.07310663
Globe,C1_F_HEA_I,2050,36.14284285
Globe,C1_F_HEA_I,2051,36.14284285
Globe,C1_F_HEA_I,2052,36.14284285
Globe,C1_F_HEA_I,2053,36.14284285
Globe,C1_F_HEA_I,2054,36.14284285
Globe,C1_F_HEA_I,2055,36.14284285
Globe,C1_F_HEA_I,2056,36.14284285
Globe,C1_F_HEA_I,2057,36.14284285
Globe,C1_F_HEA_I,2058,36.14284285
Globe,C1_F_HEA_I,2059,36.14284285
Globe,C1_F_HEA_I,2060,36.14284285
Globe,C1_F_HEA_I,2061,36.14284285
Globe,C1_F_HEA_I,2062,36.14284285
Globe,C1_F_HEA_I,2063,36.14284285
Globe,C1_F_HEA_I,2064,36.14284285
Globe,C1_F_HEA_I,2065,36.14284285
Globe,C1_F_HEA_I,2066,36.14284285
Globe,C1_F_HEA_I,2067,36.14284285
Globe,C1_F_HEA_I,2068,36.14284285
Globe,C1_F_HEA_I,2069,36.14284285
Globe,C1_F_HEA_I,2070,36.14284285
Globe,C1_F_HEA_R,2010,77.254
Globe,C1_F_HEA_R,2011,74.07747099
Globe,C1_F_HEA_R,2012,74.36561876
Globe,C1_F_HEA_R,2013,74.3647416
Globe,C1_F_HEA_R,2014,74.07783636
Globe,C1_F_HEA_R,2015,74.31688685
Globe,C1_F_HEA_R,2016,75.18258291
Globe,C1_F_HEA_R,2017,76.0132561
Globe,C1_F_HEA_R,2018,76.7477825
Globe,C1_F_HEA_R,2019,77.4603375
Globe,C1_F_HEA_R,2020,78.1752602
Globe,C1_F_HEA_R,2021,76.51889496
Globe,C1_F_HEA_R,2022,74.81479372
Globe,C1_F_HEA_R,2023,73.06222612
Globe,C1_F_HEA_R,2024,71.26016669
Globe,C1_F_HEA_R,2025,69.40784932
Globe,C1_F_HEA_R,2026,67.49023127
Globe,C1_F_HEA_R,2027,65.52154497
Globe,C1_F_HEA_R,2028,63.5008856
Globe,C1_F_HEA_R,2029,61.42732689
Globe,C1_F_HEA_R,2030,59.29992039
Globe,C1_F_HEA_R,2031,58.58831079
Globe,C1_F_HEA_R,2032,57.86445504
Globe,C1_F_HEA_R,2033,57.12843906
Globe,C1_F_HEA_R,2034,56.38007293
Globe,C1_F_HEA_R,2035,55.61943721
Globe,C1_F_HEA_R,2036,54.80390842
Globe,C1_F_HEA_R,2037,53.97753347
Globe,C1_F_HEA_R,2038,53.1402031
Globe,C1_F_HEA_R,2039,52.29199402
Globe,C1_F_HEA_R,2040,51.4327952
Globe,C1_F_HEA_R,2041,51.26211085
Globe,C1_F_HEA_R,2042,51.08587694
Globe,C1_F_HEA_R,2043,50.90385459
Globe,C1_F_HEA_R,2044,50.71603572
Globe,C1_F_HEA_R,2045,50.52217563
Globe,C1_F_HEA_R,2046,50.28687436
Globe,C1_F_HEA_R,2047,50.04577608
Globe,C1_F_HEA_R,2048,49.79880706
Globe,C1_F_HEA_R,2049,49.54571999
Globe,C1_F_HEA_R,2050,49.28643352
Globe,C1_F_HEA_R,2051,49.28643352
Globe,C1_F_HEA_R,2052,49.28643352
Globe,C1_F_HEA_R,2053,49.28643352
Globe,C1_F_HEA_R,2054,49.28643352
Globe,C1_F_HEA_R,2055,49.28643352
Globe,C1_F_HEA_R,2056,49.28643352
Globe,C1_F_HEA_R,2057,49.28643352
Globe,C1_F_HEA_R,2058,49.28643352
Globe,C1_F_HEA_R,2059,49.28643352
Globe,C1_F_HEA_R,2060,49.28643352
Globe,C1_F_HEA_R,2061,49.28643352
Globe,C1_F_HEA_R,2062,49.28643352
Globe,C1_F_HEA_R,2063,49.28643352
Globe,C1_F_HEA_R,2064,49.28643352
Globe,C1_F_HEA_R,2065,49.28643352
Globe,C1_F_HEA_R,2066,49.28643352
Globe,C1_F_HEA_R,2067,49.28643352
Globe,C1_F_HEA_R,2068,49.28643352
Globe,C1_F_HEA_R,2069,49.28643352
Globe,C1_F_HEA_R,2070,49.28643352
