REGION,TECHNOLOGY,VALUE
Globe,ALUPLANT,1.0
Globe,BACKSTOP,31.536
Globe,C1BFRDF00,1.0
Globe,C1BMBRFH1,31.536
Globe,C1BMBRFN1,31.536
Globe,C1BMCHP00,31.536
Globe,C1BMHTF03,31.536
Globe,C1BMIGPCS,31.536
Globe,C1BMLP000,1.0
Globe,C1BMSCP00,31.536
Globe,C1CO00I00,1.0
Globe,C1COBRFH1,31.536
Globe,C1COCHP00,31.536
Globe,C1COHTF03,31.536
Globe,C1COIGP00,31.536
Globe,C1COLP000,1.0
Globe,C1COSCP00,31.536
Globe,C1COSCPCS,31.536
Globe,C1COSF000,1.0
Globe,C1ELEFF00,1.0
Globe,C1ELRDF00,1.0
Globe,C1ELRLF00,1.0
Globe,C1GOCVP00,31.536
Globe,C1GOHTF03,31.536
Globe,C1HFGCP00,31.536
Globe,C1HFGCPCH,31.536
Globe,C1HFMRF00,1.0
Globe,C1HTOOTFI,1.0
Globe,C1HTOOTFR,1.0
Globe,C1HYDMP00,31.536
Globe,C1HYMIP00,31.536
Globe,C1LFAVF00,1.0
Globe,C1LFBRFH1,31.536
Globe,C1LFBRFN1,31.536
Globe,C1LFCCP00,31.536
Globe,C1LFRDF00,1.0
Globe,C1LFRLF00,1.0
Globe,C1NG00I00,1.0
Globe,C1NGBRFH1,31.536
Globe,C1NGBRFN1,31.536
Globe,C1NGCCP00,31.536
Globe,C1NGCCPCH,31.536
Globe,C1NGCCPCS,31.536
Globe,C1NGGCP00,31.536
Globe,C1NGGCPCH,31.536
Globe,C1NGHTF03,31.536
Globe,C1NGLP000,1.0
Globe,C1NU00I00,1.0
Globe,C1NULWP00,31.536
Globe,C1OCCVP00,31.536
Globe,C1OI00I00,1.0
Globe,C1OIHTF03,31.536
Globe,C1OIRFP00,1.0
Globe,C1SOC1P00,31.536
Globe,C1SOTHF00,31.536
Globe,C1SOV1P00,31.536
Globe,C1SOV2P00,31.536
Globe,C1WDOFP00,31.536
Globe,C1WDONP00,31.536
Globe,CEMPLANT,1.0
Globe,DUMMYALU,1.0
Globe,DUMMYC,1.0
Globe,DUMMYCEM,1.0
Globe,DUMMYH_I,1.0
Globe,DUMMYH_R,1.0
Globe,DUMMYM,1.0
Globe,DUMMYMFOO,1.0
Globe,DUMMYPAP,1.0
Globe,DUMMYPETB,1.0
Globe,DUMMYRD,1.0
Globe,DUMMYRL,1.0
Globe,DUMMYSTE,1.0
Globe,DUMMYVFOO,1.0
Globe,FERTPLANT,1.0
Globe,FRSTFACTOR,1.0
Globe,LA,1.0
Globe,LA1,1.0
Globe,LA1_i,1.0
Globe,LA1_i_PROD,1.0
Globe,LA1_PROD,1.0
Globe,LA2,1.0
Globe,LA2_PROD,1.0
Globe,LA3,1.0
Globe,LA4,1.0
Globe,LA5,1.0
Globe,LandRes,1.0
Globe,LF,1.0
Globe,LF1,1.0
Globe,LF2,1.0
Globe,LF2_PROD,1.0
Globe,LO,1.0
Globe,MFOOFACTOR,1.0
Globe,PAPPLANT,1.0
Globe,PETAPLANT,1.0
Globe,PETBPLANT,1.0
Globe,STEPLANT,1.0
Globe,TECHBIOCONV,1.0
Globe,VFOOFACTOR,1.0
Globe,XALUMINE,1.0
Globe,XCEMMINE,1.0
Globe,XPHOMINE,1.0
Globe,XPOTMINE,1.0
Globe,XSTEMINE,1.0
