REGION,FUEL,YEAR,VALUE
Globe,C1_F_CLS,2010,47.2433
Globe,C1_F_CLS,2011,49.316
Globe,C1_F_CLS,2012,51.3265
Globe,C1_F_CLS,2013,53.2756
Globe,C1_F_CLS,2014,55.1621
Globe,C1_F_CLS,2015,56.9864
Globe,C1_F_CLS,2016,59.1872
Globe,C1_F_CLS,2017,61.3727
Globe,C1_F_CLS,2018,63.5048
Globe,C1_F_CLS,2019,65.6296
Globe,C1_F_CLS,2020,67.7619
Globe,C1_F_CLS,2021,69.5465
Globe,C1_F_CLS,2022,71.3328
Globe,C1_F_CLS,2023,73.1237
Globe,C1_F_CLS,2024,74.919
Globe,C1_F_CLS,2025,76.7186
Globe,C1_F_CLS,2026,78.6135
Globe,C1_F_CLS,2027,80.5291
Globe,C1_F_CLS,2028,82.4401
Globe,C1_F_CLS,2029,84.3552
Globe,C1_F_CLS,2030,86.2737
Globe,C1_F_CLS,2031,88.3751
Globe,C1_F_CLS,2032,90.4801
Globe,C1_F_CLS,2033,92.5883
Globe,C1_F_CLS,2034,94.6972
Globe,C1_F_CLS,2035,96.7995
Globe,C1_F_CLS,2036,98.5539
Globe,C1_F_CLS,2037,100.3112
Globe,C1_F_CLS,2038,102.0714
Globe,C1_F_CLS,2039,103.834
Globe,C1_F_CLS,2040,105.599
Globe,C1_F_CLS,2041,107.209
Globe,C1_F_CLS,2042,108.7908
Globe,C1_F_CLS,2043,110.4096
Globe,C1_F_CLS,2044,112.0302
Globe,C1_F_CLS,2045,113.6562
Globe,C1_F_CLS,2046,115.2661
Globe,C1_F_CLS,2047,116.877
Globe,C1_F_CLS,2048,118.4735
Globe,C1_F_CLS,2049,120.0693
Globe,C1_F_CLS,2050,121.6742
Globe,C1_F_CLS,2051,121.6742
Globe,C1_F_CLS,2052,121.6742
Globe,C1_F_CLS,2053,121.6742
Globe,C1_F_CLS,2054,121.6742
Globe,C1_F_CLS,2055,121.6742
Globe,C1_F_CLS,2056,121.6742
Globe,C1_F_CLS,2057,121.6742
Globe,C1_F_CLS,2058,121.6742
Globe,C1_F_CLS,2059,121.6742
Globe,C1_F_CLS,2060,121.6742
Globe,C1_F_CLS,2061,121.6742
Globe,C1_F_CLS,2062,121.6742
Globe,C1_F_CLS,2063,121.6742
Globe,C1_F_CLS,2064,121.6742
Globe,C1_F_CLS,2065,121.6742
Globe,C1_F_CLS,2066,121.6742
Globe,C1_F_CLS,2067,121.6742
Globe,C1_F_CLS,2068,121.6742
Globe,C1_F_CLS,2069,121.6742
Globe,C1_F_CLS,2070,121.6742
Globe,C1_F_HEA_I,2010,33.6207
Globe,C1_F_HEA_I,2011,35.3416
Globe,C1_F_HEA_I,2012,37.0304
Globe,C1_F_HEA_I,2013,38.6882
Globe,C1_F_HEA_I,2014,40.315
Globe,C1_F_HEA_I,2015,41.9705
Globe,C1_F_HEA_I,2016,43.8105
Globe,C1_F_HEA_I,2017,45.6527
Globe,C1_F_HEA_I,2018,47.4801
Globe,C1_F_HEA_I,2019,49.3132
Globe,C1_F_HEA_I,2020,51.1573
Globe,C1_F_HEA_I,2021,51.5313
Globe,C1_F_HEA_I,2022,51.9052
Globe,C1_F_HEA_I,2023,52.2792
Globe,C1_F_HEA_I,2024,52.6531
Globe,C1_F_HEA_I,2025,53.0271
Globe,C1_F_HEA_I,2026,53.238
Globe,C1_F_HEA_I,2027,53.449
Globe,C1_F_HEA_I,2028,53.6599
Globe,C1_F_HEA_I,2029,53.8709
Globe,C1_F_HEA_I,2030,54.0818
Globe,C1_F_HEA_I,2031,54.4227
Globe,C1_F_HEA_I,2032,54.7637
Globe,C1_F_HEA_I,2033,55.1046
Globe,C1_F_HEA_I,2034,55.4456
Globe,C1_F_HEA_I,2035,55.7865
Globe,C1_F_HEA_I,2036,56.419
Globe,C1_F_HEA_I,2037,57.0515
Globe,C1_F_HEA_I,2038,57.6839
Globe,C1_F_HEA_I,2039,58.3164
Globe,C1_F_HEA_I,2040,58.9489
Globe,C1_F_HEA_I,2041,59.5767
Globe,C1_F_HEA_I,2042,60.2045
Globe,C1_F_HEA_I,2043,60.8322
Globe,C1_F_HEA_I,2044,61.46
Globe,C1_F_HEA_I,2045,62.0878
Globe,C1_F_HEA_I,2046,62.658
Globe,C1_F_HEA_I,2047,63.2282
Globe,C1_F_HEA_I,2048,63.7983
Globe,C1_F_HEA_I,2049,64.3685
Globe,C1_F_HEA_I,2050,64.9387
Globe,C1_F_HEA_I,2051,64.9387
Globe,C1_F_HEA_I,2052,64.9387
Globe,C1_F_HEA_I,2053,64.9387
Globe,C1_F_HEA_I,2054,64.9387
Globe,C1_F_HEA_I,2055,64.9387
Globe,C1_F_HEA_I,2056,64.9387
Globe,C1_F_HEA_I,2057,64.9387
Globe,C1_F_HEA_I,2058,64.9387
Globe,C1_F_HEA_I,2059,64.9387
Globe,C1_F_HEA_I,2060,64.9387
Globe,C1_F_HEA_I,2061,64.9387
Globe,C1_F_HEA_I,2062,64.9387
Globe,C1_F_HEA_I,2063,64.9387
Globe,C1_F_HEA_I,2064,64.9387
Globe,C1_F_HEA_I,2065,64.9387
Globe,C1_F_HEA_I,2066,64.9387
Globe,C1_F_HEA_I,2067,64.9387
Globe,C1_F_HEA_I,2068,64.9387
Globe,C1_F_HEA_I,2069,64.9387
Globe,C1_F_HEA_I,2070,64.9387
Globe,C1_F_HEA_R,2010,77.254
Globe,C1_F_HEA_R,2011,74.1374
Globe,C1_F_HEA_R,2012,74.4863
Globe,C1_F_HEA_R,2013,74.5463
Globe,C1_F_HEA_R,2014,74.3197
Globe,C1_F_HEA_R,2015,74.6211
Globe,C1_F_HEA_R,2016,75.553
Globe,C1_F_HEA_R,2017,76.4515
Globe,C1_F_HEA_R,2018,77.255
Globe,C1_F_HEA_R,2019,78.038
Globe,C1_F_HEA_R,2020,78.825
Globe,C1_F_HEA_R,2021,79.2716
Globe,C1_F_HEA_R,2022,79.7182
Globe,C1_F_HEA_R,2023,80.1649
Globe,C1_F_HEA_R,2024,80.6115
Globe,C1_F_HEA_R,2025,81.0581
Globe,C1_F_HEA_R,2026,81.4876
Globe,C1_F_HEA_R,2027,81.9171
Globe,C1_F_HEA_R,2028,82.3466
Globe,C1_F_HEA_R,2029,82.7761
Globe,C1_F_HEA_R,2030,83.2056
Globe,C1_F_HEA_R,2031,83.5975
Globe,C1_F_HEA_R,2032,83.9893
Globe,C1_F_HEA_R,2033,84.3812
Globe,C1_F_HEA_R,2034,84.773
Globe,C1_F_HEA_R,2035,85.1649
Globe,C1_F_HEA_R,2036,85.4905
Globe,C1_F_HEA_R,2037,85.8161
Globe,C1_F_HEA_R,2038,86.1416
Globe,C1_F_HEA_R,2039,86.4672
Globe,C1_F_HEA_R,2040,86.7928
Globe,C1_F_HEA_R,2041,86.9998
Globe,C1_F_HEA_R,2042,87.2069
Globe,C1_F_HEA_R,2043,87.4139
Globe,C1_F_HEA_R,2044,87.621
Globe,C1_F_HEA_R,2045,87.828
Globe,C1_F_HEA_R,2046,87.9732
Globe,C1_F_HEA_R,2047,88.1184
Globe,C1_F_HEA_R,2048,88.2637
Globe,C1_F_HEA_R,2049,88.4089
Globe,C1_F_HEA_R,2050,88.5541
Globe,C1_F_HEA_R,2051,88.5541
Globe,C1_F_HEA_R,2052,88.5541
Globe,C1_F_HEA_R,2053,88.5541
Globe,C1_F_HEA_R,2054,88.5541
Globe,C1_F_HEA_R,2055,88.5541
Globe,C1_F_HEA_R,2056,88.5541
Globe,C1_F_HEA_R,2057,88.5541
Globe,C1_F_HEA_R,2058,88.5541
Globe,C1_F_HEA_R,2059,88.5541
Globe,C1_F_HEA_R,2060,88.5541
Globe,C1_F_HEA_R,2061,88.5541
Globe,C1_F_HEA_R,2062,88.5541
Globe,C1_F_HEA_R,2063,88.5541
Globe,C1_F_HEA_R,2064,88.5541
Globe,C1_F_HEA_R,2065,88.5541
Globe,C1_F_HEA_R,2066,88.5541
Globe,C1_F_HEA_R,2067,88.5541
Globe,C1_F_HEA_R,2068,88.5541
Globe,C1_F_HEA_R,2069,88.5541
Globe,C1_F_HEA_R,2070,88.5541
