REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.5668
Globe,C1BFRDF00,2014,0.5288
Globe,C1BFRDF00,2015,0.4927
Globe,C1BFRDF00,2016,0.4549
Globe,C1BFRDF00,2017,0.4198
Globe,C1BFRDF00,2018,0.3871
Globe,C1BFRDF00,2019,0.3568
Globe,C1BFRDF00,2020,0.3287
Globe,C1BFRDF00,2021,0.0
Globe,C1BFRDF00,2022,0.0
Globe,C1BFRDF00,2023,0.0
Globe,C1BFRDF00,2024,0.0
Globe,C1BFRDF00,2025,0.0
Globe,C1BFRDF00,2026,0.0
Globe,C1BFRDF00,2027,0.0
Globe,C1BFRDF00,2028,0.0
Globe,C1BFRDF00,2029,0.0
Globe,C1BFRDF00,2030,0.0
Globe,C1BFRDF00,2031,0.0
Globe,C1BFRDF00,2032,0.0
Globe,C1BFRDF00,2033,0.0
Globe,C1BFRDF00,2034,0.0
Globe,C1BFRDF00,2035,0.0
Globe,C1BFRDF00,2036,0.0
Globe,C1BFRDF00,2037,0.0
Globe,C1BFRDF00,2038,0.0
Globe,C1BFRDF00,2039,0.0
Globe,C1BFRDF00,2040,0.0
Globe,C1BFRDF00,2041,0.0
Globe,C1BFRDF00,2042,0.0
Globe,C1BFRDF00,2043,0.0
Globe,C1BFRDF00,2044,0.0
Globe,C1BFRDF00,2045,0.0
Globe,C1BFRDF00,2046,0.0
Globe,C1BFRDF00,2047,0.0
Globe,C1BFRDF00,2048,0.0
Globe,C1BFRDF00,2049,0.0
Globe,C1BFRDF00,2050,0.0
Globe,C1BFRDF00,2051,0.0
Globe,C1BFRDF00,2052,0.0
Globe,C1BFRDF00,2053,0.0
Globe,C1BFRDF00,2054,0.0
Globe,C1BFRDF00,2055,0.0
Globe,C1BFRDF00,2056,0.0
Globe,C1BFRDF00,2057,0.0
Globe,C1BFRDF00,2058,0.0
Globe,C1BFRDF00,2059,0.0
Globe,C1BFRDF00,2060,0.0
Globe,C1BFRDF00,2061,0.0
Globe,C1BFRDF00,2062,0.0
Globe,C1BFRDF00,2063,0.0
Globe,C1BFRDF00,2064,0.0
Globe,C1BFRDF00,2065,0.0
Globe,C1BFRDF00,2066,0.0
Globe,C1BFRDF00,2067,0.0
Globe,C1BFRDF00,2068,0.0
Globe,C1BFRDF00,2069,0.0
Globe,C1BFRDF00,2070,0.0
Globe,C1CO00I00,2010,139.2476
Globe,C1CO00I00,2011,140.3512
Globe,C1CO00I00,2012,141.4548
Globe,C1CO00I00,2013,142.5583
Globe,C1CO00I00,2014,143.6619
Globe,C1CO00I00,2015,144.7655
Globe,C1CO00I00,2016,145.869
Globe,C1CO00I00,2017,146.9726
Globe,C1CO00I00,2018,148.0762
Globe,C1CO00I00,2019,149.1797
Globe,C1CO00I00,2020,150.0
Globe,C1CO00I00,2021,144.4
Globe,C1CO00I00,2022,138.8
Globe,C1CO00I00,2023,133.2
Globe,C1CO00I00,2024,127.6
Globe,C1CO00I00,2025,122.0
Globe,C1CO00I00,2026,117.0
Globe,C1CO00I00,2027,112.0
Globe,C1CO00I00,2028,107.0
Globe,C1CO00I00,2029,102.0
Globe,C1CO00I00,2030,97.0
Globe,C1CO00I00,2031,94.0
Globe,C1CO00I00,2032,91.0
Globe,C1CO00I00,2033,88.0
Globe,C1CO00I00,2034,85.0
Globe,C1CO00I00,2035,82.0
Globe,C1CO00I00,2036,81.8
Globe,C1CO00I00,2037,81.6
Globe,C1CO00I00,2038,81.4
Globe,C1CO00I00,2039,81.2
Globe,C1CO00I00,2040,81.0
Globe,C1CO00I00,2041,81.2
Globe,C1CO00I00,2042,81.4
Globe,C1CO00I00,2043,81.6
Globe,C1CO00I00,2044,81.8
Globe,C1CO00I00,2045,82.0
Globe,C1CO00I00,2046,82.0
Globe,C1CO00I00,2047,82.0
Globe,C1CO00I00,2048,82.0
Globe,C1CO00I00,2049,82.0
Globe,C1CO00I00,2050,82.0
Globe,C1CO00I00,2051,82.0
Globe,C1CO00I00,2052,82.0
Globe,C1CO00I00,2053,82.0
Globe,C1CO00I00,2054,82.0
Globe,C1CO00I00,2055,82.0
Globe,C1CO00I00,2056,82.0
Globe,C1CO00I00,2057,82.0
Globe,C1CO00I00,2058,82.0
Globe,C1CO00I00,2059,82.0
Globe,C1CO00I00,2060,82.0
Globe,C1CO00I00,2061,82.0
Globe,C1CO00I00,2062,82.0
Globe,C1CO00I00,2063,82.0
Globe,C1CO00I00,2064,82.0
Globe,C1CO00I00,2065,82.0
Globe,C1CO00I00,2066,82.0
Globe,C1CO00I00,2067,82.0
Globe,C1CO00I00,2068,82.0
Globe,C1CO00I00,2069,82.0
Globe,C1CO00I00,2070,82.0
Globe,C1ELRLF00,2010,2.97
Globe,C1ELRLF00,2011,3.03
Globe,C1ELRLF00,2012,3.1
Globe,C1ELRLF00,2013,2.0
Globe,C1ELRLF00,2014,2.0
Globe,C1ELRLF00,2015,2.0
Globe,C1ELRLF00,2016,0.0
Globe,C1ELRLF00,2017,0.0
Globe,C1ELRLF00,2018,0.0
Globe,C1ELRLF00,2019,0.0
Globe,C1ELRLF00,2020,0.0
Globe,C1ELRLF00,2021,0.0
Globe,C1ELRLF00,2022,0.0
Globe,C1ELRLF00,2023,0.0
Globe,C1ELRLF00,2024,0.0
Globe,C1ELRLF00,2025,0.0
Globe,C1ELRLF00,2026,0.0
Globe,C1ELRLF00,2027,0.0
Globe,C1ELRLF00,2028,0.0
