REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,0.0
Globe,ALUPLANT,2011,0.0
Globe,ALUPLANT,2012,0.0
Globe,ALUPLANT,2013,0.0
Globe,ALUPLANT,2014,0.0
Globe,ALUPLANT,2015,0.0
Globe,ALUPLANT,2016,0.0
Globe,ALUPLANT,2017,0.0
Globe,ALUPLANT,2018,0.0
Globe,ALUPLANT,2019,0.0
Globe,ALUPLANT,2020,0.0
Globe,ALUPLANT,2021,0.0
Globe,ALUPLANT,2022,0.0
Globe,ALUPLANT,2023,0.0
Globe,ALUPLANT,2024,0.0
Globe,ALUPLANT,2025,0.0
Globe,ALUPLANT,2026,0.0
Globe,ALUPLANT,2027,0.0
Globe,ALUPLANT,2028,0.0
Globe,ALUPLANT,2029,0.0
Globe,ALUPLANT,2030,0.0
Globe,ALUPLANT,2031,0.0
Globe,ALUPLANT,2032,0.0
Globe,ALUPLANT,2033,0.0
Globe,ALUPLANT,2034,0.0
Globe,ALUPLANT,2035,0.0
Globe,ALUPLANT,2036,0.0
Globe,ALUPLANT,2037,0.0
Globe,ALUPLANT,2038,0.0
Globe,ALUPLANT,2039,0.0
Globe,ALUPLANT,2040,0.0
Globe,ALUPLANT,2041,0.0
Globe,ALUPLANT,2042,0.0
Globe,ALUPLANT,2043,0.0
Globe,ALUPLANT,2044,0.0
Globe,ALUPLANT,2045,0.0
Globe,ALUPLANT,2046,0.0
Globe,ALUPLANT,2047,0.0
Globe,ALUPLANT,2048,0.0
Globe,ALUPLANT,2049,0.0
Globe,ALUPLANT,2050,0.0
Globe,ALUPLANT,2051,0.0
Globe,ALUPLANT,2052,0.0
Globe,ALUPLANT,2053,0.0
Globe,ALUPLANT,2054,0.0
Globe,ALUPLANT,2055,0.0
Globe,ALUPLANT,2056,0.0
Globe,ALUPLANT,2057,0.0
Globe,ALUPLANT,2058,0.0
Globe,ALUPLANT,2059,0.0
Globe,ALUPLANT,2060,0.0
Globe,ALUPLANT,2061,0.0
Globe,ALUPLANT,2062,0.0
Globe,ALUPLANT,2063,0.0
Globe,ALUPLANT,2064,0.0
Globe,ALUPLANT,2065,0.0
Globe,ALUPLANT,2066,0.0
Globe,ALUPLANT,2067,0.0
Globe,ALUPLANT,2068,0.0
Globe,ALUPLANT,2069,0.0
Globe,ALUPLANT,2070,0.0
Globe,BACKSTOP,2010,0.0
Globe,BACKSTOP,2011,0.0
Globe,BACKSTOP,2012,0.0
Globe,BACKSTOP,2013,0.0
Globe,BACKSTOP,2014,0.0
Globe,BACKSTOP,2015,0.0
Globe,BACKSTOP,2016,0.0
Globe,BACKSTOP,2017,0.0
Globe,BACKSTOP,2018,0.0
Globe,BACKSTOP,2019,0.0
Globe,BACKSTOP,2020,0.0
Globe,BACKSTOP,2021,0.0
Globe,BACKSTOP,2022,0.0
Globe,BACKSTOP,2023,0.0
Globe,BACKSTOP,2024,0.0
Globe,BACKSTOP,2025,0.0
Globe,BACKSTOP,2026,0.0
Globe,BACKSTOP,2027,0.0
Globe,BACKSTOP,2028,0.0
Globe,BACKSTOP,2029,0.0
Globe,BACKSTOP,2030,0.0
Globe,BACKSTOP,2031,0.0
Globe,BACKSTOP,2032,0.0
Globe,BACKSTOP,2033,0.0
Globe,BACKSTOP,2034,0.0
Globe,BACKSTOP,2035,0.0
Globe,BACKSTOP,2036,0.0
Globe,BACKSTOP,2037,0.0
Globe,BACKSTOP,2038,0.0
Globe,BACKSTOP,2039,0.0
Globe,BACKSTOP,2040,0.0
Globe,BACKSTOP,2041,0.0
Globe,BACKSTOP,2042,0.0
Globe,BACKSTOP,2043,0.0
Globe,BACKSTOP,2044,0.0
Globe,BACKSTOP,2045,0.0
Globe,BACKSTOP,2046,0.0
Globe,BACKSTOP,2047,0.0
Globe,BACKSTOP,2048,0.0
Globe,BACKSTOP,2049,0.0
Globe,BACKSTOP,2050,0.0
Globe,BACKSTOP,2051,0.0
Globe,BACKSTOP,2052,0.0
Globe,BACKSTOP,2053,0.0
Globe,BACKSTOP,2054,0.0
Globe,BACKSTOP,2055,0.0
Globe,BACKSTOP,2056,0.0
Globe,BACKSTOP,2057,0.0
Globe,BACKSTOP,2058,0.0
Globe,BACKSTOP,2059,0.0
Globe,BACKSTOP,2060,0.0
Globe,BACKSTOP,2061,0.0
Globe,BACKSTOP,2062,0.0
Globe,BACKSTOP,2063,0.0
Globe,BACKSTOP,2064,0.0
Globe,BACKSTOP,2065,0.0
Globe,BACKSTOP,2066,0.0
Globe,BACKSTOP,2067,0.0
Globe,BACKSTOP,2068,0.0
Globe,BACKSTOP,2069,0.0
Globe,BACKSTOP,2070,0.0
Globe,C1BFRDF00,2010,0.0
Globe,C1BFRDF00,2011,0.0
Globe,C1BFRDF00,2012,0.0
Globe,C1BFRDF00,2013,0.0
Globe,C1BFRDF00,2014,0.0
Globe,C1BFRDF00,2015,0.0
Globe,C1BFRDF00,2016,0.0
Globe,C1BFRDF00,2017,0.0
Globe,C1BFRDF00,2018,0.0
Globe,C1BFRDF00,2019,0.0
Globe,C1BFRDF00,2020,0.0
Globe,C1BFRDF00,2021,0.0
Globe,C1BFRDF00,2022,0.0
Globe,C1BFRDF00,2023,0.0
Globe,C1BFRDF00,2024,0.0
Globe,C1BFRDF00,2025,0.0
Globe,C1BFRDF00,2026,0.0
Globe,C1BFRDF00,2027,0.0
Globe,C1BFRDF00,2028,0.0
Globe,C1BFRDF00,2029,0.0
Globe,C1BFRDF00,2030,0.0
Globe,C1BFRDF00,2031,0.0
Globe,C1BFRDF00,2032,0.0
Globe,C1BFRDF00,2033,0.0
Globe,C1BFRDF00,2034,0.0
Globe,C1BFRDF00,2035,0.0
Globe,C1BFRDF00,2036,0.0
Globe,C1BFRDF00,2037,0.0
Globe,C1BFRDF00,2038,0.0
Globe,C1BFRDF00,2039,0.0
Globe,C1BFRDF00,2040,0.0
Globe,C1BFRDF00,2041,0.0
Globe,C1BFRDF00,2042,0.0
Globe,C1BFRDF00,2043,0.0
Globe,C1BFRDF00,2044,0.0
Globe,C1BFRDF00,2045,0.0
Globe,C1BFRDF00,2046,0.0
Globe,C1BFRDF00,2047,0.0
Globe,C1BFRDF00,2048,0.0
Globe,C1BFRDF00,2049,0.0
Globe,C1BFRDF00,2050,0.0
Globe,C1BFRDF00,2051,0.0
Globe,C1BFRDF00,2052,0.0
