REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,99999.0
Globe,ALUPLANT,2011,99999.0
Globe,ALUPLANT,2012,99999.0
Globe,ALUPLANT,2013,99999.0
Globe,ALUPLANT,2014,99999.0
Globe,ALUPLANT,2015,99999.0
Globe,ALUPLANT,2016,99999.0
Globe,ALUPLANT,2017,99999.0
Globe,ALUPLANT,2018,99999.0
Globe,ALUPLANT,2019,99999.0
Globe,ALUPLANT,2020,99999.0
Globe,ALUPLANT,2021,99999.0
Globe,ALUPLANT,2022,99999.0
Globe,ALUPLANT,2023,99999.0
Globe,ALUPLANT,2024,99999.0
Globe,ALUPLANT,2025,99999.0
Globe,ALUPLANT,2026,99999.0
Globe,ALUPLANT,2027,99999.0
Globe,ALUPLANT,2028,99999.0
Globe,ALUPLANT,2029,99999.0
Globe,ALUPLANT,2030,99999.0
Globe,ALUPLANT,2031,99999.0
Globe,ALUPLANT,2032,99999.0
Globe,ALUPLANT,2033,99999.0
Globe,ALUPLANT,2034,99999.0
Globe,ALUPLANT,2035,99999.0
Globe,ALUPLANT,2036,99999.0
Globe,ALUPLANT,2037,99999.0
Globe,ALUPLANT,2038,99999.0
Globe,ALUPLANT,2039,99999.0
Globe,ALUPLANT,2040,99999.0
Globe,ALUPLANT,2041,99999.0
Globe,ALUPLANT,2042,99999.0
Globe,ALUPLANT,2043,99999.0
Globe,ALUPLANT,2044,99999.0
Globe,ALUPLANT,2045,99999.0
Globe,ALUPLANT,2046,99999.0
Globe,ALUPLANT,2047,99999.0
Globe,ALUPLANT,2048,99999.0
Globe,ALUPLANT,2049,99999.0
Globe,ALUPLANT,2050,99999.0
Globe,ALUPLANT,2051,99999.0
Globe,ALUPLANT,2052,99999.0
Globe,ALUPLANT,2053,99999.0
Globe,ALUPLANT,2054,99999.0
Globe,ALUPLANT,2055,99999.0
Globe,ALUPLANT,2056,99999.0
Globe,ALUPLANT,2057,99999.0
Globe,ALUPLANT,2058,99999.0
Globe,ALUPLANT,2059,99999.0
Globe,ALUPLANT,2060,99999.0
Globe,ALUPLANT,2061,99999.0
Globe,ALUPLANT,2062,99999.0
Globe,ALUPLANT,2063,99999.0
Globe,ALUPLANT,2064,99999.0
Globe,ALUPLANT,2065,99999.0
Globe,ALUPLANT,2066,99999.0
Globe,ALUPLANT,2067,99999.0
Globe,ALUPLANT,2068,99999.0
Globe,ALUPLANT,2069,99999.0
Globe,ALUPLANT,2070,99999.0
Globe,BACKSTOP,2010,99999.0
Globe,BACKSTOP,2011,99999.0
Globe,BACKSTOP,2012,99999.0
Globe,BACKSTOP,2013,99999.0
Globe,BACKSTOP,2014,99999.0
Globe,BACKSTOP,2015,99999.0
Globe,BACKSTOP,2016,99999.0
Globe,BACKSTOP,2017,99999.0
Globe,BACKSTOP,2018,99999.0
Globe,BACKSTOP,2019,99999.0
Globe,BACKSTOP,2020,99999.0
Globe,BACKSTOP,2021,99999.0
Globe,BACKSTOP,2022,99999.0
Globe,BACKSTOP,2023,99999.0
Globe,BACKSTOP,2024,99999.0
Globe,BACKSTOP,2025,99999.0
Globe,BACKSTOP,2026,99999.0
Globe,BACKSTOP,2027,99999.0
Globe,BACKSTOP,2028,99999.0
Globe,BACKSTOP,2029,99999.0
Globe,BACKSTOP,2030,99999.0
Globe,BACKSTOP,2031,99999.0
Globe,BACKSTOP,2032,99999.0
Globe,BACKSTOP,2033,99999.0
Globe,BACKSTOP,2034,99999.0
Globe,BACKSTOP,2035,99999.0
Globe,BACKSTOP,2036,99999.0
Globe,BACKSTOP,2037,99999.0
Globe,BACKSTOP,2038,99999.0
Globe,BACKSTOP,2039,99999.0
Globe,BACKSTOP,2040,99999.0
Globe,BACKSTOP,2041,99999.0
Globe,BACKSTOP,2042,99999.0
Globe,BACKSTOP,2043,99999.0
Globe,BACKSTOP,2044,99999.0
Globe,BACKSTOP,2045,99999.0
Globe,BACKSTOP,2046,99999.0
Globe,BACKSTOP,2047,99999.0
Globe,BACKSTOP,2048,99999.0
Globe,BACKSTOP,2049,99999.0
Globe,BACKSTOP,2050,99999.0
Globe,BACKSTOP,2051,99999.0
Globe,BACKSTOP,2052,99999.0
Globe,BACKSTOP,2053,99999.0
Globe,BACKSTOP,2054,99999.0
Globe,BACKSTOP,2055,99999.0
Globe,BACKSTOP,2056,99999.0
Globe,BACKSTOP,2057,99999.0
Globe,BACKSTOP,2058,99999.0
Globe,BACKSTOP,2059,99999.0
Globe,BACKSTOP,2060,99999.0
Globe,BACKSTOP,2061,99999.0
Globe,BACKSTOP,2062,99999.0
Globe,BACKSTOP,2063,99999.0
Globe,BACKSTOP,2064,99999.0
Globe,BACKSTOP,2065,99999.0
Globe,BACKSTOP,2066,99999.0
Globe,BACKSTOP,2067,99999.0
Globe,BACKSTOP,2068,99999.0
Globe,BACKSTOP,2069,99999.0
Globe,BACKSTOP,2070,99999.0
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6927
Globe,C1BFRDF00,2014,0.7899
Globe,C1BFRDF00,2015,0.8995
Globe,C1BFRDF00,2016,1.0152
Globe,C1BFRDF00,2017,1.145
Globe,C1BFRDF00,2018,1.2905
Globe,C1BFRDF00,2019,1.4538
Globe,C1BFRDF00,2020,1.6368
Globe,C1BFRDF00,2021,9999.0
Globe,C1BFRDF00,2022,9999.0
Globe,C1BFRDF00,2023,9999.0
Globe,C1BFRDF00,2024,9999.0
Globe,C1BFRDF00,2025,9999.0
