REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Globe,ALUPLANT,1,2010,34.322
Globe,ALUPLANT,1,2011,34.61898
Globe,ALUPLANT,1,2012,34.91595
Globe,ALUPLANT,1,2013,35.21293
Globe,ALUPLANT,1,2014,35.50991
Globe,ALUPLANT,1,2015,35.80689
Globe,ALUPLANT,1,2016,36.10387
Globe,ALUPLANT,1,2017,36.40084
Globe,ALUPLANT,1,2018,36.69782
Globe,ALUPLANT,1,2019,36.9948
Globe,ALUPLANT,1,2020,37.29178
Globe,ALUPLANT,1,2021,37.58875
Globe,ALUPLANT,1,2022,37.88573
Globe,ALUPLANT,1,2023,38.18271
Globe,ALUPLANT,1,2024,38.47969
Globe,ALUPLANT,1,2025,38.77666
Globe,ALUPLANT,1,2026,39.07364
Globe,ALUPLANT,1,2027,39.37062
Globe,ALUPLANT,1,2028,39.6676
Globe,ALUPLANT,1,2029,39.96457
Globe,ALUPLANT,1,2030,40.26155
Globe,ALUPLANT,1,2031,40.55853
Globe,ALUPLANT,1,2032,40.85551
Globe,ALUPLANT,1,2033,41.15248
Globe,ALUPLANT,1,2034,41.44946
Globe,ALUPLANT,1,2035,41.74644
Globe,ALUPLANT,1,2036,42.04342
Globe,ALUPLANT,1,2037,42.34039
Globe,ALUPLANT,1,2038,42.63737
Globe,ALUPLANT,1,2039,42.93435
Globe,ALUPLANT,1,2040,43.23133
Globe,ALUPLANT,1,2041,43.5283
Globe,ALUPLANT,1,2042,43.82528
Globe,ALUPLANT,1,2043,44.12226
Globe,ALUPLANT,1,2044,44.41924
Globe,ALUPLANT,1,2045,44.71621
Globe,ALUPLANT,1,2046,45.01319
Globe,ALUPLANT,1,2047,45.31017
Globe,ALUPLANT,1,2048,45.60715
Globe,ALUPLANT,1,2049,45.90412
Globe,ALUPLANT,1,2050,46.2011
Globe,ALUPLANT,1,2051,46.2011
Globe,ALUPLANT,1,2052,46.2011
Globe,ALUPLANT,1,2053,46.2011
Globe,ALUPLANT,1,2054,46.2011
Globe,ALUPLANT,1,2055,46.2011
Globe,ALUPLANT,1,2056,46.2011
Globe,ALUPLANT,1,2057,46.2011
Globe,ALUPLANT,1,2058,46.2011
Globe,ALUPLANT,1,2059,46.2011
Globe,ALUPLANT,1,2060,46.2011
Globe,ALUPLANT,1,2061,46.2011
Globe,ALUPLANT,1,2062,46.2011
Globe,ALUPLANT,1,2063,46.2011
Globe,ALUPLANT,1,2064,46.2011
Globe,ALUPLANT,1,2065,46.2011
Globe,ALUPLANT,1,2066,46.2011
Globe,ALUPLANT,1,2067,46.2011
Globe,ALUPLANT,1,2068,46.2011
Globe,ALUPLANT,1,2069,46.2011
Globe,ALUPLANT,1,2070,46.2011
Globe,ALUPLANT,2,2010,9999999.0
Globe,ALUPLANT,2,2011,9999999.0
Globe,ALUPLANT,2,2012,9999999.0
Globe,ALUPLANT,2,2013,9999999.0
Globe,ALUPLANT,2,2014,9999999.0
Globe,ALUPLANT,2,2015,9999999.0
Globe,ALUPLANT,2,2016,9999999.0
Globe,ALUPLANT,2,2017,9999999.0
Globe,ALUPLANT,2,2018,9999999.0
Globe,ALUPLANT,2,2019,9999999.0
Globe,ALUPLANT,2,2020,9999999.0
Globe,ALUPLANT,2,2021,9999999.0
Globe,ALUPLANT,2,2022,9999999.0
Globe,ALUPLANT,2,2023,9999999.0
Globe,ALUPLANT,2,2024,9999999.0
Globe,ALUPLANT,2,2025,9999999.0
Globe,ALUPLANT,2,2026,9999999.0
Globe,ALUPLANT,2,2027,9999999.0
Globe,ALUPLANT,2,2028,9999999.0
Globe,ALUPLANT,2,2029,9999999.0
Globe,ALUPLANT,2,2030,9999999.0
Globe,ALUPLANT,2,2031,9999999.0
Globe,ALUPLANT,2,2032,9999999.0
Globe,ALUPLANT,2,2033,9999999.0
Globe,ALUPLANT,2,2034,9999999.0
Globe,ALUPLANT,2,2035,9999999.0
Globe,ALUPLANT,2,2036,9999999.0
Globe,ALUPLANT,2,2037,9999999.0
Globe,ALUPLANT,2,2038,9999999.0
Globe,ALUPLANT,2,2039,9999999.0
Globe,ALUPLANT,2,2040,9999999.0
Globe,ALUPLANT,2,2041,9999999.0
Globe,ALUPLANT,2,2042,9999999.0
Globe,ALUPLANT,2,2043,9999999.0
Globe,ALUPLANT,2,2044,9999999.0
Globe,ALUPLANT,2,2045,9999999.0
Globe,ALUPLANT,2,2046,9999999.0
Globe,ALUPLANT,2,2047,9999999.0
Globe,ALUPLANT,2,2048,9999999.0
Globe,ALUPLANT,2,2049,9999999.0
Globe,ALUPLANT,2,2050,9999999.0
Globe,ALUPLANT,2,2051,9999999.0
Globe,ALUPLANT,2,2052,9999999.0
Globe,ALUPLANT,2,2053,9999999.0
Globe,ALUPLANT,2,2054,9999999.0
Globe,ALUPLANT,2,2055,9999999.0
Globe,ALUPLANT,2,2056,9999999.0
Globe,ALUPLANT,2,2057,9999999.0
Globe,ALUPLANT,2,2058,9999999.0
Globe,ALUPLANT,2,2059,9999999.0
Globe,ALUPLANT,2,2060,9999999.0
Globe,ALUPLANT,2,2061,9999999.0
Globe,ALUPLANT,2,2062,9999999.0
Globe,ALUPLANT,2,2063,9999999.0
Globe,ALUPLANT,2,2064,9999999.0
Globe,ALUPLANT,2,2065,9999999.0
Globe,ALUPLANT,2,2066,9999999.0
Globe,ALUPLANT,2,2067,9999999.0
Globe,ALUPLANT,2,2068,9999999.0
Globe,ALUPLANT,2,2069,9999999.0
Globe,ALUPLANT,2,2070,9999999.0
Globe,BACKSTOP,1,2010,9999.0
Globe,BACKSTOP,1,2011,9999.0
Globe,BACKSTOP,1,2012,9999.0
Globe,BACKSTOP,1,2013,9999.0
Globe,BACKSTOP,1,2014,9999.0
Globe,BACKSTOP,1,2015,9999.0
Globe,BACKSTOP,1,2016,9999.0
Globe,BACKSTOP,1,2017,9999.0
Globe,BACKSTOP,1,2018,9999.0
Globe,BACKSTOP,1,2019,9999.0
Globe,BACKSTOP,1,2020,9999.0
Globe,BACKSTOP,1,2021,9999.0
Globe,BACKSTOP,1,2022,9999.0
Globe,BACKSTOP,1,2023,9999.0
Globe,BACKSTOP,1,2024,9999.0
Globe,BACKSTOP,1,2025,9999.0
Globe,BACKSTOP,1,2026,9999.0
Globe,BACKSTOP,1,2027,9999.0
Globe,BACKSTOP,1,2028,9999.0
Globe,BACKSTOP,1,2029,9999.0
Globe,BACKSTOP,1,2030,9999.0
Globe,BACKSTOP,1,2031,9999.0
Globe,BACKSTOP,1,2032,9999.0
Globe,BACKSTOP,1,2033,9999.0
Globe,BACKSTOP,1,2034,9999.0
Globe,BACKSTOP,1,2035,9999.0
Globe,BACKSTOP,1,2036,9999.0
Globe,BACKSTOP,1,2037,9999.0
Globe,BACKSTOP,1,2038,9999.0
Globe,BACKSTOP,1,2039,9999.0
Globe,BACKSTOP,1,2040,9999.0
Globe,BACKSTOP,1,2041,9999.0
Globe,BACKSTOP,1,2042,9999.0
Globe,BACKSTOP,1,2043,9999.0
Globe,BACKSTOP,1,2044,9999.0
Globe,BACKSTOP,1,2045,9999.0
Globe,BACKSTOP,1,2046,9999.0
Globe,BACKSTOP,1,2047,9999.0
Globe,BACKSTOP,1,2048,9999.0
Globe,BACKSTOP,1,2049,9999.0
Globe,BACKSTOP,1,2050,9999.0
Globe,BACKSTOP,1,2051,9999.0
Globe,BACKSTOP,1,2052,9999.0
Globe,BACKSTOP,1,2053,9999.0
Globe,BACKSTOP,1,2054,9999.0
Globe,BACKSTOP,1,2055,9999.0
Globe,BACKSTOP,1,2056,9999.0
Globe,BACKSTOP,1,2057,9999.0
Globe,BACKSTOP,1,2058,9999.0
Globe,BACKSTOP,1,2059,9999.0
Globe,BACKSTOP,1,2060,9999.0
Globe,BACKSTOP,1,2061,9999.0
Globe,BACKSTOP,1,2062,9999.0
Globe,BACKSTOP,1,2063,9999.0
Globe,BACKSTOP,1,2064,9999.0
Globe,BACKSTOP,1,2065,9999.0
Globe,BACKSTOP,1,2066,9999.0
Globe,BACKSTOP,1,2067,9999.0
Globe,BACKSTOP,1,2068,9999.0
Globe,BACKSTOP,1,2069,9999.0
Globe,BACKSTOP,1,2070,9999.0
Globe,BACKSTOP,2,2010,9999999.0
Globe,BACKSTOP,2,2011,9999999.0
Globe,BACKSTOP,2,2012,9999999.0
Globe,BACKSTOP,2,2013,9999999.0
Globe,BACKSTOP,2,2014,9999999.0
Globe,BACKSTOP,2,2015,9999999.0
Globe,BACKSTOP,2,2016,9999999.0
Globe,BACKSTOP,2,2017,9999999.0
Globe,BACKSTOP,2,2018,9999999.0
Globe,BACKSTOP,2,2019,9999999.0
Globe,BACKSTOP,2,2020,9999999.0
Globe,BACKSTOP,2,2021,9999999.0
Globe,BACKSTOP,2,2022,9999999.0
Globe,BACKSTOP,2,2023,9999999.0
Globe,BACKSTOP,2,2024,9999999.0
Globe,BACKSTOP,2,2025,9999999.0
Globe,BACKSTOP,2,2026,9999999.0
Globe,BACKSTOP,2,2027,9999999.0
Globe,BACKSTOP,2,2028,9999999.0
Globe,BACKSTOP,2,2029,9999999.0
Globe,BACKSTOP,2,2030,9999999.0
Globe,BACKSTOP,2,2031,9999999.0
Globe,BACKSTOP,2,2032,9999999.0
Globe,BACKSTOP,2,2033,9999999.0
Globe,BACKSTOP,2,2034,9999999.0
Globe,BACKSTOP,2,2035,9999999.0
Globe,BACKSTOP,2,2036,9999999.0
Globe,BACKSTOP,2,2037,9999999.0
Globe,BACKSTOP,2,2038,9999999.0
Globe,BACKSTOP,2,2039,9999999.0
Globe,BACKSTOP,2,2040,9999999.0
