REGION,FUEL,YEAR,VALUE
Globe,C1_F_CLS,2010,47.2433
Globe,C1_F_CLS,2011,49.316
Globe,C1_F_CLS,2012,51.3265
Globe,C1_F_CLS,2013,53.2756
Globe,C1_F_CLS,2014,55.1621
Globe,C1_F_CLS,2015,56.9864
Globe,C1_F_CLS,2016,59.1872
Globe,C1_F_CLS,2017,61.3727
Globe,C1_F_CLS,2018,63.5048
Globe,C1_F_CLS,2019,65.6296
Globe,C1_F_CLS,2020,67.7619
Globe,C1_F_CLS,2021,69.5465
Globe,C1_F_CLS,2022,71.3328
Globe,C1_F_CLS,2023,73.1237
Globe,C1_F_CLS,2024,74.919
Globe,C1_F_CLS,2025,76.7186
Globe,C1_F_CLS,2026,78.6135
Globe,C1_F_CLS,2027,80.5291
Globe,C1_F_CLS,2028,82.4401
Globe,C1_F_CLS,2029,84.3552
Globe,C1_F_CLS,2030,86.2737
Globe,C1_F_CLS,2031,88.3751
Globe,C1_F_CLS,2032,90.4801
Globe,C1_F_CLS,2033,92.5883
Globe,C1_F_CLS,2034,94.6972
Globe,C1_F_CLS,2035,96.7995
Globe,C1_F_CLS,2036,98.5539
Globe,C1_F_CLS,2037,100.3112
Globe,C1_F_CLS,2038,102.0714
Globe,C1_F_CLS,2039,103.834
Globe,C1_F_CLS,2040,105.599
Globe,C1_F_CLS,2041,107.209
Globe,C1_F_CLS,2042,108.7908
Globe,C1_F_CLS,2043,110.4096
Globe,C1_F_CLS,2044,112.0302
Globe,C1_F_CLS,2045,113.6562
Globe,C1_F_CLS,2046,115.2661
Globe,C1_F_CLS,2047,116.877
Globe,C1_F_CLS,2048,118.4735
Globe,C1_F_CLS,2049,120.0693
Globe,C1_F_CLS,2050,121.6742
Globe,C1_F_CLS,2051,121.6742
Globe,C1_F_CLS,2052,121.6742
Globe,C1_F_CLS,2053,121.6742
Globe,C1_F_CLS,2054,121.6742
Globe,C1_F_CLS,2055,121.6742
Globe,C1_F_CLS,2056,121.6742
Globe,C1_F_CLS,2057,121.6742
Globe,C1_F_CLS,2058,121.6742
Globe,C1_F_CLS,2059,121.6742
Globe,C1_F_CLS,2060,121.6742
Globe,C1_F_HEA_I,2010,26.6704
Globe,C1_F_HEA_I,2011,27.042
Globe,C1_F_HEA_I,2012,27.4136
Globe,C1_F_HEA_I,2013,27.7852
Globe,C1_F_HEA_I,2014,28.1569
Globe,C1_F_HEA_I,2015,28.5285
Globe,C1_F_HEA_I,2016,28.9001
Globe,C1_F_HEA_I,2017,29.2717
Globe,C1_F_HEA_I,2018,29.6434
Globe,C1_F_HEA_I,2019,30.015
Globe,C1_F_HEA_I,2020,30.3866
Globe,C1_F_HEA_I,2021,30.806
Globe,C1_F_HEA_I,2022,31.2253
Globe,C1_F_HEA_I,2023,31.6446
Globe,C1_F_HEA_I,2024,32.0639
Globe,C1_F_HEA_I,2025,32.4833
Globe,C1_F_HEA_I,2026,32.9026
Globe,C1_F_HEA_I,2027,33.3219
Globe,C1_F_HEA_I,2028,33.7413
Globe,C1_F_HEA_I,2029,34.1606
Globe,C1_F_HEA_I,2030,34.5799
Globe,C1_F_HEA_I,2031,35.0211
Globe,C1_F_HEA_I,2032,35.4623
Globe,C1_F_HEA_I,2033,35.9035
Globe,C1_F_HEA_I,2034,36.3447
Globe,C1_F_HEA_I,2035,36.7859
Globe,C1_F_HEA_I,2036,37.2271
Globe,C1_F_HEA_I,2037,37.6683
Globe,C1_F_HEA_I,2038,38.1095
Globe,C1_F_HEA_I,2039,38.5507
Globe,C1_F_HEA_I,2040,38.9919
Globe,C1_F_HEA_I,2041,39.3873
Globe,C1_F_HEA_I,2042,39.7827
Globe,C1_F_HEA_I,2043,40.178
Globe,C1_F_HEA_I,2044,40.5734
Globe,C1_F_HEA_I,2045,40.9688
Globe,C1_F_HEA_I,2046,41.3641
Globe,C1_F_HEA_I,2047,41.7595
Globe,C1_F_HEA_I,2048,42.1549
Globe,C1_F_HEA_I,2049,42.5503
Globe,C1_F_HEA_I,2050,42.9456
Globe,C1_F_HEA_I,2051,42.9456
Globe,C1_F_HEA_I,2052,42.9456
Globe,C1_F_HEA_I,2053,42.9456
Globe,C1_F_HEA_I,2054,42.9456
Globe,C1_F_HEA_I,2055,42.9456
Globe,C1_F_HEA_I,2056,42.9456
Globe,C1_F_HEA_I,2057,42.9456
Globe,C1_F_HEA_I,2058,42.9456
Globe,C1_F_HEA_I,2059,42.9456
Globe,C1_F_HEA_I,2060,42.9456
Globe,C1_F_HEA_R,2010,77.8944
Globe,C1_F_HEA_R,2011,78.9798
Globe,C1_F_HEA_R,2012,80.0651
Globe,C1_F_HEA_R,2013,81.1505
Globe,C1_F_HEA_R,2014,82.2359
Globe,C1_F_HEA_R,2015,83.3213
Globe,C1_F_HEA_R,2016,84.4067
Globe,C1_F_HEA_R,2017,85.4921
Globe,C1_F_HEA_R,2018,86.5775
Globe,C1_F_HEA_R,2019,87.6629
Globe,C1_F_HEA_R,2020,88.7483
Globe,C1_F_HEA_R,2021,89.973
Globe,C1_F_HEA_R,2022,91.1977
Globe,C1_F_HEA_R,2023,92.4224
Globe,C1_F_HEA_R,2024,93.6471
Globe,C1_F_HEA_R,2025,94.8718
Globe,C1_F_HEA_R,2026,96.0965
Globe,C1_F_HEA_R,2027,97.3212
Globe,C1_F_HEA_R,2028,98.5459
Globe,C1_F_HEA_R,2029,99.7706
Globe,C1_F_HEA_R,2030,100.9953
Globe,C1_F_HEA_R,2031,102.2839
Globe,C1_F_HEA_R,2032,103.5725
Globe,C1_F_HEA_R,2033,104.8611
Globe,C1_F_HEA_R,2034,106.1496
Globe,C1_F_HEA_R,2035,107.4382
Globe,C1_F_HEA_R,2036,108.7268
Globe,C1_F_HEA_R,2037,110.0154
Globe,C1_F_HEA_R,2038,111.304
Globe,C1_F_HEA_R,2039,112.5926
Globe,C1_F_HEA_R,2040,113.8811
Globe,C1_F_HEA_R,2041,115.0359
Globe,C1_F_HEA_R,2042,116.1906
Globe,C1_F_HEA_R,2043,117.3454
Globe,C1_F_HEA_R,2044,118.5001
Globe,C1_F_HEA_R,2045,119.6548
Globe,C1_F_HEA_R,2046,120.8096
Globe,C1_F_HEA_R,2047,121.9643
Globe,C1_F_HEA_R,2048,123.119
Globe,C1_F_HEA_R,2049,124.2738
Globe,C1_F_HEA_R,2050,125.4285
Globe,C1_F_HEA_R,2051,125.4285
Globe,C1_F_HEA_R,2052,125.4285
Globe,C1_F_HEA_R,2053,125.4285
Globe,C1_F_HEA_R,2054,125.4285
Globe,C1_F_HEA_R,2055,125.4285
Globe,C1_F_HEA_R,2056,125.4285
Globe,C1_F_HEA_R,2057,125.4285
Globe,C1_F_HEA_R,2058,125.4285
Globe,C1_F_HEA_R,2059,125.4285
Globe,C1_F_HEA_R,2060,125.4285
