REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BMSCP00,2010,0.0611
Globe,C1BMSCP00,2011,0.069
Globe,C1BMSCP00,2012,0.0769
Globe,C1BMSCP00,2013,0.0847
Globe,C1BMSCP00,2014,0.0926
Globe,C1BMSCP00,2015,0.1005
Globe,C1BMSCP00,2016,0.1083
Globe,C1BMSCP00,2017,0.1162
Globe,C1BMSCP00,2018,0.1241
Globe,C1BMSCP00,2019,0.1319
Globe,C1BMSCP00,2020,0.1398
Globe,C1BMSCP00,2021,0.1568
Globe,C1BMSCP00,2022,0.1738
Globe,C1BMSCP00,2023,0.1907
Globe,C1BMSCP00,2024,0.2077
Globe,C1BMSCP00,2025,0.2247
Globe,C1BMSCP00,2026,0.2452
Globe,C1BMSCP00,2027,0.2657
Globe,C1BMSCP00,2028,0.2861
Globe,C1BMSCP00,2029,0.3066
Globe,C1BMSCP00,2030,0.3271
Globe,C1BMSCP00,2031,0.3407
Globe,C1BMSCP00,2032,0.3542
Globe,C1BMSCP00,2033,0.3678
Globe,C1BMSCP00,2034,0.3813
Globe,C1BMSCP00,2035,0.3949
Globe,C1BMSCP00,2036,0.3964
Globe,C1BMSCP00,2037,0.3979
Globe,C1BMSCP00,2038,0.3993
Globe,C1BMSCP00,2039,0.4008
Globe,C1BMSCP00,2040,0.4023
Globe,C1BMSCP00,2041,0.4128
Globe,C1BMSCP00,2042,0.4233
Globe,C1BMSCP00,2043,0.4338
Globe,C1BMSCP00,2044,0.4443
Globe,C1BMSCP00,2045,0.4548
Globe,C1BMSCP00,2046,0.466
Globe,C1BMSCP00,2047,0.4772
Globe,C1BMSCP00,2048,0.4885
Globe,C1BMSCP00,2049,0.4997
Globe,C1BMSCP00,2050,0.5109
Globe,C1BMSCP00,2051,0.5109
Globe,C1BMSCP00,2052,0.5109
Globe,C1BMSCP00,2053,0.5109
Globe,C1BMSCP00,2054,0.5109
Globe,C1BMSCP00,2055,0.5109
Globe,C1BMSCP00,2056,0.5109
Globe,C1BMSCP00,2057,0.5109
Globe,C1BMSCP00,2058,0.5109
Globe,C1BMSCP00,2059,0.5109
Globe,C1BMSCP00,2060,0.5109
Globe,C1ELHGP00,2010,0.0
Globe,C1ELHGP00,2011,0.0
Globe,C1ELHGP00,2012,0.0
Globe,C1ELHGP00,2013,0.0
Globe,C1ELHGP00,2014,0.0
Globe,C1ELHGP00,2015,0.0
Globe,C1ELHGP00,2016,0.0
Globe,C1ELHGP00,2017,0.0
Globe,C1ELHGP00,2018,0.0
Globe,C1ELHGP00,2019,257.0
Globe,C1ELHGP00,2020,319.0
Globe,C1ELHGP00,2021,390.0
Globe,C1ELHGP00,2022,472.0
Globe,C1ELHGP00,2023,567.0
Globe,C1ELHGP00,2024,675.0
Globe,C1ELHGP00,2025,800.0
Globe,C1ELHGP00,2026,943.0
Globe,C1ELHGP00,2027,1108.0
Globe,C1ELHGP00,2028,1298.0
Globe,C1ELHGP00,2029,1516.0
Globe,C1ELHGP00,2030,1767.0
