REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BFRDF00,2010,99999.0
Globe,C1BFRDF00,2011,2.0
Globe,C1BFRDF00,2012,2.0
Globe,C1BFRDF00,2013,2.0
Globe,C1BFRDF00,2014,2.0
Globe,C1BFRDF00,2015,2.0
Globe,C1BFRDF00,2016,2.0
Globe,C1BFRDF00,2017,2.0
Globe,C1BFRDF00,2018,2.0
Globe,C1BFRDF00,2019,2.0
Globe,C1BFRDF00,2020,2.0
Globe,C1BFRDF00,2021,2.0
Globe,C1BFRDF00,2022,2.0
Globe,C1BFRDF00,2023,2.0
Globe,C1BFRDF00,2024,2.0
Globe,C1BFRDF00,2025,2.0
Globe,C1BFRDF00,2026,2.0
Globe,C1BFRDF00,2027,2.0
Globe,C1BFRDF00,2028,2.0
Globe,C1BFRDF00,2029,2.0
Globe,C1BFRDF00,2030,2.0
Globe,C1BFRDF00,2031,2.0
Globe,C1BFRDF00,2032,2.0
Globe,C1BFRDF00,2033,2.0
Globe,C1BFRDF00,2034,2.0
Globe,C1BFRDF00,2035,2.0
Globe,C1BFRDF00,2036,2.0
Globe,C1BFRDF00,2037,2.0
Globe,C1BFRDF00,2038,2.0
Globe,C1BFRDF00,2039,2.0
Globe,C1BFRDF00,2040,2.0
Globe,C1BFRDF00,2041,2.0
Globe,C1BFRDF00,2042,2.0
Globe,C1BFRDF00,2043,2.0
Globe,C1BFRDF00,2044,2.0
Globe,C1BFRDF00,2045,2.0
Globe,C1BFRDF00,2046,2.0
Globe,C1BFRDF00,2047,2.0
Globe,C1BFRDF00,2048,2.0
Globe,C1BFRDF00,2049,2.0
Globe,C1BFRDF00,2050,2.0
Globe,C1BFRDF00,2051,2.0
Globe,C1BFRDF00,2052,2.0
Globe,C1BFRDF00,2053,2.0
Globe,C1BFRDF00,2054,2.0
Globe,C1BFRDF00,2055,2.0
Globe,C1BFRDF00,2056,2.0
Globe,C1BFRDF00,2057,2.0
Globe,C1BFRDF00,2058,2.0
Globe,C1BFRDF00,2059,2.0
Globe,C1BFRDF00,2060,2.0
Globe,C1BMBRFH1,2010,99999.0
Globe,C1BMBRFH1,2011,99999.0
Globe,C1BMBRFH1,2012,99999.0
Globe,C1BMBRFH1,2013,99999.0
Globe,C1BMBRFH1,2014,99999.0
Globe,C1BMBRFH1,2015,99999.0
Globe,C1BMBRFH1,2016,99999.0
Globe,C1BMBRFH1,2017,99999.0
Globe,C1BMBRFH1,2018,99999.0
Globe,C1BMBRFH1,2019,99999.0
Globe,C1BMBRFH1,2020,99999.0
Globe,C1BMBRFH1,2021,99999.0
Globe,C1BMBRFH1,2022,99999.0
Globe,C1BMBRFH1,2023,99999.0
Globe,C1BMBRFH1,2024,99999.0
Globe,C1BMBRFH1,2025,99999.0
Globe,C1BMBRFH1,2026,99999.0
Globe,C1BMBRFH1,2027,99999.0
Globe,C1BMBRFH1,2028,99999.0
Globe,C1BMBRFH1,2029,99999.0
Globe,C1BMBRFH1,2030,99999.0
Globe,C1BMBRFH1,2031,99999.0
Globe,C1BMBRFH1,2032,99999.0
Globe,C1BMBRFH1,2033,99999.0
Globe,C1BMBRFH1,2034,99999.0
Globe,C1BMBRFH1,2035,99999.0
Globe,C1BMBRFH1,2036,99999.0
Globe,C1BMBRFH1,2037,99999.0
Globe,C1BMBRFH1,2038,99999.0
Globe,C1BMBRFH1,2039,99999.0
Globe,C1BMBRFH1,2040,99999.0
Globe,C1BMBRFH1,2041,99999.0
Globe,C1BMBRFH1,2042,99999.0
Globe,C1BMBRFH1,2043,99999.0
Globe,C1BMBRFH1,2044,99999.0
Globe,C1BMBRFH1,2045,99999.0
Globe,C1BMBRFH1,2046,99999.0
Globe,C1BMBRFH1,2047,99999.0
