REGION,TECHNOLOGY,VALUE
Globe,ALUPLANT,999999.0
Globe,BACKSTOP,999999.0
Globe,C1BFRDF00,999999.0
Globe,C1BMBRFH1,999999.0
Globe,C1BMBRFN1,999999.0
Globe,C1BMCHP00,999999.0
Globe,C1BMHTF03,999999.0
Globe,C1BMIGPCS,999999.0
Globe,C1BMLP000,999999.0
Globe,C1BMSCP00,999999.0
Globe,C1CO00I00,24536.733
Globe,C1COBRFH1,999999.0
Globe,C1COCHP00,999999.0
Globe,C1COHTF03,999999.0
Globe,C1COIGP00,999999.0
Globe,C1COLP000,999999.0
Globe,C1COSCP00,999999.0
Globe,C1COSCPCS,999999.0
Globe,C1COSF000,999999.0
Globe,C1ELEFF00,999999.0
Globe,C1ELRDF00,999999.0
Globe,C1ELRLF00,999999.0
Globe,C1GOCVP00,999999.0
Globe,C1GOHTF03,999999.0
Globe,C1HFGCP00,999999.0
Globe,C1HFGCPCH,999999.0
Globe,C1HFMRF00,999999.0
Globe,C1HTOOTFI,999999.0
Globe,C1HTOOTFR,999999.0
Globe,C1HYDMP00,999999.0
Globe,C1HYMIP00,999999.0
Globe,C1LFAVF00,999999.0
Globe,C1LFBRFH1,999999.0
Globe,C1LFBRFN1,999999.0
Globe,C1LFCCP00,999999.0
Globe,C1LFRDF00,999999.0
Globe,C1LFRLF00,999999.0
Globe,C1NG00I00,7960.88
Globe,C1NGBRFH1,999999.0
Globe,C1NGBRFN1,999999.0
Globe,C1NGCCP00,999999.0
Globe,C1NGCCPCH,999999.0
Globe,C1NGCCPCS,999999.0
Globe,C1NGGCP00,999999.0
Globe,C1NGGCPCH,999999.0
Globe,C1NGHTF03,999999.0
Globe,C1NGLP000,999999.0
Globe,C1NU00I00,999999.0
Globe,C1NULWP00,999999.0
Globe,C1OCCVP00,999999.0
Globe,C1OI00I00,10113.4081
Globe,C1OIHTF03,999999.0
Globe,C1OIRFP00,999999.0
Globe,C1SOC1P00,999999.0
Globe,C1SOTHF00,999999.0
Globe,C1SOV1P00,999999.0
Globe,C1SOV2P00,999999.0
Globe,C1WDOFP00,999999.0
Globe,C1WDONP00,999999.0
Globe,CEMPLANT,999999.0
Globe,FERTPLANT,999999.0
Globe,FRSTFACTOR,999999.0
Globe,LA,999999.0
Globe,LA1,999999.0
Globe,LA1_i,999999.0
Globe,LA1_i_PROD,999999.0
Globe,LA1_PROD,999999.0
Globe,LA2,999999.0
Globe,LA2_PROD,999999.0
Globe,LA3,999999.0
Globe,LA4,999999.0
Globe,LA5,999999.0
Globe,LandRes,999999.0
Globe,LF,999999.0
Globe,LF1,999999.0
Globe,LF2,999999.0
Globe,LF2_PROD,999999.0
Globe,LO,999999.0
Globe,MFOOFACTOR,999999.0
Globe,PAPPLANT,999999.0
Globe,PETAPLANT,999999.0
Globe,PETBPLANT,999999.0
Globe,STEPLANT,999999.0
Globe,TECHBIOCONV,999999.0
Globe,VFOOFACTOR,999999.0
Globe,XALUMINE,55000.0
Globe,XCEMMINE,99999.0
Globe,XPHOMINE,71000.0
Globe,XPOTMINE,9500.0
Globe,XSTEMINE,800000.0
