REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.5668
Globe,C1BFRDF00,2014,0.5288
Globe,C1BFRDF00,2015,0.4927
Globe,C1BFRDF00,2016,0.4549
Globe,C1BFRDF00,2017,0.4198
Globe,C1BFRDF00,2018,0.3871
Globe,C1BFRDF00,2019,0.3568
Globe,C1BFRDF00,2020,0.3287
Globe,C1CO00I00,2010,139.248
Globe,C1CO00I00,2011,140.351
Globe,C1CO00I00,2012,141.455
Globe,C1CO00I00,2013,142.558
Globe,C1CO00I00,2014,142.558
Globe,C1CO00I00,2015,142.558
Globe,C1CO00I00,2016,142.558
Globe,C1CO00I00,2017,141.558
Globe,C1CO00I00,2018,140.558
Globe,C1CO00I00,2019,139.558
Globe,C1CO00I00,2020,138.558
Globe,C1CO00I00,2021,134.558
Globe,C1CO00I00,2022,107.647
Globe,C1CO00I00,2023,86.117
Globe,C1CO00I00,2024,68.894
Globe,C1CO00I00,2025,55.115
Globe,C1CO00I00,2026,44.092
Globe,C1CO00I00,2027,35.274
Globe,C1CO00I00,2028,28.219
Globe,C1CO00I00,2029,22.575
Globe,C1CO00I00,2030,18.060
Globe,C1CO00I00,2031,14.448
Globe,C1CO00I00,2032,11.558
Globe,C1CO00I00,2033,9.247
Globe,C1CO00I00,2034,7.397
Globe,C1CO00I00,2035,5.918
Globe,C1ELRLF00,2010,2.97
Globe,C1ELRLF00,2011,3.03
Globe,C1ELRLF00,2012,3.1
Globe,C1ELRLF00,2013,2
Globe,C1ELRLF00,2014,2
Globe,C1ELRLF00,2015,2
Globe,C1NG00I00,2010,108.035
Globe,C1NG00I00,2011,109.717
Globe,C1NG00I00,2012,111.399
Globe,C1NG00I00,2013,113.080
Globe,C1NG00I00,2014,114.762
Globe,C1NG00I00,2015,116.443
Globe,C1NG00I00,2016,116.443
Globe,C1NG00I00,2017,116.443
Globe,C1NG00I00,2018,116.443
Globe,C1NG00I00,2019,116.443
Globe,C1NG00I00,2020,116.443
Globe,C1NG00I00,2021,116.443
Globe,C1NG00I00,2022,93.155
Globe,C1NG00I00,2023,74.524
Globe,C1NG00I00,2024,59.619
Globe,C1NG00I00,2025,47.695
Globe,C1NG00I00,2026,38.156
Globe,C1NG00I00,2027,30.525
Globe,C1NG00I00,2028,24.420
Globe,C1NG00I00,2029,19.536
Globe,C1NG00I00,2030,15.629
Globe,C1NG00I00,2031,12.503
Globe,C1NG00I00,2032,10.002
Globe,C1NG00I00,2033,8.002
Globe,C1NG00I00,2034,6.402
Globe,C1NG00I00,2035,5.121
Globe,C1OI00I00,2010,167.546
Globe,C1OI00I00,2011,168.146
Globe,C1OI00I00,2012,168.747
Globe,C1OI00I00,2013,169.348
Globe,C1OI00I00,2014,169.948
Globe,C1OI00I00,2015,170.549
Globe,C1OI00I00,2016,170.549
Globe,C1OI00I00,2017,170.549
Globe,C1OI00I00,2018,170.549
Globe,C1OI00I00,2019,170.549
Globe,C1OI00I00,2020,170.549
Globe,C1OI00I00,2021,167.549
Globe,C1OI00I00,2022,134.039
Globe,C1OI00I00,2023,107.231
Globe,C1OI00I00,2024,85.785
Globe,C1OI00I00,2025,68.628
Globe,C1OI00I00,2026,54.902
Globe,C1OI00I00,2027,43.922
Globe,C1OI00I00,2028,35.138
Globe,C1OI00I00,2029,28.110
Globe,C1OI00I00,2030,22.488
Globe,C1OI00I00,2031,17.990
Globe,C1OI00I00,2032,14.392
Globe,C1OI00I00,2033,11.514
Globe,C1OI00I00,2034,9.211
Globe,C1OI00I00,2035,7.369
Globe,LA,2010,5040
Globe,LA,2011,5040
Globe,LA,2012,5040
Globe,LA,2013,5040
Globe,LA,2014,5040
Globe,LA,2015,5040
Globe,LA,2016,5040
Globe,LA,2017,5040
Globe,LA,2018,5040
Globe,LA,2019,5040
Globe,LA,2020,5040
Globe,LA,2021,5040
Globe,LA1_i_PROD,2010,365
Globe,LA1_i_PROD,2011,365
Globe,LA1_i_PROD,2012,365
Globe,LA1_i_PROD,2013,365
Globe,LA1_i_PROD,2014,365
Globe,LA1_i_PROD,2015,365
Globe,LA1_i_PROD,2016,365
Globe,LA1_i_PROD,2017,365
Globe,LA1_i_PROD,2018,365
Globe,LA1_i_PROD,2019,365
Globe,LA1_i_PROD,2020,365
Globe,LA1_i_PROD,2021,365
Globe,LA1_i_PROD,2022,365
Globe,LA1_i_PROD,2023,365
Globe,LA1_i_PROD,2024,365
Globe,LA1_i_PROD,2025,365
Globe,LA1_i_PROD,2026,365
Globe,LA1_i_PROD,2027,365
Globe,LA1_i_PROD,2028,365
Globe,LA1_i_PROD,2029,365
Globe,LA1_i_PROD,2030,365
Globe,LA1_i_PROD,2031,365
Globe,LA1_i_PROD,2032,365
Globe,LA1_i_PROD,2033,365
Globe,LA1_i_PROD,2034,365
Globe,LA1_i_PROD,2035,365
Globe,LA1_i_PROD,2036,365
Globe,LA1_i_PROD,2037,365
Globe,LA1_i_PROD,2038,365
Globe,LA1_i_PROD,2039,365
Globe,LA1_i_PROD,2040,365
Globe,LA1_i_PROD,2041,365
Globe,LA1_i_PROD,2042,365
Globe,LA1_i_PROD,2043,365
Globe,LA1_i_PROD,2044,365
Globe,LA1_i_PROD,2045,365
Globe,LA1_i_PROD,2046,365
Globe,LA1_i_PROD,2047,365
Globe,LA1_i_PROD,2048,365
Globe,LA1_i_PROD,2049,365
Globe,LA1_i_PROD,2050,365
Globe,LA1_i_PROD,2051,365
