REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,126.04
Globe,ALUPLANT,2011,127.131
Globe,ALUPLANT,2012,128.221
Globe,ALUPLANT,2013,129.312
Globe,ALUPLANT,2014,130.403
Globe,ALUPLANT,2015,131.493
Globe,ALUPLANT,2016,132.584
Globe,ALUPLANT,2017,133.675
Globe,ALUPLANT,2018,134.765
Globe,ALUPLANT,2019,135.856
Globe,ALUPLANT,2020,136.946
Globe,ALUPLANT,2021,138.037
Globe,ALUPLANT,2022,139.128
Globe,ALUPLANT,2023,140.218
Globe,ALUPLANT,2024,141.309
Globe,ALUPLANT,2025,142.4
Globe,ALUPLANT,2026,143.49
Globe,ALUPLANT,2027,144.581
Globe,ALUPLANT,2028,145.671
Globe,ALUPLANT,2029,146.762
Globe,ALUPLANT,2030,147.853
Globe,ALUPLANT,2031,148.943
Globe,ALUPLANT,2032,150.034
Globe,ALUPLANT,2033,151.125
Globe,ALUPLANT,2034,152.215
Globe,ALUPLANT,2035,153.306
Globe,ALUPLANT,2036,154.396
Globe,ALUPLANT,2037,155.487
Globe,ALUPLANT,2038,156.578
Globe,ALUPLANT,2039,157.668
Globe,ALUPLANT,2040,158.759
Globe,ALUPLANT,2041,159.849
Globe,ALUPLANT,2042,160.94
Globe,ALUPLANT,2043,162.031
Globe,ALUPLANT,2044,163.121
Globe,ALUPLANT,2045,164.212
Globe,ALUPLANT,2046,165.303
Globe,ALUPLANT,2047,166.393
Globe,ALUPLANT,2048,167.484
Globe,ALUPLANT,2049,168.574
Globe,ALUPLANT,2050,169.665
Globe,ALUPLANT,2051,169.665
Globe,ALUPLANT,2052,169.665
Globe,ALUPLANT,2053,169.665
Globe,ALUPLANT,2054,169.665
Globe,ALUPLANT,2055,169.665
Globe,ALUPLANT,2056,169.665
Globe,ALUPLANT,2057,169.665
Globe,ALUPLANT,2058,169.665
Globe,ALUPLANT,2059,169.665
Globe,ALUPLANT,2060,169.665
Globe,ALURCPLANT,2010,3.209
Globe,ALURCPLANT,2011,3.209
Globe,ALURCPLANT,2012,3.209
Globe,ALURCPLANT,2013,3.209
Globe,ALURCPLANT,2014,3.209
Globe,ALURCPLANT,2015,3.209
Globe,ALURCPLANT,2016,3.209
Globe,ALURCPLANT,2017,3.209
Globe,ALURCPLANT,2018,3.209
Globe,ALURCPLANT,2019,3.209
Globe,ALURCPLANT,2020,3.209
Globe,ALURCPLANT,2021,3.209
Globe,ALURCPLANT,2022,3.209
Globe,ALURCPLANT,2023,3.209
Globe,ALURCPLANT,2024,3.209
Globe,ALURCPLANT,2025,3.209
Globe,ALURCPLANT,2026,3.209
Globe,ALURCPLANT,2027,3.209
Globe,ALURCPLANT,2028,3.209
Globe,ALURCPLANT,2029,3.209
Globe,ALURCPLANT,2030,3.209
Globe,ALURCPLANT,2031,3.209
Globe,ALURCPLANT,2032,3.209
Globe,ALURCPLANT,2033,3.209
Globe,ALURCPLANT,2034,3.209
Globe,ALURCPLANT,2035,3.209
Globe,ALURCPLANT,2036,3.209
Globe,ALURCPLANT,2037,3.209
Globe,ALURCPLANT,2038,3.209
Globe,ALURCPLANT,2039,3.209
Globe,ALURCPLANT,2040,3.209
Globe,ALURCPLANT,2041,3.209
Globe,ALURCPLANT,2042,3.209
Globe,ALURCPLANT,2043,3.209
Globe,ALURCPLANT,2044,3.209
Globe,ALURCPLANT,2045,3.209
Globe,ALURCPLANT,2046,3.209
Globe,ALURCPLANT,2047,3.209
Globe,ALURCPLANT,2048,3.209
Globe,ALURCPLANT,2049,3.209
Globe,ALURCPLANT,2050,3.209
Globe,ALURCPLANT,2051,3.209
Globe,ALURCPLANT,2052,3.209
Globe,ALURCPLANT,2053,3.209
Globe,ALURCPLANT,2054,3.209
Globe,ALURCPLANT,2055,3.209
Globe,ALURCPLANT,2056,3.209
Globe,ALURCPLANT,2057,3.209
Globe,ALURCPLANT,2058,3.209
Globe,ALURCPLANT,2059,3.209
Globe,ALURCPLANT,2060,3.209
Globe,BACKSTOP,2010,99999
