REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BMBRFH1,2010,16.9
Globe,C1BMBRFH1,2011,16.9
Globe,C1BMBRFH1,2012,16.9
Globe,C1BMBRFH1,2013,16.9
Globe,C1BMBRFH1,2014,16.9
Globe,C1BMBRFH1,2015,16.9
Globe,C1BMBRFH1,2016,16.9
Globe,C1BMBRFH1,2017,16.9
Globe,C1BMBRFH1,2018,16.9
Globe,C1BMBRFH1,2019,16.9
Globe,C1BMBRFH1,2020,16.9
Globe,C1BMBRFH1,2021,16.9
Globe,C1BMBRFH1,2022,16.9
Globe,C1BMBRFH1,2023,16.9
Globe,C1BMBRFH1,2024,16.9
Globe,C1BMBRFH1,2025,16.9
Globe,C1BMBRFH1,2026,16.9
Globe,C1BMBRFH1,2027,16.9
Globe,C1BMBRFH1,2028,16.9
Globe,C1BMBRFH1,2029,16.9
Globe,C1BMBRFH1,2030,16.9
Globe,C1BMBRFH1,2031,16.9
Globe,C1BMBRFH1,2032,16.9
Globe,C1BMBRFH1,2033,16.9
Globe,C1BMBRFH1,2034,16.9
Globe,C1BMBRFH1,2035,16.9
Globe,C1BMBRFH1,2036,16.9
Globe,C1BMBRFH1,2037,16.9
Globe,C1BMBRFH1,2038,16.9
Globe,C1BMBRFH1,2039,16.9
Globe,C1BMBRFH1,2040,16.9
Globe,C1BMBRFH1,2041,16.9
Globe,C1BMBRFH1,2042,16.9
Globe,C1BMBRFH1,2043,16.9
Globe,C1BMBRFH1,2044,16.9
Globe,C1BMBRFH1,2045,16.9
Globe,C1BMBRFH1,2046,16.9
Globe,C1BMBRFH1,2047,16.9
Globe,C1BMBRFH1,2048,16.9
Globe,C1BMBRFH1,2049,16.9
Globe,C1BMBRFH1,2050,16.9
Globe,C1BMBRFH1,2051,16.9
Globe,C1BMBRFH1,2052,16.9
Globe,C1BMBRFH1,2053,16.9
Globe,C1BMBRFH1,2054,16.9
Globe,C1BMBRFH1,2055,16.9
Globe,C1BMBRFH1,2056,16.9
Globe,C1BMBRFH1,2057,16.9
Globe,C1BMBRFH1,2058,16.9
Globe,C1BMBRFH1,2059,16.9
Globe,C1BMBRFH1,2060,16.9
Globe,C1BMBRFN1,2010,16.9
Globe,C1BMBRFN1,2011,16.9
Globe,C1BMBRFN1,2012,16.9
Globe,C1BMBRFN1,2013,16.9
Globe,C1BMBRFN1,2014,16.9
Globe,C1BMBRFN1,2015,16.9
Globe,C1BMBRFN1,2016,16.9
Globe,C1BMBRFN1,2017,16.9
Globe,C1BMBRFN1,2018,16.9
Globe,C1BMBRFN1,2019,16.9
Globe,C1BMBRFN1,2020,16.9
Globe,C1BMBRFN1,2021,16.9
Globe,C1BMBRFN1,2022,16.9
Globe,C1BMBRFN1,2023,16.9
Globe,C1BMBRFN1,2024,16.9
Globe,C1BMBRFN1,2025,16.9
Globe,C1BMBRFN1,2026,16.9
Globe,C1BMBRFN1,2027,16.9
Globe,C1BMBRFN1,2028,16.9
Globe,C1BMBRFN1,2029,16.9
Globe,C1BMBRFN1,2030,16.9
Globe,C1BMBRFN1,2031,16.9
Globe,C1BMBRFN1,2032,16.9
Globe,C1BMBRFN1,2033,16.9
Globe,C1BMBRFN1,2034,16.9
Globe,C1BMBRFN1,2035,16.9
Globe,C1BMBRFN1,2036,16.9
Globe,C1BMBRFN1,2037,16.9
Globe,C1BMBRFN1,2038,16.9
Globe,C1BMBRFN1,2039,16.9
Globe,C1BMBRFN1,2040,16.9
Globe,C1BMBRFN1,2041,16.9
Globe,C1BMBRFN1,2042,16.9
Globe,C1BMBRFN1,2043,16.9
Globe,C1BMBRFN1,2044,16.9
Globe,C1BMBRFN1,2045,16.9
Globe,C1BMBRFN1,2046,16.9
Globe,C1BMBRFN1,2047,16.9
Globe,C1BMBRFN1,2048,16.9
Globe,C1BMBRFN1,2049,16.9
Globe,C1BMBRFN1,2050,16.9
Globe,C1BMBRFN1,2051,16.9
Globe,C1BMBRFN1,2052,16.9
Globe,C1BMBRFN1,2053,16.9
Globe,C1BMBRFN1,2054,16.9
Globe,C1BMBRFN1,2055,16.9
Globe,C1BMBRFN1,2056,16.9
Globe,C1BMBRFN1,2057,16.9
Globe,C1BMBRFN1,2058,16.9
Globe,C1BMBRFN1,2059,16.9
Globe,C1BMBRFN1,2060,16.9
Globe,C1BMCHP00,2010,81
Globe,C1BMCHP00,2011,81
Globe,C1BMCHP00,2012,81
Globe,C1BMCHP00,2013,81
Globe,C1BMCHP00,2014,81
Globe,C1BMCHP00,2015,81
Globe,C1BMCHP00,2016,81
Globe,C1BMCHP00,2017,81
Globe,C1BMCHP00,2018,81
Globe,C1BMCHP00,2019,81
Globe,C1BMCHP00,2020,81
Globe,C1BMCHP00,2021,81
Globe,C1BMCHP00,2022,81
Globe,C1BMCHP00,2023,81
Globe,C1BMCHP00,2024,81
Globe,C1BMCHP00,2025,81
Globe,C1BMCHP00,2026,81
Globe,C1BMCHP00,2027,81
Globe,C1BMCHP00,2028,81
Globe,C1BMCHP00,2029,81
Globe,C1BMCHP00,2030,81
Globe,C1BMCHP00,2031,81
Globe,C1BMCHP00,2032,81
Globe,C1BMCHP00,2033,81
Globe,C1BMCHP00,2034,81
Globe,C1BMCHP00,2035,81
Globe,C1BMCHP00,2036,81
Globe,C1BMCHP00,2037,81
Globe,C1BMCHP00,2038,81
Globe,C1BMCHP00,2039,81
Globe,C1BMCHP00,2040,81
Globe,C1BMCHP00,2041,81
Globe,C1BMCHP00,2042,81
Globe,C1BMCHP00,2043,81
Globe,C1BMCHP00,2044,81
Globe,C1BMCHP00,2045,81
Globe,C1BMCHP00,2046,81
Globe,C1BMCHP00,2047,81
Globe,C1BMCHP00,2048,81
Globe,C1BMCHP00,2049,81
Globe,C1BMCHP00,2050,81
Globe,C1BMCHP00,2051,81
Globe,C1BMCHP00,2052,81
Globe,C1BMCHP00,2053,81
Globe,C1BMCHP00,2054,81
Globe,C1BMCHP00,2055,81
Globe,C1BMCHP00,2056,81
Globe,C1BMCHP00,2057,81
Globe,C1BMCHP00,2058,81
Globe,C1BMCHP00,2059,81
Globe,C1BMCHP00,2060,81
Globe,C1BMHTF03,2010,37.7
Globe,C1BMHTF03,2011,37.7
Globe,C1BMHTF03,2012,37.7
Globe,C1BMHTF03,2013,37.7
Globe,C1BMHTF03,2014,37.7
Globe,C1BMHTF03,2015,37.7
Globe,C1BMHTF03,2016,37.7
Globe,C1BMHTF03,2017,37.7
Globe,C1BMHTF03,2018,37.7
Globe,C1BMHTF03,2019,37.7
Globe,C1BMHTF03,2020,37.7
Globe,C1BMHTF03,2021,37.7
Globe,C1BMHTF03,2022,37.7
Globe,C1BMHTF03,2023,37.7
Globe,C1BMHTF03,2024,37.7
Globe,C1BMHTF03,2025,37.7
Globe,C1BMHTF03,2026,37.7
Globe,C1BMHTF03,2027,37.7
Globe,C1BMHTF03,2028,37.7
Globe,C1BMHTF03,2029,37.7
Globe,C1BMHTF03,2030,37.7
Globe,C1BMHTF03,2031,37.7
Globe,C1BMHTF03,2032,37.7
Globe,C1BMHTF03,2033,37.7
Globe,C1BMHTF03,2034,37.7
Globe,C1BMHTF03,2035,37.7
Globe,C1BMHTF03,2036,37.7
Globe,C1BMHTF03,2037,37.7
Globe,C1BMHTF03,2038,37.7
Globe,C1BMHTF03,2039,37.7
Globe,C1BMHTF03,2040,37.7
Globe,C1BMHTF03,2041,37.7
Globe,C1BMHTF03,2042,37.7
Globe,C1BMHTF03,2043,37.7
Globe,C1BMHTF03,2044,37.7
Globe,C1BMHTF03,2045,37.7
Globe,C1BMHTF03,2046,37.7
Globe,C1BMHTF03,2047,37.7
Globe,C1BMHTF03,2048,37.7
Globe,C1BMHTF03,2049,37.7
Globe,C1BMHTF03,2050,37.7
Globe,C1BMHTF03,2051,37.7
Globe,C1BMHTF03,2052,37.7
