REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
Globe,ALUPLANT,C1_F_CLS,1,2010,0.53915
Globe,ALUPLANT,C1_F_CLS,1,2011,0.538385
Globe,ALUPLANT,C1_F_CLS,1,2012,0.53762
Globe,ALUPLANT,C1_F_CLS,1,2013,0.536854
Globe,ALUPLANT,C1_F_CLS,1,2014,0.536089
Globe,ALUPLANT,C1_F_CLS,1,2015,0.535324
Globe,ALUPLANT,C1_F_CLS,1,2016,0.534559
Globe,ALUPLANT,C1_F_CLS,1,2017,0.533793
Globe,ALUPLANT,C1_F_CLS,1,2018,0.533028
Globe,ALUPLANT,C1_F_CLS,1,2019,0.532263
Globe,ALUPLANT,C1_F_CLS,1,2020,0.531498
Globe,ALUPLANT,C1_F_CLS,1,2021,0.530732
Globe,ALUPLANT,C1_F_CLS,1,2022,0.529967
Globe,ALUPLANT,C1_F_CLS,1,2023,0.529202
Globe,ALUPLANT,C1_F_CLS,1,2024,0.528437
Globe,ALUPLANT,C1_F_CLS,1,2025,0.527671
Globe,ALUPLANT,C1_F_CLS,1,2026,0.526906
Globe,ALUPLANT,C1_F_CLS,1,2027,0.526141
Globe,ALUPLANT,C1_F_CLS,1,2028,0.525376
Globe,ALUPLANT,C1_F_CLS,1,2029,0.52461
Globe,ALUPLANT,C1_F_CLS,1,2030,0.523845
Globe,ALUPLANT,C1_F_CLS,1,2031,0.52308
Globe,ALUPLANT,C1_F_CLS,1,2032,0.522315
Globe,ALUPLANT,C1_F_CLS,1,2033,0.521549
Globe,ALUPLANT,C1_F_CLS,1,2034,0.520784
Globe,ALUPLANT,C1_F_CLS,1,2035,0.520019
Globe,ALUPLANT,C1_F_CLS,1,2036,0.519254
Globe,ALUPLANT,C1_F_CLS,1,2037,0.518488
Globe,ALUPLANT,C1_F_CLS,1,2038,0.517723
Globe,ALUPLANT,C1_F_CLS,1,2039,0.516958
Globe,ALUPLANT,C1_F_CLS,1,2040,0.516193
Globe,ALUPLANT,C1_F_CLS,1,2041,0.515427
Globe,ALUPLANT,C1_F_CLS,1,2042,0.514662
Globe,ALUPLANT,C1_F_CLS,1,2043,0.513897
Globe,ALUPLANT,C1_F_CLS,1,2044,0.513131
Globe,ALUPLANT,C1_F_CLS,1,2045,0.512366
Globe,ALUPLANT,C1_F_CLS,1,2046,0.511601
Globe,ALUPLANT,C1_F_CLS,1,2047,0.510836
Globe,ALUPLANT,C1_F_CLS,1,2048,0.510071
Globe,ALUPLANT,C1_F_CLS,1,2049,0.509305
Globe,ALUPLANT,C1_F_CLS,1,2050,0.50854
Globe,ALUPLANT,C1_F_CLS,1,2051,0.50854
Globe,ALUPLANT,C1_F_CLS,1,2052,0.50854
Globe,ALUPLANT,C1_F_CLS,1,2053,0.50854
Globe,ALUPLANT,C1_F_CLS,1,2054,0.50854
Globe,ALUPLANT,C1_F_CLS,1,2055,0.50854
Globe,ALUPLANT,C1_F_CLS,1,2056,0.50854
Globe,ALUPLANT,C1_F_CLS,1,2057,0.50854
Globe,ALUPLANT,C1_F_CLS,1,2058,0.50854
Globe,ALUPLANT,C1_F_CLS,1,2059,0.50854
Globe,ALUPLANT,C1_F_CLS,1,2060,0.50854
Globe,ALUPLANT,C1_F_HEA_I,1,2010,0.2463
Globe,ALUPLANT,C1_F_HEA_I,1,2011,0.246611
Globe,ALUPLANT,C1_F_HEA_I,1,2012,0.246923
Globe,ALUPLANT,C1_F_HEA_I,1,2013,0.247234
Globe,ALUPLANT,C1_F_HEA_I,1,2014,0.247545
Globe,ALUPLANT,C1_F_HEA_I,1,2015,0.247856
Globe,ALUPLANT,C1_F_HEA_I,1,2016,0.248168
Globe,ALUPLANT,C1_F_HEA_I,1,2017,0.248479
Globe,ALUPLANT,C1_F_HEA_I,1,2018,0.24879
Globe,ALUPLANT,C1_F_HEA_I,1,2019,0.249101
Globe,ALUPLANT,C1_F_HEA_I,1,2020,0.249413
Globe,ALUPLANT,C1_F_HEA_I,1,2021,0.249724
Globe,ALUPLANT,C1_F_HEA_I,1,2022,0.250035
Globe,ALUPLANT,C1_F_HEA_I,1,2023,0.250346
Globe,ALUPLANT,C1_F_HEA_I,1,2024,0.250657
Globe,ALUPLANT,C1_F_HEA_I,1,2025,0.250969
