REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.5668
Globe,C1BFRDF00,2014,0.5288
Globe,C1BFRDF00,2015,0.4927
Globe,C1BFRDF00,2016,0.4549
Globe,C1BFRDF00,2017,0.4198
Globe,C1BFRDF00,2018,0.3871
Globe,C1BFRDF00,2019,0.3568
Globe,C1BFRDF00,2020,0.3287
Globe,C1CO00I00,2010,137.299
Globe,C1CO00I00,2011,143.725
Globe,C1CO00I00,2012,144.960
Globe,C1CO00I00,2013,146.742
Globe,C1CO00I00,2014,148.502
Globe,C1CO00I00,2015,144.559
Globe,C1CO00I00,2016,140.171
Globe,C1CO00I00,2017,142.781
Globe,C1CO00I00,2018,145.738
Globe,C1CO00I00,2019,145.604
Globe,C1CO00I00,2020,141.586
Globe,C1CO00I00,2021,121.102
Globe,C1CO00I00,2022,84.772
Globe,C1CO00I00,2023,59.340
Globe,C1CO00I00,2024,41.538
Globe,C1CO00I00,2025,29.077
Globe,C1CO00I00,2026,20.354
Globe,C1CO00I00,2027,14.248
Globe,C1CO00I00,2028,9.973
Globe,C1CO00I00,2029,6.981
Globe,C1CO00I00,2030,4.887
Globe,C1ELRLF00,2010,2.97
Globe,C1ELRLF00,2011,3.03
Globe,C1ELRLF00,2012,3.1
Globe,C1ELRLF00,2013,2
Globe,C1ELRLF00,2014,2
Globe,C1ELRLF00,2015,2
Globe,C1LFAVF00,2010,1.22
Globe,C1LFAVF00,2011,1.305
Globe,C1LFAVF00,2012,1.37
Globe,C1LFAVF00,2013,1.437
Globe,C1LFAVF00,2014,1.508
Globe,C1LFAVF00,2015,1.583
Globe,C1LFAVF00,2016,1.661
Globe,C1LFAVF00,2017,1.744
Globe,C1LFAVF00,2018,1.83
Globe,C1LFAVF00,2019,1.921
Globe,C1LFAVF00,2020,2.016
Globe,C1LFAVF00,2021,2.117
Globe,C1LFAVF00,2022,2.222
Globe,C1LFAVF00,2023,2.333
Globe,C1LFAVF00,2024,2.449
Globe,C1LFAVF00,2025,2.571
Globe,C1LFAVF00,2026,2.7
Globe,C1LFAVF00,2027,2.835
Globe,C1LFAVF00,2028,2.977
Globe,C1LFAVF00,2029,3.127
Globe,C1LFAVF00,2030,3.284
Globe,C1LFAVF00,2031,3.449
Globe,C1LFAVF00,2032,3.623
Globe,C1LFAVF00,2033,3.806
Globe,C1LFAVF00,2034,3.998
Globe,C1LFAVF00,2035,4.2
Globe,C1LFAVF00,2036,4.413
Globe,C1LFAVF00,2037,4.637
Globe,C1LFAVF00,2038,4.872
Globe,C1LFAVF00,2039,5.12
Globe,C1LFAVF00,2040,5.38
Globe,C1LFAVF00,2041,5.654
Globe,C1LFAVF00,2042,5.943
Globe,C1LFAVF00,2043,6.246
Globe,C1LFAVF00,2044,6.566
Globe,C1LFAVF00,2045,6.903
Globe,C1LFAVF00,2046,7.257
Globe,C1LFAVF00,2047,7.63
Globe,C1LFAVF00,2048,8.022
Globe,C1LFAVF00,2049,8.435
Globe,C1LFAVF00,2050,8.871
Globe,C1LFAVF00,2051,8.871
Globe,C1LFAVF00,2052,8.871
Globe,C1LFAVF00,2053,8.871
Globe,C1LFAVF00,2054,8.871
Globe,C1LFAVF00,2055,8.871
Globe,C1LFAVF00,2056,8.871
Globe,C1LFAVF00,2057,8.871
Globe,C1LFAVF00,2058,8.871
Globe,C1LFAVF00,2059,8.871
Globe,C1LFAVF00,2060,8.871
Globe,C1NG00I00,2010,103.114
Globe,C1NG00I00,2011,104.993
Globe,C1NG00I00,2012,106.959
Globe,C1NG00I00,2013,109.126
Globe,C1NG00I00,2014,109.089
Globe,C1NG00I00,2015,110.249
Globe,C1NG00I00,2016,114.078
Globe,C1NG00I00,2017,117.185
Globe,C1NG00I00,2018,122.594
Globe,C1NG00I00,2019,124.857
Globe,C1NG00I00,2020,124.031
Globe,C1NG00I00,2021,130.374
Globe,C1NG00I00,2022,91.262
Globe,C1NG00I00,2023,63.883
Globe,C1NG00I00,2024,44.718
Globe,C1NG00I00,2025,31.303
Globe,C1NG00I00,2026,21.912
Globe,C1NG00I00,2027,15.338
Globe,C1NG00I00,2028,10.737
Globe,C1NG00I00,2029,7.516
Globe,C1NG00I00,2030,5.261
Globe,C1OI00I00,2010,157.804
Globe,C1OI00I00,2011,159.351
Globe,C1OI00I00,2012,161.765
Globe,C1OI00I00,2013,161.688
Globe,C1OI00I00,2014,165.082
Globe,C1OI00I00,2015,167.976
Globe,C1OI00I00,2016,170.070
Globe,C1OI00I00,2017,172.801
Globe,C1OI00I00,2018,174.053
Globe,C1OI00I00,2019,174.229
Globe,C1OI00I00,2020,159.827
Globe,C1OI00I00,2021,150.794
Globe,C1OI00I00,2022,105.556
Globe,C1OI00I00,2023,73.889
Globe,C1OI00I00,2024,51.722
Globe,C1OI00I00,2025,36.206
Globe,C1OI00I00,2026,25.344
Globe,C1OI00I00,2027,17.741
Globe,C1OI00I00,2028,12.418
Globe,C1OI00I00,2029,8.693
Globe,C1OI00I00,2030,6.085
Globe,LA,2010,5040
Globe,LA,2011,5040
Globe,LA,2012,5040
Globe,LA,2013,5040
Globe,LA,2014,5040
Globe,LA,2015,5040
Globe,LA,2016,5040
Globe,LA,2017,5040
Globe,LA,2018,5040
Globe,LA,2019,5040
Globe,LA,2020,5040
Globe,LA,2021,5040
Globe,LA1_i_PROD,2010,365
Globe,LA1_i_PROD,2011,365
Globe,LA1_i_PROD,2012,365
Globe,LA1_i_PROD,2013,365
