REGION,TECHNOLOGY,VALUE
Globe,BACKSTOP,31.536
Globe,C1BMBRFH1,31.536
Globe,C1BMBRFN1,31.536
Globe,C1BMCHP00,31.536
Globe,C1BMHTF03,31.536
Globe,C1BMIGPCS,31.536
Globe,C1BMSCP00,31.536
Globe,C1COBRFH1,31.536
Globe,C1COCHP00,31.536
Globe,C1COHTF03,31.536
Globe,C1COIGP00,31.536
Globe,C1COSCP00,31.536
Globe,C1COSCPCS,31.536
Globe,C1ELHGP00,31.536
Globe,C1GOCVP00,31.536
Globe,C1GOHTF03,31.536
Globe,C1HFGCP00,31.536
Globe,C1HFGCPCH,31.536
Globe,C1HPASF01,31.536
Globe,C1HPINF0I,31.536
Globe,C1HYDMP00,31.536
Globe,C1HYMIP00,31.536
Globe,C1LFBRFH1,31.536
Globe,C1LFBRFN1,31.536
Globe,C1LFCCP00,31.536
Globe,C1NGBRFH1,31.536
Globe,C1NGBRFN1,31.536
Globe,C1NGCCP00,31.536
Globe,C1NGCCPCH,31.536
Globe,C1NGCCPCS,31.536
Globe,C1NGGCP00,31.536
Globe,C1NGGCPCH,31.536
Globe,C1NGHTF03,31.536
Globe,C1NULWP00,31.536
Globe,C1OCCVP00,31.536
Globe,C1OIHTF03,31.536
Globe,C1SOC1P00,31.536
Globe,C1SOTHF00,31.536
Globe,C1SOV1P00,31.536
Globe,C1SOV2P00,31.536
Globe,C1WDOFP00,31.536
Globe,C1WDONP00,31.536
