REGION,FUEL,YEAR,VALUE
Globe,ALU,2010,85.3
Globe,ALU,2011,88.6853
Globe,ALU,2012,92.0705
Globe,ALU,2013,95.4558
Globe,ALU,2014,98.841
Globe,ALU,2015,102.226
Globe,ALU,2016,105.612
Globe,ALU,2017,108.997
Globe,ALU,2018,112.382
Globe,ALU,2019,115.767
Globe,ALU,2020,119.153
Globe,ALU,2021,122.538
Globe,ALU,2022,125.923
Globe,ALU,2023,129.308
Globe,ALU,2024,132.694
Globe,ALU,2025,136.079
Globe,ALU,2026,139.464
Globe,ALU,2027,142.849
Globe,ALU,2028,146.234
Globe,ALU,2029,149.62
Globe,ALU,2030,153.005
Globe,ALU,2031,156.39
Globe,ALU,2032,159.775
Globe,ALU,2033,163.161
Globe,ALU,2034,166.546
Globe,ALU,2035,169.931
Globe,ALU,2036,173.316
Globe,ALU,2037,176.702
Globe,ALU,2038,180.087
Globe,ALU,2039,183.472
Globe,ALU,2040,186.857
Globe,ALU,2041,190.243
Globe,ALU,2042,193.628
Globe,ALU,2043,197.013
Globe,ALU,2044,200.399
Globe,ALU,2045,203.784
Globe,ALU,2046,207.169
Globe,ALU,2047,210.554
Globe,ALU,2048,213.94
Globe,ALU,2049,217.325
Globe,ALU,2050,220.71
Globe,ALU,2051,220.71
Globe,ALU,2052,220.71
Globe,ALU,2053,220.71
Globe,ALU,2054,220.71
Globe,ALU,2055,220.71
Globe,ALU,2056,220.71
Globe,ALU,2057,220.71
Globe,ALU,2058,220.71
Globe,ALU,2059,220.71
Globe,ALU,2060,220.71
Globe,C1_F_MOT,2010,89.5414
Globe,C1_F_MOT,2011,92.4362
Globe,C1_F_MOT,2012,95.3352
Globe,C1_F_MOT,2013,98.2386
Globe,C1_F_MOT,2014,101.147
Globe,C1_F_MOT,2015,104.06
Globe,C1_F_MOT,2016,106.978
Globe,C1_F_MOT,2017,109.902
Globe,C1_F_MOT,2018,112.832
Globe,C1_F_MOT,2019,115.769
Globe,C1_F_MOT,2020,118.712
Globe,C1_F_MOT,2021,125.648
Globe,C1_F_MOT,2022,132.592
Globe,C1_F_MOT,2023,139.543
Globe,C1_F_MOT,2024,146.504
Globe,C1_F_MOT,2025,153.473
Globe,C1_F_MOT,2026,160.452
Globe,C1_F_MOT,2027,167.44
Globe,C1_F_MOT,2028,174.44
Globe,C1_F_MOT,2029,181.451
Globe,C1_F_MOT,2030,188.474
Globe,C1_F_MOT,2031,195.51
Globe,C1_F_MOT,2032,202.559
Globe,C1_F_MOT,2033,209.623
Globe,C1_F_MOT,2034,216.702
Globe,C1_F_MOT,2035,223.798
Globe,C1_F_MOT,2036,230.91
Globe,C1_F_MOT,2037,238.041
Globe,C1_F_MOT,2038,245.191
Globe,C1_F_MOT,2039,252.362
Globe,C1_F_MOT,2040,259.554
Globe,C1_F_MOT,2041,266.77
Globe,C1_F_MOT,2042,274.01
Globe,C1_F_MOT,2043,281.276
Globe,C1_F_MOT,2044,288.57
Globe,C1_F_MOT,2045,295.893
Globe,C1_F_MOT,2046,303.247
Globe,C1_F_MOT,2047,310.634
Globe,C1_F_MOT,2048,318.055
Globe,C1_F_MOT,2049,325.515
Globe,C1_F_MOT,2050,333.013
Globe,C1_F_MOT,2051,333.013
Globe,C1_F_MOT,2052,333.013
Globe,C1_F_MOT,2053,333.013
Globe,C1_F_MOT,2054,333.013
Globe,C1_F_MOT,2055,333.013
Globe,C1_F_MOT,2056,333.013
Globe,C1_F_MOT,2057,333.013
Globe,C1_F_MOT,2058,333.013
Globe,C1_F_MOT,2059,333.013
Globe,C1_F_MOT,2060,333.013
Globe,C1_F_RD,2010,18.69
Globe,C1_F_RD,2011,19.45
Globe,C1_F_RD,2012,20.22
Globe,C1_F_RD,2013,20.99
Globe,C1_F_RD,2014,21.76
Globe,C1_F_RD,2015,22.53
Globe,C1_F_RD,2016,23.11
Globe,C1_F_RD,2017,23.7
Globe,C1_F_RD,2018,24.28
Globe,C1_F_RD,2019,24.87
Globe,C1_F_RD,2020,25.45
Globe,C1_F_RD,2021,26.0
Globe,C1_F_RD,2022,26.55
Globe,C1_F_RD,2023,27.1
Globe,C1_F_RD,2024,27.65
Globe,C1_F_RD,2025,28.2
Globe,C1_F_RD,2026,28.72
Globe,C1_F_RD,2027,29.24
Globe,C1_F_RD,2028,29.77
Globe,C1_F_RD,2029,30.29
Globe,C1_F_RD,2030,30.81
Globe,C1_F_RD,2031,31.46
Globe,C1_F_RD,2032,32.11
Globe,C1_F_RD,2033,32.76
Globe,C1_F_RD,2034,33.41
Globe,C1_F_RD,2035,34.06
Globe,C1_F_RD,2036,34.69
Globe,C1_F_RD,2037,35.33
Globe,C1_F_RD,2038,35.96
Globe,C1_F_RD,2039,36.59
Globe,C1_F_RD,2040,37.22
Globe,C1_F_RD,2041,37.81
Globe,C1_F_RD,2042,38.4
Globe,C1_F_RD,2043,38.99
Globe,C1_F_RD,2044,39.58
Globe,C1_F_RD,2045,40.17
Globe,C1_F_RD,2046,40.73
Globe,C1_F_RD,2047,41.29
Globe,C1_F_RD,2048,41.85
Globe,C1_F_RD,2049,42.41
Globe,C1_F_RD,2050,42.97
Globe,C1_F_RD,2051,42.97
Globe,C1_F_RD,2052,42.97
Globe,C1_F_RD,2053,42.97
Globe,C1_F_RD,2054,42.97
Globe,C1_F_RD,2055,42.97
Globe,C1_F_RD,2056,42.97
Globe,C1_F_RD,2057,42.97
Globe,C1_F_RD,2058,42.97
Globe,C1_F_RD,2059,42.97
Globe,C1_F_RD,2060,42.97
Globe,C1_F_RL,2010,9.89
Globe,C1_F_RL,2011,10.1
Globe,C1_F_RL,2012,10.32
Globe,C1_F_RL,2013,10.53
Globe,C1_F_RL,2014,10.75
Globe,C1_F_RL,2015,10.96
Globe,C1_F_RL,2016,11.21
Globe,C1_F_RL,2017,11.45
Globe,C1_F_RL,2018,11.69
Globe,C1_F_RL,2019,11.93
Globe,C1_F_RL,2020,12.17
Globe,C1_F_RL,2021,12.44
Globe,C1_F_RL,2022,12.71
Globe,C1_F_RL,2023,12.98
Globe,C1_F_RL,2024,13.25
Globe,C1_F_RL,2025,13.53
Globe,C1_F_RL,2026,13.83
Globe,C1_F_RL,2027,14.13
Globe,C1_F_RL,2028,14.44
Globe,C1_F_RL,2029,14.74
Globe,C1_F_RL,2030,15.05
Globe,C1_F_RL,2031,15.39
Globe,C1_F_RL,2032,15.73
Globe,C1_F_RL,2033,16.07
Globe,C1_F_RL,2034,16.41
Globe,C1_F_RL,2035,16.75
Globe,C1_F_RL,2036,17.32
Globe,C1_F_RL,2037,17.89
Globe,C1_F_RL,2038,18.46
Globe,C1_F_RL,2039,19.03
Globe,C1_F_RL,2040,19.6
Globe,C1_F_RL,2041,20.17
Globe,C1_F_RL,2042,20.74
Globe,C1_F_RL,2043,21.31
Globe,C1_F_RL,2044,21.88
Globe,C1_F_RL,2045,22.45
Globe,C1_F_RL,2046,23.02
Globe,C1_F_RL,2047,23.59
Globe,C1_F_RL,2048,24.16
Globe,C1_F_RL,2049,24.73
Globe,C1_F_RL,2050,25.29
Globe,C1_F_RL,2051,25.29
Globe,C1_F_RL,2052,25.29
Globe,C1_F_RL,2053,25.29
Globe,C1_F_RL,2054,25.29
Globe,C1_F_RL,2055,25.29
Globe,C1_F_RL,2056,25.29
Globe,C1_F_RL,2057,25.29
Globe,C1_F_RL,2058,25.29
Globe,C1_F_RL,2059,25.29
Globe,C1_F_RL,2060,25.29
Globe,CEM,2010,2713.64
Globe,CEM,2011,2737.05
Globe,CEM,2012,2760.45
Globe,CEM,2013,2783.86
Globe,CEM,2014,2807.27
Globe,CEM,2015,2830.68
Globe,CEM,2016,2854.09
Globe,CEM,2017,2877.5
Globe,CEM,2018,2900.91
Globe,CEM,2019,2924.32
Globe,CEM,2020,2947.73
Globe,CEM,2021,2971.14
Globe,CEM,2022,2994.55
Globe,CEM,2023,3017.95
Globe,CEM,2024,3041.36
Globe,CEM,2025,3064.77
Globe,CEM,2026,3088.18
Globe,CEM,2027,3111.59
Globe,CEM,2028,3135.0
Globe,CEM,2029,3158.41
Globe,CEM,2030,3181.82
Globe,CEM,2031,3205.23
Globe,CEM,2032,3228.64
Globe,CEM,2033,3252.05
Globe,CEM,2034,3275.45
Globe,CEM,2035,3298.86
Globe,CEM,2036,3322.27
Globe,CEM,2037,3345.68
Globe,CEM,2038,3369.09
Globe,CEM,2039,3392.5
Globe,CEM,2040,3415.91
Globe,CEM,2041,3439.32
Globe,CEM,2042,3462.73
Globe,CEM,2043,3486.14
Globe,CEM,2044,3509.55
Globe,CEM,2045,3532.95
Globe,CEM,2046,3556.36
Globe,CEM,2047,3579.77
Globe,CEM,2048,3603.18
Globe,CEM,2049,3626.59
Globe,CEM,2050,3650.0
Globe,CEM,2051,3650.0
Globe,CEM,2052,3650.0
Globe,CEM,2053,3650.0
Globe,CEM,2054,3650.0
Globe,CEM,2055,3650.0
Globe,CEM,2056,3650.0
Globe,CEM,2057,3650.0
Globe,CEM,2058,3650.0
Globe,CEM,2059,3650.0
Globe,CEM,2060,3650.0
Globe,L_OTHER,2010,3900.0
Globe,L_OTHER,2011,3900.0
Globe,L_OTHER,2012,3900.0
Globe,L_OTHER,2013,3900.0
Globe,L_OTHER,2014,3900.0
Globe,L_OTHER,2015,3900.0
Globe,L_OTHER,2016,3900.0
Globe,L_OTHER,2017,3900.0
Globe,L_OTHER,2018,3900.0
Globe,L_OTHER,2019,3900.0
