REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,99999
Globe,ALUPLANT,2011,99999
Globe,ALUPLANT,2012,99999
Globe,ALUPLANT,2013,99999
Globe,ALUPLANT,2014,99999
Globe,ALUPLANT,2015,99999
Globe,ALUPLANT,2016,99999
Globe,ALUPLANT,2017,99999
Globe,ALUPLANT,2018,99999
Globe,ALUPLANT,2019,99999
Globe,ALUPLANT,2020,99999
Globe,ALUPLANT,2021,99999
Globe,ALUPLANT,2022,99999
Globe,ALUPLANT,2023,99999
Globe,ALUPLANT,2024,99999
Globe,ALUPLANT,2025,99999
Globe,ALUPLANT,2026,99999
Globe,ALUPLANT,2027,99999
Globe,ALUPLANT,2028,99999
Globe,ALUPLANT,2029,99999
Globe,ALUPLANT,2030,99999
Globe,ALUPLANT,2031,99999
Globe,ALUPLANT,2032,99999
Globe,ALUPLANT,2033,99999
Globe,ALUPLANT,2034,99999
Globe,ALUPLANT,2035,99999
Globe,ALUPLANT,2036,99999
Globe,ALUPLANT,2037,99999
Globe,ALUPLANT,2038,99999
Globe,ALUPLANT,2039,99999
Globe,ALUPLANT,2040,99999
Globe,ALUPLANT,2041,99999
Globe,ALUPLANT,2042,99999
Globe,ALUPLANT,2043,99999
Globe,ALUPLANT,2044,99999
Globe,ALUPLANT,2045,99999
Globe,ALUPLANT,2046,99999
Globe,ALUPLANT,2047,99999
Globe,ALUPLANT,2048,99999
Globe,ALUPLANT,2049,99999
Globe,ALUPLANT,2050,99999
Globe,ALUPLANT,2051,99999
Globe,ALUPLANT,2052,99999
Globe,ALUPLANT,2053,99999
Globe,ALUPLANT,2054,99999
Globe,ALUPLANT,2055,99999
Globe,ALUPLANT,2056,99999
Globe,ALUPLANT,2057,99999
Globe,ALUPLANT,2058,99999
Globe,ALUPLANT,2059,99999
Globe,ALUPLANT,2060,99999
Globe,ALURCPLANT,2010,27.296
Globe,ALURCPLANT,2011,28.379
Globe,ALURCPLANT,2012,29.463
Globe,ALURCPLANT,2013,30.546
Globe,ALURCPLANT,2014,31.629
Globe,ALURCPLANT,2015,32.712
Globe,ALURCPLANT,2016,33.796
Globe,ALURCPLANT,2017,34.879
Globe,ALURCPLANT,2018,35.962
Globe,ALURCPLANT,2019,38.203
Globe,ALURCPLANT,2020,40.512
Globe,ALURCPLANT,2021,42.888
Globe,ALURCPLANT,2022,45.332
Globe,ALURCPLANT,2023,46.551
Globe,ALURCPLANT,2024,47.77
Globe,ALURCPLANT,2025,48.988
Globe,ALURCPLANT,2026,99999
Globe,ALURCPLANT,2027,99999
Globe,ALURCPLANT,2028,99999
Globe,ALURCPLANT,2029,99999
Globe,ALURCPLANT,2030,99999
Globe,ALURCPLANT,2031,99999
Globe,ALURCPLANT,2032,99999
Globe,ALURCPLANT,2033,99999
Globe,ALURCPLANT,2034,99999
Globe,ALURCPLANT,2035,99999
Globe,ALURCPLANT,2036,99999
Globe,ALURCPLANT,2037,99999
Globe,ALURCPLANT,2038,99999
Globe,ALURCPLANT,2039,99999
Globe,ALURCPLANT,2040,99999
Globe,ALURCPLANT,2041,99999
Globe,ALURCPLANT,2042,99999
Globe,ALURCPLANT,2043,99999
Globe,ALURCPLANT,2044,99999
Globe,ALURCPLANT,2045,99999
Globe,ALURCPLANT,2046,99999
Globe,ALURCPLANT,2047,99999
Globe,ALURCPLANT,2048,99999
Globe,ALURCPLANT,2049,99999
Globe,ALURCPLANT,2050,99999
Globe,ALURCPLANT,2051,99999
Globe,ALURCPLANT,2052,99999
Globe,ALURCPLANT,2053,99999
Globe,ALURCPLANT,2054,99999
Globe,ALURCPLANT,2055,99999
Globe,ALURCPLANT,2056,99999
Globe,ALURCPLANT,2057,99999
Globe,ALURCPLANT,2058,99999
Globe,ALURCPLANT,2059,99999
Globe,ALURCPLANT,2060,99999
Globe,ALURECYCLE,2010,63.975
Globe,ALURECYCLE,2011,66.514
Globe,ALURECYCLE,2012,69.0529
Globe,ALURECYCLE,2013,71.5918
Globe,ALURECYCLE,2014,74.1308
Globe,ALURECYCLE,2015,76.6697
Globe,ALURECYCLE,2016,79.2086
Globe,ALURECYCLE,2017,81.7476
Globe,ALURECYCLE,2018,84.2865
Globe,ALURECYCLE,2019,86.8255
Globe,ALURECYCLE,2020,89.3644
Globe,ALURECYCLE,2021,91.9034
Globe,ALURECYCLE,2022,94.4423
Globe,ALURECYCLE,2023,96.9811
Globe,ALURECYCLE,2024,99.5201
Globe,ALURECYCLE,2025,102.059
Globe,ALURECYCLE,2026,99999
Globe,ALURECYCLE,2027,99999
Globe,ALURECYCLE,2028,99999
Globe,ALURECYCLE,2029,99999
Globe,ALURECYCLE,2030,99999
Globe,ALURECYCLE,2031,99999
Globe,ALURECYCLE,2032,99999
Globe,ALURECYCLE,2033,99999
Globe,ALURECYCLE,2034,99999
Globe,ALURECYCLE,2035,99999
Globe,ALURECYCLE,2036,99999
Globe,ALURECYCLE,2037,99999
Globe,ALURECYCLE,2038,99999
Globe,ALURECYCLE,2039,99999
Globe,ALURECYCLE,2040,99999
Globe,ALURECYCLE,2041,99999
Globe,ALURECYCLE,2042,99999
Globe,ALURECYCLE,2043,99999
Globe,ALURECYCLE,2044,99999
Globe,ALURECYCLE,2045,99999
Globe,ALURECYCLE,2046,99999
Globe,ALURECYCLE,2047,99999
Globe,ALURECYCLE,2048,99999
Globe,ALURECYCLE,2049,99999
Globe,ALURECYCLE,2050,99999
Globe,ALURECYCLE,2051,99999
Globe,ALURECYCLE,2052,99999
Globe,ALURECYCLE,2053,99999
Globe,ALURECYCLE,2054,99999
Globe,ALURECYCLE,2055,99999
Globe,ALURECYCLE,2056,99999
Globe,ALURECYCLE,2057,99999
Globe,ALURECYCLE,2058,99999
Globe,ALURECYCLE,2059,99999
Globe,ALURECYCLE,2060,99999
Globe,BACKSTOP,2010,99999
Globe,BACKSTOP,2011,99999
Globe,BACKSTOP,2012,99999
Globe,BACKSTOP,2013,99999
Globe,BACKSTOP,2014,99999
Globe,BACKSTOP,2015,99999
Globe,BACKSTOP,2016,99999
Globe,BACKSTOP,2017,99999
Globe,BACKSTOP,2018,99999
Globe,BACKSTOP,2019,99999
Globe,BACKSTOP,2020,99999
Globe,BACKSTOP,2021,99999
Globe,BACKSTOP,2022,99999
Globe,BACKSTOP,2023,99999
Globe,BACKSTOP,2024,99999
Globe,BACKSTOP,2025,99999
Globe,BACKSTOP,2026,99999
Globe,BACKSTOP,2027,99999
Globe,BACKSTOP,2028,99999
Globe,BACKSTOP,2029,99999
Globe,BACKSTOP,2030,99999
Globe,BACKSTOP,2031,99999
Globe,BACKSTOP,2032,99999
Globe,BACKSTOP,2033,99999
Globe,BACKSTOP,2034,99999
Globe,BACKSTOP,2035,99999
Globe,BACKSTOP,2036,99999
Globe,BACKSTOP,2037,99999
Globe,BACKSTOP,2038,99999
Globe,BACKSTOP,2039,99999
Globe,BACKSTOP,2040,99999
Globe,BACKSTOP,2041,99999
Globe,BACKSTOP,2042,99999
Globe,BACKSTOP,2043,99999
Globe,BACKSTOP,2044,99999
Globe,BACKSTOP,2045,99999
Globe,BACKSTOP,2046,99999
Globe,BACKSTOP,2047,99999
Globe,BACKSTOP,2048,99999
Globe,BACKSTOP,2049,99999
Globe,BACKSTOP,2050,99999
Globe,BACKSTOP,2051,99999
Globe,BACKSTOP,2052,99999
Globe,BACKSTOP,2053,99999
Globe,BACKSTOP,2054,99999
Globe,BACKSTOP,2055,99999
Globe,BACKSTOP,2056,99999
Globe,BACKSTOP,2057,99999
Globe,BACKSTOP,2058,99999
Globe,BACKSTOP,2059,99999
Globe,BACKSTOP,2060,99999
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6927
Globe,C1BFRDF00,2014,0.7899
Globe,C1BFRDF00,2015,0.8995
Globe,C1BFRDF00,2016,1.0152
Globe,C1BFRDF00,2017,1.145
Globe,C1BFRDF00,2018,1.2905
Globe,C1BFRDF00,2019,1.4538
Globe,C1BFRDF00,2020,1.6368
Globe,C1BFRDF00,2021,9999
Globe,C1BFRDF00,2022,9999
Globe,C1BFRDF00,2023,9999
Globe,C1BFRDF00,2024,9999
Globe,C1BFRDF00,2025,9999
Globe,C1BFRDF00,2026,9999
Globe,C1BFRDF00,2027,9999
Globe,C1BFRDF00,2028,9999
Globe,C1BFRDF00,2029,9999
Globe,C1BFRDF00,2030,9999
Globe,C1BFRDF00,2031,9999
Globe,C1BFRDF00,2032,9999
Globe,C1BFRDF00,2033,9999
Globe,C1BFRDF00,2034,9999
Globe,C1BFRDF00,2035,9999
Globe,C1BFRDF00,2036,9999
Globe,C1BFRDF00,2037,9999
Globe,C1BFRDF00,2038,9999
Globe,C1BFRDF00,2039,9999
Globe,C1BFRDF00,2040,9999
Globe,C1BFRDF00,2041,9999
Globe,C1BFRDF00,2042,9999
Globe,C1BFRDF00,2043,9999
Globe,C1BFRDF00,2044,9999
Globe,C1BFRDF00,2045,9999
Globe,C1BFRDF00,2046,9999
Globe,C1BFRDF00,2047,9999
Globe,C1BFRDF00,2048,9999
Globe,C1BFRDF00,2049,9999
Globe,C1BFRDF00,2050,9999
Globe,C1BFRDF00,2051,9999
Globe,C1BFRDF00,2052,9999
Globe,C1BFRDF00,2053,9999
Globe,C1BFRDF00,2054,9999
Globe,C1BFRDF00,2055,9999
Globe,C1BFRDF00,2056,9999
Globe,C1BFRDF00,2057,9999
Globe,C1BFRDF00,2058,9999
Globe,C1BFRDF00,2059,9999
Globe,C1BFRDF00,2060,9999
Globe,C1BMBRFH1,2010,99999
Globe,C1BMBRFH1,2011,99999
Globe,C1BMBRFH1,2012,99999
Globe,C1BMBRFH1,2013,99999
Globe,C1BMBRFH1,2014,99999
Globe,C1BMBRFH1,2015,99999
Globe,C1BMBRFH1,2016,99999
Globe,C1BMBRFH1,2017,99999
Globe,C1BMBRFH1,2018,99999
Globe,C1BMBRFH1,2019,99999
Globe,C1BMBRFH1,2020,99999
Globe,C1BMBRFH1,2021,99999
Globe,C1BMBRFH1,2022,99999
Globe,C1BMBRFH1,2023,99999
Globe,C1BMBRFH1,2024,99999
Globe,C1BMBRFH1,2025,99999
Globe,C1BMBRFH1,2026,99999
Globe,C1BMBRFH1,2027,99999
Globe,C1BMBRFH1,2028,99999
Globe,C1BMBRFH1,2029,99999
Globe,C1BMBRFH1,2030,99999
Globe,C1BMBRFH1,2031,99999
Globe,C1BMBRFH1,2032,99999
Globe,C1BMBRFH1,2033,99999
Globe,C1BMBRFH1,2034,99999
Globe,C1BMBRFH1,2035,99999
Globe,C1BMBRFH1,2036,99999
Globe,C1BMBRFH1,2037,99999
Globe,C1BMBRFH1,2038,99999
Globe,C1BMBRFH1,2039,99999
Globe,C1BMBRFH1,2040,99999
Globe,C1BMBRFH1,2041,99999
Globe,C1BMBRFH1,2042,99999
Globe,C1BMBRFH1,2043,99999
Globe,C1BMBRFH1,2044,99999
Globe,C1BMBRFH1,2045,99999
Globe,C1BMBRFH1,2046,99999
Globe,C1BMBRFH1,2047,99999
Globe,C1BMBRFH1,2048,99999
Globe,C1BMBRFH1,2049,99999
Globe,C1BMBRFH1,2050,99999
Globe,C1BMBRFH1,2051,99999
Globe,C1BMBRFH1,2052,99999
Globe,C1BMBRFH1,2053,99999
Globe,C1BMBRFH1,2054,99999
Globe,C1BMBRFH1,2055,99999
Globe,C1BMBRFH1,2056,99999
Globe,C1BMBRFH1,2057,99999
Globe,C1BMBRFH1,2058,99999
Globe,C1BMBRFH1,2059,99999
Globe,C1BMBRFH1,2060,99999
Globe,C1BMBRFN1,2010,99999
Globe,C1BMBRFN1,2011,99999
Globe,C1BMBRFN1,2012,99999
Globe,C1BMBRFN1,2013,99999
Globe,C1BMBRFN1,2014,99999
Globe,C1BMBRFN1,2015,99999
Globe,C1BMBRFN1,2016,99999
Globe,C1BMBRFN1,2017,99999
Globe,C1BMBRFN1,2018,99999
Globe,C1BMBRFN1,2019,99999
Globe,C1BMBRFN1,2020,99999
Globe,C1BMBRFN1,2021,99999
Globe,C1BMBRFN1,2022,99999
Globe,C1BMBRFN1,2023,99999
Globe,C1BMBRFN1,2024,99999
Globe,C1BMBRFN1,2025,99999
Globe,C1BMBRFN1,2026,99999
Globe,C1BMBRFN1,2027,99999
Globe,C1BMBRFN1,2028,99999
Globe,C1BMBRFN1,2029,99999
Globe,C1BMBRFN1,2030,99999
Globe,C1BMBRFN1,2031,99999
Globe,C1BMBRFN1,2032,99999
Globe,C1BMBRFN1,2033,99999
Globe,C1BMBRFN1,2034,99999
Globe,C1BMBRFN1,2035,99999
Globe,C1BMBRFN1,2036,99999
Globe,C1BMBRFN1,2037,99999
Globe,C1BMBRFN1,2038,99999
Globe,C1BMBRFN1,2039,99999
Globe,C1BMBRFN1,2040,99999
Globe,C1BMBRFN1,2041,99999
Globe,C1BMBRFN1,2042,99999
Globe,C1BMBRFN1,2043,99999
Globe,C1BMBRFN1,2044,99999
Globe,C1BMBRFN1,2045,99999
Globe,C1BMBRFN1,2046,99999
Globe,C1BMBRFN1,2047,99999
Globe,C1BMBRFN1,2048,99999
Globe,C1BMBRFN1,2049,99999
Globe,C1BMBRFN1,2050,99999
Globe,C1BMBRFN1,2051,99999
Globe,C1BMBRFN1,2052,99999
Globe,C1BMBRFN1,2053,99999
Globe,C1BMBRFN1,2054,99999
Globe,C1BMBRFN1,2055,99999
Globe,C1BMBRFN1,2056,99999
Globe,C1BMBRFN1,2057,99999
Globe,C1BMBRFN1,2058,99999
Globe,C1BMBRFN1,2059,99999
Globe,C1BMBRFN1,2060,99999
Globe,C1BMCHP00,2010,99999
Globe,C1BMCHP00,2011,99999
Globe,C1BMCHP00,2012,99999
Globe,C1BMCHP00,2013,99999
Globe,C1BMCHP00,2014,99999
Globe,C1BMCHP00,2015,99999
Globe,C1BMCHP00,2016,99999
Globe,C1BMCHP00,2017,99999
Globe,C1BMCHP00,2018,99999
Globe,C1BMCHP00,2019,99999
Globe,C1BMCHP00,2020,99999
Globe,C1BMCHP00,2021,99999
Globe,C1BMCHP00,2022,99999
Globe,C1BMCHP00,2023,99999
Globe,C1BMCHP00,2024,99999
Globe,C1BMCHP00,2025,99999
Globe,C1BMCHP00,2026,99999
Globe,C1BMCHP00,2027,99999
Globe,C1BMCHP00,2028,99999
Globe,C1BMCHP00,2029,99999
Globe,C1BMCHP00,2030,99999
Globe,C1BMCHP00,2031,99999
Globe,C1BMCHP00,2032,99999
Globe,C1BMCHP00,2033,99999
Globe,C1BMCHP00,2034,99999
Globe,C1BMCHP00,2035,99999
Globe,C1BMCHP00,2036,99999
Globe,C1BMCHP00,2037,99999
Globe,C1BMCHP00,2038,99999
Globe,C1BMCHP00,2039,99999
Globe,C1BMCHP00,2040,99999
Globe,C1BMCHP00,2041,99999
Globe,C1BMCHP00,2042,99999
Globe,C1BMCHP00,2043,99999
Globe,C1BMCHP00,2044,99999
Globe,C1BMCHP00,2045,99999
Globe,C1BMCHP00,2046,99999
Globe,C1BMCHP00,2047,99999
Globe,C1BMCHP00,2048,99999
Globe,C1BMCHP00,2049,99999
Globe,C1BMCHP00,2050,99999
Globe,C1BMCHP00,2051,99999
Globe,C1BMCHP00,2052,99999
Globe,C1BMCHP00,2053,99999
Globe,C1BMCHP00,2054,99999
Globe,C1BMCHP00,2055,99999
Globe,C1BMCHP00,2056,99999
Globe,C1BMCHP00,2057,99999
Globe,C1BMCHP00,2058,99999
