REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.9591
Globe,ALUPLANT,2011,3.8007
Globe,ALUPLANT,2012,3.6424
Globe,ALUPLANT,2013,3.484
Globe,ALUPLANT,2014,3.3256
Globe,ALUPLANT,2015,3.1673
Globe,ALUPLANT,2016,3.0089
Globe,ALUPLANT,2017,2.8506
Globe,ALUPLANT,2018,2.6922
Globe,ALUPLANT,2019,2.5338
Globe,ALUPLANT,2020,2.3755
Globe,ALUPLANT,2021,2.2171
Globe,ALUPLANT,2022,2.0587
Globe,ALUPLANT,2023,1.9004
Globe,ALUPLANT,2024,1.742
Globe,ALUPLANT,2025,1.5836
Globe,ALUPLANT,2026,1.4253
Globe,ALUPLANT,2027,1.2669
Globe,ALUPLANT,2028,1.1085
Globe,ALUPLANT,2029,0.9502
Globe,ALUPLANT,2030,0.7918
Globe,ALUPLANT,2031,0.6335
Globe,ALUPLANT,2032,0.4751
Globe,ALUPLANT,2033,0.3167
Globe,ALUPLANT,2034,0.1584
Globe,C1BMBRFH1,2010,0.7828
Globe,C1BMBRFH1,2011,0.7306
Globe,C1BMBRFH1,2012,0.6784
Globe,C1BMBRFH1,2013,0.6263
Globe,C1BMBRFH1,2014,0.5741
Globe,C1BMBRFH1,2015,0.5219
Globe,C1BMBRFH1,2016,0.4697
Globe,C1BMBRFH1,2017,0.4175
Globe,C1BMBRFH1,2018,0.3653
Globe,C1BMBRFH1,2019,0.3131
Globe,C1BMBRFH1,2020,0.2609
Globe,C1BMBRFH1,2021,0.2088
Globe,C1BMBRFH1,2022,0.1566
Globe,C1BMBRFH1,2023,0.1044
Globe,C1BMBRFH1,2024,0.0522
Globe,C1BMCHP00,2010,0.033
Globe,C1BMCHP00,2011,0.0321
Globe,C1BMCHP00,2012,0.0311
Globe,C1BMCHP00,2013,0.0301
Globe,C1BMCHP00,2014,0.0291
Globe,C1BMCHP00,2015,0.0282
Globe,C1BMCHP00,2016,0.0272
Globe,C1BMCHP00,2017,0.0262
Globe,C1BMCHP00,2018,0.0253
Globe,C1BMCHP00,2019,0.0243
Globe,C1BMCHP00,2020,0.0233
Globe,C1BMCHP00,2021,0.0223
Globe,C1BMCHP00,2022,0.0214
Globe,C1BMCHP00,2023,0.0204
Globe,C1BMCHP00,2024,0.0194
Globe,C1BMCHP00,2025,0.0185
Globe,C1BMCHP00,2026,0.0175
Globe,C1BMCHP00,2027,0.0165
Globe,C1BMCHP00,2028,0.0155
Globe,C1BMCHP00,2029,0.0146
Globe,C1BMCHP00,2030,0.0136
Globe,C1BMCHP00,2031,0.0126
Globe,C1BMCHP00,2032,0.0117
Globe,C1BMCHP00,2033,0.0107
Globe,C1BMCHP00,2034,0.0097
Globe,C1BMCHP00,2035,0.0087
Globe,C1BMCHP00,2036,0.0078
Globe,C1BMCHP00,2037,0.0068
Globe,C1BMCHP00,2038,0.0058
Globe,C1BMCHP00,2039,0.0049
Globe,C1BMCHP00,2040,0.0039
Globe,C1BMCHP00,2041,0.0029
Globe,C1BMCHP00,2042,0.0019
Globe,C1BMCHP00,2043,0.001
Globe,C1BMHTF03,2010,0.2497
Globe,C1BMHTF03,2011,0.2372
Globe,C1BMHTF03,2012,0.2247
Globe,C1BMHTF03,2013,0.2123
Globe,C1BMHTF03,2014,0.1998
Globe,C1BMHTF03,2015,0.1873
Globe,C1BMHTF03,2016,0.1748
Globe,C1BMHTF03,2017,0.1623
Globe,C1BMHTF03,2018,0.1498
Globe,C1BMHTF03,2019,0.1373
Globe,C1BMHTF03,2020,0.1249
Globe,C1BMHTF03,2021,0.1124
Globe,C1BMHTF03,2022,0.0999
Globe,C1BMHTF03,2023,0.0874
Globe,C1BMHTF03,2024,0.0749
Globe,C1BMHTF03,2025,0.0624
Globe,C1BMHTF03,2026,0.0499
Globe,C1BMHTF03,2027,0.0375
Globe,C1BMHTF03,2028,0.025
Globe,C1BMHTF03,2029,0.0125
Globe,C1BMLP000,2010,3.6
Globe,C1BMLP000,2011,3.456
Globe,C1BMLP000,2012,3.312
Globe,C1BMLP000,2013,3.168
Globe,C1BMLP000,2014,3.024
Globe,C1BMLP000,2015,2.88
Globe,C1BMLP000,2016,2.736
Globe,C1BMLP000,2017,2.592
Globe,C1BMLP000,2018,2.448
Globe,C1BMLP000,2019,2.304
Globe,C1BMLP000,2020,2.16
Globe,C1BMLP000,2021,2.016
Globe,C1BMLP000,2022,1.872
Globe,C1BMLP000,2023,1.728
Globe,C1BMLP000,2024,1.584
Globe,C1BMLP000,2025,1.44
Globe,C1BMLP000,2026,1.296
Globe,C1BMLP000,2027,1.152
