REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Globe,ALUPLANT,1,2010,34.322
Globe,ALUPLANT,1,2011,34.619
Globe,ALUPLANT,1,2012,34.916
Globe,ALUPLANT,1,2013,35.2129
Globe,ALUPLANT,1,2014,35.5099
Globe,ALUPLANT,1,2015,35.8069
Globe,ALUPLANT,1,2016,36.1039
Globe,ALUPLANT,1,2017,36.4008
Globe,ALUPLANT,1,2018,36.6978
Globe,ALUPLANT,1,2019,36.9948
Globe,ALUPLANT,1,2020,37.2918
Globe,ALUPLANT,1,2021,37.5887
Globe,ALUPLANT,1,2022,37.8857
Globe,ALUPLANT,1,2023,38.1827
Globe,ALUPLANT,1,2024,38.4797
Globe,ALUPLANT,1,2025,38.7767
Globe,ALUPLANT,1,2026,39.0736
Globe,ALUPLANT,1,2027,39.3706
Globe,ALUPLANT,1,2028,39.6676
Globe,ALUPLANT,1,2029,39.9646
Globe,ALUPLANT,1,2030,40.2615
Globe,ALUPLANT,1,2031,40.5585
Globe,ALUPLANT,1,2032,40.8555
Globe,ALUPLANT,1,2033,41.1525
Globe,ALUPLANT,1,2034,41.4495
Globe,ALUPLANT,1,2035,41.7464
Globe,ALUPLANT,1,2036,42.0434
Globe,ALUPLANT,1,2037,42.3404
Globe,ALUPLANT,1,2038,42.6374
Globe,ALUPLANT,1,2039,42.9344
Globe,ALUPLANT,1,2040,43.2313
Globe,ALUPLANT,1,2041,43.5283
Globe,ALUPLANT,1,2042,43.8253
Globe,ALUPLANT,1,2043,44.1223
Globe,ALUPLANT,1,2044,44.4192
Globe,ALUPLANT,1,2045,44.7162
Globe,ALUPLANT,1,2046,45.0132
Globe,ALUPLANT,1,2047,45.3102
Globe,ALUPLANT,1,2048,45.6071
Globe,ALUPLANT,1,2049,45.9041
Globe,ALUPLANT,1,2050,46.2011
Globe,ALUPLANT,1,2051,46.2011
Globe,ALUPLANT,1,2052,46.2011
Globe,ALUPLANT,1,2053,46.2011
Globe,ALUPLANT,1,2054,46.2011
Globe,ALUPLANT,1,2055,46.2011
Globe,ALUPLANT,1,2056,46.2011
Globe,ALUPLANT,1,2057,46.2011
Globe,ALUPLANT,1,2058,46.2011
Globe,ALUPLANT,1,2059,46.2011
Globe,ALUPLANT,1,2060,46.2011
Globe,ALUPLANT,2,2010,10000000.0
Globe,ALUPLANT,2,2011,10000000.0
Globe,ALUPLANT,2,2012,10000000.0
Globe,ALUPLANT,2,2013,10000000.0
Globe,ALUPLANT,2,2014,10000000.0
Globe,ALUPLANT,2,2015,10000000.0
Globe,ALUPLANT,2,2016,10000000.0
Globe,ALUPLANT,2,2017,10000000.0
Globe,ALUPLANT,2,2018,10000000.0
Globe,ALUPLANT,2,2019,10000000.0
Globe,ALUPLANT,2,2020,10000000.0
Globe,ALUPLANT,2,2021,10000000.0
Globe,ALUPLANT,2,2022,10000000.0
Globe,ALUPLANT,2,2023,10000000.0
Globe,ALUPLANT,2,2024,10000000.0
Globe,ALUPLANT,2,2025,10000000.0
Globe,ALUPLANT,2,2026,10000000.0
Globe,ALUPLANT,2,2027,10000000.0
Globe,ALUPLANT,2,2028,10000000.0
Globe,ALUPLANT,2,2029,10000000.0
Globe,ALUPLANT,2,2030,10000000.0
