REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
Globe,C1BMCHP00,ID,2010,0.85
Globe,C1BMCHP00,ID,2011,0.85
Globe,C1BMCHP00,ID,2012,0.85
Globe,C1BMCHP00,ID,2013,0.85
Globe,C1BMCHP00,ID,2014,0.85
Globe,C1BMCHP00,ID,2015,0.85
Globe,C1BMCHP00,ID,2016,0.85
Globe,C1BMCHP00,ID,2017,0.85
Globe,C1BMCHP00,ID,2018,0.85
Globe,C1BMCHP00,ID,2019,0.85
Globe,C1BMCHP00,ID,2020,0.85
Globe,C1BMCHP00,ID,2021,0.85
Globe,C1BMCHP00,ID,2022,0.85
Globe,C1BMCHP00,ID,2023,0.85
Globe,C1BMCHP00,ID,2024,0.85
Globe,C1BMCHP00,ID,2025,0.85
Globe,C1BMCHP00,ID,2026,0.85
Globe,C1BMCHP00,ID,2027,0.85
Globe,C1BMCHP00,ID,2028,0.85
Globe,C1BMCHP00,ID,2029,0.85
Globe,C1BMCHP00,ID,2030,0.85
Globe,C1BMCHP00,ID,2031,0.85
Globe,C1BMCHP00,ID,2032,0.85
Globe,C1BMCHP00,ID,2033,0.85
Globe,C1BMCHP00,ID,2034,0.85
Globe,C1BMCHP00,ID,2035,0.85
Globe,C1BMCHP00,ID,2036,0.85
Globe,C1BMCHP00,ID,2037,0.85
Globe,C1BMCHP00,ID,2038,0.85
Globe,C1BMCHP00,ID,2039,0.85
Globe,C1BMCHP00,ID,2040,0.85
Globe,C1BMCHP00,ID,2041,0.85
Globe,C1BMCHP00,ID,2042,0.85
Globe,C1BMCHP00,ID,2043,0.85
Globe,C1BMCHP00,ID,2044,0.85
Globe,C1BMCHP00,ID,2045,0.85
Globe,C1BMCHP00,ID,2046,0.85
Globe,C1BMCHP00,ID,2047,0.85
Globe,C1BMCHP00,ID,2048,0.85
Globe,C1BMCHP00,ID,2049,0.85
Globe,C1BMCHP00,ID,2050,0.85
Globe,C1BMCHP00,ID,2051,0.85
Globe,C1BMCHP00,ID,2052,0.85
Globe,C1BMCHP00,ID,2053,0.85
Globe,C1BMCHP00,ID,2054,0.85
Globe,C1BMCHP00,ID,2055,0.85
Globe,C1BMCHP00,ID,2056,0.85
Globe,C1BMCHP00,ID,2057,0.85
Globe,C1BMCHP00,ID,2058,0.85
Globe,C1BMCHP00,ID,2059,0.85
Globe,C1BMCHP00,ID,2060,0.85
Globe,C1BMCHP00,ID,2061,0.85
Globe,C1BMCHP00,ID,2062,0.85
Globe,C1BMCHP00,ID,2063,0.85
Globe,C1BMCHP00,ID,2064,0.85
Globe,C1BMCHP00,ID,2065,0.85
Globe,C1BMCHP00,ID,2066,0.85
Globe,C1BMCHP00,ID,2067,0.85
Globe,C1BMCHP00,ID,2068,0.85
Globe,C1BMCHP00,ID,2069,0.85
Globe,C1BMCHP00,ID,2070,0.85
Globe,C1BMCHP00,IN,2010,0.85
Globe,C1BMCHP00,IN,2011,0.85
Globe,C1BMCHP00,IN,2012,0.85
Globe,C1BMCHP00,IN,2013,0.85
Globe,C1BMCHP00,IN,2014,0.85
Globe,C1BMCHP00,IN,2015,0.85
Globe,C1BMCHP00,IN,2016,0.85
Globe,C1BMCHP00,IN,2017,0.85
Globe,C1BMCHP00,IN,2018,0.85
Globe,C1BMCHP00,IN,2019,0.85
Globe,C1BMCHP00,IN,2020,0.85
Globe,C1BMCHP00,IN,2021,0.85
Globe,C1BMCHP00,IN,2022,0.85
Globe,C1BMCHP00,IN,2023,0.85
Globe,C1BMCHP00,IN,2024,0.85
Globe,C1BMCHP00,IN,2025,0.85
Globe,C1BMCHP00,IN,2026,0.85
Globe,C1BMCHP00,IN,2027,0.85
Globe,C1BMCHP00,IN,2028,0.85
Globe,C1BMCHP00,IN,2029,0.85
Globe,C1BMCHP00,IN,2030,0.85
Globe,C1BMCHP00,IN,2031,0.85
Globe,C1BMCHP00,IN,2032,0.85
Globe,C1BMCHP00,IN,2033,0.85
Globe,C1BMCHP00,IN,2034,0.85
Globe,C1BMCHP00,IN,2035,0.85
Globe,C1BMCHP00,IN,2036,0.85
Globe,C1BMCHP00,IN,2037,0.85
Globe,C1BMCHP00,IN,2038,0.85
Globe,C1BMCHP00,IN,2039,0.85
Globe,C1BMCHP00,IN,2040,0.85
