REGION,EMISSION,YEAR,VALUE
Globe,CO2EQ,2010,36.2674207
Globe,CO2EQ,2011,36.50681923
Globe,CO2EQ,2012,36.74621776
Globe,CO2EQ,2013,36.98561629
Globe,CO2EQ,2014,37.22501482
Globe,CO2EQ,2015,37.46441335
Globe,CO2EQ,2016,37.70381188
Globe,CO2EQ,2017,37.94321041
Globe,CO2EQ,2018,38.18260894
Globe,CO2EQ,2019,38.42200747
Globe,CO2EQ,2020,38.661406
Globe,CO2EQ,2021,39.0061749
Globe,CO2EQ,2022,39.3509438
Globe,CO2EQ,2023,39.6957127
Globe,CO2EQ,2024,40.0404816
Globe,CO2EQ,2025,40.3852505
Globe,CO2EQ,2026,40.7300194
Globe,CO2EQ,2027,41.0747883
Globe,CO2EQ,2028,41.4195572
Globe,CO2EQ,2029,41.7643261
Globe,CO2EQ,2030,42.109095
Globe,CO2EQ,2031,42.4155403
Globe,CO2EQ,2032,42.7219856
Globe,CO2EQ,2033,43.0284309
Globe,CO2EQ,2034,43.3348762
Globe,CO2EQ,2035,43.6413215
Globe,CO2EQ,2036,43.9477668
Globe,CO2EQ,2037,44.2542121
Globe,CO2EQ,2038,44.5606574
Globe,CO2EQ,2039,44.8671027
Globe,CO2EQ,2040,45.173548
Globe,CO2EQ,2041,45.40643002
Globe,CO2EQ,2042,45.63931204
Globe,CO2EQ,2043,45.87219406
Globe,CO2EQ,2044,46.10507608
Globe,CO2EQ,2045,46.3379581
Globe,CO2EQ,2046,46.57084012
Globe,CO2EQ,2047,46.80372214
Globe,CO2EQ,2048,47.03660416
Globe,CO2EQ,2049,47.26948618
Globe,CO2EQ,2050,47.5023682
Globe,CO2EQ,2051,47.63202857
Globe,CO2EQ,2052,47.76168894
Globe,CO2EQ,2053,47.89134931
Globe,CO2EQ,2054,48.02100968
Globe,CO2EQ,2055,48.15067005
Globe,CO2EQ,2056,48.28033042
Globe,CO2EQ,2057,48.40999079
Globe,CO2EQ,2058,48.53965116
Globe,CO2EQ,2059,48.66931153
Globe,CO2EQ,2060,48.7989719
Globe,CO2EQ,2061,48.81331448
Globe,CO2EQ,2062,48.82765706
Globe,CO2EQ,2063,48.84199964
Globe,CO2EQ,2064,48.85634222
Globe,CO2EQ,2065,48.8706848
Globe,CO2EQ,2066,48.88502738
Globe,CO2EQ,2067,48.89936996
Globe,CO2EQ,2068,48.91371254
Globe,CO2EQ,2069,48.92805512
Globe,CO2EQ,2070,48.9423977
