REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,126.0403
Globe,ALUPLANT,2011,127.1309
Globe,ALUPLANT,2012,128.2215
Globe,ALUPLANT,2013,129.3122
Globe,ALUPLANT,2014,130.4028
Globe,ALUPLANT,2015,131.4934
Globe,ALUPLANT,2016,132.584
Globe,ALUPLANT,2017,133.6746
Globe,ALUPLANT,2018,134.7652
Globe,ALUPLANT,2019,135.8559
Globe,ALUPLANT,2020,136.9465
Globe,ALUPLANT,2021,138.0371
Globe,ALUPLANT,2022,139.1277
Globe,ALUPLANT,2023,140.2183
Globe,ALUPLANT,2024,141.3089
Globe,ALUPLANT,2025,142.3996
Globe,ALUPLANT,2026,143.4902
Globe,ALUPLANT,2027,144.5808
Globe,ALUPLANT,2028,145.6714
Globe,ALUPLANT,2029,146.762
Globe,ALUPLANT,2030,147.8527
Globe,ALUPLANT,2031,148.9433
Globe,ALUPLANT,2032,150.0339
Globe,ALUPLANT,2033,151.1245
Globe,ALUPLANT,2034,152.2151
Globe,ALUPLANT,2035,153.3057
Globe,ALUPLANT,2036,154.3964
Globe,ALUPLANT,2037,155.487
Globe,ALUPLANT,2038,156.5776
Globe,ALUPLANT,2039,157.6682
Globe,ALUPLANT,2040,158.7588
Globe,ALUPLANT,2041,159.8494
Globe,ALUPLANT,2042,160.9401
Globe,ALUPLANT,2043,162.0307
Globe,ALUPLANT,2044,163.1213
Globe,ALUPLANT,2045,164.2119
Globe,ALUPLANT,2046,165.3025
Globe,ALUPLANT,2047,166.3931
Globe,ALUPLANT,2048,167.4838
Globe,ALUPLANT,2049,168.5744
Globe,ALUPLANT,2050,169.665
Globe,ALUPLANT,2051,169.665
Globe,ALUPLANT,2052,169.665
Globe,ALUPLANT,2053,169.665
Globe,ALUPLANT,2054,169.665
Globe,ALUPLANT,2055,169.665
Globe,ALUPLANT,2056,169.665
Globe,ALUPLANT,2057,169.665
Globe,ALUPLANT,2058,169.665
Globe,ALUPLANT,2059,169.665
Globe,ALUPLANT,2060,169.665
Globe,ALUPLANT,2061,169.665
Globe,ALUPLANT,2062,169.665
Globe,ALUPLANT,2063,169.665
Globe,ALUPLANT,2064,169.665
Globe,ALUPLANT,2065,169.665
Globe,ALUPLANT,2066,169.665
Globe,ALUPLANT,2067,169.665
Globe,ALUPLANT,2068,169.665
Globe,ALUPLANT,2069,169.665
Globe,ALUPLANT,2070,169.665
Globe,BACKSTOP,2010,99999.0
Globe,BACKSTOP,2011,99999.0
Globe,BACKSTOP,2012,99999.0
Globe,BACKSTOP,2013,99999.0
Globe,BACKSTOP,2014,99999.0
Globe,BACKSTOP,2015,99999.0
Globe,BACKSTOP,2016,99999.0
Globe,BACKSTOP,2017,99999.0
Globe,BACKSTOP,2018,99999.0
Globe,BACKSTOP,2019,99999.0
Globe,BACKSTOP,2020,99999.0
Globe,BACKSTOP,2021,99999.0
Globe,BACKSTOP,2022,99999.0
Globe,BACKSTOP,2023,99999.0
Globe,BACKSTOP,2024,99999.0
Globe,BACKSTOP,2025,99999.0
Globe,BACKSTOP,2026,99999.0
Globe,BACKSTOP,2027,99999.0
Globe,BACKSTOP,2028,99999.0
Globe,BACKSTOP,2029,99999.0
Globe,BACKSTOP,2030,99999.0
Globe,BACKSTOP,2031,99999.0
Globe,BACKSTOP,2032,99999.0
Globe,BACKSTOP,2033,99999.0
Globe,BACKSTOP,2034,99999.0
Globe,BACKSTOP,2035,99999.0
Globe,BACKSTOP,2036,99999.0
Globe,BACKSTOP,2037,99999.0
Globe,BACKSTOP,2038,99999.0
Globe,BACKSTOP,2039,99999.0
Globe,BACKSTOP,2040,99999.0
Globe,BACKSTOP,2041,99999.0
Globe,BACKSTOP,2042,99999.0
Globe,BACKSTOP,2043,99999.0
Globe,BACKSTOP,2044,99999.0
Globe,BACKSTOP,2045,99999.0
Globe,BACKSTOP,2046,99999.0
Globe,BACKSTOP,2047,99999.0
Globe,BACKSTOP,2048,99999.0
Globe,BACKSTOP,2049,99999.0
Globe,BACKSTOP,2050,99999.0
Globe,BACKSTOP,2051,99999.0
Globe,BACKSTOP,2052,99999.0
Globe,BACKSTOP,2053,99999.0
Globe,BACKSTOP,2054,99999.0
Globe,BACKSTOP,2055,99999.0
Globe,BACKSTOP,2056,99999.0
Globe,BACKSTOP,2057,99999.0
Globe,BACKSTOP,2058,99999.0
Globe,BACKSTOP,2059,99999.0
Globe,BACKSTOP,2060,99999.0
Globe,BACKSTOP,2061,99999.0
Globe,BACKSTOP,2062,99999.0
Globe,BACKSTOP,2063,99999.0
Globe,BACKSTOP,2064,99999.0
Globe,BACKSTOP,2065,99999.0
Globe,BACKSTOP,2066,99999.0
Globe,BACKSTOP,2067,99999.0
Globe,BACKSTOP,2068,99999.0
Globe,BACKSTOP,2069,99999.0
Globe,BACKSTOP,2070,99999.0
Globe,C1BFRDF00,2010,92.4611
Globe,C1BFRDF00,2011,92.4611
Globe,C1BFRDF00,2012,92.4611
Globe,C1BFRDF00,2013,92.4611
Globe,C1BFRDF00,2014,92.4611
Globe,C1BFRDF00,2015,92.4611
Globe,C1BFRDF00,2016,92.4611
Globe,C1BFRDF00,2017,92.4611
Globe,C1BFRDF00,2018,92.4611
Globe,C1BFRDF00,2019,92.4611
Globe,C1BFRDF00,2020,92.4611
Globe,C1BFRDF00,2021,92.4611
Globe,C1BFRDF00,2022,92.4611
Globe,C1BFRDF00,2023,92.4611
Globe,C1BFRDF00,2024,92.4611
Globe,C1BFRDF00,2025,92.4611
Globe,C1BFRDF00,2026,92.4611
Globe,C1BFRDF00,2027,92.4611
Globe,C1BFRDF00,2028,92.4611
Globe,C1BFRDF00,2029,92.4611
Globe,C1BFRDF00,2030,92.4611
Globe,C1BFRDF00,2031,92.4611
Globe,C1BFRDF00,2032,92.4611
Globe,C1BFRDF00,2033,92.4611
Globe,C1BFRDF00,2034,92.4611
Globe,C1BFRDF00,2035,92.4611
Globe,C1BFRDF00,2036,92.4611
Globe,C1BFRDF00,2037,92.4611
Globe,C1BFRDF00,2038,92.4611
Globe,C1BFRDF00,2039,92.4611
Globe,C1BFRDF00,2040,92.4611
Globe,C1BFRDF00,2041,92.4611
Globe,C1BFRDF00,2042,92.4611
Globe,C1BFRDF00,2043,92.4611
Globe,C1BFRDF00,2044,92.4611
Globe,C1BFRDF00,2045,92.4611
Globe,C1BFRDF00,2046,92.4611
Globe,C1BFRDF00,2047,92.4611
Globe,C1BFRDF00,2048,92.4611
Globe,C1BFRDF00,2049,92.4611
Globe,C1BFRDF00,2050,92.4611
Globe,C1BFRDF00,2051,92.4611
Globe,C1BFRDF00,2052,92.4611
Globe,C1BFRDF00,2053,92.4611
Globe,C1BFRDF00,2054,92.4611
Globe,C1BFRDF00,2055,92.4611
Globe,C1BFRDF00,2056,92.4611
Globe,C1BFRDF00,2057,92.4611
Globe,C1BFRDF00,2058,92.4611
Globe,C1BFRDF00,2059,92.4611
Globe,C1BFRDF00,2060,92.4611
Globe,C1BFRDF00,2061,92.4611
Globe,C1BFRDF00,2062,92.4611
Globe,C1BFRDF00,2063,92.4611
Globe,C1BFRDF00,2064,92.4611
Globe,C1BFRDF00,2065,92.4611
Globe,C1BFRDF00,2066,92.4611
Globe,C1BFRDF00,2067,92.4611
Globe,C1BFRDF00,2068,92.4611
Globe,C1BFRDF00,2069,92.4611
Globe,C1BFRDF00,2070,92.4611
Globe,C1BMBRFH1,2010,774.8
Globe,C1BMBRFH1,2011,774.8
Globe,C1BMBRFH1,2012,774.8
Globe,C1BMBRFH1,2013,774.8
Globe,C1BMBRFH1,2014,774.8
Globe,C1BMBRFH1,2015,774.8
Globe,C1BMBRFH1,2016,774.8
Globe,C1BMBRFH1,2017,774.8
Globe,C1BMBRFH1,2018,774.8
Globe,C1BMBRFH1,2019,774.8
Globe,C1BMBRFH1,2020,774.8
Globe,C1BMBRFH1,2021,774.8
Globe,C1BMBRFH1,2022,774.8
Globe,C1BMBRFH1,2023,774.8
Globe,C1BMBRFH1,2024,774.8
