REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,3.9591
Globe,ALUPLANT,2011,3.8007
Globe,ALUPLANT,2012,3.6424
Globe,ALUPLANT,2013,3.484
Globe,ALUPLANT,2014,3.3256
Globe,ALUPLANT,2015,3.1673
Globe,ALUPLANT,2016,3.0089
Globe,ALUPLANT,2017,2.8506
Globe,ALUPLANT,2018,2.6922
Globe,ALUPLANT,2019,2.5338
Globe,ALUPLANT,2020,2.3755
Globe,ALUPLANT,2021,2.2171
Globe,ALUPLANT,2022,2.0587
Globe,ALUPLANT,2023,1.9004
Globe,ALUPLANT,2024,1.742
Globe,ALUPLANT,2025,1.5836
Globe,ALUPLANT,2026,1.4253
Globe,ALUPLANT,2027,1.2669
Globe,ALUPLANT,2028,1.1085
Globe,ALUPLANT,2029,0.9502
Globe,ALUPLANT,2030,0.7918
Globe,ALUPLANT,2031,0.6335
Globe,ALUPLANT,2032,0.4751
Globe,ALUPLANT,2033,0.3167
Globe,ALUPLANT,2034,0.1584
Globe,ALUPLANT,2035,0.0
Globe,ALUPLANT,2036,0.0
Globe,ALUPLANT,2037,0.0
Globe,ALUPLANT,2038,0.0
Globe,ALUPLANT,2039,0.0
Globe,ALUPLANT,2040,0.0
Globe,ALUPLANT,2041,0.0
Globe,ALUPLANT,2042,0.0
Globe,ALUPLANT,2043,0.0
Globe,ALUPLANT,2044,0.0
Globe,ALUPLANT,2045,0.0
Globe,ALUPLANT,2046,0.0
Globe,ALUPLANT,2047,0.0
Globe,ALUPLANT,2048,0.0
Globe,ALUPLANT,2049,0.0
Globe,ALUPLANT,2050,0.0
Globe,ALUPLANT,2051,0.0
Globe,ALUPLANT,2052,0.0
Globe,ALUPLANT,2053,0.0
Globe,ALUPLANT,2054,0.0
Globe,ALUPLANT,2055,0.0
Globe,ALUPLANT,2056,0.0
Globe,ALUPLANT,2057,0.0
Globe,ALUPLANT,2058,0.0
Globe,ALUPLANT,2059,0.0
Globe,ALUPLANT,2060,0.0
Globe,ALUPLANT,2061,0.0
Globe,ALUPLANT,2062,0.0
Globe,ALUPLANT,2063,0.0
Globe,ALUPLANT,2064,0.0
Globe,ALUPLANT,2065,0.0
Globe,ALUPLANT,2066,0.0
Globe,ALUPLANT,2067,0.0
Globe,ALUPLANT,2068,0.0
Globe,ALUPLANT,2069,0.0
Globe,ALUPLANT,2070,0.0
Globe,C1BMBRFH1,2010,0.7828
Globe,C1BMBRFH1,2011,0.7306
Globe,C1BMBRFH1,2012,0.6784
Globe,C1BMBRFH1,2013,0.6263
Globe,C1BMBRFH1,2014,0.5741
Globe,C1BMBRFH1,2015,0.5219
Globe,C1BMBRFH1,2016,0.4697
Globe,C1BMBRFH1,2017,0.4175
Globe,C1BMBRFH1,2018,0.3653
Globe,C1BMBRFH1,2019,0.3131
Globe,C1BMBRFH1,2020,0.2609
Globe,C1BMBRFH1,2021,0.2088
Globe,C1BMBRFH1,2022,0.1566
Globe,C1BMBRFH1,2023,0.1044
Globe,C1BMBRFH1,2024,0.0522
Globe,C1BMBRFH1,2025,0.0
Globe,C1BMBRFH1,2026,0.0
Globe,C1BMBRFH1,2027,0.0
Globe,C1BMBRFH1,2028,0.0
Globe,C1BMBRFH1,2029,0.0
Globe,C1BMBRFH1,2030,0.0
Globe,C1BMBRFH1,2031,0.0
Globe,C1BMBRFH1,2032,0.0
Globe,C1BMBRFH1,2033,0.0
Globe,C1BMBRFH1,2034,0.0
Globe,C1BMBRFH1,2035,0.0
Globe,C1BMBRFH1,2036,0.0
Globe,C1BMBRFH1,2037,0.0
Globe,C1BMBRFH1,2038,0.0
Globe,C1BMBRFH1,2039,0.0
Globe,C1BMBRFH1,2040,0.0
Globe,C1BMBRFH1,2041,0.0
Globe,C1BMBRFH1,2042,0.0
Globe,C1BMBRFH1,2043,0.0
Globe,C1BMBRFH1,2044,0.0
Globe,C1BMBRFH1,2045,0.0
Globe,C1BMBRFH1,2046,0.0
Globe,C1BMBRFH1,2047,0.0
Globe,C1BMBRFH1,2048,0.0
Globe,C1BMBRFH1,2049,0.0
Globe,C1BMBRFH1,2050,0.0
Globe,C1BMBRFH1,2051,0.0
Globe,C1BMBRFH1,2052,0.0
Globe,C1BMBRFH1,2053,0.0
Globe,C1BMBRFH1,2054,0.0
Globe,C1BMBRFH1,2055,0.0
Globe,C1BMBRFH1,2056,0.0
Globe,C1BMBRFH1,2057,0.0
Globe,C1BMBRFH1,2058,0.0
Globe,C1BMBRFH1,2059,0.0
Globe,C1BMBRFH1,2060,0.0
Globe,C1BMBRFH1,2061,0.0
Globe,C1BMBRFH1,2062,0.0
