TIMESLICE,YEAR,VALUE
ID,2010,0.4583
ID,2011,0.4583
ID,2012,0.4583
ID,2013,0.4583
ID,2014,0.4583
ID,2015,0.4583
ID,2016,0.4583
ID,2017,0.4583
ID,2018,0.4583
ID,2019,0.4583
ID,2020,0.4583
ID,2021,0.4583
ID,2022,0.4583
ID,2023,0.4583
ID,2024,0.4583
ID,2025,0.4583
ID,2026,0.4583
ID,2027,0.4583
ID,2028,0.4583
ID,2029,0.4583
ID,2030,0.4583
ID,2031,0.4583
ID,2032,0.4583
ID,2033,0.4583
ID,2034,0.4583
ID,2035,0.4583
ID,2036,0.4583
ID,2037,0.4583
ID,2038,0.4583
ID,2039,0.4583
ID,2040,0.4583
ID,2041,0.4583
ID,2042,0.4583
ID,2043,0.4583
ID,2044,0.4583
ID,2045,0.4583
ID,2046,0.4583
ID,2047,0.4583
ID,2048,0.4583
ID,2049,0.4583
ID,2050,0.4583
ID,2051,0.4583
ID,2052,0.4583
ID,2053,0.4583
ID,2054,0.4583
ID,2055,0.4583
ID,2056,0.4583
ID,2057,0.4583
ID,2058,0.4583
ID,2059,0.4583
ID,2060,0.4583
ID,2061,0.4583
ID,2062,0.4583
ID,2063,0.4583
ID,2064,0.4583
ID,2065,0.4583
ID,2066,0.4583
ID,2067,0.4583
ID,2068,0.4583
ID,2069,0.4583
ID,2070,0.4583
IN,2010,0.4583
IN,2011,0.4583
IN,2012,0.4583
IN,2013,0.4583
IN,2014,0.4583
IN,2015,0.4583
IN,2016,0.4583
IN,2017,0.4583
IN,2018,0.4583
IN,2019,0.4583
IN,2020,0.4583
IN,2021,0.4583
IN,2022,0.4583
IN,2023,0.4583
IN,2024,0.4583
IN,2025,0.4583
IN,2026,0.4583
IN,2027,0.4583
IN,2028,0.4583
IN,2029,0.4583
IN,2030,0.4583
IN,2031,0.4583
IN,2032,0.4583
IN,2033,0.4583
IN,2034,0.4583
IN,2035,0.4583
IN,2036,0.4583
IN,2037,0.4583
IN,2038,0.4583
IN,2039,0.4583
IN,2040,0.4583
IN,2041,0.4583
IN,2042,0.4583
IN,2043,0.4583
IN,2044,0.4583
IN,2045,0.4583
IN,2046,0.4583
IN,2047,0.4583
IN,2048,0.4583
IN,2049,0.4583
IN,2050,0.4583
IN,2051,0.4583
IN,2052,0.4583
IN,2053,0.4583
IN,2054,0.4583
IN,2055,0.4583
IN,2056,0.4583
IN,2057,0.4583
IN,2058,0.4583
IN,2059,0.4583
IN,2060,0.4583
IN,2061,0.4583
IN,2062,0.4583
IN,2063,0.4583
IN,2064,0.4583
IN,2065,0.4583
IN,2066,0.4583
IN,2067,0.4583
IN,2068,0.4583
IN,2069,0.4583
IN,2070,0.4583
IP,2010,0.0834
IP,2011,0.0834
IP,2012,0.0834
IP,2013,0.0834
IP,2014,0.0834
IP,2015,0.0834
IP,2016,0.0834
IP,2017,0.0834
IP,2018,0.0834
IP,2019,0.0834
IP,2020,0.0834
IP,2021,0.0834
IP,2022,0.0834
IP,2023,0.0834
IP,2024,0.0834
IP,2025,0.0834
IP,2026,0.0834
IP,2027,0.0834
IP,2028,0.0834
IP,2029,0.0834
IP,2030,0.0834
IP,2031,0.0834
IP,2032,0.0834
IP,2033,0.0834
IP,2034,0.0834
IP,2035,0.0834
IP,2036,0.0834
IP,2037,0.0834
IP,2038,0.0834
IP,2039,0.0834
IP,2040,0.0834
IP,2041,0.0834
IP,2042,0.0834
IP,2043,0.0834
IP,2044,0.0834
IP,2045,0.0834
IP,2046,0.0834
IP,2047,0.0834
IP,2048,0.0834
IP,2049,0.0834
IP,2050,0.0834
IP,2051,0.0834
IP,2052,0.0834
IP,2053,0.0834
IP,2054,0.0834
IP,2055,0.0834
IP,2056,0.0834
IP,2057,0.0834
IP,2058,0.0834
IP,2059,0.0834
IP,2060,0.0834
IP,2061,0.0834
IP,2062,0.0834
IP,2063,0.0834
IP,2064,0.0834
IP,2065,0.0834
IP,2066,0.0834
IP,2067,0.0834
IP,2068,0.0834
IP,2069,0.0834
IP,2070,0.0834
