REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.5668
Globe,C1BFRDF00,2014,0.5288
Globe,C1BFRDF00,2015,0.4927
Globe,C1BFRDF00,2016,0.4549
Globe,C1BFRDF00,2017,0.4198
Globe,C1BFRDF00,2018,0.3871
Globe,C1BFRDF00,2019,0.3568
Globe,C1BFRDF00,2020,0.3287
Globe,C1BFRDF00,2021,0.0
Globe,C1BFRDF00,2022,0.0
Globe,C1BFRDF00,2023,0.0
Globe,C1BFRDF00,2024,0.0
Globe,C1BFRDF00,2025,0.0
Globe,C1BFRDF00,2026,0.0
Globe,C1BFRDF00,2027,0.0
Globe,C1BFRDF00,2028,0.0
Globe,C1BFRDF00,2029,0.0
Globe,C1BFRDF00,2030,0.0
Globe,C1BFRDF00,2031,0.0
Globe,C1BFRDF00,2032,0.0
Globe,C1BFRDF00,2033,0.0
Globe,C1BFRDF00,2034,0.0
Globe,C1BFRDF00,2035,0.0
Globe,C1BFRDF00,2036,0.0
Globe,C1BFRDF00,2037,0.0
Globe,C1BFRDF00,2038,0.0
Globe,C1BFRDF00,2039,0.0
Globe,C1BFRDF00,2040,0.0
Globe,C1BFRDF00,2041,0.0
Globe,C1BFRDF00,2042,0.0
Globe,C1BFRDF00,2043,0.0
Globe,C1BFRDF00,2044,0.0
Globe,C1BFRDF00,2045,0.0
Globe,C1BFRDF00,2046,0.0
Globe,C1BFRDF00,2047,0.0
Globe,C1BFRDF00,2048,0.0
Globe,C1BFRDF00,2049,0.0
Globe,C1BFRDF00,2050,0.0
Globe,C1BFRDF00,2051,0.0
Globe,C1BFRDF00,2052,0.0
Globe,C1BFRDF00,2053,0.0
Globe,C1BFRDF00,2054,0.0
Globe,C1BFRDF00,2055,0.0
Globe,C1BFRDF00,2056,0.0
Globe,C1BFRDF00,2057,0.0
Globe,C1BFRDF00,2058,0.0
Globe,C1BFRDF00,2059,0.0
Globe,C1BFRDF00,2060,0.0
Globe,C1CO00I00,2010,139.2476
Globe,C1CO00I00,2011,140.3512
Globe,C1CO00I00,2012,141.4548
Globe,C1CO00I00,2013,142.5583
Globe,C1CO00I00,2014,142.5583
Globe,C1CO00I00,2015,142.5583
Globe,C1CO00I00,2016,142.5583
Globe,C1CO00I00,2017,141.5583
Globe,C1CO00I00,2018,140.5583
Globe,C1CO00I00,2019,139.5583
Globe,C1CO00I00,2020,138.5583
Globe,C1CO00I00,2021,134.5583
Globe,C1CO00I00,2022,130.5583
Globe,C1CO00I00,2023,126.5583
Globe,C1CO00I00,2024,122.5583
Globe,C1CO00I00,2025,118.5583
Globe,C1CO00I00,2026,114.5583
Globe,C1CO00I00,2027,110.5583
Globe,C1CO00I00,2028,106.5583
Globe,C1CO00I00,2029,102.5583
Globe,C1CO00I00,2030,98.5583
Globe,C1CO00I00,2031,94.5583
Globe,C1CO00I00,2032,90.5583
Globe,C1CO00I00,2033,86.5583
Globe,C1CO00I00,2034,82.5583
Globe,C1CO00I00,2035,78.5583
Globe,C1CO00I00,2036,74.5583
Globe,C1CO00I00,2037,70.5583
Globe,C1CO00I00,2038,66.5583
Globe,C1CO00I00,2039,62.5583
Globe,C1CO00I00,2040,58.5583
Globe,C1CO00I00,2041,54.5583
Globe,C1CO00I00,2042,50.5583
Globe,C1CO00I00,2043,46.5583
Globe,C1CO00I00,2044,42.5583
Globe,C1CO00I00,2045,38.5583
Globe,C1CO00I00,2046,34.5583
Globe,C1CO00I00,2047,30.5583
Globe,C1CO00I00,2048,26.5583
Globe,C1CO00I00,2049,22.5583
Globe,C1CO00I00,2050,18.5583
Globe,C1CO00I00,2051,18.5583
Globe,C1CO00I00,2052,18.5583
Globe,C1CO00I00,2053,18.5583
Globe,C1CO00I00,2054,18.5583
Globe,C1CO00I00,2055,18.5583
Globe,C1CO00I00,2056,18.5583
Globe,C1CO00I00,2057,18.5583
Globe,C1CO00I00,2058,18.5583
Globe,C1CO00I00,2059,18.5583
Globe,C1CO00I00,2060,18.5583
Globe,C1ELRLF00,2010,2.97
Globe,C1ELRLF00,2011,3.03
Globe,C1ELRLF00,2012,3.1
Globe,C1ELRLF00,2013,2.0
Globe,C1ELRLF00,2014,2.0
Globe,C1ELRLF00,2015,2.0
Globe,C1ELRLF00,2016,0.0
Globe,C1ELRLF00,2017,0.0
Globe,C1ELRLF00,2018,0.0
Globe,C1ELRLF00,2019,0.0
Globe,C1ELRLF00,2020,0.0
Globe,C1ELRLF00,2021,0.0
Globe,C1ELRLF00,2022,0.0
Globe,C1ELRLF00,2023,0.0
Globe,C1ELRLF00,2024,0.0
Globe,C1ELRLF00,2025,0.0
Globe,C1ELRLF00,2026,0.0
Globe,C1ELRLF00,2027,0.0
Globe,C1ELRLF00,2028,0.0
Globe,C1ELRLF00,2029,0.0
Globe,C1ELRLF00,2030,0.0
Globe,C1ELRLF00,2031,0.0
Globe,C1ELRLF00,2032,0.0
Globe,C1ELRLF00,2033,0.0
Globe,C1ELRLF00,2034,0.0
Globe,C1ELRLF00,2035,0.0
Globe,C1ELRLF00,2036,0.0
Globe,C1ELRLF00,2037,0.0
Globe,C1ELRLF00,2038,0.0
Globe,C1ELRLF00,2039,0.0
Globe,C1ELRLF00,2040,0.0
Globe,C1ELRLF00,2041,0.0
Globe,C1ELRLF00,2042,0.0
Globe,C1ELRLF00,2043,0.0
Globe,C1ELRLF00,2044,0.0
Globe,C1ELRLF00,2045,0.0
Globe,C1ELRLF00,2046,0.0
