REGION,EMISSION,YEAR,VALUE
Globe,CO2EQ,2010,35.829088502986465
Globe,CO2EQ,2011,36.025986810379266
Globe,CO2EQ,2012,36.284228746486725
Globe,CO2EQ,2013,36.541791674367815
Globe,CO2EQ,2014,36.67419038795653
Globe,CO2EQ,2015,36.775829531417735
Globe,CO2EQ,2016,36.8775399358326
Globe,CO2EQ,2017,36.979180225645074
Globe,CO2EQ,2018,37.080889932396
Globe,CO2EQ,2019,37.18253030358
Globe,CO2EQ,2020,37.284240107851446
Globe,CO2EQ,2021,36.79536021979228
Globe,CO2EQ,2022,36.30648007121464
Globe,CO2EQ,2023,35.81760018392528
Globe,CO2EQ,2024,35.32871963575334
Globe,CO2EQ,2025,34.83983982401989
Globe,CO2EQ,2026,34.3508899520358
Globe,CO2EQ,2027,33.86200970044677
Globe,CO2EQ,2028,33.37312968043756
Globe,CO2EQ,2029,32.88424988756692
Globe,CO2EQ,2030,32.395369788883144
Globe,CO2EQ,2031,31.758160152441977
Globe,CO2EQ,2032,31.120949786557468
Globe,CO2EQ,2033,30.483739961494045
Globe,CO2EQ,2034,29.846530253573015
Globe,CO2EQ,2035,29.209249839178966
Globe,CO2EQ,2036,28.572040020887982
Globe,CO2EQ,2037,27.934830065824258
Globe,CO2EQ,2038,27.2976197753591
Globe,CO2EQ,2039,26.660409906805178
Globe,CO2EQ,2040,26.023200078517824
Globe,CO2EQ,2041,25.27783977596933
Globe,CO2EQ,2042,24.532479635079827
Globe,CO2EQ,2043,23.787190226379288
Globe,CO2EQ,2044,23.04183040266934
Globe,CO2EQ,2045,22.29653972451836
Globe,CO2EQ,2046,21.55118007330414
Globe,CO2EQ,2047,20.80589018187129
Globe,CO2EQ,2048,20.060529800166744
Globe,CO2EQ,2049,19.31516971348174
Globe,CO2EQ,2050,18.56987987225853
Globe,CO2EQ,2051,18.028990169302354
Globe,CO2EQ,2052,17.488100008425214
Globe,CO2EQ,2053,16.947279898467162
Globe,CO2EQ,2054,16.406389938741665
Globe,CO2EQ,2055,15.865500040034945
Globe,CO2EQ,2056,15.324680165348974
Globe,CO2EQ,2057,14.783790132106223
Globe,CO2EQ,2058,14.242900077508724
Globe,CO2EQ,2059,13.702080051888576
Globe,CO2EQ,2060,13.161190058112766
Globe,CO2EQ,2061,12.626880044758128
Globe,CO2EQ,2062,12.092570107792616
Globe,CO2EQ,2063,11.55826013030434
Globe,CO2EQ,2064,11.023950043103056
Globe,CO2EQ,2065,10.489639874750488
Globe,CO2EQ,2066,9.955330032010796
Globe,CO2EQ,2067,9.421020042959388
Globe,CO2EQ,2068,8.88664005876934
Globe,CO2EQ,2069,8.352330088399894
Globe,CO2EQ,2070,7.818020001662585
Globe,WATER,2010,21.8933824463983
Globe,WATER,2011,21.981219709513212
Globe,WATER,2012,22.049511041916915
Globe,WATER,2013,22.112035091889247
Globe,WATER,2014,22.18328094188938
Globe,WATER,2015,22.239683893444916
Globe,WATER,2016,22.29849119161186
Globe,WATER,2017,22.459159878145428
Globe,WATER,2018,22.77674112568687
Globe,WATER,2019,23.095721090239774
Globe,WATER,2020,23.548734342276425
Globe,WATER,2021,24.263269686209444
Globe,WATER,2022,25.07624012210947
Globe,WATER,2023,25.843865843878245
Globe,WATER,2024,26.675246379855505
Globe,WATER,2025,27.56125484722288
Globe,WATER,2026,28.466530117308494
Globe,WATER,2027,29.439372896008297
Globe,WATER,2028,30.460036935669713
Globe,WATER,2029,31.53847835786874
Globe,WATER,2030,32.66206897298644
Globe,WATER,2031,34.309176964308115
Globe,WATER,2032,36.023629914652815
Globe,WATER,2033,37.785872066651066
Globe,WATER,2034,39.463752184093394
Globe,WATER,2035,41.0091955954496
Globe,WATER,2036,42.64083183565651
Globe,WATER,2037,44.35324353896105
Globe,WATER,2038,46.157466311184365
Globe,WATER,2039,48.04436337069826
Globe,WATER,2040,50.02441736206552
Globe,WATER,2041,52.10392827655348
Globe,WATER,2042,54.30325083981171
Globe,WATER,2043,56.57209206445859
Globe,WATER,2044,58.953493317138594
Globe,WATER,2045,61.451520332032764
Globe,WATER,2046,64.04877279422199
Globe,WATER,2047,66.77262379580482
Globe,WATER,2048,69.63504810029018
Globe,WATER,2049,72.62936153506816
Globe,WATER,2050,75.7796101486573
Globe,WATER,2051,79.03734660471278
Globe,WATER,2052,82.4268925282721
Globe,WATER,2053,85.98526915142683
Globe,WATER,2054,89.6992693877931
Globe,WATER,2055,93.67755508915612
Globe,WATER,2056,93.97000819941475
Globe,WATER,2057,94.15053690620083
Globe,WATER,2058,94.33273716660392
Globe,WATER,2059,94.52360454806362
Globe,WATER,2060,94.71279718030395
Globe,WATER,2061,94.73827068982354
Globe,WATER,2062,94.75700941245991
Globe,WATER,2063,94.81515616066821
Globe,WATER,2064,94.8483316401663
Globe,WATER,2065,95.02353386169506
Globe,WATER,2066,95.10482084112797
Globe,WATER,2067,95.18265286957076
Globe,WATER,2068,95.24381108250557
Globe,WATER,2069,95.30615767027328
Globe,WATER,2070,95.36016857586503
