REGION,TECHNOLOGY,YEAR,VALUE
Globe,C1BMBRFH1,2010,13.22932
Globe,C1BMBRFH1,2011,12.34714
Globe,C1BMBRFH1,2012,11.46496
Globe,C1BMBRFH1,2013,10.584469999999998
Globe,C1BMBRFH1,2014,9.70229
Globe,C1BMBRFH1,2015,8.82011
Globe,C1BMBRFH1,2016,7.93793
Globe,C1BMBRFH1,2017,7.055749999999999
Globe,C1BMBRFH1,2018,6.17357
Globe,C1BMBRFH1,2019,5.29139
Globe,C1BMBRFH1,2020,4.40921
Globe,C1BMBRFH1,2021,3.52872
Globe,C1BMBRFH1,2022,2.6465399999999994
Globe,C1BMBRFH1,2023,1.76436
Globe,C1BMBRFH1,2024,0.88218
Globe,C1BMBRFN1,2010,1.183
Globe,C1BMBRFN1,2011,1.183
Globe,C1BMBRFN1,2012,1.183
Globe,C1BMBRFN1,2013,1.183
Globe,C1BMBRFN1,2014,1.183
Globe,C1BMBRFN1,2015,1.183
Globe,C1BMBRFN1,2016,1.183
Globe,C1BMBRFN1,2017,1.183
Globe,C1BMBRFN1,2018,1.5471565525
Globe,C1BMBRFN1,2019,2.3921565525
Globe,C1BMBRFN1,2020,3.2371565524999997
Globe,C1BMBRFN1,2021,3.2371565524999997
Globe,C1BMBRFN1,2022,3.2371565524999997
Globe,C1BMBRFN1,2023,4.0821565525
Globe,C1BMBRFN1,2024,4.9271565525
Globe,C1BMBRFN1,2025,4.5891565524999995
Globe,C1BMBRFN1,2026,5.434156552499999
Globe,C1BMBRFN1,2027,6.279156552499999
Globe,C1BMBRFN1,2028,6.898444833799999
Globe,C1BMBRFN1,2029,6.898444833799999
Globe,C1BMBRFN1,2030,6.898444833799999
Globe,C1BMBRFN1,2031,6.898444833799999
Globe,C1BMBRFN1,2032,6.898444833799999
Globe,C1BMBRFN1,2033,6.5342882813
Globe,C1BMBRFN1,2034,5.6892882813
Globe,C1BMBRFN1,2035,4.8442882813
Globe,C1BMBRFN1,2036,4.8442882813
Globe,C1BMBRFN1,2037,4.8442882813
Globe,C1BMBRFN1,2038,3.9992882812999997
Globe,C1BMBRFN1,2039,3.1542882813
Globe,C1BMBRFN1,2040,2.3092882812999997
Globe,C1BMBRFN1,2041,1.4642882813
Globe,C1BMBRFN1,2042,0.6192882813
Globe,C1BMCHP00,2010,2.673
Globe,C1BMCHP00,2011,2.6001
Globe,C1BMCHP00,2012,2.5191
Globe,C1BMCHP00,2013,2.4381
Globe,C1BMCHP00,2014,2.3571
Globe,C1BMCHP00,2015,2.2842
Globe,C1BMCHP00,2016,2.2032
Globe,C1BMCHP00,2017,2.1222000000000003
Globe,C1BMCHP00,2018,2.0493
Globe,C1BMCHP00,2019,1.9683
Globe,C1BMCHP00,2020,1.8873000000000002
Globe,C1BMCHP00,2021,1.8063
Globe,C1BMCHP00,2022,1.7333999999999998
Globe,C1BMCHP00,2023,1.6524
Globe,C1BMCHP00,2024,1.5714000000000001
Globe,C1BMCHP00,2025,1.4985
Globe,C1BMCHP00,2026,1.4175000000000002
Globe,C1BMCHP00,2027,1.3365
Globe,C1BMCHP00,2028,1.2555
Globe,C1BMCHP00,2029,1.1826
Globe,C1BMCHP00,2030,1.1016
Globe,C1BMCHP00,2031,1.0206
Globe,C1BMCHP00,2032,0.9477
Globe,C1BMCHP00,2033,0.8666999999999999
Globe,C1BMCHP00,2034,0.7857000000000001
Globe,C1BMCHP00,2035,0.7047
Globe,C1BMCHP00,2036,0.6317999999999999
Globe,C1BMCHP00,2037,0.5508
Globe,C1BMCHP00,2038,0.4698
Globe,C1BMCHP00,2039,0.3969
Globe,C1BMCHP00,2040,0.31589999999999996
Globe,C1BMCHP00,2041,0.2349
Globe,C1BMCHP00,2042,0.1539
Globe,C1BMCHP00,2043,0.081
Globe,C1BMHTF03,2010,9.41369
Globe,C1BMHTF03,2011,8.942440000000001
Globe,C1BMHTF03,2012,8.471190000000002
Globe,C1BMHTF03,2013,8.00371
Globe,C1BMHTF03,2014,7.53246
Globe,C1BMHTF03,2015,7.06121
Globe,C1BMHTF03,2016,6.5899600000000005
Globe,C1BMHTF03,2017,6.11871
Globe,C1BMHTF03,2018,5.64746
Globe,C1BMHTF03,2019,5.17621
Globe,C1BMHTF03,2020,4.70873
Globe,C1BMHTF03,2021,4.237480000000001
Globe,C1BMHTF03,2022,3.76623
Globe,C1BMHTF03,2023,3.2949800000000002
Globe,C1BMHTF03,2024,2.82373
Globe,C1BMHTF03,2025,2.35248
Globe,C1BMHTF03,2026,1.8812300000000002
Globe,C1BMHTF03,2027,1.41375
Globe,C1BMHTF03,2028,0.9425000000000001
Globe,C1BMHTF03,2029,0.47125000000000006
Globe,C1BMIGPCS,2021,7.974557152483
Globe,C1BMIGPCS,2022,7.957939500846501
Globe,C1BMIGPCS,2023,7.94132184921
Globe,C1BMIGPCS,2024,7.924694898384001
Globe,C1BMIGPCS,2025,7.9080772467475
Globe,C1BMIGPCS,2026,9.266193769058601
Globe,C1BMIGPCS,2027,9.246681234248701
Globe,C1BMIGPCS,2028,9.227168699438801
Globe,C1BMIGPCS,2029,9.971024117980711
Globe,C1BMIGPCS,2030,10.84893597800727
Globe,C1BMIGPCS,2031,11.227554525408083
Globe,C1BMIGPCS,2032,15.261720408834782
Globe,C1BMIGPCS,2033,16.299674692301082
Globe,C1BMIGPCS,2034,19.93060518090488
Globe,C1BMIGPCS,2035,22.18286629645048
Globe,C1BMIGPCS,2036,22.1931559064443
Globe,C1BMIGPCS,2037,22.220402674347238
Globe,C1BMIGPCS,2038,24.478426758633137
Globe,C1BMIGPCS,2039,26.747933108158534
Globe,C1BMIGPCS,2040,29.040099881266336
Globe,C1BMIGPCS,2041,31.624711716250037
Globe,C1BMIGPCS,2042,34.16784586128574
Globe,C1BMIGPCS,2043,34.16784586128574
Globe,C1BMIGPCS,2044,34.16784586128574
Globe,C1BMIGPCS,2045,34.16784586128574
Globe,C1BMIGPCS,2046,34.16784586128574
Globe,C1BMIGPCS,2047,34.16784586128574
Globe,C1BMIGPCS,2048,34.16784586128574
Globe,C1BMIGPCS,2049,34.16784586128574
Globe,C1BMIGPCS,2050,34.16784586128574
Globe,C1BMIGPCS,2051,34.16784586128574
Globe,C1BMIGPCS,2052,34.16784586128574
Globe,C1BMIGPCS,2053,34.16784586128574
Globe,C1BMIGPCS,2054,34.16784586128574
Globe,C1BMIGPCS,2055,36.292748287568145
Globe,C1BMIGPCS,2056,34.92959526628234
Globe,C1BMIGPCS,2057,34.92959526628234
Globe,C1BMIGPCS,2058,34.92959526628234
Globe,C1BMIGPCS,2059,34.16784592018857
Globe,C1BMIGPCS,2060,34.16784592018857
Globe,C1BMIGPCS,2061,34.16784592018857
Globe,C1BMIGPCS,2062,34.16784592018857
Globe,C1BMIGPCS,2063,34.16784592018857
Globe,C1BMIGPCS,2064,34.16784592018857
Globe,C1BMIGPCS,2065,87.89251265185897
Globe,C1BMIGPCS,2066,87.88222304186516
Globe,C1BMIGPCS,2067,87.85497627396222
Globe,C1BMIGPCS,2068,85.59695218967632
Globe,C1BMIGPCS,2069,86.67106203995942
Globe,C1BMIGPCS,2070,88.12423861244741
Globe,C1BMSCP00,2010,6.249458596799999
Globe,C1BMSCP00,2011,5.976855346679999
Globe,C1BMSCP00,2012,5.71755709656
Globe,C1BMSCP00,2013,5.460463846439999
Globe,C1BMSCP00,2014,5.194685596319999
Globe,C1BMSCP00,2015,4.9420548462
Globe,C1BMSCP00,2016,4.69162909608
Globe,C1BMSCP00,2017,4.4326758459599995
Globe,C1BMSCP00,2018,4.1867125958399996
Globe,C1BMSCP00,2019,3.9429543457199996
Globe,C1BMSCP00,2020,3.7014010955999996
Globe,C1BMSCP00,2021,3.4515303454799997
Globe,C1BMSCP00,2022,3.21443959536
Globe,C1BMSCP00,2023,2.97952440909363
Globe,C1BMSCP00,2024,2.73647880731994
Globe,C1BMSCP00,2025,2.5060557055462502
Globe,C1BMSCP00,2026,2.27783760377256
Globe,C1BMSCP00,2027,2.0416170019988704
Globe,C1BMSCP00,2028,1.81786140022518
Globe,C1BMSCP00,2029,1.5963107984514902
Globe,C1BMSCP00,2030,1.3769651966777998
Globe,C1BMSCP00,2031,1.1498270949041098
Globe,C1BMSCP00,2032,0.9349439931304201
Globe,C1BMSCP00,2033,0.7222658913567299
Globe,C1BMSCP00,2034,0.50195278958304
Globe,C1BMSCP00,2035,7.239813750002743e-09
Globe,C1BMSCP00,2036,7.2009795000027276e-09
Globe,C1BMSCP00,2037,7.162145250002714e-09
Globe,C1BMSCP00,2038,7.1233110000026985e-09
Globe,C1BMSCP00,2039,7.084476750002685e-09
Globe,C1BMSCP00,2040,7.045642500002669e-09
Globe,C1BMSCP00,2041,7.006808250002654e-09
Globe,C1BMSCP00,2042,6.96797400000264e-09
Globe,C1BMSCP00,2043,6.929139750002625e-09
Globe,C1BMSCP00,2044,6.890305500002611e-09
Globe,C1BMSCP00,2045,6.851471250002596e-09
Globe,C1BMSCP00,2046,6.8126370000025804e-09
Globe,C1BMSCP00,2047,6.773802750002567e-09
Globe,C1BMSCP00,2048,1.2803451000002323e-08
Globe,C1BMSCP00,2049,1.272962550000231e-08
Globe,C1BMSCP00,2050,1.2655800000002296e-08
Globe,C1BMSCP00,2051,1.2655800000002296e-08
Globe,C1BMSCP00,2052,1.2655800000002296e-08
Globe,C1BMSCP00,2053,1.2655800000002296e-08
Globe,C1BMSCP00,2054,1.2655800000002296e-08
Globe,C1BMSCP00,2055,1.2655800000002296e-08
Globe,C1BMSCP00,2056,1.2655800000002296e-08
Globe,C1BMSCP00,2057,1.2655800000002296e-08
Globe,C1BMSCP00,2058,1.2655800000002296e-08
Globe,C1BMSCP00,2059,1.2655800000002296e-08
Globe,C1BMSCP00,2060,3.0680999999995006e-09
Globe,C1BMSCP00,2061,3.0680999999995006e-09
Globe,C1BMSCP00,2062,3.0680999999995006e-09
Globe,C1BMSCP00,2063,3.0680999999995006e-09
Globe,C1BMSCP00,2064,3.0680999999995006e-09
Globe,C1BMSCP00,2065,3.0680999999995006e-09
Globe,C1BMSCP00,2066,3.0680999999995006e-09
Globe,C1BMSCP00,2067,3.0680999999995006e-09
Globe,C1BMSCP00,2068,3.0680999999995006e-09
Globe,C1BMSCP00,2069,3.0680999999995006e-09
Globe,C1BMSCP00,2070,3.0680999999995006e-09
Globe,C1COBRFH1,2010,1.2135500000000001
Globe,C1COBRFH1,2011,1.27985
Globe,C1COBRFH1,2012,1.3468
Globe,C1COBRFH1,2013,1.4131
Globe,C1COBRFH1,2014,1.4794
Globe,C1COBRFH1,2015,1.6757000000000002
Globe,C1COBRFH1,2016,1.8720000000000003
Globe,C1COBRFH1,2017,2.0683000000000002
Globe,C1COBRFH1,2018,2.26525
Globe,C1COBRFH1,2019,2.4615500000000003
Globe,C1COBRFH1,2020,2.78785
Globe,C1COBRFH1,2021,3.11415
Globe,C1COBRFH1,2022,3.44045
Globe,C1COBRFH1,2023,3.3773999999999997
Globe,C1COBRFH1,2024,3.3137000000000003
Globe,C1COBRFH1,2025,2.9899999999999998
Globe,C1COBRFH1,2026,2.86
Globe,C1COBRFH1,2027,2.73
Globe,C1COBRFH1,2028,2.6
Globe,C1COBRFH1,2029,2.47
Globe,C1COBRFH1,2030,2.21
Globe,C1COBRFH1,2031,1.95
Globe,C1COBRFH1,2032,1.69
Globe,C1COBRFH1,2033,1.43
Globe,C1COBRFH1,2034,1.17
Globe,C1COBRFH1,2035,0.77999762185332
Globe,C1COBRFH1,2036,0.54458488585332
Globe,C1COBRFH1,2037,0.5495867138533199
Globe,C1COBRFH1,2038,0.57949659840332
Globe,C1COBRFH1,2039,0.57949659840332
Globe,C1COBRFH1,2040,0.57949659840332
Globe,C1COBRFH1,2041,0.57949659840332
Globe,C1COBRFH1,2042,0.57949659840332
Globe,C1COBRFH1,2043,0.57949659840332
Globe,C1COBRFH1,2044,0.57949659840332
Globe,C1COBRFH1,2045,0.57949659840332
Globe,C1COBRFH1,2046,0.57949659840332
Globe,C1COBRFH1,2047,0.57949659840332
Globe,C1COBRFH1,2048,0.57949659840332
Globe,C1COBRFH1,2049,0.57949659840332
Globe,C1COBRFH1,2050,0.5794989765499999
Globe,C1COBRFH1,2051,0.42491171255
Globe,C1COBRFH1,2052,0.02990988455
Globe,C1COCHP00,2010,10.384500000000001
Globe,C1COCHP00,2011,10.384500000000001
Globe,C1COCHP00,2012,10.1325
Globe,C1COCHP00,2013,9.87
Globe,C1COCHP00,2014,9.6075
Globe,C1COCHP00,2015,9.344999999999999
Globe,C1COCHP00,2016,9.093
Globe,C1COCHP00,2017,8.830499999999999
Globe,C1COCHP00,2018,8.568000000000001
Globe,C1COCHP00,2019,8.316
Globe,C1COCHP00,2020,8.0535
Globe,C1COCHP00,2021,7.791
Globe,C1COCHP00,2022,7.5285
Globe,C1COCHP00,2023,7.2765
Globe,C1COCHP00,2024,7.014
Globe,C1COCHP00,2025,6.751499999999999
Globe,C1COCHP00,2026,6.489
Globe,C1COCHP00,2027,6.237
Globe,C1COCHP00,2028,5.9745
Globe,C1COCHP00,2029,5.712
Globe,C1COCHP00,2030,5.4495000000000005
Globe,C1COCHP00,2031,5.197500000000001
Globe,C1COCHP00,2032,4.935
Globe,C1COCHP00,2033,4.672499999999999
Globe,C1COCHP00,2034,4.41
Globe,C1COCHP00,2035,4.158
Globe,C1COCHP00,2036,3.8955
Globe,C1COCHP00,2037,3.633
Globe,C1COCHP00,2038,3.381
Globe,C1COCHP00,2039,3.1185
Globe,C1COCHP00,2040,2.856
Globe,C1COCHP00,2041,2.5935
Globe,C1COCHP00,2042,2.3415
Globe,C1COCHP00,2043,2.079
Globe,C1COCHP00,2044,1.8165
Globe,C1COCHP00,2045,1.554
Globe,C1COCHP00,2046,1.302
Globe,C1COCHP00,2047,1.0395
Globe,C1COCHP00,2048,0.777
Globe,C1COCHP00,2049,0.5145
Globe,C1COCHP00,2050,0.2625
Globe,C1COCHP00,2051,0.2625
Globe,C1COCHP00,2052,0.2625
Globe,C1COCHP00,2053,0.2625
Globe,C1COCHP00,2054,0.2625
Globe,C1COCHP00,2055,0.2625
Globe,C1COCHP00,2056,0.2625
Globe,C1COCHP00,2057,0.2625
Globe,C1COCHP00,2058,0.2625
Globe,C1COCHP00,2059,0.2625
Globe,C1COCHP00,2060,0.2625
Globe,C1COCHP00,2061,0.2625
Globe,C1COCHP00,2062,0.2625
Globe,C1COCHP00,2063,0.2625
Globe,C1COCHP00,2064,0.2625
Globe,C1COCHP00,2065,0.2625
Globe,C1COCHP00,2066,0.2625
Globe,C1COCHP00,2067,0.2625
Globe,C1COCHP00,2068,0.2625
Globe,C1COCHP00,2069,0.2625
Globe,C1COCHP00,2070,0.2625
Globe,C1COHTF03,2010,6.697236000000001
Globe,C1COHTF03,2011,6.763847999999999
Globe,C1COHTF03,2012,6.829914
Globe,C1COHTF03,2013,6.896526000000001
Globe,C1COHTF03,2014,6.963138000000001
Globe,C1COHTF03,2015,7.029750000000001
Globe,C1COHTF03,2016,7.205016
Globe,C1COHTF03,2017,7.380828
Globe,C1COHTF03,2018,7.55664
Globe,C1COHTF03,2019,7.731906
Globe,C1COHTF03,2020,7.907718000000001
Globe,C1COHTF03,2021,8.13813
Globe,C1COHTF03,2022,8.367996
Globe,C1COHTF03,2023,8.598408000000001
Globe,C1COHTF03,2024,8.82882
Globe,C1COHTF03,2025,9.059232000000002
Globe,C1COHTF03,2026,8.2992
Globe,C1COHTF03,2027,8.2992
Globe,C1COHTF03,2028,8.2992
Globe,C1COHTF03,2029,8.2992
Globe,C1COHTF03,2030,8.265424816740001
Globe,C1COHTF03,2031,8.70222481674
Globe,C1COHTF03,2032,9.13902481674
Globe,C1COHTF03,2033,9.575824816739999
Globe,C1COHTF03,2034,10.01262481674
Globe,C1COHTF03,2035,10.449424816739999
Globe,C1COHTF03,2036,9.95802481674
Globe,C1COHTF03,2037,9.466624816739998
Globe,C1COHTF03,2038,8.975224816739997
Globe,C1COHTF03,2039,8.483824816739999
Globe,C1COHTF03,2040,7.992424816739998
Globe,C1COHTF03,2041,7.446424816739999
Globe,C1COHTF03,2042,6.900424816739998
Globe,C1COHTF03,2043,6.354424816739999
Globe,C1COHTF03,2044,5.80842481674
Globe,C1COHTF03,2045,5.26242481674
Globe,C1COHTF03,2046,4.44342481674
Globe,C1COHTF03,2047,4.44342481674
