REGION,TECHNOLOGY,EMISSION,YEAR,VALUE
Globe,ALUPLANT,CO2EQ,2010,0.0034729699294979996
Globe,ALUPLANT,CO2EQ,2011,0.0035828583717779994
Globe,ALUPLANT,CO2EQ,2012,0.0036910387360889994
Globe,ALUPLANT,CO2EQ,2013,0.0037975899827699996
Globe,ALUPLANT,CO2EQ,2014,0.003902508479952
Globe,ALUPLANT,CO2EQ,2015,0.0040058683962299994
Globe,ALUPLANT,CO2EQ,2016,0.004107691998774
Globe,ALUPLANT,CO2EQ,2017,0.00420799158
Globe,ALUPLANT,CO2EQ,2018,0.004306832191655999
Globe,ALUPLANT,CO2EQ,2019,0.004404217389983999
Globe,ALUPLANT,CO2EQ,2020,0.004500207738359999
Globe,ALUPLANT,CO2EQ,2021,0.004594822896816
Globe,ALUPLANT,CO2EQ,2022,0.004688065403283599
Globe,ALUPLANT,CO2EQ,2023,0.004780006295849999
Globe,ALUPLANT,CO2EQ,2024,0.004870638112104
Globe,ALUPLANT,CO2EQ,2025,0.004960023617717999
Globe,ALUPLANT,CO2EQ,2026,0.0050481660599999995
Globe,ALUPLANT,CO2EQ,2027,0.00513507762
Globe,ALUPLANT,CO2EQ,2028,0.00522081684
Globe,ALUPLANT,CO2EQ,2029,0.005305374
Globe,ALUPLANT,CO2EQ,2030,0.00538880715
Globe,ALUPLANT,CO2EQ,2031,0.00547112556
Globe,ALUPLANT,CO2EQ,2032,0.00555232311
Globe,ALUPLANT,CO2EQ,2033,0.00563247117
Globe,ALUPLANT,CO2EQ,2034,0.00571154112
Globe,ALUPLANT,CO2EQ,2035,0.005789603609999999
Globe,ALUPLANT,CO2EQ,2036,0.00586665045
Globe,ALUPLANT,CO2EQ,2037,0.005942685779999999
Globe,ALUPLANT,CO2EQ,2038,0.0060177661199999994
Globe,ALUPLANT,CO2EQ,2039,0.00609187221
Globe,ALUPLANT,CO2EQ,2040,0.00616506039
Globe,ALUPLANT,CO2EQ,2041,0.00623733255
Globe,ALUPLANT,CO2EQ,2042,0.006308676449999999
Globe,ALUPLANT,CO2EQ,2043,0.00637916103
Globe,ALUPLANT,CO2EQ,2044,0.00644875038
Globe,ALUPLANT,CO2EQ,2045,0.006517512879587999
Globe,ALUPLANT,CO2EQ,2046,0.006585434891945999
Globe,ALUPLANT,CO2EQ,2047,0.006652514475575999
Globe,ALUPLANT,CO2EQ,2048,0.006718806818964
Globe,ALUPLANT,CO2EQ,2049,0.006784285936499999
Globe,ALUPLANT,CO2EQ,2050,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2051,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2052,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2053,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2054,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2055,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2056,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2057,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2058,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2059,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2060,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2061,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2062,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2063,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2064,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2065,0.006849006645446999
Globe,ALUPLANT,CO2EQ,2066,0.006849006645446999
Globe,ALUPLANT,CO2EQ,2067,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2068,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2069,0.0068490066041999986
Globe,ALUPLANT,CO2EQ,2070,0.0068490066041999986
Globe,ALUPLANT,WATER,2010,0.030870843817759997
Globe,ALUPLANT,WATER,2011,0.032245725346001994
Globe,ALUPLANT,WATER,2012,0.033219348624801
Globe,ALUPLANT,WATER,2013,0.034600264287460006
Globe,ALUPLANT,WATER,2014,0.035556188372896
Globe,ALUPLANT,WATER,2015,0.036943008543010004
Globe,ALUPLANT,WATER,2016,0.038338458655224
Globe,ALUPLANT,WATER,2017,0.03927458808
Globe,ALUPLANT,WATER,2018,0.04067563736564
Globe,ALUPLANT,WATER,2019,0.041595386460960004
Globe,ALUPLANT,WATER,2020,0.04300198505543999
Globe,ALUPLANT,WATER,2021,0.044416621335887994
Globe,ALUPLANT,WATER,2022,0.0453179655650748
Globe,ALUPLANT,WATER,2023,0.0467378393372
Globe,ALUPLANT,WATER,2024,0.047624017096128
Globe,ALUPLANT,WATER,2025,0.049049122441878
Globe,ALUPLANT,WATER,2026,0.05048166059999999
Globe,ALUPLANT,WATER,2027,0.051350776199999996
Globe,ALUPLANT,WATER,2028,0.05278825916000001
Globe,ALUPLANT,WATER,2029,0.05364322600000001
Globe,ALUPLANT,WATER,2030,0.055085584199999996
Globe,ALUPLANT,WATER,2031,0.05653496412
Globe,ALUPLANT,WATER,2032,0.05737400547
Globe,ALUPLANT,WATER,2033,0.05882803222
Globe,ALUPLANT,WATER,2034,0.05965387392
Globe,ALUPLANT,WATER,2035,0.061112482549999986
Globe,ALUPLANT,WATER,2036,0.06257760479999999
Globe,ALUPLANT,WATER,2037,0.06338864831999999
Globe,ALUPLANT,WATER,2038,0.06485814596
Globe,ALUPLANT,WATER,2039,0.06565684493
Globe,ALUPLANT,WATER,2040,0.06713065758
Globe,ALUPLANT,WATER,2041,0.06861065805
Globe,ALUPLANT,WATER,2042,0.06939544095
Globe,ALUPLANT,WATER,2043,0.070879567
Globe,ALUPLANT,WATER,2044,0.07165278200000001
Globe,ALUPLANT,WATER,2045,0.07314097787093199
Globe,ALUPLANT,WATER,2046,0.074634928775388
Globe,ALUPLANT,WATER,2047,0.07539516405652799
Globe,ALUPLANT,WATER,2048,0.076893011372588
Globe,ALUPLANT,WATER,2049,0.0776423834955
Globe,ALUPLANT,WATER,2050,0.07914407631519998
Globe,ALUPLANT,WATER,2051,0.07914407631519998
Globe,ALUPLANT,WATER,2052,0.07914407631519998
Globe,ALUPLANT,WATER,2053,0.07914407631519998
Globe,ALUPLANT,WATER,2054,0.07914407631519998
Globe,ALUPLANT,WATER,2055,0.07914407631519998
