REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,132.44363768914485
Globe,ALUPLANT,2011,137.81655812823905
Globe,ALUPLANT,2012,143.1956932859408
Globe,ALUPLANT,2013,148.58252247997913
Globe,ALUPLANT,2014,153.9752498859248
Globe,ALUPLANT,2015,159.3752100203156
Globe,ALUPLANT,2016,164.7817532486407
Globe,ALUPLANT,2017,170.19380913880804
Globe,ALUPLANT,2018,175.61261393288598
Globe,ALUPLANT,2019,181.03682388775565
Globe,ALUPLANT,2020,186.4675077035763
Globe,ALUPLANT,2021,191.9040546252138
Globe,ALUPLANT,2022,197.34531121238177
Globe,ALUPLANT,2023,202.79288243623859
Globe,ALUPLANT,2024,208.24516072883014
Globe,ALUPLANT,2025,213.70349935135653
Globe,ALUPLANT,2026,219.166914765176
Globe,ALUPLANT,2027,224.63465516391602
Globe,ALUPLANT,2028,230.10808231376
Globe,ALUPLANT,2029,235.58554511020003
Globe,ALUPLANT,2030,241.068587233425
Globe,ALUPLANT,2031,246.556455732252
Globe,ALUPLANT,2032,252.04776927092902
Globe,ALUPLANT,2033,257.544619082224
Globe,ALUPLANT,2034,263.044772435328
Globe,ALUPLANT,2035,268.55037747627597
Globe,ALUPLANT,2036,274.06005429171
Globe,ALUPLANT,2037,279.572926191838
Globe,ALUPLANT,2038,285.090800702116
Globe,ALUPLANT,2039,290.611748466015
Globe,ALUPLANT,2040,296.137511322243
Globe,ALUPLANT,2041,301.66720270685
Globe,ALUPLANT,2042,307.19945761184
Globe,ALUPLANT,2043,312.736668386142
Globe,ALUPLANT,2044,318.276212032568
Globe,ALUPLANT,2045,323.8205273348463
Globe,ALUPLANT,2046,329.3682578042164
Globe,ALUPLANT,2047,334.918402017566
Globe,ALUPLANT,2048,340.4729226816822
Globe,ALUPLANT,2049,346.02963971489817
Globe,ALUPLANT,2050,351.5907100236717
Globe,ALUPLANT,2051,351.5907100236717
Globe,ALUPLANT,2052,351.5907100236717
Globe,ALUPLANT,2053,351.5907100236717
Globe,ALUPLANT,2054,351.5907100236717
Globe,ALUPLANT,2055,351.5907100236717
Globe,ALUPLANT,2056,351.5907100236717
Globe,ALUPLANT,2057,351.5907100236717
Globe,ALUPLANT,2058,351.5907100236717
Globe,ALUPLANT,2059,351.5907100236717
Globe,ALUPLANT,2060,351.5907100236717
Globe,ALUPLANT,2061,351.5907100236717
Globe,ALUPLANT,2062,351.5907100236717
Globe,ALUPLANT,2063,351.5907100236717
Globe,ALUPLANT,2064,351.5907100236717
Globe,ALUPLANT,2065,351.59071214106814
Globe,ALUPLANT,2066,351.5907121410682
Globe,ALUPLANT,2067,351.5907100236717
Globe,ALUPLANT,2068,351.5907100236717
Globe,ALUPLANT,2069,351.5907100236717
Globe,ALUPLANT,2070,351.5907100236717
Globe,C1BFRDF00,2010,4366417.950465604
Globe,C1BFRDF00,2011,31.125331388
Globe,C1BFRDF00,2012,32.357331310999996
Globe,C1BFRDF00,2013,30.229331270026677
Globe,C1BFRDF00,2014,28.20266501077332
Globe,C1BFRDF00,2015,26.277331677453333
Globe,C1BFRDF00,2016,24.261331946066655
Globe,C1BFRDF00,2017,22.389331922639997
Globe,C1BFRDF00,2018,20.64533199334667
Globe,C1BFRDF00,2019,19.02933220293333
Globe,C1BFRDF00,2020,17.53066563179999
Globe,C1BFRDF00,2022,27.714338001187098
Globe,C1BFRDF00,2023,9.337295824258973
Globe,C1BFRDF00,2024,13.228906498643957
Globe,C1BFRDF00,2025,25.255618154857096
Globe,C1BFRDF00,2026,25.2554709548663
Globe,C1BFRDF00,2027,22.068001802776465
Globe,C1BFRDF00,2028,24.542073666120302
Globe,C1BFRDF00,2029,23.980992634521197
Globe,C1BFRDF00,2030,23.4100108035409
Globe,C1BFRDF00,2031,22.45368162512481
Globe,C1BFRDF00,2032,4.130916489657703
Globe,C1BFRDF00,2033,4.367064165938472
Globe,C1BFRDF00,2034,-4.267023735054999e-05
Globe,C1BFRDF00,2035,-1.314908914420854e-06
Globe,C1BFRDF00,2036,-5.0794007158654354e-05
Globe,C1BFRDF00,2037,1.590198705823241e-06
Globe,C1BFRDF00,2038,-12.078536540654376
Globe,C1BFRDF00,2039,-5.787730551013484e-07
Globe,C1BFRDF00,2040,-3.594792348114797e-06
Globe,C1BFRDF00,2041,-7.9178869545187e-06
Globe,C1BMBRFH1,2010,0.00022601453982600003
Globe,C1BMBRFH1,2011,0.00017369456592479998
Globe,C1BMBRFH1,2012,0.0001559592779822
Globe,C1BMBRFH1,2013,0.0001448260876138
Globe,C1BMBRFH1,2014,0.000130894678536
Globe,C1BMBRFH1,2015,0.00011694826938280002
Globe,C1BMBRFH1,2016,0.00011766493985280001
Globe,C1BMBRFH1,2017,0.000123280043866
Globe,C1BMBRFH1,2018,0.0001152010098332
Globe,C1BMBRFH1,2019,9.873921600000001e-05
Globe,C1BMBRFH1,2020,8.227742400000001e-05
Globe,C1BMBRFH1,2021,6.30386236272e-05
Globe,C1BMBRFH1,2022,3.7025070830000006e-05
Globe,C1BMBRFH1,2023,3.2923584e-05
Globe,C1BMBRFH1,2024,1.6461792015337263e-05
Globe,C1BMBRFN1,2010,2.20752e-05
Globe,C1BMBRFN1,2011,2.20752e-05
Globe,C1BMBRFN1,2012,2.20752e-05
Globe,C1BMBRFN1,2013,2.20752e-05
Globe,C1BMBRFN1,2014,2.20752e-05
Globe,C1BMBRFN1,2015,2.20752e-05
Globe,C1BMBRFN1,2016,2.20752e-05
Globe,C1BMBRFN1,2017,2.20752e-05
Globe,C1BMBRFN1,2018,2.8870491000000003e-05
Globe,C1BMBRFN1,2019,4.4638491e-05
Globe,C1BMBRFN1,2020,6.040649100000001e-05
Globe,C1BMBRFN1,2021,6.040649100000001e-05
Globe,C1BMBRFN1,2022,6.040649100000001e-05
Globe,C1BMBRFN1,2023,7.617449100000001e-05
Globe,C1BMBRFN1,2024,9.1942491e-05
Globe,C1BMBRFN1,2025,8.5635291e-05
Globe,C1BMBRFN1,2026,0.00010140329
Globe,C1BMBRFN1,2027,0.00011717129
Globe,C1BMBRFN1,2028,0.00012872743000000002
Globe,C1BMBRFN1,2029,0.00012872743000000002
Globe,C1BMBRFN1,2030,0.00012872743000000002
Globe,C1BMBRFN1,2031,0.00012872743000000002
Globe,C1BMBRFN1,2032,0.00012872743000000002
Globe,C1BMBRFN1,2033,0.00012193214000000001
Globe,C1BMBRFN1,2034,0.00010616414
Globe,C1BMBRFN1,2035,9.039613900000002e-05
Globe,C1BMBRFN1,2036,9.039613900000002e-05
Globe,C1BMBRFN1,2037,9.039613900000002e-05
Globe,C1BMBRFN1,2038,7.4628139e-05
Globe,C1BMBRFN1,2039,5.8860139e-05
Globe,C1BMBRFN1,2040,4.3092138999999994e-05
Globe,C1BMBRFN1,2041,2.7324139000000005e-05
Globe,C1BMBRFN1,2042,1.0592357007400001e-05
Globe,C1BMCHP00,2010,7.377437232000001e-07
Globe,C1BMCHP00,2011,5.6825775343399995e-06
Globe,C1BMCHP00,2012,7.66961826121e-06
Globe,C1BMCHP00,2013,7.423006759830001e-06
Globe,C1BMCHP00,2014,7.17639521262e-06
