REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,31.619311607204
Globe,ALUPLANT,2011,18.944419962662998
Globe,ALUPLANT,2012,47.690553408629995
Globe,ALUPLANT,2013,35.942822548848
Globe,ALUPLANT,2014,32.222541008196
Globe,ALUPLANT,2015,15.262319279006
Globe,ALUPLANT,2016,23.710626494
Globe,ALUPLANT,2017,31.168620418356
Globe,ALUPLANT,2018,53.28691341746799
Globe,ALUPLANT,2019,79.43247079406099
Globe,ALUPLANT,2020,37.613784576994995
Globe,ALUPLANT,2022,63.18052364863801
Globe,ALUPLANT,2023,17.208853142883
Globe,ALUPLANT,2024,23.085277481482997
Globe,ALUPLANT,2025,35.795633946184
Globe,ALUPLANT,2026,16.141129373684
Globe,ALUPLANT,2027,36.86353524672
Globe,ALUPLANT,2028,36.95185950169
Globe,ALUPLANT,2029,37.0210667288
Globe,ALUPLANT,2030,37.126327497396
Globe,ALUPLANT,2031,37.200806940736996
Globe,ALUPLANT,2032,37.301351700710995
Globe,ALUPLANT,2033,37.39628041577
Globe,ALUPLANT,2034,37.468574915144
Globe,ALUPLANT,2035,76.040064121245
Globe,ALUPLANT,2036,36.224895606388
Globe,ALUPLANT,2037,70.96776214776
Globe,ALUPLANT,2038,56.58345254019199
Globe,ALUPLANT,2039,51.942241764958005
Globe,ALUPLANT,2040,31.337282050488003
Globe,ALUPLANT,2041,41.422913149728004
Globe,ALUPLANT,2042,50.283944591087995
Globe,ALUPLANT,2043,76.75747485926
Globe,ALUPLANT,2044,107.98683563786399
Globe,ALUPLANT,2045,165.84950317275
Globe,ALUPLANT,2046,13.610285973982501
Globe,ALUPLANT,2047,89.092433253126
Globe,ALUPLANT,2048,34.014154304636
Globe,ALUPLANT,2049,40.920063404384
Globe,ALUPLANT,2050,55.960539084
Globe,ALUPLANT,2051,19.0855174443
Globe,ALUPLANT,2052,43.259213585999994
Globe,ALUPLANT,2053,43.038216440250004
Globe,ALUPLANT,2054,42.798403445999995
Globe,ALUPLANT,2055,42.603471934199995
Globe,ALUPLANT,2056,42.376360061849994
Globe,ALUPLANT,2057,42.18202577085
Globe,ALUPLANT,2058,41.98419129089999
Globe,ALUPLANT,2059,41.763962727599996
Globe,ALUPLANT,2060,84.15432354525
Globe,ALUPLANT,2061,39.80725530555
Globe,ALUPLANT,2062,77.4389200692
Globe,ALUPLANT,2063,61.31293029929999
Globe,ALUPLANT,2064,55.89446983635
Globe,ALUPLANT,2065,122.5868206821
Globe,ALUPLANT,2067,7.8796718524500005
Globe,ALUPLANT,2068,80.374009197
Globe,ALUPLANT,2069,112.3187865012
Globe,ALUPLANT,2070,171.35698421249998
Globe,C1BFRDF00,2010,51.83369266
Globe,C1BFRDF00,2011,2.1266053
Globe,C1BFRDF00,2012,2.13585141
Globe,C1BFRDF00,2022,43.784387118457
Globe,C1BFRDF00,2025,-9.27812003282e-05
Globe,C1BFRDF00,2026,-0.00025556892493867
Globe,C1BFRDF00,2034,0.00026764393776983
Globe,C1BFRDF00,2035,7.4502925142879e-05
Globe,C1BFRDF00,2036,-8.1846967001174e-05
Globe,C1BFRDF00,2038,-0.0002617025446677
Globe,C1BFRDF00,2040,-2.8623501717795e-06
Globe,C1BFRDF00,2046,0.00027191460502551
Globe,C1BFRDF00,2047,7.450489179047601e-05
Globe,C1BFRDF00,2048,-8.1848917930384e-05
Globe,C1BFRDF00,2050,-0.00026170249843715
Globe,C1BFRDF00,2052,-2.8616464503474e-06
Globe,C1BFRDF00,2054,-1.3721631295007e-05
Globe,C1BFRDF00,2055,1.3711461498618e-05
Globe,C1BFRDF00,2057,-7.621779006924701e-06
Globe,C1BFRDF00,2058,0.00027946529281925
Globe,C1BFRDF00,2059,7.4503038870032e-05
Globe,C1BFRDF00,2060,-8.1774383188452e-05
Globe,C1BFRDF00,2064,-0.00026457757634165
Globe,C1BFRDF00,2065,-7.4796319931566e-06
Globe,C1BFRDF00,2070,0.00027946525583481
Globe,C1BMBRFN1,2010,54.236000000000004
Globe,C1BMBRFN1,2018,16.69517733
Globe,C1BMBRFN1,2019,38.74
Globe,C1BMBRFN1,2020,38.74
Globe,C1BMBRFN1,2023,38.74
Globe,C1BMBRFN1,2024,38.74
Globe,C1BMBRFN1,2025,38.74
Globe,C1BMBRFN1,2026,38.74
Globe,C1BMBRFN1,2027,38.74
Globe,C1BMBRFN1,2028,28.391985819600002
Globe,C1BMIGPCS,2021,265.818577948893
Globe,C1BMIGPCS,2026,45.824476244845805
Globe,C1BMIGPCS,2029,25.4455833573715
Globe,C1BMIGPCS,2030,29.9684750822226
Globe,C1BMIGPCS,2031,12.620622896171728
Globe,C1BMIGPCS,2032,134.4722456542311
Globe,C1BMIGPCS,2033,34.5984888617379
Globe,C1BMIGPCS,2034,121.03106087502539
Globe,C1BMIGPCS,2035,75.0753981762048
Globe,C1BMIGPCS,2036,0.34298712615152704
Globe,C1BMIGPCS,2037,0.9082259313579539
Globe,C1BMIGPCS,2038,75.26749720498469
Globe,C1BMIGPCS,2039,75.6502395206382
Globe,C1BMIGPCS,2040,76.4055872516574
Globe,C1BMIGPCS,2041,86.1537595721121
Globe,C1BMIGPCS,2042,84.7711693978281
Globe,C1BMIGPCS,2051,260.8327524041415
Globe,C1BMIGPCS,2055,70.8301069701192
Globe,C1BMIGPCS,2060,29.9684750822226
Globe,C1BMIGPCS,2061,12.620622896171728
Globe,C1BMIGPCS,2062,134.4722456542311
Globe,C1BMIGPCS,2063,34.5984888617379
Globe,C1BMIGPCS,2064,121.03106087502539
Globe,C1BMIGPCS,2065,1865.898282310128
Globe,C1BMIGPCS,2069,111.45391438693049
Globe,C1BMIGPCS,2070,124.8448241797614
Globe,C1BMLP000,2011,289.8502584072
Globe,C1BMLP000,2012,31.947063859590003
Globe,C1BMLP000,2039,-4.0569173453676e-05
Globe,C1BMLP000,2040,-4.1850989687934e-05
Globe,C1BMLP000,2042,8.255330488356e-05
Globe,C1BMLP000,2064,-4.0502836153689e-05
Globe,C1BMLP000,2065,-4.1851009780062004e-05
Globe,C1BMLP000,2067,8.232319978764001e-05
Globe,C1BMSCP00,2010,8.272688129999999
Globe,C1BMSCP00,2023,-0.0007231326525760799
Globe,C1BMSCP00,2035,0.0006719064742410721
Globe,C1BMSCP00,2048,-0.00061589984306395
Globe,C1BMSCP00,2060,0.00060740813952
Globe,C1COBRFH1,2010,5.98
Globe,C1COBRFH1,2011,2.99
Globe,C1COBRFH1,2012,2.99
Globe,C1COBRFH1,2013,2.99
Globe,C1COBRFH1,2014,2.99
Globe,C1COBRFH1,2015,5.98
Globe,C1COBRFH1,2016,5.98
Globe,C1COBRFH1,2017,5.98
Globe,C1COBRFH1,2018,5.98
Globe,C1COBRFH1,2019,5.98
Globe,C1COBRFH1,2020,8.969999999999999
Globe,C1COBRFH1,2021,8.969999999999999
Globe,C1COBRFH1,2022,8.969999999999999
Globe,C1COBRFH1,2035,-5.469737364e-05
Globe,C1COBRFH1,2036,3.5555070719999997
Globe,C1COBRFH1,2037,9.085042044
Globe,C1COBRFH1,2038,0.68792734465
Globe,C1COHTF03,2010,10.920000000000002
Globe,C1COHTF03,2011,10.920000000000002
Globe,C1COHTF03,2012,10.920000000000002
Globe,C1COHTF03,2013,10.920000000000002
Globe,C1COHTF03,2014,10.920000000000002
Globe,C1COHTF03,2015,10.920000000000002
Globe,C1COHTF03,2016,14.04
Globe,C1COHTF03,2017,14.04
Globe,C1COHTF03,2018,14.04
Globe,C1COHTF03,2019,14.04
Globe,C1COHTF03,2020,14.04
Globe,C1COHTF03,2021,15.600000000000001
Globe,C1COHTF03,2022,15.600000000000001
Globe,C1COHTF03,2023,15.600000000000001
Globe,C1COHTF03,2024,15.600000000000001
Globe,C1COHTF03,2025,15.600000000000001
Globe,C1COHTF03,2026,23.4
Globe,C1COHTF03,2030,9.954994764
Globe,C1COHTF03,2031,23.4
Globe,C1COHTF03,2032,23.4
Globe,C1COHTF03,2033,23.4
Globe,C1COHTF03,2034,23.4
Globe,C1COHTF03,2035,23.4
Globe,C1COIGP00,2010,13.492119299999999
Globe,C1COSCP00,2011,95.33537384972442
Globe,C1COSCPCS,2021,185.0350516118262
Globe,C1COSCPCS,2036,55.5943898830166
Globe,C1COSCPCS,2037,158.7597452083412
Globe,C1COSCPCS,2038,122.4822235472264
Globe,C1COSCPCS,2039,125.2242423338632
Globe,C1COSCPCS,2040,116.55492152985781
Globe,C1COSCPCS,2041,153.62026013201782
Globe,C1COSCPCS,2042,120.09207431733381
