REGION,TIMESLICE,FUEL,YEAR,VALUE
Globe,ID,C1_F_CLS,2010,22.204351
Globe,IN,C1_F_CLS,2010,18.89732
Globe,IP,C1_F_CLS,2010,6.141629
Globe,ID,C1_F_CLS,2011,23.086983956199997
Globe,IN,C1_F_CLS,2011,19.648496984
Globe,IP,C1_F_CLS,2011,6.3857615198
Globe,ID,C1_F_CLS,2012,23.938848630299997
Globe,IN,C1_F_CLS,2012,20.373488196
Globe,IP,C1_F_CLS,2012,6.6213836637
Globe,ID,C1_F_CLS,2013,24.7607811852
Globe,IN,C1_F_CLS,2013,21.073005264000003
Globe,IP,C1_F_CLS,2013,6.8487267108
Globe,ID,C1_F_CLS,2014,25.552632001099997
Globe,IN,C1_F_CLS,2014,21.746920852000002
Globe,IP,C1_F_CLS,2014,7.0677492769
Globe,ID,C1_F_CLS,2015,26.314951010899996
Globe,IN,C1_F_CLS,2015,22.395702988
Globe,IP,C1_F_CLS,2015,7.2786034711
Globe,ID,C1_F_CLS,2016,27.2500407329
Globe,IN,C1_F_CLS,2016,23.191524028000003
Globe,IP,C1_F_CLS,2016,7.5372453091
Globe,ID,C1_F_CLS,2017,28.1766035222
Globe,IN,C1_F_CLS,2017,23.980088104000004
Globe,IP,C1_F_CLS,2017,7.7935286338
Globe,ID,C1_F_CLS,2018,29.0773689374
Globe,IN,C1_F_CLS,2018,24.746696968000002
Globe,IP,C1_F_CLS,2018,8.0426765146
Globe,ID,C1_F_CLS,2019,29.9736814692
Globe,IN,C1_F_CLS,2019,25.509516144000003
Globe,IP,C1_F_CLS,2019,8.2905927468
Globe,ID,C1_F_CLS,2020,30.8723919363
Globe,IN,C1_F_CLS,2020,26.274376116000003
Globe,IP,C1_F_CLS,2020,8.5391722377
Globe,ID,C1_F_CLS,2021,30.756225960799995
Globe,IN,C1_F_CLS,2021,26.175511456
Globe,IP,C1_F_CLS,2021,8.5070412232
Globe,ID,C1_F_CLS,2022,30.6478747599
Globe,IN,C1_F_CLS,2022,26.083297668
Globe,IP,C1_F_CLS,2022,8.4770717421
Globe,ID,C1_F_CLS,2023,30.5478955374
Globe,IN,C1_F_CLS,2023,25.998208968
Globe,IP,C1_F_CLS,2023,8.4494179146
Globe,ID,C1_F_CLS,2024,30.4555259956
Globe,IN,C1_F_CLS,2024,25.919596592
Globe,IP,C1_F_CLS,2024,8.4238688924
Globe,ID,C1_F_CLS,2025,30.3701240064
Globe,IN,C1_F_CLS,2025,25.846914048000002
Globe,IP,C1_F_CLS,2025,8.4002470656
Globe,ID,C1_F_CLS,2026,30.326256692699996
Globe,IN,C1_F_CLS,2026,25.809580164
Globe,IP,C1_F_CLS,2026,8.3881135533
Globe,ID,C1_F_CLS,2027,30.292759548299998
Globe,IN,C1_F_CLS,2027,25.781071956
Globe,IP,C1_F_CLS,2027,8.3788483857
Globe,ID,C1_F_CLS,2028,30.2595897777
Globe,IN,C1_F_CLS,2028,25.752842364000003
Globe,IP,C1_F_CLS,2028,8.369673768300002
Globe,ID,C1_F_CLS,2029,30.229840333400002
Globe,IN,C1_F_CLS,2029,25.727523688000005
Globe,IP,C1_F_CLS,2029,8.3614451986
Globe,ID,C1_F_CLS,2030,30.203027571299998
Globe,IN,C1_F_CLS,2030,25.704704316
Globe,IP,C1_F_CLS,2030,8.3540289027
Globe,ID,C1_F_CLS,2031,30.617130010699995
Globe,IN,C1_F_CLS,2031,26.057131924
Globe,IP,C1_F_CLS,2031,8.4685678753
Globe,ID,C1_F_CLS,2032,31.031246822699995
Globe,IN,C1_F_CLS,2032,26.409571764
Globe,IP,C1_F_CLS,2032,8.5831108233
Globe,ID,C1_F_CLS,2033,31.4452827054
Globe,IN,C1_F_CLS,2033,26.761942728000005
Globe,IP,C1_F_CLS,2033,8.697631386600001
Globe,ID,C1_F_CLS,2034,31.858437685899997
Globe,IN,C1_F_CLS,2034,27.113563988
Globe,IP,C1_F_CLS,2034,8.8119082961
Globe,ID,C1_F_CLS,2035,32.2683391055
Globe,IN,C1_F_CLS,2035,27.462416259999998
Globe,IP,C1_F_CLS,2035,8.9252852845
Globe,ID,C1_F_CLS,2036,32.5623416365
Globe,IN,C1_F_CLS,2036,27.712631180000002
Globe,IP,C1_F_CLS,2036,9.0066051335
Globe,ID,C1_F_CLS,2037,32.8583710096
Globe,IN,C1_F_CLS,2037,27.964571072000002
Globe,IP,C1_F_CLS,2037,9.0884855984
Globe,ID,C1_F_CLS,2038,33.156342267599996
Globe,IN,C1_F_CLS,2038,28.218163632
Globe,IP,C1_F_CLS,2038,9.1709031804
Globe,ID,C1_F_CLS,2039,33.456015687
Globe,IN,C1_F_CLS,2039,28.47320484
Globe,IP,C1_F_CLS,2039,9.253791573
Globe,ID,C1_F_CLS,2040,33.75732217309999
Globe,IN,C1_F_CLS,2040,28.729635892
Globe,IP,C1_F_CLS,2040,9.3371316649
Globe,ID,C1_F_CLS,2041,34.5322651056
Globe,IN,C1_F_CLS,2041,29.389161792
Globe,IP,C1_F_CLS,2041,9.5514775824
Globe,ID,C1_F_CLS,2042,35.2978612139
Globe,IN,C1_F_CLS,2042,30.040732948
Globe,IP,C1_F_CLS,2042,9.7632382081
Globe,ID,C1_F_CLS,2043,36.0752295908
Globe,IN,C1_F_CLS,2043,30.702323056
Globe,IP,C1_F_CLS,2043,9.9782549932
Globe,ID,C1_F_CLS,2044,36.853050996
Globe,IN,C1_F_CLS,2044,31.36429872
Globe,IP,C1_F_CLS,2044,10.193397084
Globe,ID,C1_F_CLS,2045,37.632535096699996
Globe,IN,C1_F_CLS,2045,32.027689443999996
Globe,IP,C1_F_CLS,2045,10.4089990693
Globe,ID,C1_F_CLS,2046,38.4065573556
Globe,IN,C1_F_CLS,2046,32.686431792
Globe,IP,C1_F_CLS,2046,10.6230903324
Globe,ID,C1_F_CLS,2047,39.1807562123
Globe,IN,C1_F_CLS,2047,33.345324436
Globe,IP,C1_F_CLS,2047,10.8372304417
Globe,ID,C1_F_CLS,2048,39.9499512281
Globe,IN,C1_F_CLS,2048,33.999958492000005
Globe,IP,C1_F_CLS,2048,11.0499865099
Globe,ID,C1_F_CLS,2049,40.718711555
Globe,IN,C1_F_CLS,2049,34.654222600000004
Globe,IP,C1_F_CLS,2049,11.262622345
Globe,ID,C1_F_CLS,2050,41.490383029
Globe,IN,C1_F_CLS,2050,35.31096428
Globe,IP,C1_F_CLS,2050,11.476063391
Globe,ID,C1_F_CLS,2051,41.490383029
Globe,IN,C1_F_CLS,2051,35.31096428
Globe,IP,C1_F_CLS,2051,11.476063391
Globe,ID,C1_F_CLS,2052,41.490383029
Globe,IN,C1_F_CLS,2052,35.31096428
Globe,IP,C1_F_CLS,2052,11.476063391
Globe,ID,C1_F_CLS,2053,41.490383029
Globe,IN,C1_F_CLS,2053,35.31096428
Globe,IP,C1_F_CLS,2053,11.476063391
Globe,ID,C1_F_CLS,2054,41.490383029
Globe,IN,C1_F_CLS,2054,35.31096428
Globe,IP,C1_F_CLS,2054,11.476063391
Globe,ID,C1_F_CLS,2055,41.490383029
Globe,IN,C1_F_CLS,2055,35.31096428
Globe,IP,C1_F_CLS,2055,11.476063391
Globe,ID,C1_F_CLS,2056,41.490383029
Globe,IN,C1_F_CLS,2056,35.31096428
Globe,IP,C1_F_CLS,2056,11.476063391
Globe,ID,C1_F_CLS,2057,41.490383029
Globe,IN,C1_F_CLS,2057,35.31096428
Globe,IP,C1_F_CLS,2057,11.476063391
Globe,ID,C1_F_CLS,2058,41.490383029
Globe,IN,C1_F_CLS,2058,35.31096428
Globe,IP,C1_F_CLS,2058,11.476063391
Globe,ID,C1_F_CLS,2059,41.490383029
Globe,IN,C1_F_CLS,2059,35.31096428
Globe,IP,C1_F_CLS,2059,11.476063391
Globe,ID,C1_F_CLS,2060,41.490383029
Globe,IN,C1_F_CLS,2060,35.31096428
Globe,IP,C1_F_CLS,2060,11.476063391
Globe,ID,C1_F_CLS,2061,41.490383029
Globe,IN,C1_F_CLS,2061,35.31096428
Globe,IP,C1_F_CLS,2061,11.476063391
Globe,ID,C1_F_CLS,2062,41.490383029
Globe,IN,C1_F_CLS,2062,35.31096428
Globe,IP,C1_F_CLS,2062,11.476063391
Globe,ID,C1_F_CLS,2063,41.490383029
Globe,IN,C1_F_CLS,2063,35.31096428
Globe,IP,C1_F_CLS,2063,11.476063391
Globe,ID,C1_F_CLS,2064,41.490383029
Globe,IN,C1_F_CLS,2064,35.31096428
Globe,IP,C1_F_CLS,2064,11.476063391
Globe,ID,C1_F_CLS,2065,41.490383029
Globe,IN,C1_F_CLS,2065,35.31096428
Globe,IP,C1_F_CLS,2065,11.476063391
Globe,ID,C1_F_CLS,2066,41.490383029
Globe,IN,C1_F_CLS,2066,35.31096428
Globe,IP,C1_F_CLS,2066,11.476063391
Globe,ID,C1_F_CLS,2067,41.490383029
Globe,IN,C1_F_CLS,2067,35.31096428
Globe,IP,C1_F_CLS,2067,11.476063391
Globe,ID,C1_F_CLS,2068,41.490383029
