REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,0.25086668
Globe,ALUPLANT,2011,0.14901507
Globe,ALUPLANT,2012,0.37193882
Globe,ALUPLANT,2013,0.27795384
Globe,ALUPLANT,2014,0.24710007
Globe,ALUPLANT,2015,0.11606909
Globe,ALUPLANT,2016,0.17883475
Globe,ALUPLANT,2017,0.23316786
Globe,ALUPLANT,2018,0.39540559
Globe,ALUPLANT,2019,0.58468179
Globe,ALUPLANT,2020,0.27466043
Globe,ALUPLANT,2022,0.45411894
Globe,ALUPLANT,2023,0.12272901
Globe,ALUPLANT,2024,0.16336747
Globe,ALUPLANT,2025,0.25137454
Globe,ALUPLANT,2026,0.11248942
Globe,ALUPLANT,2027,0.2549684
Globe,ALUPLANT,2028,0.25366585
Globe,ALUPLANT,2029,0.2522524
Globe,ALUPLANT,2030,0.25110348
Globe,ALUPLANT,2031,0.24976489
Globe,ALUPLANT,2032,0.24861949
Globe,ALUPLANT,2033,0.24745346
Globe,ALUPLANT,2034,0.24615544
Globe,ALUPLANT,2035,0.49600285
Globe,ALUPLANT,2036,0.23462267
Globe,ALUPLANT,2037,0.45642248
Globe,ALUPLANT,2038,0.36137642
Globe,ALUPLANT,2039,0.32944019
Globe,ALUPLANT,2040,0.19738926
Globe,ALUPLANT,2041,0.25913712
Globe,ALUPLANT,2042,0.31243888
Globe,ALUPLANT,2043,0.4737218
Globe,ALUPLANT,2044,0.66200328
Globe,ALUPLANT,2045,1.0099725
Globe,ALUPLANT,2046,0.082335633
Globe,ALUPLANT,2047,0.53543346
Globe,ALUPLANT,2048,0.20308922
Globe,ALUPLANT,2049,0.24274186
Globe,ALUPLANT,2050,0.3298296
Globe,ALUPLANT,2051,0.11248942
Globe,ALUPLANT,2052,0.2549684
Globe,ALUPLANT,2053,0.25366585
Globe,ALUPLANT,2054,0.2522524
Globe,ALUPLANT,2055,0.25110348
Globe,ALUPLANT,2056,0.24976489
Globe,ALUPLANT,2057,0.24861949
Globe,ALUPLANT,2058,0.24745346
Globe,ALUPLANT,2059,0.24615544
Globe,ALUPLANT,2060,0.49600285
Globe,ALUPLANT,2061,0.23462267
Globe,ALUPLANT,2062,0.45642248
Globe,ALUPLANT,2063,0.36137642
Globe,ALUPLANT,2064,0.32944019
Globe,ALUPLANT,2065,0.72252274
Globe,ALUPLANT,2067,0.04644253
Globe,ALUPLANT,2068,0.4737218
Globe,ALUPLANT,2069,0.66200328
Globe,ALUPLANT,2070,1.0099725
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.023
Globe,C1BFRDF00,2012,0.0231
Globe,C1BFRDF00,2022,0.47354387
Globe,C1BFRDF00,2025,-1.003462e-06
Globe,C1BFRDF00,2026,-2.7640697e-06
Globe,C1BFRDF00,2034,2.8946653e-06
Globe,C1BFRDF00,2035,8.0577589e-07
Globe,C1BFRDF00,2036,-8.8520434e-07
Globe,C1BFRDF00,2038,-2.830407e-06
Globe,C1BFRDF00,2040,-3.0957345e-08
Globe,C1BFRDF00,2046,2.9408541e-06
Globe,C1BFRDF00,2047,8.0579716e-07
Globe,C1BFRDF00,2048,-8.8522544e-07
Globe,C1BFRDF00,2050,-2.8304065e-06
Globe,C1BFRDF00,2052,-3.0949734e-08
Globe,C1BFRDF00,2054,-1.4840437e-07
Globe,C1BFRDF00,2055,1.4829438e-07
Globe,C1BFRDF00,2057,-8.2432277e-08
Globe,C1BFRDF00,2058,3.0225175e-06
Globe,C1BFRDF00,2059,8.0577712e-07
Globe,C1BFRDF00,2060,-8.8441932e-07
Globe,C1BFRDF00,2064,-2.8615015e-06
Globe,C1BFRDF00,2065,-8.0894906e-08
Globe,C1BFRDF00,2070,3.0225171e-06
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2018,0.021547725
Globe,C1BMBRFN1,2019,0.05
Globe,C1BMBRFN1,2020,0.05
Globe,C1BMBRFN1,2023,0.05
Globe,C1BMBRFN1,2024,0.05
Globe,C1BMBRFN1,2025,0.05
Globe,C1BMBRFN1,2026,0.05
Globe,C1BMBRFN1,2027,0.05
Globe,C1BMBRFN1,2028,0.036644277
Globe,C1BMIGPCS,2021,0.092991895
Globe,C1BMIGPCS,2026,0.016199682
Globe,C1BMIGPCS,2029,0.0090526133
Globe,C1BMIGPCS,2030,0.010684338
Globe,C1BMIGPCS,2031,0.0044994949
Globe,C1BMIGPCS,2032,0.047941943
Globe,C1BMIGPCS,2033,0.012335027
Globe,C1BMIGPCS,2034,0.043149902
Globe,C1BMIGPCS,2035,0.026765824
Globe,C1BMIGPCS,2036,0.00012228151
Globe,C1BMIGPCS,2037,0.00032380002
Globe,C1BMIGPCS,2038,0.026834311
Globe,C1BMIGPCS,2039,0.026970766
Globe,C1BMIGPCS,2040,0.027240062
Globe,C1BMIGPCS,2041,0.030715473
Globe,C1BMIGPCS,2042,0.030222553
Globe,C1BMIGPCS,2051,0.092991895
Globe,C1BMIGPCS,2055,0.025252296
Globe,C1BMIGPCS,2060,0.010684338
Globe,C1BMIGPCS,2061,0.0044994949
Globe,C1BMIGPCS,2062,0.047941943
Globe,C1BMIGPCS,2063,0.012335027
Globe,C1BMIGPCS,2064,0.043149902
Globe,C1BMIGPCS,2065,0.66522864
Globe,C1BMIGPCS,2069,0.039735465
Globe,C1BMIGPCS,2070,0.044509582
Globe,C1BMLP000,2011,3.2314376
Globe,C1BMLP000,2012,0.35616647
Globe,C1BMLP000,2039,-6.4613044e-07
Globe,C1BMLP000,2040,-6.6654546e-07
Globe,C1BMLP000,2042,1.3147964e-06
Globe,C1BMLP000,2064,-6.4507391e-07
Globe,C1BMLP000,2065,-6.6654578e-07
Globe,C1BMLP000,2067,1.3111316e-06
Globe,C1BMSCP00,2010,0.0030014288
Globe,C1BMSCP00,2023,-2.825644e-07
Globe,C1BMSCP00,2035,2.8263837e-07
Globe,C1BMSCP00,2048,-2.8249775e-07
Globe,C1BMSCP00,2060,2.8253184e-07
Globe,C1CO00I00,2010,142.35854
Globe,C1CO00I00,2011,1.1753927
Globe,C1CO00I00,2012,1.2101454
Globe,C1CO00I00,2014,1.2241526
Globe,C1CO00I00,2015,2.1724898
Globe,C1CO00I00,2017,3.2919906
Globe,C1CO00I00,2018,5.85
Globe,C1CO00I00,2048,4.6758289
Globe,C1CO00I00,2049,5.2
Globe,C1CO00I00,2050,5.2
Globe,C1CO00I00,2051,5.2
Globe,C1CO00I00,2052,5.2
Globe,C1CO00I00,2053,5.2
Globe,C1CO00I00,2054,5.2
Globe,C1CO00I00,2055,5.2
Globe,C1CO00I00,2056,5.2
Globe,C1CO00I00,2057,5.2
Globe,C1CO00I00,2058,5.2
Globe,C1CO00I00,2059,5.2
Globe,C1CO00I00,2060,5.2
Globe,C1CO00I00,2061,1.1753927
Globe,C1CO00I00,2062,1.2101454
Globe,C1CO00I00,2064,1.2241526
Globe,C1CO00I00,2065,2.1724898
Globe,C1CO00I00,2067,5.2
Globe,C1CO00I00,2068,3.9419906
Globe,C1COBRFH1,2010,0.04
Globe,C1COBRFH1,2011,0.02
Globe,C1COBRFH1,2012,0.02
Globe,C1COBRFH1,2013,0.02
Globe,C1COBRFH1,2014,0.02
Globe,C1COBRFH1,2015,0.04
Globe,C1COBRFH1,2016,0.04
Globe,C1COBRFH1,2017,0.04
Globe,C1COBRFH1,2018,0.04
Globe,C1COBRFH1,2019,0.04
Globe,C1COBRFH1,2020,0.06
Globe,C1COBRFH1,2021,0.06
Globe,C1COBRFH1,2022,0.06
Globe,C1COBRFH1,2035,-3.6586872e-07
Globe,C1COBRFH1,2036,0.023782656
Globe,C1COBRFH1,2037,0.060769512
Globe,C1COBRFH1,2038,0.0046015207
Globe,C1COHTF03,2010,0.07
Globe,C1COHTF03,2011,0.07
Globe,C1COHTF03,2012,0.07
Globe,C1COHTF03,2013,0.07
Globe,C1COHTF03,2014,0.07
Globe,C1COHTF03,2015,0.07
Globe,C1COHTF03,2016,0.09
Globe,C1COHTF03,2017,0.09
Globe,C1COHTF03,2018,0.09
Globe,C1COHTF03,2019,0.09
Globe,C1COHTF03,2020,0.09
Globe,C1COHTF03,2021,0.1
Globe,C1COHTF03,2022,0.1
Globe,C1COHTF03,2023,0.1
Globe,C1COHTF03,2024,0.1
Globe,C1COHTF03,2025,0.1
Globe,C1COHTF03,2026,0.15
Globe,C1COHTF03,2030,0.063814069
Globe,C1COHTF03,2031,0.15
Globe,C1COHTF03,2032,0.15
Globe,C1COHTF03,2033,0.15
Globe,C1COHTF03,2034,0.15
Globe,C1COHTF03,2035,0.15
Globe,C1COIGP00,2010,0.003
Globe,C1COSCP00,2011,0.034101151
Globe,C1COSCPCS,2021,0.069408258
Globe,C1COSCPCS,2036,0.021957971
Globe,C1COSCPCS,2037,0.062704922
Globe,C1COSCPCS,2038,0.048376484
Globe,C1COSCPCS,2039,0.049459492
Globe,C1COSCPCS,2040,0.046035393
Globe,C1COSCPCS,2041,0.060674993
Globe,C1COSCPCS,2042,0.047432453
Globe,C1COSCPCS,2055,0.069408258
Globe,C1ELRDF00,2022,2.0
Globe,C1ELRDF00,2028,0.12593944
Globe,C1ELRDF00,2029,0.30451698
Globe,C1ELRDF00,2030,0.21405118
Globe,C1ELRDF00,2031,0.23289113
Globe,C1ELRDF00,2032,0.61916365
Globe,C1ELRDF00,2033,0.30355517
Globe,C1ELRDF00,2034,2.3938833
Globe,C1ELRDF00,2035,0.31199922
Globe,C1ELRDF00,2036,0.35900093
Globe,C1ELRDF00,2037,0.35899902
Globe,C1ELRDF00,2038,0.35900003
Globe,C1ELRDF00,2039,0.35900002
Globe,C1ELRDF00,2040,0.48493949
Globe,C1ELRDF00,2041,0.61511706
Globe,C1ELRDF00,2042,0.52465103
Globe,C1ELRDF00,2043,0.54349113
Globe,C1ELRDF00,2044,1.2484564
Globe,C1ELRDF00,2045,0.50560801
Globe,C1ELRDF00,2046,3.0390872
Globe,C1ELRDF00,2047,0.75604263
Globe,C1ELRDF00,2048,2.2406331
Globe,C1ELRDF00,2049,2.8333608
Globe,C1ELRDF00,2050,2.9201319
Globe,C1ELRDF00,2051,2.4542068
Globe,C1ELRDF00,2052,2.6623895
Globe,C1ELRDF00,2053,3.337146
Globe,C1ELRDF00,2054,3.8751821
Globe,C1ELRDF00,2055,10.342026
Globe,C1ELRDF00,2056,1.2484564
Globe,C1ELRDF00,2057,0.39867343
Globe,C1ELRDF00,2058,2.9683699
Globe,C1ELRDF00,2059,0.6324089
Globe,C1ELRDF00,2060,2.1925002
Globe,C1ELRDF00,2061,2.920804
Globe,C1ELRDF00,2062,2.7419136
Globe,C1ELRDF00,2063,2.2532617
Globe,C1ELRDF00,2064,2.9206217
Globe,C1ELRDF00,2065,3.7200524
Globe,C1ELRDF00,2066,3.8391119
Globe,C1ELRDF00,2067,10.347268
Globe,C1ELRDF00,2068,1.2792844
Globe,C1ELRDF00,2069,0.39867343
Globe,C1ELRDF00,2070,2.9683699
Globe,C1GOCVP00,2010,0.001
Globe,C1GOCVP00,2019,4.4949441e-06
Globe,C1GOCVP00,2023,-4.4949295e-06
Globe,C1GOCVP00,2031,0.0472
Globe,C1GOCVP00,2032,0.0035
Globe,C1GOCVP00,2033,0.0036
Globe,C1GOCVP00,2034,0.0035
Globe,C1GOCVP00,2035,0.0035
Globe,C1GOCVP00,2036,0.0042
Globe,C1GOCVP00,2037,0.0041
Globe,C1GOCVP00,2038,0.0042
Globe,C1GOCVP00,2039,0.0042
Globe,C1GOCVP00,2040,0.0042
Globe,C1GOCVP00,2041,0.0062
Globe,C1GOCVP00,2042,0.0061
Globe,C1GOCVP00,2043,0.0062
Globe,C1GOCVP00,2044,0.0062
Globe,C1GOCVP00,2045,0.0062
Globe,C1GOCVP00,2046,0.005
Globe,C1GOCVP00,2047,0.005
Globe,C1GOCVP00,2048,0.005
Globe,C1GOCVP00,2049,0.005
Globe,C1GOCVP00,2050,0.006
Globe,C1GOHTF03,2010,0.24103138
Globe,C1GOHTF03,2026,-4.0356268e-06
Globe,C1GOHTF03,2035,0.36592567
Globe,C1GOHTF03,2036,0.1349435
Globe,C1GOHTF03,2037,0.14762383
Globe,C1GOHTF03,2038,0.14840471
Globe,C1GOHTF03,2039,0.14010176
Globe,C1GOHTF03,2040,0.14437483
Globe,C1GOHTF03,2041,0.24683383
Globe,C1GOHTF03,2042,0.16526105
Globe,C1GOHTF03,2043,0.13377574
Globe,C1GOHTF03,2044,0.25322604
Globe,C1GOHTF03,2045,0.25983369
Globe,C1GOHTF03,2046,0.21420897
Globe,C1GOHTF03,2047,0.16936633
Globe,C1GOHTF03,2048,0.08463666
Globe,C1GOHTF03,2049,0.067875234
Globe,C1GOHTF03,2050,0.1026191
Globe,C1GOHTF03,2060,0.36592567
Globe,C1GOHTF03,2061,0.1349435
Globe,C1GOHTF03,2062,0.14762383
Globe,C1GOHTF03,2063,0.14840471
Globe,C1GOHTF03,2064,0.14010176
Globe,C1GOHTF03,2065,0.3323438
Globe,C1GOHTF03,2066,0.091932918
Globe,C1GOHTF03,2067,0.13219299
Globe,C1GOHTF03,2068,0.13377574
Globe,C1GOHTF03,2069,0.25322604
Globe,C1GOHTF03,2070,0.25983369
Globe,C1HFGCPCH,2011,0.005
Globe,C1HFGCPCH,2012,0.005
Globe,C1HFGCPCH,2013,0.005
Globe,C1HFGCPCH,2014,0.005
Globe,C1HFGCPCH,2015,0.008
Globe,C1HFGCPCH,2016,0.008
Globe,C1HFGCPCH,2017,0.008
Globe,C1HFGCPCH,2018,0.008
Globe,C1HFGCPCH,2019,0.008
Globe,C1HFGCPCH,2020,0.01
Globe,C1HFGCPCH,2021,0.01
Globe,C1HFGCPCH,2022,0.01
Globe,C1HFGCPCH,2023,0.01
Globe,C1HFGCPCH,2024,0.01
Globe,C1HFGCPCH,2025,0.01
Globe,C1HFGCPCH,2026,0.01
Globe,C1HFGCPCH,2027,0.0054647173
Globe,C1HFMRF00,2010,86.0
Globe,C1HFMRF00,2011,87.8
Globe,C1HFMRF00,2012,89.5
Globe,C1HFMRF00,2013,91.2
Globe,C1HFMRF00,2014,93.0
Globe,C1HFMRF00,2015,94.7
Globe,C1HFMRF00,2016,96.5
Globe,C1HFMRF00,2017,98.2
Globe,C1HFMRF00,2018,100.0
Globe,C1HFMRF00,2019,101.8
Globe,C1HFMRF00,2020,103.5
Globe,C1HFMRF00,2021,106.9
Globe,C1HFMRF00,2022,110.2
Globe,C1HFMRF00,2023,113.5
Globe,C1HFMRF00,2024,116.9
Globe,C1HFMRF00,2025,120.2
Globe,C1HFMRF00,2026,123.6
Globe,C1HFMRF00,2027,127.0
Globe,C1HFMRF00,2028,130.3
Globe,C1HFMRF00,2029,133.7
Globe,C1HFMRF00,2030,137.1
Globe,C1HFMRF00,2031,140.6
Globe,C1HFMRF00,2032,144.0
Globe,C1HFMRF00,2033,147.4
Globe,C1HFMRF00,2034,150.9
Globe,C1HFMRF00,2035,154.4
Globe,C1HFMRF00,2036,157.9
Globe,C1HFMRF00,2037,161.4
Globe,C1HFMRF00,2038,164.9
Globe,C1HFMRF00,2039,168.5
Globe,C1HFMRF00,2040,172.0
Globe,C1HFMRF00,2041,175.6
Globe,C1HFMRF00,2042,186.68137
Globe,C1HFMRF00,2043,190.48081
Globe,C1HFMRF00,2044,194.38499
Globe,C1HFMRF00,2045,196.46502
Globe,C1HFMRF00,2046,195.71712
Globe,C1HFMRF00,2047,197.8
Globe,C1HFMRF00,2048,201.6
Globe,C1HFMRF00,2049,205.4
Globe,C1HFMRF00,2050,209.3
Globe,C1HFMRF00,2051,209.3
Globe,C1HFMRF00,2052,214.29577
Globe,C1HFMRF00,2053,216.71319
Globe,C1HFMRF00,2054,228.34388
Globe,C1HFMRF00,2055,207.12219
Globe,C1HFMRF00,2056,208.52903
Globe,C1HFMRF00,2057,221.84713
Globe,C1HFMRF00,2058,221.79315
Globe,C1HFMRF00,2059,221.70255
Globe,C1HFMRF00,2060,222.31439
Globe,C1HFMRF00,2061,222.58543
Globe,C1HFMRF00,2062,222.58613
Globe,C1HFMRF00,2063,222.58686
Globe,C1HFMRF00,2064,226.9464
