REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,ALU,2010,42.65000016197405
Globe,ID,ALUPLANT,ALU,2011,42.886815165348715
Globe,ID,ALUPLANT,ALU,2012,45.4169851032709
Globe,ID,ALUPLANT,ALU,2013,47.00526663235969
Globe,ID,ALUPLANT,ALU,2014,48.29032934805058
Globe,ID,ALUPLANT,ALU,2015,48.211038442186336
Globe,ID,ALUPLANT,ALU,2016,48.78963521720864
Globe,ID,ALUPLANT,ALU,2017,49.95323370078187
Globe,ID,ALUPLANT,ALU,2018,52.87353146499593
Globe,ID,ALUPLANT,ALU,2019,57.88365044158416
Globe,ID,ALUPLANT,ALU,2020,59.57625015581988
Globe,ID,ALUPLANT,ALU,2021,58.26486610204236
Globe,ID,ALUPLANT,ALU,2022,61.9599072714788
Globe,ID,ALUPLANT,ALU,2023,62.00487234858935
Globe,ID,ALUPLANT,ALU,2024,62.500006654587985
Globe,ID,ALUPLANT,ALU,2025,63.9915725771915
Globe,ID,ALUPLANT,ALU,2026,63.916351666366076
Globe,ID,ALUPLANT,ALU,2027,65.46783461424832
Globe,ID,ALUPLANT,ALU,2028,67.01927116559841
Globe,ID,ALUPLANT,ALU,2029,68.5707541585132
Globe,ID,ALUPLANT,ALU,2030,70.1221915762153
Globe,ID,ALUPLANT,ALU,2031,71.67367468435586
Globe,ID,ALUPLANT,ALU,2032,73.22511191935666
Globe,ID,ALUPLANT,ALU,2033,74.77659419197968
Globe,ID,ALUPLANT,ALU,2034,76.32803207336678
Globe,ID,ALUPLANT,ALU,2035,77.8795142613051
Globe,ID,ALUPLANT,ALU,2036,79.43095135155185
Globe,ID,ALUPLANT,ALU,2037,80.98243488398657
Globe,ID,ALUPLANT,ALU,2038,82.53387222210945
Globe,ID,ALUPLANT,ALU,2039,84.08535496260176
Globe,ID,ALUPLANT,ALU,2040,85.63679241829692
Globe,ID,ALUPLANT,ALU,2041,87.18827569678761
Globe,ID,ALUPLANT,ALU,2042,88.73971262711056
Globe,ID,ALUPLANT,ALU,2043,90.29119559845776
Globe,ID,ALUPLANT,ALU,2044,91.84263286971009
Globe,ID,ALUPLANT,ALU,2045,101.89189968708786
Globe,ID,ALUPLANT,ALU,2046,103.58450056038261
Globe,ID,ALUPLANT,ALU,2047,105.27715032840278
Globe,ID,ALUPLANT,ALU,2048,106.96975009768035
Globe,ID,ALUPLANT,ALU,2049,108.6624002258235
Globe,ID,ALUPLANT,ALU,2050,110.35499941053939
Globe,ID,ALUPLANT,ALU,2051,110.35499941053939
