REGION,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ALUPLANT,ALU,2010,85.3000003239481
Globe,ALUPLANT,ALU,2011,88.6852989904969
Globe,ALUPLANT,ALU,2012,92.07050057924938
Globe,ALUPLANT,ALU,2013,95.45579985246418
Globe,ALUPLANT,ALU,2014,98.84100033201094
Globe,ALUPLANT,ALU,2015,102.22620069988184
Globe,ALUPLANT,ALU,2016,105.61149974981205
Globe,ALUPLANT,ALU,2017,108.99680056902001
Globe,ALUPLANT,ALU,2018,112.38200067216148
Globe,ALUPLANT,ALU,2019,115.76730088316832
Globe,ALUPLANT,ALU,2020,119.15250031163976
Globe,ALUPLANT,ALU,2021,122.53780022755363
Globe,ALUPLANT,ALU,2022,125.92299942066525
Globe,ALUPLANT,ALU,2023,129.30819920352354
Globe,ALUPLANT,ALU,2024,132.69349999811155
Globe,ALUPLANT,ALU,2025,136.07879906582863
Globe,ALUPLANT,ALU,2026,139.4640010176
Globe,ALUPLANT,ALU,2027,142.84930092570002
Globe,ALUPLANT,ALU,2028,146.23449959764
Globe,ALUPLANT,ALU,2029,149.61979960399998
Globe,ALUPLANT,ALU,2030,153.00500016630002
Globe,ALUPLANT,ALU,2031,156.39030042407998
Globe,ALUPLANT,ALU,2032,159.77550058773002
Globe,ALUPLANT,ALU,2033,163.16079902243004
Globe,ALUPLANT,ALU,2034,166.54600059648
Globe,ALUPLANT,ALU,2035,169.93129884639995
Globe,ALUPLANT,ALU,2036,173.3164986942
Globe,ALUPLANT,ALU,2037,176.70179987778
Globe,ALUPLANT,ALU,2038,180.08700026644
Globe,ALUPLANT,ALU,2039,183.47229972201998
Globe,ALUPLANT,ALU,2040,186.85750036721998
Globe,ALUPLANT,ALU,2041,190.2428009967
Globe,ALUPLANT,ALU,2042,193.62800049555
Globe,ALUPLANT,ALU,2043,197.01330045485003
Globe,ALUPLANT,ALU,2044,200.3985006976
Globe,ALUPLANT,ALU,2045,203.78379937417571
Globe,ALUPLANT,ALU,2046,207.16900112076522
Globe,ALUPLANT,ALU,2047,210.55430065680557
Globe,ALUPLANT,ALU,2048,213.9395001953607
Globe,ALUPLANT,ALU,2049,217.324800451647
Globe,ALUPLANT,ALU,2050,220.70999882107878
Globe,ALUPLANT,ALU,2051,220.70999882107878
Globe,ALUPLANT,ALU,2052,220.70999882107878
Globe,ALUPLANT,ALU,2053,220.70999882107878
Globe,ALUPLANT,ALU,2054,220.70999882107878
Globe,ALUPLANT,ALU,2055,220.70999882107878
Globe,ALUPLANT,ALU,2056,220.70999882107878
Globe,ALUPLANT,ALU,2057,220.70999882107878
Globe,ALUPLANT,ALU,2058,220.70999882107878
Globe,ALUPLANT,ALU,2059,220.70999882107878
Globe,ALUPLANT,ALU,2060,220.70999882107878
Globe,ALUPLANT,ALU,2061,220.70999882107878
Globe,ALUPLANT,ALU,2062,220.70999882107878
Globe,ALUPLANT,ALU,2063,220.70999882107878
Globe,ALUPLANT,ALU,2064,220.70999882107878
Globe,ALUPLANT,ALU,2065,220.71000015026794
Globe,ALUPLANT,ALU,2066,220.71000015026794
Globe,ALUPLANT,ALU,2067,220.70999882107878
Globe,ALUPLANT,ALU,2068,220.70999882107878
Globe,ALUPLANT,ALU,2069,220.70999882107878
Globe,ALUPLANT,ALU,2070,220.70999882107878
Globe,C1BFRDF00,C1_F_RD,2010,0.12395882240299999
Globe,C1BFRDF00,C1_F_RD,2011,0.5836
Globe,C1BFRDF00,C1_F_RD,2012,0.6066999999999999
Globe,C1BFRDF00,C1_F_RD,2013,0.566799996738
Globe,C1BFRDF00,C1_F_RD,2014,0.528800002002
Globe,C1BFRDF00,C1_F_RD,2015,0.492699999746
Globe,C1BFRDF00,C1_F_RD,2016,0.45490000242
Globe,C1BFRDF00,C1_F_RD,2017,0.419799999787
Globe,C1BFRDF00,C1_F_RD,2018,0.38709999906900006
Globe,C1BFRDF00,C1_F_RD,2019,0.356800001105
Globe,C1BFRDF00,C1_F_RD,2020,0.32870000114
Globe,C1BFRDF00,C1_F_RD,2022,0.51964387
Globe,C1BFRDF00,C1_F_RD,2023,0.175074307647
Globe,C1BFRDF00,C1_F_RD,2024,0.24804201235219997
Globe,C1BFRDF00,C1_F_RD,2025,0.47354287
Globe,C1BFRDF00,C1_F_RD,2026,0.47354011
Globe,C1BFRDF00,C1_F_RD,2027,0.413775059663
Globe,C1BFRDF00,C1_F_RD,2028,0.46016391
Globe,C1BFRDF00,C1_F_RD,2029,0.44964364
Globe,C1BFRDF00,C1_F_RD,2030,0.43893773
Globe,C1BFRDF00,C1_F_RD,2031,0.421006556784
Globe,C1BFRDF00,C1_F_RD,2032,0.07745468902199999
Globe,C1BFRDF00,C1_F_RD,2033,0.08188245822899999
Globe,C1BFRDF00,C1_F_RD,2034,-8.000670003269999e-07
Globe,C1BFRDF00,C1_F_RD,2035,-2.46545436863e-08
Globe,C1BFRDF00,C1_F_RD,2036,-9.52387693749e-07
Globe,C1BFRDF00,C1_F_RD,2037,2.9816227597699995e-08
Globe,C1BFRDF00,C1_F_RD,2038,-2.827782350000056e-11
Globe,C1BFRDF00,C1_F_RD,2039,-1.0851995461400001e-08
Globe,C1BFRDF00,C1_F_RD,2040,-6.74023607398e-08
Globe,C1BFRDF00,C1_F_RD,2041,-1.48460389676e-07
