REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
Globe,ID,ALUPLANT,1,2010,4.2099667
Globe,IN,ALUPLANT,1,2010,4.2099667
Globe,ID,ALUPLANT,1,2011,4.2005817
Globe,IN,ALUPLANT,1,2011,4.2005817
Globe,IP,ALUPLANT,1,2011,1.567153
Globe,ID,ALUPLANT,1,2012,4.4142206
Globe,IN,ALUPLANT,1,2012,4.4142206
Globe,IP,ALUPLANT,1,2012,0.66042625
Globe,ID,ALUPLANT,1,2013,4.5337744
Globe,IN,ALUPLANT,1,2013,4.5337744
Globe,IP,ALUPLANT,1,2013,0.7660289
Globe,ID,ALUPLANT,1,2014,4.6224745
Globe,IN,ALUPLANT,1,2014,4.6224745
Globe,IP,ALUPLANT,1,2014,1.1889737
Globe,ID,ALUPLANT,1,2015,4.5802436
Globe,IN,ALUPLANT,1,2015,4.5802436
Globe,IP,ALUPLANT,1,2015,3.0301391
Globe,ID,ALUPLANT,1,2016,4.6006783
Globe,IN,ALUPLANT,1,2016,4.6006783
Globe,IP,ALUPLANT,1,2016,4.1621162
Globe,ID,ALUPLANT,1,2017,4.6755462
Globe,IN,ALUPLANT,1,2017,4.6755462
Globe,IP,ALUPLANT,1,2017,4.6755462
Globe,ID,ALUPLANT,1,2018,4.9125518
Globe,IN,ALUPLANT,1,2018,4.9125518
Globe,IP,ALUPLANT,1,2018,3.3875794
Globe,ID,ALUPLANT,1,2019,5.3388336
Globe,IN,ALUPLANT,1,2019,5.3388336
Globe,ID,ALUPLANT,1,2020,5.455194
Globe,IN,ALUPLANT,1,2020,5.455194
Globe,ID,ALUPLANT,1,2021,5.296794
Globe,IN,ALUPLANT,1,2021,5.296794
Globe,IP,ALUPLANT,1,2021,3.0014076
Globe,ID,ALUPLANT,1,2022,5.5925129
Globe,IN,ALUPLANT,1,2022,5.5925129
Globe,IP,ALUPLANT,1,2022,0.99357596
Globe,ID,ALUPLANT,1,2023,5.5569419
Globe,IN,ALUPLANT,1,2023,5.5569419
Globe,IP,ALUPLANT,1,2023,2.6094144
Globe,ID,ALUPLANT,1,2024,5.5619094
Globe,IN,ALUPLANT,1,2024,5.5619094
Globe,IP,ALUPLANT,1,2024,3.7622778
Globe,ID,ALUPLANT,1,2025,5.6548839
Globe,IN,ALUPLANT,1,2025,5.6548839
Globe,IP,ALUPLANT,1,2025,3.9313042
Globe,ID,ALUPLANT,1,2026,5.6090734
Globe,IN,ALUPLANT,1,2026,5.6090734
Globe,IP,ALUPLANT,1,2026,5.6090734
Globe,ID,ALUPLANT,1,2027,5.7056418
Globe,IN,ALUPLANT,1,2027,5.7056418
Globe,IP,ALUPLANT,1,2027,5.7056418
Globe,ID,ALUPLANT,1,2028,5.8009076
Globe,IN,ALUPLANT,1,2028,5.8009076
Globe,IP,ALUPLANT,1,2028,5.8009076
Globe,ID,ALUPLANT,1,2029,5.89486
Globe,IN,ALUPLANT,1,2029,5.89486
Globe,IP,ALUPLANT,1,2029,5.89486
Globe,ID,ALUPLANT,1,2030,5.9875635
Globe,IN,ALUPLANT,1,2030,5.9875635
Globe,IP,ALUPLANT,1,2030,5.9875635
Globe,ID,ALUPLANT,1,2031,6.0790284
Globe,IN,ALUPLANT,1,2031,6.0790284
Globe,IP,ALUPLANT,1,2031,6.0790284
Globe,ID,ALUPLANT,1,2032,6.1692479
Globe,IN,ALUPLANT,1,2032,6.1692479
Globe,IP,ALUPLANT,1,2032,6.1692479
Globe,ID,ALUPLANT,1,2033,6.2583013
Globe,IN,ALUPLANT,1,2033,6.2583013
Globe,IP,ALUPLANT,1,2033,6.2583013
Globe,ID,ALUPLANT,1,2034,6.3461568
Globe,IN,ALUPLANT,1,2034,6.3461568
Globe,IP,ALUPLANT,1,2034,6.3461568
Globe,ID,ALUPLANT,1,2035,6.4328929
Globe,IN,ALUPLANT,1,2035,6.4328929
Globe,IP,ALUPLANT,1,2035,6.4328929
Globe,ID,ALUPLANT,1,2036,6.5185005
Globe,IN,ALUPLANT,1,2036,6.5185005
Globe,IP,ALUPLANT,1,2036,6.5185005
Globe,ID,ALUPLANT,1,2037,6.6029842
Globe,IN,ALUPLANT,1,2037,6.6029842
Globe,IP,ALUPLANT,1,2037,6.6029842
Globe,ID,ALUPLANT,1,2038,6.6864068
Globe,IN,ALUPLANT,1,2038,6.6864068
Globe,IP,ALUPLANT,1,2038,6.6864068
Globe,ID,ALUPLANT,1,2039,6.7687469
Globe,IN,ALUPLANT,1,2039,6.7687469
Globe,IP,ALUPLANT,1,2039,6.7687469
Globe,ID,ALUPLANT,1,2040,6.8500671
Globe,IN,ALUPLANT,1,2040,6.8500671
Globe,IP,ALUPLANT,1,2040,6.8500671
Globe,ID,ALUPLANT,1,2041,6.9303695
Globe,IN,ALUPLANT,1,2041,6.9303695
Globe,IP,ALUPLANT,1,2041,6.9303695
Globe,ID,ALUPLANT,1,2042,7.0096405
Globe,IN,ALUPLANT,1,2042,7.0096405
Globe,IP,ALUPLANT,1,2042,7.0096405
Globe,ID,ALUPLANT,1,2043,7.0879567
Globe,IN,ALUPLANT,1,2043,7.0879567
Globe,IP,ALUPLANT,1,2043,7.0879567
Globe,ID,ALUPLANT,1,2044,7.1652782
Globe,IN,ALUPLANT,1,2044,7.1652782
Globe,IP,ALUPLANT,1,2044,7.1652782
Globe,ID,ALUPLANT,1,2045,7.9005902
Globe,IN,ALUPLANT,1,2045,7.9005902
Globe,ID,ALUPLANT,1,2046,7.9829259
Globe,IN,ALUPLANT,1,2046,7.9829259
Globe,ID,ALUPLANT,1,2047,8.0642404
Globe,IN,ALUPLANT,1,2047,8.0642404
Globe,ID,ALUPLANT,1,2048,8.1446006
Globe,IN,ALUPLANT,1,2048,8.1446006
Globe,ID,ALUPLANT,1,2049,8.223975
Globe,IN,ALUPLANT,1,2049,8.223975
Globe,ID,ALUPLANT,1,2050,8.30243
Globe,IN,ALUPLANT,1,2050,8.30243
Globe,ID,ALUPLANT,1,2051,8.30243
