REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,1,ALU,2010,93.0613139035
Globe,ID,ALUPLANT,1,ALU,2011,93.57803876358
Globe,ID,ALUPLANT,1,ALU,2012,99.09881104794
Globe,ID,ALUPLANT,1,ALU,2013,102.56440460912
Globe,ID,ALUPLANT,1,ALU,2014,105.3683817326
Globe,ID,ALUPLANT,1,ALU,2015,105.19537080991999
Globe,ID,ALUPLANT,1,ALU,2016,106.45785559068001
Globe,ID,ALUPLANT,1,ALU,2017,108.99680056902001
Globe,ID,ALUPLANT,1,ALU,2018,115.36882274710001
Globe,ID,ALUPLANT,1,ALU,2019,126.3007864752
Globe,ID,ALUPLANT,1,ALU,2020,129.99399990359998
Globe,ID,ALUPLANT,1,ALU,2021,127.1325902292
Globe,ID,ALUPLANT,1,ALU,2022,135.19508459847
Globe,ID,ALUPLANT,1,ALU,2023,135.29319735673
Globe,ID,ALUPLANT,1,ALU,2024,136.37356896048001
Globe,ID,ALUPLANT,1,ALU,2025,139.62813130524
Globe,ID,ALUPLANT,1,ALU,2026,139.4640010176
Globe,ID,ALUPLANT,1,ALU,2027,142.84930092570002
Globe,ID,ALUPLANT,1,ALU,2028,146.23449959764
Globe,ID,ALUPLANT,1,ALU,2029,149.619799604
Globe,ID,ALUPLANT,1,ALU,2030,153.0050001663
Globe,ID,ALUPLANT,1,ALU,2031,156.39030042408
Globe,ID,ALUPLANT,1,ALU,2032,159.77550058773002
Globe,ID,ALUPLANT,1,ALU,2033,163.16079902243
Globe,ID,ALUPLANT,1,ALU,2034,166.54600059648
Globe,ID,ALUPLANT,1,ALU,2035,169.93129884639998
Globe,ID,ALUPLANT,1,ALU,2036,173.3164986942
Globe,ID,ALUPLANT,1,ALU,2037,176.70179987778
Globe,ID,ALUPLANT,1,ALU,2038,180.08700026644001
Globe,ID,ALUPLANT,1,ALU,2039,183.47229972201998
Globe,ID,ALUPLANT,1,ALU,2040,186.85750036722
Globe,ID,ALUPLANT,1,ALU,2041,190.24280099670003
Globe,ID,ALUPLANT,1,ALU,2042,193.62800049555
Globe,ID,ALUPLANT,1,ALU,2043,197.01330045485003
Globe,ID,ALUPLANT,1,ALU,2044,200.3985006976
Globe,ID,ALUPLANT,1,ALU,2045,222.32576846408
Globe,ID,ALUPLANT,1,ALU,2046,226.01898442151997
Globe,ID,ALUPLANT,1,ALU,2047,229.71230706611996
