REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
Globe,ID,ALUPLANT,C1_F_CLS,2010,2.269803546305
Globe,ID,ALUPLANT,C1_F_CLS,2011,2.2615301785545
Globe,ID,ALUPLANT,C1_F_CLS,2012,2.373173278972
Globe,ID,ALUPLANT,C1_F_CLS,2013,2.4339749217376005
Globe,ID,ALUPLANT,C1_F_CLS,2014,2.4780577322305004
Globe,ID,ALUPLANT,C1_F_CLS,2015,2.4519143249264004
Globe,ID,ALUPLANT,C1_F_CLS,2016,2.4593339913697
Globe,ID,ALUPLANT,C1_F_CLS,2017,2.4957738327366
Globe,ID,ALUPLANT,C1_F_CLS,2018,2.6185276608504
Globe,ID,ALUPLANT,C1_F_CLS,2019,2.8416635884368002
Globe,ID,ALUPLANT,C1_F_CLS,2020,2.8994247006119998
Globe,ID,ALUPLANT,C1_F_CLS,2021,2.811178073208
Globe,ID,ALUPLANT,C1_F_CLS,2022,2.9638472840743
Globe,ID,ALUPLANT,C1_F_CLS,2023,2.9407447673637996
Globe,ID,ALUPLANT,C1_F_CLS,2024,2.9391187176078004
Globe,ID,ALUPLANT,C1_F_CLS,2025,2.9839182423969
Globe,ID,ALUPLANT,C1_F_CLS,2026,2.9554544289003997
Globe,ID,ALUPLANT,C1_F_CLS,2027,3.0019720822938
Globe,ID,ALUPLANT,C1_F_CLS,2028,3.0476576312576
Globe,ID,ALUPLANT,C1_F_CLS,2029,3.0925025046000005
Globe,ID,ALUPLANT,C1_F_CLS,2030,3.1365552016575
Globe,ID,ALUPLANT,C1_F_CLS,2031,3.179818175472
Globe,ID,ALUPLANT,C1_F_CLS,2032,3.2222907168884998
Globe,ID,ALUPLANT,C1_F_CLS,2033,3.2640107847137005
Globe,ID,ALUPLANT,C1_F_CLS,2034,3.3049769229312003
Globe,ID,ALUPLANT,C1_F_CLS,2035,3.3452265329651
Globe,ID,ALUPLANT,C1_F_CLS,2036,3.384757458627
Globe,ID,ALUPLANT,C1_F_CLS,2037,3.4235680718895996
Globe,ID,ALUPLANT,C1_F_CLS,2038,3.4617065877164004
Globe,ID,ALUPLANT,C1_F_CLS,2039,3.4991578599302002
Globe,ID,ALUPLANT,C1_F_CLS,2040,3.5359566865503003
Globe,ID,ALUPLANT,C1_F_CLS,2041,3.5720995602765
Globe,ID,ALUPLANT,C1_F_CLS,2042,3.6075955990109994
Globe,ID,ALUPLANT,C1_F_CLS,2043,3.6424796842599005
Globe,ID,ALUPLANT,C1_F_CLS,2044,3.6767263680442004
Globe,ID,ALUPLANT,C1_F_CLS,2045,4.0479937984131995
Globe,ID,ALUPLANT,C1_F_CLS,2046,4.0840728733658995
Globe,ID,ALUPLANT,C1_F_CLS,2047,4.119504308974399
Globe,ID,ALUPLANT,C1_F_CLS,2048,4.154324572642601
Globe,ID,ALUPLANT,C1_F_CLS,2049,4.188511587374999
Globe,ID,ALUPLANT,C1_F_CLS,2050,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2051,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2052,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2053,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2054,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2055,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2056,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2057,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2058,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2059,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2060,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2061,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2062,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2063,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2064,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2065,4.48916914229
Globe,ID,ALUPLANT,C1_F_CLS,2066,4.357387561456
Globe,ID,ALUPLANT,C1_F_CLS,2067,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2068,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2069,4.2221177522
Globe,ID,ALUPLANT,C1_F_CLS,2070,4.2221177522
Globe,ID,ALUPLANT,C1_F_HEA_I,2010,1.03691479821
Globe,ID,ALUPLANT,C1_F_HEA_I,2011,1.0359096536187
Globe,ID,ALUPLANT,C1_F_HEA_I,2012,1.0899725932138
Globe,ID,ALUPLANT,C1_F_HEA_I,2013,1.1209031800096
Globe,ID,ALUPLANT,C1_F_HEA_I,2014,1.1442704501025
Globe,ID,ALUPLANT,C1_F_HEA_I,2015,1.1352408577216
Globe,ID,ALUPLANT,C1_F_HEA_I,2016,1.1417411323544
Globe,ID,ALUPLANT,C1_F_HEA_I,2017,1.1617750442298
Globe,ID,ALUPLANT,C1_F_HEA_I,2018,1.222193762322
Globe,ID,ALUPLANT,C1_F_HEA_I,2019,1.3299087885936
Globe,ID,ALUPLANT,C1_F_HEA_I,2020,1.360596301122
Globe,ID,ALUPLANT,C1_F_HEA_I,2021,1.322736584856
Globe,ID,ALUPLANT,C1_F_HEA_I,2022,1.3983239629515
Globe,ID,ALUPLANT,C1_F_HEA_I,2023,1.3911581768974002
Globe,ID,ALUPLANT,C1_F_HEA_I,2024,1.3941315244758001
Globe,ID,ALUPLANT,C1_F_HEA_I,2025,1.4192005574991
Globe,ID,ALUPLANT,C1_F_HEA_I,2026,1.409447963952
Globe,ID,ALUPLANT,C1_F_HEA_I,2027,1.4354881261038002
Globe,ID,ALUPLANT,C1_F_HEA_I,2028,1.4612602262552001
Globe,ID,ALUPLANT,C1_F_HEA_I,2029,1.48676622004
Globe,ID,ALUPLANT,C1_F_HEA_I,2030,1.5120094728375
Globe,ID,ALUPLANT,C1_F_HEA_I,2031,1.5369972245424002
Globe,ID,ALUPLANT,C1_F_HEA_I,2032,1.5617327673891999
Globe,ID,ALUPLANT,C1_F_HEA_I,2033,1.5862227891967
Globe,ID,ALUPLANT,C1_F_HEA_I,2034,1.610464211136
Globe,ID,ALUPLANT,C1_F_HEA_I,2035,1.6344758609249
Globe,ID,ALUPLANT,C1_F_HEA_I,2036,1.6582608976964999
Globe,ID,ALUPLANT,C1_F_HEA_I,2037,1.6818064876768
Globe,ID,ALUPLANT,C1_F_HEA_I,2038,1.705134030102
Globe,ID,ALUPLANT,C1_F_HEA_I,2039,1.7282370709894
Globe,ID,ALUPLANT,C1_F_HEA_I,2040,1.7511374533097999
Globe,ID,ALUPLANT,C1_F_HEA_I,2041,1.7738211431555
Globe,ID,ALUPLANT,C1_F_HEA_I,2042,1.79629047453
Globe,ID,ALUPLANT,C1_F_HEA_I,2043,1.8185641384757
Globe,ID,ALUPLANT,C1_F_HEA_I,2044,1.8406381598505999
Globe,ID,ALUPLANT,C1_F_HEA_I,2045,2.0319843958988
Globe,ID,ALUPLANT,C1_F_HEA_I,2046,2.0556433338795
Globe,ID,ALUPLANT,C1_F_HEA_I,2047,2.0790902029663996
Globe,ID,ALUPLANT,C1_F_HEA_I,2048,2.1023494636768003
Globe,ID,ALUPLANT,C1_F_HEA_I,2049,2.1253958750249997
Globe,ID,ALUPLANT,C1_F_HEA_I,2050,2.1482537624999996
Globe,ID,ALUPLANT,C1_F_HEA_I,2051,2.1482537624999996
Globe,ID,ALUPLANT,C1_F_HEA_I,2052,2.1482537624999996
Globe,ID,ALUPLANT,C1_F_HEA_I,2053,2.1482537624999996
Globe,ID,ALUPLANT,C1_F_HEA_I,2054,2.1482537624999996
Globe,ID,ALUPLANT,C1_F_HEA_I,2055,2.1482537624999996
Globe,ID,ALUPLANT,C1_F_HEA_I,2056,2.1482537624999996
Globe,ID,ALUPLANT,C1_F_HEA_I,2057,2.1482537624999996
Globe,ID,ALUPLANT,C1_F_HEA_I,2058,2.1482537624999996
Globe,ID,ALUPLANT,C1_F_HEA_I,2059,2.1482537624999996
