REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,FUEL,TIMESLICE,VALUE
Globe,ALUPLANT,1,2010,C1_F_CLS,ID,2.269803546305
Globe,ALUPLANT,1,2010,C1_F_CLS,IN,2.269803546305
Globe,ALUPLANT,1,2010,C1_F_HEA_I,ID,1.03691479821
Globe,ALUPLANT,1,2010,C1_F_HEA_I,IN,1.03691479821
Globe,ALUPLANT,1,2010,C1_P_HCO,ID,0.8710000105629999
Globe,ALUPLANT,1,2010,C1_P_HCO,IN,0.8710000105629999
Globe,ALUPLANT,1,2010,XALU,ID,362.81493020600004
Globe,ALUPLANT,1,2010,XALU,IN,362.81493020600004
Globe,ALUPLANT,1,2011,C1_F_CLS,ID,2.2615301785545
Globe,ALUPLANT,1,2011,C1_F_CLS,IN,2.2615301785545
Globe,ALUPLANT,1,2011,C1_F_CLS,IP,0.843731667905
Globe,ALUPLANT,1,2011,C1_F_HEA_I,ID,1.0359096536187
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IN,1.0359096536187
Globe,ALUPLANT,1,2011,C1_F_HEA_I,IP,0.386477168483
Globe,ALUPLANT,1,2011,C1_P_HCO,ID,0.8708814003708
Globe,ALUPLANT,1,2011,C1_P_HCO,IN,0.8708814003708
Globe,ALUPLANT,1,2011,C1_P_HCO,IP,0.32490842857200003
Globe,ALUPLANT,1,2011,XALU,ID,365.13871470877496
Globe,ALUPLANT,1,2011,XALU,IN,365.13871470877496
Globe,ALUPLANT,1,2011,XALU,IP,136.22594988974998
Globe,ALUPLANT,1,2012,C1_F_CLS,ID,2.373173278972
Globe,ALUPLANT,1,2012,C1_F_CLS,IN,2.373173278972
Globe,ALUPLANT,1,2012,C1_F_CLS,IP,0.355058360525
Globe,ALUPLANT,1,2012,C1_F_HEA_I,ID,1.0899725932138
Globe,ALUPLANT,1,2012,C1_F_HEA_I,IN,1.0899725932138
Globe,ALUPLANT,1,2012,C1_F_HEA_I,IP,0.16307443092875
Globe,ALUPLANT,1,2012,C1_P_HCO,ID,0.9170940576354001
Globe,ALUPLANT,1,2012,C1_P_HCO,IN,0.9170940576354001
Globe,ALUPLANT,1,2012,C1_P_HCO,IP,0.13720949727375
Globe,ALUPLANT,1,2012,XALU,ID,387.0013413329
Globe,ALUPLANT,1,2012,XALU,IN,387.0013413329
Globe,ALUPLANT,1,2012,XALU,IP,57.900559976874995
Globe,ALUPLANT,1,2013,C1_F_CLS,ID,2.4339749217376005
Globe,ALUPLANT,1,2013,C1_F_CLS,IN,2.4339749217376005
Globe,ALUPLANT,1,2013,C1_F_CLS,IP,0.41124567908060006
Globe,ALUPLANT,1,2013,C1_F_HEA_I,ID,1.1209031800096
Globe,ALUPLANT,1,2013,C1_F_HEA_I,IN,1.1209031800096
Globe,ALUPLANT,1,2013,C1_F_HEA_I,IP,0.1893883890626
Globe,ALUPLANT,1,2013,C1_P_HCO,ID,0.9439000936592
Globe,ALUPLANT,1,2013,C1_P_HCO,IN,0.9439000936592
Globe,ALUPLANT,1,2013,C1_P_HCO,IP,0.1594818547777
Globe,ALUPLANT,1,2013,XALU,ID,400.8638645684
Globe,ALUPLANT,1,2013,XALU,IN,400.8638645684
Globe,ALUPLANT,1,2013,XALU,IP,67.730168758525
Globe,ALUPLANT,1,2014,C1_F_CLS,ID,2.4780577322305004
Globe,ALUPLANT,1,2014,C1_F_CLS,IN,2.4780577322305004
Globe,ALUPLANT,1,2014,C1_F_CLS,IP,0.6373957218593
Globe,ALUPLANT,1,2014,C1_F_HEA_I,ID,1.1442704501025
Globe,ALUPLANT,1,2014,C1_F_HEA_I,IN,1.1442704501025
Globe,ALUPLANT,1,2014,C1_F_HEA_I,IP,0.2943244945665
Globe,ALUPLANT,1,2014,C1_P_HCO,ID,0.9643776099860001
Globe,ALUPLANT,1,2014,C1_P_HCO,IN,0.9643776099860001
Globe,ALUPLANT,1,2014,C1_P_HCO,IP,0.24805320508360001
Globe,ALUPLANT,1,2014,XALU,ID,412.1536938435
Globe,ALUPLANT,1,2014,XALU,IN,412.1536938435
Globe,ALUPLANT,1,2014,XALU,IP,106.01246201309999
Globe,ALUPLANT,1,2015,C1_F_CLS,ID,2.4519143249264004
Globe,ALUPLANT,1,2015,C1_F_CLS,IN,2.4519143249264004
Globe,ALUPLANT,1,2015,C1_F_CLS,IP,1.6221061835684
Globe,ALUPLANT,1,2015,C1_F_HEA_I,ID,1.1352408577216
Globe,ALUPLANT,1,2015,C1_F_HEA_I,IN,1.1352408577216
Globe,ALUPLANT,1,2015,C1_F_HEA_I,IP,0.7510381567696
Globe,ALUPLANT,1,2015,C1_P_HCO,ID,0.9575548875032001
Globe,ALUPLANT,1,2015,C1_P_HCO,IN,0.9575548875032001
Globe,ALUPLANT,1,2015,C1_P_HCO,IP,0.6334869405242
Globe,ALUPLANT,1,2015,XALU,ID,411.8039767715
Globe,ALUPLANT,1,2015,XALU,IN,411.8039767715
Globe,ALUPLANT,1,2015,XALU,IP,272.436018807125
Globe,ALUPLANT,1,2016,C1_F_CLS,ID,2.4593339913697
Globe,ALUPLANT,1,2016,C1_F_CLS,IN,2.4593339913697
Globe,ALUPLANT,1,2016,C1_F_CLS,IP,2.2248966737558
Globe,ALUPLANT,1,2016,C1_F_HEA_I,ID,1.1417411323544
Globe,ALUPLANT,1,2016,C1_F_HEA_I,IN,1.1417411323544
Globe,ALUPLANT,1,2016,C1_F_HEA_I,IP,1.0329040531216
Globe,ALUPLANT,1,2016,C1_P_HCO,ID,0.9638237011367999
Globe,ALUPLANT,1,2016,C1_P_HCO,IN,0.9638237011367999
Globe,ALUPLANT,1,2016,C1_P_HCO,IP,0.8719466954351999
Globe,ALUPLANT,1,2016,XALU,ID,417.07219094735
Globe,ALUPLANT,1,2016,XALU,IN,417.07219094735
Globe,ALUPLANT,1,2016,XALU,IP,377.3145630529
Globe,ALUPLANT,1,2017,C1_F_CLS,ID,2.4957738327366
Globe,ALUPLANT,1,2017,C1_F_CLS,IN,2.4957738327366
Globe,ALUPLANT,1,2017,C1_F_CLS,IP,2.4957738327366
Globe,ALUPLANT,1,2017,C1_F_HEA_I,ID,1.1617750442298
Globe,ALUPLANT,1,2017,C1_F_HEA_I,IN,1.1617750442298
Globe,ALUPLANT,1,2017,C1_F_HEA_I,IP,1.1617750442298
Globe,ALUPLANT,1,2017,C1_P_HCO,ID,0.9815420893122001
Globe,ALUPLANT,1,2017,C1_P_HCO,IN,0.9815420893122001
Globe,ALUPLANT,1,2017,C1_P_HCO,IP,0.9815420893122001
Globe,ALUPLANT,1,2017,XALU,ID,427.34609156655
Globe,ALUPLANT,1,2017,XALU,IN,427.34609156655
Globe,ALUPLANT,1,2017,XALU,IP,427.34609156655
Globe,ALUPLANT,1,2018,C1_F_CLS,ID,2.6185276608504
Globe,ALUPLANT,1,2018,C1_F_CLS,IN,2.6185276608504
Globe,ALUPLANT,1,2018,C1_F_CLS,IP,1.8056746724231998
Globe,ALUPLANT,1,2018,C1_F_HEA_I,ID,1.222193762322
Globe,ALUPLANT,1,2018,C1_F_HEA_I,IN,1.222193762322
Globe,ALUPLANT,1,2018,C1_F_HEA_I,IP,0.842795878926
Globe,ALUPLANT,1,2018,C1_P_HCO,ID,1.033428959407
Globe,ALUPLANT,1,2018,C1_P_HCO,IN,1.033428959407
Globe,ALUPLANT,1,2018,C1_P_HCO,IP,0.712628140481
Globe,ALUPLANT,1,2018,XALU,ID,452.67199816280004
Globe,ALUPLANT,1,2018,XALU,IN,452.67199816280004
Globe,ALUPLANT,1,2018,XALU,IP,312.1518913924
Globe,ALUPLANT,1,2019,C1_F_CLS,ID,2.8416635884368002
Globe,ALUPLANT,1,2019,C1_F_CLS,IN,2.8416635884368002
Globe,ALUPLANT,1,2019,C1_F_HEA_I,ID,1.3299087885936
Globe,ALUPLANT,1,2019,C1_F_HEA_I,IN,1.3299087885936
Globe,ALUPLANT,1,2019,C1_P_HCO,ID,1.12542612288
Globe,ALUPLANT,1,2019,C1_P_HCO,IN,1.12542612288
Globe,ALUPLANT,1,2019,XALU,ID,495.9335960628
Globe,ALUPLANT,1,2019,XALU,IN,495.9335960628
Globe,ALUPLANT,1,2020,C1_F_CLS,ID,2.8994247006119998
Globe,ALUPLANT,1,2020,C1_F_CLS,IN,2.8994247006119998
Globe,ALUPLANT,1,2020,C1_F_HEA_I,ID,1.360596301122
Globe,ALUPLANT,1,2020,C1_F_HEA_I,IN,1.360596301122
Globe,ALUPLANT,1,2020,C1_P_HCO,ID,1.152322449396
Globe,ALUPLANT,1,2020,C1_P_HCO,IN,1.152322449396
Globe,ALUPLANT,1,2020,XALU,ID,510.810728175
Globe,ALUPLANT,1,2020,XALU,IN,510.810728175
Globe,ALUPLANT,1,2021,C1_F_CLS,ID,2.811178073208
Globe,ALUPLANT,1,2021,C1_F_CLS,IN,2.811178073208
Globe,ALUPLANT,1,2021,C1_F_CLS,IP,1.5929430583631998
Globe,ALUPLANT,1,2021,C1_F_HEA_I,ID,1.322736584856
Globe,ALUPLANT,1,2021,C1_F_HEA_I,IN,1.322736584856
Globe,ALUPLANT,1,2021,C1_F_HEA_I,IP,0.7495235115023999
Globe,ALUPLANT,1,2021,C1_P_HCO,ID,1.121161792392
Globe,ALUPLANT,1,2021,C1_P_HCO,IN,1.121161792392
Globe,ALUPLANT,1,2021,C1_P_HCO,IP,0.6353019438768
Globe,ALUPLANT,1,2021,XALU,ID,499.92863230050006
Globe,ALUPLANT,1,2021,XALU,IN,499.92863230050006
Globe,ALUPLANT,1,2021,XALU,IP,283.2826038627
Globe,ALUPLANT,1,2022,C1_F_CLS,ID,2.9638472840743
Globe,ALUPLANT,1,2022,C1_F_CLS,IN,2.9638472840743
Globe,ALUPLANT,1,2022,C1_F_CLS,IP,0.52656247079332
Globe,ALUPLANT,1,2022,C1_F_HEA_I,ID,1.3983239629515
Globe,ALUPLANT,1,2022,C1_F_HEA_I,IN,1.3983239629515
Globe,ALUPLANT,1,2022,C1_F_HEA_I,IP,0.24842876515860002
Globe,ALUPLANT,1,2022,C1_P_HCO,ID,1.1861887636287
Globe,ALUPLANT,1,2022,C1_P_HCO,IN,1.1861887636287
