REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2047,6.0203115
Globe,ALUPLANT,2048,4.4874786
Globe,ALUPLANT,2049,7.9066212
Globe,ALUPLANT,2050,14.07933
Globe,ALUPLANT,2051,5.8628231
Globe,ALUPLANT,2052,15.579063
Globe,ALUPLANT,2053,17.669659
Globe,ALUPLANT,2054,19.626527
Globe,ALUPLANT,2055,21.485673
Globe,ALUPLANT,2056,23.216994
Globe,ALUPLANT,2057,24.86042
Globe,ALUPLANT,2058,26.402577
Globe,ALUPLANT,2059,27.835559
Globe,ALUPLANT,2060,59.10435
Globe,ALUPLANT,2061,29.316541
Globe,ALUPLANT,2062,59.547926
Globe,ALUPLANT,2063,49.045605
Globe,ALUPLANT,2064,46.359148
Globe,ALUPLANT,2065,105.11614
Globe,ALUPLANT,2067,7.1680767
Globe,ALUPLANT,2068,75.065094
Globe,ALUPLANT,2069,107.49441
Globe,ALUPLANT,2070,167.76663
Globe,C1BFRDF00,2060,-8.7868841e-06
Globe,C1BFRDF00,2064,-0.00012923953
Globe,C1BFRDF00,2065,-4.2833387e-06
Globe,C1BFRDF00,2068,-1.0828884e-07
Globe,C1BFRDF00,2070,0.00026190773
Globe,C1BMCHP00,2054,8.4925866e-08
Globe,C1BMCHP00,2069,-6.5501542e-08
Globe,C1BMCHP00,2070,-2.4153375e-08
Globe,C1BMHTF03,2053,-7.1904039e-08
Globe,C1BMHTF03,2054,1.0127846e-07
Globe,C1BMHTF03,2062,-4.1865003e-07
Globe,C1BMHTF03,2063,1.7573767e-07
Globe,C1BMHTF03,2067,-2.7895791e-08
Globe,C1BMIGPCS,2042,5.2518917
Globe,C1BMIGPCS,2051,131.01888
Globe,C1BMIGPCS,2055,45.608978
Globe,C1BMIGPCS,2060,23.560241
Globe,C1BMIGPCS,2061,10.231346
Globe,C1BMIGPCS,2062,112.15448
Globe,C1BMIGPCS,2063,29.625723
Globe,C1BMIGPCS,2064,106.19884
Globe,C1BMIGPCS,2065,1674.8703
Globe,C1BMIGPCS,2067,-4.9444093e-08
Globe,C1BMIGPCS,2069,108.01496
