REGION,TECHNOLOGY,YEAR,VALUE
Globe,ALUPLANT,2010,4.20996668
Globe,ALUPLANT,2011,4.20058175
Globe,ALUPLANT,2012,4.4142205699999995
Globe,ALUPLANT,2013,4.5337744099999995
Globe,ALUPLANT,2014,4.62247448
Globe,ALUPLANT,2015,4.58024357
Globe,ALUPLANT,2016,4.60067832
Globe,ALUPLANT,2017,4.6755461799999996
Globe,ALUPLANT,2018,4.91255177
Globe,ALUPLANT,2019,5.338833559999999
Globe,ALUPLANT,2020,5.45519399
Globe,ALUPLANT,2021,5.296793989999999
Globe,ALUPLANT,2022,5.59251293
Globe,ALUPLANT,2023,5.55694194
Globe,ALUPLANT,2024,5.561909409999999
Globe,ALUPLANT,2025,5.6548839499999985
Globe,ALUPLANT,2026,5.60907337
Globe,ALUPLANT,2027,5.70564177
Globe,ALUPLANT,2028,5.80090762
Globe,ALUPLANT,2029,5.894860019999999
Globe,ALUPLANT,2030,5.9875635
Globe,ALUPLANT,2031,6.0790283899999995
Globe,ALUPLANT,2032,6.16924788
Globe,ALUPLANT,2033,6.25830134
Globe,ALUPLANT,2034,6.34615678
Globe,ALUPLANT,2035,6.432892949999999
Globe,ALUPLANT,2036,6.518500550000001
Globe,ALUPLANT,2037,6.60298421
Globe,ALUPLANT,2038,6.6864067899999995
Globe,ALUPLANT,2039,6.76874691
Globe,ALUPLANT,2040,6.8500670800000005
Globe,ALUPLANT,2041,6.930369449999999
Globe,ALUPLANT,2042,7.009640469999999
Globe,ALUPLANT,2043,7.08795668
Globe,ALUPLANT,2044,7.16527817
Globe,ALUPLANT,2045,7.90059024
Globe,ALUPLANT,2046,7.982925872999999
Globe,ALUPLANT,2047,8.064240393
Globe,ALUPLANT,2048,8.144600602999999
Globe,ALUPLANT,2049,8.223974993
Globe,ALUPLANT,2050,8.302430053
Globe,ALUPLANT,2051,8.302430052999998
Globe,ALUPLANT,2052,8.302430052999998
Globe,ALUPLANT,2053,8.302430053000002
Globe,ALUPLANT,2054,8.302430052999998
Globe,ALUPLANT,2055,8.302430053
Globe,ALUPLANT,2056,8.302430053
Globe,ALUPLANT,2057,8.302430052999998
Globe,ALUPLANT,2058,8.302430052999998
Globe,ALUPLANT,2059,8.302430053
Globe,ALUPLANT,2060,8.302430053
Globe,ALUPLANT,2061,8.302430053
Globe,ALUPLANT,2062,8.302430053
Globe,ALUPLANT,2063,8.302430053
Globe,ALUPLANT,2064,8.302430053
Globe,ALUPLANT,2065,8.827563533000001
Globe,ALUPLANT,2066,8.568426413000001
Globe,ALUPLANT,2067,8.302430063
Globe,ALUPLANT,2068,8.302430063
Globe,ALUPLANT,2069,8.302430063
Globe,ALUPLANT,2070,8.302430063
Globe,C1BFRDF00,2010,0.5606
Globe,C1BFRDF00,2011,0.5836
Globe,C1BFRDF00,2012,0.6067
Globe,C1BFRDF00,2013,0.6067
Globe,C1BFRDF00,2014,0.6067
Globe,C1BFRDF00,2015,0.6067
Globe,C1BFRDF00,2016,0.6067
Globe,C1BFRDF00,2017,0.6067
Globe,C1BFRDF00,2018,0.6067
Globe,C1BFRDF00,2019,0.6067
Globe,C1BFRDF00,2020,0.6067
Globe,C1BFRDF00,2021,0.6067
Globe,C1BFRDF00,2022,0.51964387
Globe,C1BFRDF00,2023,0.49664387
Globe,C1BFRDF00,2024,0.47354387
Globe,C1BFRDF00,2025,0.473542866538
Globe,C1BFRDF00,2026,0.4735401024683
Globe,C1BFRDF00,2027,0.4735401024683
Globe,C1BFRDF00,2028,0.4735401024683
Globe,C1BFRDF00,2029,0.4735401024683
Globe,C1BFRDF00,2030,0.4735401024683
Globe,C1BFRDF00,2031,0.4735401024683
Globe,C1BFRDF00,2032,0.4735401024683
Globe,C1BFRDF00,2033,0.4735401024683
Globe,C1BFRDF00,2034,-8.728664000000002e-07
Globe,C1BFRDF00,2035,-6.709051000000026e-08
Globe,C1BFRDF00,2036,-9.522948500000002e-07
Globe,C1BFRDF00,2037,5.1167149999999774e-08
Globe,C1BFRDF00,2038,-1.5170150000000223e-08
Globe,C1BFRDF00,2039,-1.5170150000000223e-08
Globe,C1BFRDF00,2040,-4.612749500000022e-08
Globe,C1BFRDF00,2041,-4.612749500000022e-08
Globe,C1BFRDF00,2042,-4.612749500000022e-08
Globe,C1BFRDF00,2043,-4.612749500000022e-08
Globe,C1BFRDF00,2044,-4.612749500000022e-08
Globe,C1BFRDF00,2045,-4.612749500000022e-08
Globe,C1BFRDF00,2046,6.130499999993148e-11
Globe,C1BFRDF00,2047,8.257500000000827e-11
Globe,C1BFRDF00,2048,6.147500000012463e-11
Globe,C1BFRDF00,2049,6.147500000012463e-11
Globe,C1BFRDF00,2050,6.197500000003256e-11
Globe,C1BFRDF00,2051,6.197500000003256e-11
Globe,C1BFRDF00,2052,6.958599999999373e-11
Globe,C1BFRDF00,2053,6.958599999999373e-11
Globe,C1BFRDF00,2054,-1.48334784e-07
Globe,C1BFRDF00,2055,-4.040400000000209e-11
Globe,C1BFRDF00,2056,-4.040400000000209e-11
Globe,C1BFRDF00,2057,-8.247268100000001e-08
Globe,C1BFRDF00,2058,-8.092810000001632e-10
Globe,C1BFRDF00,2059,-8.293210000000133e-10
Globe,C1BFRDF00,2060,-2.320100000019934e-11
Globe,C1BFRDF00,2061,-2.320100000019934e-11
Globe,C1BFRDF00,2062,2.8303832989999997e-06
Globe,C1BFRDF00,2063,2.8303832989999997e-06
Globe,C1BFRDF00,2064,-1.684670000005081e-10
Globe,C1BFRDF00,2065,-8.106337299999997e-08
Globe,C1BFRDF00,2066,6.73409969999996e-08
Globe,C1BFRDF00,2067,-8.095338300000026e-08
Globe,C1BFRDF00,2068,-8.095338300000026e-08
Globe,C1BFRDF00,2069,1.4788939999996647e-09
Globe,C1BFRDF00,2070,1.4784940000000268e-09
Globe,C1BMBRFH1,2010,0.7828
Globe,C1BMBRFH1,2011,0.7306
Globe,C1BMBRFH1,2012,0.6784
Globe,C1BMBRFH1,2013,0.6263
Globe,C1BMBRFH1,2014,0.5741
Globe,C1BMBRFH1,2015,0.5219
Globe,C1BMBRFH1,2016,0.4697
Globe,C1BMBRFH1,2017,0.4175
Globe,C1BMBRFH1,2018,0.3653
Globe,C1BMBRFH1,2019,0.3131
Globe,C1BMBRFH1,2020,0.2609
Globe,C1BMBRFH1,2021,0.2088
Globe,C1BMBRFH1,2022,0.1566
Globe,C1BMBRFH1,2023,0.1044
Globe,C1BMBRFH1,2024,0.0522
Globe,C1BMBRFN1,2010,0.07
Globe,C1BMBRFN1,2011,0.07
Globe,C1BMBRFN1,2012,0.07
Globe,C1BMBRFN1,2013,0.07
Globe,C1BMBRFN1,2014,0.07
Globe,C1BMBRFN1,2015,0.07
Globe,C1BMBRFN1,2016,0.07
Globe,C1BMBRFN1,2017,0.07
Globe,C1BMBRFN1,2018,0.09154772500000001
Globe,C1BMBRFN1,2019,0.141547725
Globe,C1BMBRFN1,2020,0.191547725
Globe,C1BMBRFN1,2021,0.191547725
Globe,C1BMBRFN1,2022,0.191547725
Globe,C1BMBRFN1,2023,0.241547725
Globe,C1BMBRFN1,2024,0.291547725
Globe,C1BMBRFN1,2025,0.271547725
Globe,C1BMBRFN1,2026,0.321547725
Globe,C1BMBRFN1,2027,0.371547725
Globe,C1BMBRFN1,2028,0.408192002
Globe,C1BMBRFN1,2029,0.408192002
Globe,C1BMBRFN1,2030,0.408192002
Globe,C1BMBRFN1,2031,0.408192002
Globe,C1BMBRFN1,2032,0.408192002
Globe,C1BMBRFN1,2033,0.38664427700000004
Globe,C1BMBRFN1,2034,0.336644277
Globe,C1BMBRFN1,2035,0.286644277
Globe,C1BMBRFN1,2036,0.286644277
Globe,C1BMBRFN1,2037,0.286644277
Globe,C1BMBRFN1,2038,0.23664427700000001
Globe,C1BMBRFN1,2039,0.18664427700000003
Globe,C1BMBRFN1,2040,0.136644277
Globe,C1BMBRFN1,2041,0.086644277
Globe,C1BMBRFN1,2042,0.036644277
Globe,C1BMCHP00,2010,0.033
Globe,C1BMCHP00,2011,0.0321
Globe,C1BMCHP00,2012,0.0311
Globe,C1BMCHP00,2013,0.0301
Globe,C1BMCHP00,2014,0.0291
Globe,C1BMCHP00,2015,0.0282
Globe,C1BMCHP00,2016,0.0272
Globe,C1BMCHP00,2017,0.0262
Globe,C1BMCHP00,2018,0.0253
Globe,C1BMCHP00,2019,0.0243
Globe,C1BMCHP00,2020,0.0233
Globe,C1BMCHP00,2021,0.0223
Globe,C1BMCHP00,2022,0.0214
Globe,C1BMCHP00,2023,0.0204
Globe,C1BMCHP00,2024,0.0194
Globe,C1BMCHP00,2025,0.0185
Globe,C1BMCHP00,2026,0.0175
Globe,C1BMCHP00,2027,0.0165
Globe,C1BMCHP00,2028,0.0155
Globe,C1BMCHP00,2029,0.0146
Globe,C1BMCHP00,2030,0.0136
Globe,C1BMCHP00,2031,0.0126
Globe,C1BMCHP00,2032,0.0117
Globe,C1BMCHP00,2033,0.0107
Globe,C1BMCHP00,2034,0.0097
Globe,C1BMCHP00,2035,0.0087
Globe,C1BMCHP00,2036,0.0078
Globe,C1BMCHP00,2037,0.0068
Globe,C1BMCHP00,2038,0.0058
Globe,C1BMCHP00,2039,0.0049
Globe,C1BMCHP00,2040,0.0039
Globe,C1BMCHP00,2041,0.0029
Globe,C1BMCHP00,2042,0.0019
Globe,C1BMCHP00,2043,0.001
Globe,C1BMHTF03,2010,0.2497
Globe,C1BMHTF03,2011,0.2372
Globe,C1BMHTF03,2012,0.2247
Globe,C1BMHTF03,2013,0.2123
Globe,C1BMHTF03,2014,0.1998
Globe,C1BMHTF03,2015,0.1873
Globe,C1BMHTF03,2016,0.1748
Globe,C1BMHTF03,2017,0.1623
Globe,C1BMHTF03,2018,0.1498
Globe,C1BMHTF03,2019,0.1373
Globe,C1BMHTF03,2020,0.1249
Globe,C1BMHTF03,2021,0.1124
Globe,C1BMHTF03,2022,0.0999
Globe,C1BMHTF03,2023,0.0874
Globe,C1BMHTF03,2024,0.0749
Globe,C1BMHTF03,2025,0.0624
Globe,C1BMHTF03,2026,0.0499
Globe,C1BMHTF03,2027,0.0375
Globe,C1BMHTF03,2028,0.025
Globe,C1BMHTF03,2029,0.0125
Globe,C1BMIGPCS,2021,0.092991895
Globe,C1BMIGPCS,2022,0.092991895
Globe,C1BMIGPCS,2023,0.092991895
Globe,C1BMIGPCS,2024,0.092991895
Globe,C1BMIGPCS,2025,0.092991895
Globe,C1BMIGPCS,2026,0.10919157700000001
Globe,C1BMIGPCS,2027,0.10919157700000001
Globe,C1BMIGPCS,2028,0.10919157700000001
Globe,C1BMIGPCS,2029,0.11824419030000001
Globe,C1BMIGPCS,2030,0.1289285283
Globe,C1BMIGPCS,2031,0.13342802320000002
Globe,C1BMIGPCS,2032,0.1813699662
Globe,C1BMIGPCS,2033,0.1937049932
Globe,C1BMIGPCS,2034,0.2368548952
Globe,C1BMIGPCS,2035,0.2636207192
Globe,C1BMIGPCS,2036,0.26374300071
Globe,C1BMIGPCS,2037,0.26406680073
Globe,C1BMIGPCS,2038,0.29090111173
Globe,C1BMIGPCS,2039,0.31787187773
Globe,C1BMIGPCS,2040,0.34511193973
Globe,C1BMIGPCS,2041,0.37582741273
Globe,C1BMIGPCS,2042,0.40604996573
Globe,C1BMIGPCS,2043,0.40604996573
Globe,C1BMIGPCS,2044,0.40604996573
Globe,C1BMIGPCS,2045,0.40604996573
Globe,C1BMIGPCS,2046,0.40604996573
Globe,C1BMIGPCS,2047,0.40604996573
Globe,C1BMIGPCS,2048,0.40604996573
Globe,C1BMIGPCS,2049,0.40604996573
Globe,C1BMIGPCS,2050,0.40604996573
Globe,C1BMIGPCS,2051,0.4060499657300001
Globe,C1BMIGPCS,2052,0.4060499657300001
